категория	kategooria	категория	kategooria	N;INDF;FEM;SG	N;NOM;SG
като	nagu	като	nagu	CONJ	CONJ
година	aasta	година	aasta	N;INDF;FEM;SG	N;NOM;SG
това	see	този	see	PRO;NOM;NEUT;SG	PRO;NOM;SG
български	bulgaaria	български	bulgaaria	ADJ;INDF;MASC;SG	ADJ
част	osas	част	osa	N;INDF;FEM;SG	N;IN+ESS;SG
години	aastad	година	aasta	N;INDF;FEM;PL	N;NOM;PL
време	kellaaeg	време	kella_aeg	N;INDF;NEUT;SG	N;NOM;SG
време	aeg	време	aeg	N;INDF;NEUT;SG	N;NOM;SG
време	aja	време	aeg	N;INDF;NEUT;SG	N;GEN;SG
време	ajas	време	aeg	N;INDF;NEUT;SG	N;IN+ESS;SG
време	aega	време	aeg	N;INDF;NEUT;SG	N;PRT;SG
външни	välised	външен	väline	ADJ;INDF;PL	ADJ;NOM;PL
препратки	viited	препратка	viide	N;INDF;FEM;PL	N;NOM;PL
град	linn	град	linn	N;INDF;MASC;SG	N;NOM;SG
град	linna	град	linn	N;INDF;MASC;SG	N;IN+ALL;LGSPEC1;SG
град	linn	град	linn	N;INDF;MASC;SG	N;NOM;SG
град	linna	град	linn	N;INDF;MASC;SG	N;IN+ALL;LGSPEC1;SG
град	city	град	city	N;INDF;MASC;SG	N;NOM;SG
много	väga	много	väga	ADV;INDF;PL	ADV
много	palju	много	palju	ADV;INDF;PL	ADV
също	samuti	също	samuti	ADV	ADV
също	ka	също	ka	ADV	ADV
век	sajandi	век	sajand	N;INDF;MASC;SG	N;GEN;SG
век	sajand	век	sajand	N;INDF;MASC;SG	N;NOM;SG
село	küla	село	küla	N;INDF;NEUT;SG	N;NOM;SG
село	külas	село	küla	N;INDF;NEUT;SG	N;IN+ESS;SG
един	ühe	един	üks	NUM;INDF;MASC;SG	NUM;GEN;SG
още	ikkagi	още	ikkagi	ADV	ADV
още	ikka	още	ikka	ADV	ADV
още	rohkem	още	rohkem	ADV	ADV
война	sõda	война	sõda	N;INDF;FEM;SG	N;NOM;SG
само	ainult	само	ainult	ADV	ADV
само	lihtsalt	само	lihtsalt	ADV	ADV
област	regioon	област	regioon	N;INDF;FEM;SG	N;NOM;SG
област	piirkond	област	piirkond	N;INDF;FEM;SG	N;NOM;SG
област	oblast	област	oblane	N;INDF;FEM;SG	N;NOM;SG
област	ringkond	област	ringkond	N;INDF;FEM;SG	N;NOM;SG
област	rajoon	област	rajoon	N;INDF;FEM;SG	N;NOM;SG
област	pindala	област	pind_ala	N;INDF;FEM;SG	N;NOM;SG
област	valdkond	област	valdkond	N;INDF;FEM;SG	N;NOM;SG
област	piirkond	област	piirkond	N;INDF;FEM;SG	N;NOM;SG
област	ala	област	ala	N;INDF;FEM;SG	N;NOM;SG
община	omavalitsus	община	oma_valitsus	N;INDF;FEM;SG	N;NOM;SG
община	vald	община	vald	N;INDF;FEM;SG	N;NOM;SG
място	koht	място	koht	N;INDF;NEUT;SG	N;NOM;SG
място	asukoht	място	asu_koht	N;INDF;NEUT;SG	N;NOM;SG
когато	millal	когато	millal	ADV	ADV
вид	tüüp	вид	tüüp	N;INDF;MASC;SG	N;NOM;SG
вид	liik	вид	liik	N;INDF;MASC;SG	N;NOM;SG
една	ühe	един	üks	NUM;INDF;FEM;SG	NUM;GEN;SG
семейство	pere	семейство	pere	N;INDF;NEUT;SG	N;NOM;SG
семейство	perekond	семейство	perekond	N;INDF;NEUT;SG	N;NOM;SG
започва	algab	започвам-(се)	algama	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
започва	algab	започвам-(се)	algama	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
започва	alustab	започвам-(се)	alustama	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
мини	kaevandused	мина	kaevandus	N;INDF;FEM;PL	N;NOM;PL
мини	miinid	мина	miin	N;INDF;FEM;PL	N;NOM;PL
намира	leiab	намирам-(се)	leidma	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
република	vabariik	република	vaba_riik	N;INDF;FEM;SG	N;NOM;SG
късно	hilja	късно	hilja	ADV	ADV
път	asukoht	път	asu_koht	N;INDF;MASC;SG	N;NOM;SG
път	rada	път	rada	N;INDF;MASC;SG	N;PRT;SG
път	marsruut	път	marsruut	N;INDF;MASC;SG	N;NOM;SG
път	maantee	път	maan_tee	N;INDF;MASC;SG	N;NOM;SG
път	tee	път	tee	N;INDF;MASC;SG	N;NOM;SG
път	road	път	road	N;INDF;MASC;SG	N;NOM;SG
отбор	tiim	отбор	tiim	N;INDF;MASC;SG	N;NOM;SG
отбор	meeskond	отбор	meeskond	N;INDF;MASC;SG	N;NOM;SG
