категорія	categoría	категорія	categoría	N;INAN;NOM;FEM;SG	N
від	de	від	de	ADP;GEN	ADP
від	dende	від	dende	ADP;GEN	ADP
від	de	від	de	ADP;GEN	ADP
від	por	від	por	ADP;GEN	ADP
для	para	для	para	ADP;GEN	ADP
для	por	для	por	ADP;GEN	ADP
також	tamén	також	tamén	ADV	ADV
про	sobre	про	sobre	ADP;ACC	ADP
про	de	про	de	ADP;ACC	ADP
його	el	він	el	PRO;ACC;MASC;SG;3	PRO
його	lle	він	lle	PRO;ACC;MASC;SG;3	PRO
був	foi	бути	ser	V;IPFV;MASC;IND;SG;PST;FIN	V
був	foi	бути	ser	V;IPFV;MASC;IND;SG;PST;FIN	V
населення	poboación	населення	poboación	N;INAN;NOM;NEUT;SG	N
було	foi	бути	ser	V;IPFV;NEUT;IND;SG;PST;FIN	V
було	foi	бути	ser	V;IPFV;NEUT;IND;SG;PST;FIN	V
він	el	він	el	PRO;NOM;MASC;SG;3	PRO
він	que	він	que	PRO;NOM;MASC;SG;3	PRO
під	baixo	під	baixo	ADP;ACC	ADP
під	baixo	під	baixo	ADP;ACC	ADP
під	de	під	de	ADP;ACC	ADP
після	tras	після	tras	ADP;GEN	ADP
після	de	після	de	ADP;GEN	ADP
або	ou	або	ou	CONJ	CONJ
або	ou	або	ou	CONJ	CONJ
час	veces	час	vez	N;INAN;NOM;MASC;SG	N
час	tempos	час	tempo	N;INAN;NOM;MASC;SG	N
час	momento	час	momento	N;INAN;NOM;MASC;SG	N
час	tempo	час	tempo	N;INAN;NOM;MASC;SG	N
час	vez	час	vez	N;INAN;NOM;MASC;SG	N
час	hora	час	hora	N;INAN;NOM;MASC;SG	N
але	pero	але	pero	CONJ	CONJ
але	mais	але	mais	CONJ	CONJ
області	zonas	область	zona	N;INAN;GEN;FEM;SG	N
області	áreas	область	área	N;INAN;GEN;FEM;SG	N
була	foi	бути	ser	V;IPFV;FEM;IND;SG;PST;FIN	V
були	foi	бути	ser	V;IPFV;IND;PL;PST;FIN	V
були	eran	бути	ser	V;IPFV;IND;PL;PST;FIN	V
були	foron	бути	ser	V;IPFV;IND;PL;PST;FIN	V
осіб	persoas	особа	persoa	N;ANIM;ACC;FEM;PL	N
міста	cidades	місто	cidade	N;INAN;NOM;NEUT;SG	N
село	aldea	село	aldea	N;INAN;NOM;NEUT;SG	N
село	pobo	село	pobo	N;INAN;NOM;NEUT;SG	N
село	vila	село	vila	N;INAN;NOM;NEUT;SG	N
район	distrito	район	distrito	N;INAN;NOM;MASC;SG	N
через	por	через	por	ADP;ACC	ADP
через	por	через	por	ADP;ACC	ADP
села	aldeas	село	aldea	N;INAN;NOM;NEUT;SG	N
села	pobos	село	pobo	N;INAN;NOM;NEUT;SG	N
тому	tanto	тому	tanto	ADV	ADV
тому	daquela	тому	daquela	ADV	ADV
рік	ano	рік	ano	N;INAN;NOM;MASC;SG	N
відстань	distancia	відстань	distancia	N;INAN;NOM;FEM;SG	N
відстань	distancias	відстань	distancia	N;INAN;NOM;FEM;SG	N
має	ten	мати	ter	V;IPFV;IND;SG;3;PRS;FIN	V
має	debo	мати	deber	V;IPFV;IND;SG;3;PRS;FIN	V
має	debe	мати	deber	V;IPFV;IND;SG;3;PRS;FIN	V
має	debemos	мати	deber	V;IPFV;IND;SG;3;PRS;FIN	V
має	deben	мати	deber	V;IPFV;IND;SG;3;PRS;FIN	V
має	hai	мати	haber	V;IPFV;IND;SG;3;PRS;FIN	V
область	área	область	área	N;INAN;NOM;FEM;SG	N
область	zona	область	zona	N;INAN;NOM;FEM;SG	N
яка	o	який	o	DET;NOM;FEM;SG	DET
вони	que	вони	que	PRO;NOM;PL;3	PRO
вони	eles	вони	el	PRO;NOM;PL;3	PRO
сайті	sitio	сайт	sitio	N;INAN;DAT;MASC;SG	N
сайті	web	сайт	web	N;INAN;DAT;MASC;SG	N
сайті	páxina	сайт	páxina	N;INAN;DAT;MASC;SG	N
близько	preto	близько	preto	ADV	ADV
близько	preto	близько	preto	ADV	ADV
війни	guerras	війна	guerra	N;INAN;NOM;FEM;SG	N
війни	guerra	війна	guerra	N;INAN;NOM;FEM;SG	N
між	entre	між	entre	ADP;INS	ADP
роки	anos	рік	ano	N;INAN;NOM;MASC;PL	N
обговорення	discusión	обговорення	discusión	N;INAN;NOM;NEUT;SG	N
обговорення	debates	обговорення	debate	N;INAN;NOM;NEUT;SG	N
обговорення	discusións	обговорення	discusión	N;INAN;NOM;NEUT;SG	N
вона	ela	вона	el	PRO;NOM;FEM;SG;3	PRO
вона	que	вона	que	PRO;NOM;FEM;SG;3	PRO
список	lista	список	lista	N;INAN;NOM;MASC;SG	N
список	listaxe	список	listaxe	N;INAN;NOM;MASC;SG	N
вересня	setembro	вересень	setembro	N;INAN;GEN;MASC;SG	N
цей	esta	цей	este	DET;NOM;MASC;SG	DET
цей	este	цей	este	DET;NOM;MASC;SG	DET
березня	marzo	березень	marzo	N;INAN;GEN;MASC;SG	N
березня	marcha	березень	marcha	N;INAN;GEN;MASC;SG	N
місце	lugar	місце	lugar	N;INAN;NOM;NEUT;SG	N
місце	momento	місце	momento	N;INAN;NOM;NEUT;SG	N
місце	punto	місце	punto	N;INAN;NOM;NEUT;SG	N
місце	lugar	місце	lugar	N;INAN;NOM;NEUT;SG	N
місце	casa	місце	casa	N;INAN;NOM;NEUT;SG	N
місце	sitio	місце	sitio	N;INAN;NOM;NEUT;SG	N
місце	asento	місце	asento	N;INAN;NOM;NEUT;SG	N
місце	sitio	місце	sitio	N;INAN;NOM;NEUT;SG	N
муніципалітет	concello	муніципалітет	concello	N;INAN;NOM;MASC;SG	N
серпня	agosto	серпень	agosto	N;INAN;GEN;MASC;SG	N
січня	xaneiro	січень	xaneiro	N;INAN;GEN;MASC;SG	N
став	foi	стати	ser	V;PFV;MASC;IND;SG;PST;FIN	V
став	converteuse	стати	converteuse	V;PFV;MASC;IND;SG;PST;FIN	V
став	converteu	стати	converter	V;PFV;MASC;IND;SG;PST;FIN	V
травня	maio	травень	maio	N;INAN;GEN;MASC;SG	N
грудня	decembro	грудень	decembro	N;INAN;GEN;MASC;SG	N
інших	outra	інший	outro	DET;GEN;PL	DET
інших	outros	інший	outro	DET;GEN;PL	DET
інших	outro	інший	outro	DET;GEN;PL	DET
інших	outras	інший	outro	DET;GEN;PL	DET
інших	outros	інший	outro	DET;GEN;PL	DET
інших	demais	інший	demais	DET;GEN;PL	DET
інших	outras	інший	outro	DET;GEN;PL	DET
жовтня	outubro	жовтень	outubro	N;INAN;GEN;MASC;SG	N
серед	entre	серед	entre	ADP;GEN	ADP
серед	entre	серед	entre	ADP;GEN	ADP
якщо	se	якщо	se	CONJ	CONJ
