dan	en	dan	en	CONJ	CONJ
dari	van	dari	van	ADP	ADP
dari	uit	dari	uit	ADP	ADP
dari	vanaf	dari	vanaf	ADP	ADP
dengan	met	dengan	met	ADP	ADP
adalah	zijn	adalah	zijn	V	V;PL;PRS;FIN
untuk	voor	untuk	voor	ADP	ADP
tahun	jaar	tahun	jaar	N;SG	N;NEUT;SG
tahun	jaar	tahun	jaar	N;SG	N;NEUT;SG
juga	ook	juga	ook	ADV	ADV
bagian	afdeling	bagian	afdeling	N;SG	N;MASC+FEM;SG
bagian	sectie	bagian	sectie	N;SG	N;MASC+FEM;SG
bagian	deel	bagian	deel	N;SG	N;NEUT;SG
bagian	gedeelte	bagian	gedeelte	N;SG	N;NEUT;SG
spesies	diersoort	spesies	diersoort	N;SG	N;MASC+FEM;SG
spesies	soort	spesies	soort	N;SG	N;SG
orang	persoon	orang	persoon	N;SG	N;MASC+FEM;SG
luar	buitenkant	luar	buitenkant	ADJ;SG	ADJ
mereka	hen	mereka	hen	PRO;PL;3	PRO;ACC;3
mereka	ze	mereka	ze	PRO;PL;3	PRO;3
mereka	zij	mereka	zij	PRO;PL;3	PRO;NOM;3
satu	één	satu	één	NUM	NUM
memiliki	heeft	menmiliki	hebben	V;SG;ACT	V;SG;PRS;FIN
kota	stad	kota	stad	N;SG	N;MASC+FEM;SG
kota	stad	kota	stad	N;SG	N;MASC+FEM;SG
kota	kota	kota	kota	N;SG	N;MASC+FEM;SG
pranala	link	pranala	link	N;SG	N;MASC+FEM;SG
pranala	koppeling	pranala	koppeling	N;SG	N;MASC+FEM;SG
pranala	hyperlink	pranala	hyperlink	N;SG	N;MASC+FEM;SG
karena	omdat	karena	omdat	CONJ	CONJ
desa	dorpje	desa	dorp	N;SG	N;NEUT;SG
desa	dorp	desa	dorp	N;SG	N;NEUT;SG
ada	bestaat	ada	bestaan	V;SG	V;SG;PRS;FIN
nama	naam	nama	naam	N;SG	N;MASC+FEM;SG
kayu	hout	kayu	hout	N;SG	N;NEUT;SG
kayu	hout	kayu	hout	N;SG	N;NEUT;SG
setelah	na	setelah	na	ADP	ADP
bahasa	taal	bahasa	taal	N;SG	N;MASC+FEM;SG
bahasa	taalgebruik	bahasa	taalgebruik	N;SG	N;NEUT;SG
asteroid	asteroïden	asteroid	asteroïd	N	N;PL
asteroid	asteroïde	asteroid	asteroïde	N	N;MASC+FEM;SG
lain	overige	lain	overig	ADJ;SG	ADJ
lain	andere	lain	ander	ADJ;SG	ADJ
lain	ander	lain	ander	ADJ;SG	ADJ
lain	overige	lain	overig	ADJ;SG	ADJ
lain	andere	lain	ander	ADJ;SG	ADJ
lain	overigen	lain	overigen	ADJ;SG	ADJ
lain	anderen	lain	ander	ADJ;SG	ADJ
besar	groot	besar	groot	ADJ;SG	ADJ
besar	grote	besar	groot	ADJ;SG	ADJ
besar	groot	besar	groot	ADJ;SG	ADJ
besar	grote	besar	groot	ADJ;SG	ADJ
besar	groot	besar	groot	ADJ;SG	ADJ
besar	geweldig	besar	geweldig	ADJ;SG	ADJ
besar	fantastisch	besar	fantastisch	ADJ;SG	ADJ
film	filmpje	film	filmp	N;SG	N;NEUT;SG
film	film	film	film	N;SG	N;MASC+FEM;SG
film	film	film	film	N;SG	N;MASC+FEM;SG
film	bioscoop	film	bioscoop	N;SG	N;MASC+FEM;SG
kelas	klasse	kelas	klasse	N;SG	N;MASC+FEM;SG
kelas	class	kelas	class	N;SG	N;MASC+FEM;SG
kelas	klas	kelas	klas	N;SG	N;MASC+FEM;SG
kecamatan	district	kecamatan	district	N;SG	N;NEUT;SG
salah	fout	salah	fout	N;SG	N;MASC+FEM;SG
salah	salah	salah	salah	N;SG	N;MASC+FEM;SG
negara	land	negara	land	N;SG	N;NEUT;SG
negara	state	negara	state	N;SG	N;MASC+FEM;SG
biasanya	meestal	biasanya	meestal	ADV	ADV
biasanya	normaliter	biasanya	normaliter	ADV	ADV
kemudian	dan	kemudian	dan	ADV	ADV
kemudian	daarna	kemudian	daarna	ADV	ADV
kemudian	straks	kemudian	straks	ADV	ADV
kabupaten	regency	kabupaten	regency	N;SG	N;NEUT;SG
kabupaten	county	kabupaten	county	N;SG	N;MASC+FEM;SG
kabupaten	graafschap	kabupaten	graafschap	N;SG	N;NEUT;SG
kabupaten	district	kabupaten	district	N;SG	N;NEUT;SG
kumbang	lieveheersbeestje	kumbang	lieveheersbeest	N	N;NEUT;SG
kumbang	keversoort	kumbang	keversoort	N	N;MASC+FEM;SG
kumbang	kever	kumbang	kever	N	N;MASC+FEM;SG
lalat	fly	lalat	fly	N;SG	N;MASC+FEM;SG
lalat	vlieg	lalat	vliegen	N;SG	N;MASC+FEM;SG
ordo	ordo	ordo	ordo	N	N;MASC+FEM;SG
isi	inhoud	isi	inhoud	N;SG	N;MASC+FEM;SG
isi	inhoud	isi	inhoud	N;SG	N;MASC+FEM;SG
isi	inhoudsopgave	isi	inhoudsopgave	N;SG	N;MASC+FEM;SG
daftar	lijstje	daftar	lijst	N;SG	N;NEUT;SG
daftar	lijst	daftar	lijst	N;SG	N;MASC+FEM;SG
baru	nieuw	baru	nieuw	ADJ;SG	ADJ
baru	nieuwe	baru	nieuw	ADJ;SG	ADJ
antara	tussen	antara	tussen	ADP	ADP
barat	west	barat	west	N;SG	N;MASC+FEM;SG
barat	westen	barat	westen	N;SG	N;NEUT;SG
barat	barat	barat	barat	N;SG	N;MASC+FEM;SG
barat	western	barat	western	N;SG	N;NEUT;SG
wilayah	gebied	wilayah	gebied	N;SG	N;NEUT;SG
wilayah	oppervlakte	wilayah	oppervlakte	N;SG	N;MASC+FEM;SG
wilayah	regio	wilayah	regio	N;SG	N;MASC+FEM;SG
wilayah	grondgebied	wilayah	grondgebied	N;SG	N;NEUT;SG
wilayah	territorium	wilayah	territorium	N;SG	N;NEUT;SG
tanggal	datum	tanggal	datum	N;SG;ACT	N;MASC+FEM;SG
tanggal	data	tanggal	data	N;SG;ACT	N;MASC+FEM;SG
tanggal	datums	tanggal	datum	N;SG;ACT	N;MASC+FEM;SG
dunia	wereld	dunia	wereld	N;SG	N;MASC+FEM;SG
timur	oosten	timur	oosten	N;SG	N;NEUT;SG
timur	oost	timur	oost	N;SG	N;MASC+FEM;SG
timur	timur	timur	timur	N;SG	N;MASC+FEM;SG
tempat	plaats	tempat	plaats	N;SG	N;MASC+FEM;SG
dua	twee	dua	twee	NUM	NUM
selatan	selatan	selatan	selatan	N;SG	N;MASC+FEM;SG
selatan	zuiden	selatan	zuiden	N;SG	N;NEUT;SG
animalia	animalia	animalia	animalia	N	N;MASC+FEM;SG
anak	anak	anak	anak	N;SG	N;MASC+FEM;SG
anak	zoon	anak	zoon	N;SG	N;MASC+FEM;SG
anak	son	anak	son	N;SG	N;MASC+FEM;SG
anak	kind	anak	kind	N;SG	N;NEUT;SG
anak	kindje	anak	kind	N;SG	N;NEUT;SG
species	diersoort	species	diersoort	N	N;MASC+FEM;SG
species	diersoorten	species	diersoort	N	N;PL
species	soorten	species	soort	N	N;PL
species	soort	species	soort	N	N;SG
hidup	leven	hidup	leven	N;SG	N;NEUT;SG
lagu	nummer	lagu	nummer	N;SG	N;MASC+FEM;SG
lagu	song	lagu	song	N;SG	N;MASC+FEM;SG
lagu	zang	lagu	zang	N;SG	N;MASC+FEM;SG
lagu	lied	lagu	lied	N;SG	N;NEUT;SG
lagu	liedje	lagu	liedje	N;SG	N;NEUT;SG
daerah	district	daerah	district	N;SG	N;NEUT;SG
daerah	gebied	daerah	gebied	N;SG	N;NEUT;SG
daerah	oppervlakte	daerah	oppervlakte	N;SG	N;MASC+FEM;SG
daerah	regio	daerah	regio	N;SG	N;MASC+FEM;SG
daerah	county	daerah	county	N;SG	N;MASC+FEM;SG
daerah	graafschap	daerah	graafschap	N;SG	N;NEUT;SG
daerah	afdeling	daerah	afdeling	N;SG	N;MASC+FEM;SG
daerah	sectie	daerah	sectie	N;SG	N;MASC+FEM;SG
sekolah	school	sekolah	school	N;SG	N;MASC+FEM;SG
sekolah	schoolopleiding	sekolah	schoolopleiding	N;SG	N;MASC+FEM;SG
hanya	alleen	hanya	alleen	ADV	ADV
hanya	slechts	hanya	slechts	ADV	ADV
air	water	air	water	N;SG	N;NEUT;SG
air	lucht	air	lucht	N;SG	N;MASC+FEM;SG
terletak	gelokaliseerd	terletak	lokaliseren	V;SG;PASS	V;V.PTCP
terletak	gesitueerd	terletak	situeren	V;SG;PASS	V;V.PTCP
hari	dag	hari	dag	N;SG	N;MASC+FEM;SG
hari	dagje	hari	dag	N;SG	N;NEUT;SG
hari	days	hari	days	N;SG	N;MASC+FEM;SG
hingga	tot	hingga	tot	ADP	ADP
sampai	tot	sampai	tot	ADP	ADP
digunakan	gebruikt	digunakan	gebruiken	V;SG;PASS	V;V.PTCP
digunakan	gebruikte	digunakan	gebruiken	V;SG;PASS	V;SG;PST;FIN
kali	kali	kali	kali	N;SG	N;MASC+FEM;SG
kali	tijd	kali	tijd	N;SG	N;MASC+FEM;SG
kali	times	kali	time	N;SG	N;MASC+FEM;SG
sama	gelijk	sama	gelijk	ADJ;SG	ADJ
sama	gelijke	sama	gelijk	ADJ;SG	ADJ
sangat	zeer	sangat	zeer	ADV	ADV
album	album	album	album	N;SG	N;NEUT;SG
hal	ding	hal	ding	N;SG	N;NEUT;SG
hal	spul	hal	spul	N;SG	N;NEUT;SG
hal	hal	hal	hal	N;SG	N;MASC+FEM;SG
panjang	lang	panjang	lang	ADJ;SG	ADJ
panjang	lange	panjang	lang	ADJ;SG	ADJ
anggota	lid	anggota	lid	N;SG	N;NEUT;SG
selama	tijdens	selama	tijdens	ADP	ADP
selama	gedurende	selama	gedurende	ADP	ADP
sejak	sinds	sejak	sinds	ADP	ADP
sejak	sedert	sejak	sedert	ADP	ADP
menggunakan	gebruiken	mengunakan	gebruiken	V;SG;ACT	V;NFIN
menggunakan	gebruiken	mengunakan	gebruiken	V;SG;ACT	V;NFIN
utama	primaire	utama	primair	ADJ;SG	ADJ
utama	primair	utama	primair	ADJ;SG	ADJ
disebut	vermeld	disebut	vermelden	V;SG;PASS	V;V.PTCP
disebut	genoemd	disebut	noemen	V;SG;PASS	V;V.PTCP
disebut	vermeldde	disebut	vermelden	V;SG;PASS	V;SG;PST;FIN
disebut	belde	disebut	bellen	V;SG;PASS	V;SG;PST;FIN
disebut	genoemd	disebut	noemen	V;SG;PASS	V;V.PTCP
disebut	gebeld	disebut	bellen	V;SG;PASS	V;V.PTCP
disebut	doorverwezen	disebut	doorverwezen	V;SG;PASS	V;V.PTCP
kembali	terugkeren	kembali	terugkeren	V;SG;ACT	V;NFIN
sudah	al	sudah	al	ADV;SG;ACT	ADV
sudah	reeds	sudah	reeds	ADV;SG;ACT	ADV
menyebabkan	veroorzaken	mensebabkan	veroorzaken	V;SG;ACT	V;NFIN
menyebabkan	veroorzaken	mensebabkan	veroorzaken	V;SG;ACT	V;NFIN
menyebabkan	veroorzaakt	mensebabkan	veroorzaken	V;SG;ACT	V;V.PTCP
masih	nog	masih	nog	ADV	ADV
lihat	zien	lihat	zien	V;SG;ACT	V;NFIN
lihat	zie	lihat	zien	V;SG;ACT	V;SG;PRS;FIN
lihat	kijk	lihat	kijken	V;SG;ACT	V;SG;PRS;FIN
lihat	bekijk	lihat	bekijk	V;SG;ACT	V;SG;PRS;FIN
lihat	bekijken	lihat	bekijken	V;SG;ACT	V;NFIN
tinggi	hoog	tinggi	hoog	ADJ;SG	ADJ
tinggi	hoge	tinggi	hoog	ADJ;SG	ADJ
waktu	tijd	waktu	tijd	N;SG	N;MASC+FEM;SG
jenis	soort	jenis	soort	N;SG	N;SG
jenis	type	jenis	type	N;SG	N;NEUT;SG
jenis	soort	jenis	soort	N;SG	N;SG
jakarta	jakarta	jakarta	jakarta	N;SG	N;MASC+FEM;SG
bulan	bulan	bulan	bulan	N;SG	N;MASC+FEM;SG
bulan	maan	bulan	maan	N;SG	N;MASC+FEM;SG
bulan	moon	bulan	moon	N;SG	N;MASC+FEM;SG
bulan	maandje	bulan	maand	N;SG	N;NEUT;SG
bulan	maand	bulan	maand	N;SG	N;MASC+FEM;SG
departemen	departement	departemen	departement	N;SG	N;NEUT;SG
departemen	afdeling	departemen	afdeling	N;SG	N;MASC+FEM;SG
situs	site	situs	site	N;SG	N;MASC+FEM;SG
dikenal	herkende	dikenal	herken	V;SG;PASS	V;SG;PST;FIN
dikenal	erkende	dikenal	erkennen	V;SG;PASS	V;FIN
dikenal	herkend	dikenal	herkend	V;SG;PASS	V;V.PTCP
dikenal	erkend	dikenal	erkend	V;SG;PASS	V;V.PTCP
dikenal	erkende	dikenal	erkennen	V;SG;PASS	V;FIN
dikenal	herkend	dikenal	herkend	V;SG;PASS	V;V.PTCP
dikenal	erkend	dikenal	erkend	V;SG;PASS	V;V.PTCP
dikenal	gekend	dikenal	kennen	V;SG;PASS	V;V.PTCP
dikenal	gekende	dikenal	kenen	V;SG;PASS	V;V.PTCP
laba	winst	laba	winst	N;SG	N;MASC+FEM;SG
laba	spin	laba	spin	N;SG	N;MASC+FEM;SG
laba	spider	laba	spider	N;SG	N;MASC+FEM;SG
membuat	creëren	menbuat	creer	V;SG;ACT	V;NFIN
membuat	aanmaken	menbuat	aanmaken	V;SG;ACT	V;NFIN
membuat	creëer	menbuat	creëer	V;SG;ACT	V;SG;PRS;FIN
membuat	maken	menbuat	maken	V;SG;ACT	V;NFIN
membuat	creëren	menbuat	creer	V;SG;ACT	V;NFIN
membuat	maken	menbuat	maken	V;SG;ACT	V;NFIN
membuat	maak	menbuat	maken	V;SG;ACT	V;SG;PRS;FIN
sementara	terwijl	sementara	terwijl	CONJ	CONJ
mulai	start	mulai	starten	V;SG;ACT	V;SG;PRS;FIN
mulai	starten	mulai	starten	V;SG;ACT	V;NFIN
mulai	beginnen	mulai	beginnen	V;SG;ACT	V;NFIN
mulai	beginnen	mulai	beginnen	V;SG;ACT	V;NFIN
mulai	beginnend	mulai	beginnen	V;SG;ACT	V;V.PTCP
resmi	officiële	resmi	officeel	ADJ;SG	ADJ
resmi	officieel	resmi	officieel	ADJ;SG	ADJ
database	databanken	database	databank	N	N;PL
database	databases	database	database	N	N;PL
database	databank	database	databank	N	N;MASC+FEM;SG
database	gegevensbank	database	gegevensbank	N	N;MASC+FEM;SG
database	database	database	databaas	N	N;MASC+FEM;SG
sekitar	over	sekitar	over	ADP	ADP
sekitar	rondom	sekitar	rondom	ADP	ADP
sekitar	rond	sekitar	rond	ADP	ADP
udara	antenne	udara	antenn	N;SG	N;MASC+FEM;SG
udara	lucht	udara	lucht	N;SG	N;MASC+FEM;SG
melalui	via	melalui	via	ADP	ADP
nasional	nationaal	nasional	nationaal	ADJ;SG	ADJ
nasional	nationale	nasional	nationaal	ADJ;SG	ADJ
sekarang	nu	sekarang	nu	ADV	ADV
perang	oorlogsvoering	perang	oorlogsvoering	N;SG	N;MASC+FEM;SG
perang	oorlogvoering	perang	oorlogvoering	N;SG	N;MASC+FEM;SG
perang	oorlog	perang	oorlog	N;SG	N;MASC+FEM;SG
perang	oorlog	perang	oorlog	N;SG	N;MASC+FEM;SG
tentang	over	tentang	over	ADP;SG;ACT	ADP
pulau	pulau	pulau	pulau	N;SG	N;MASC+FEM;SG
pulau	eiland	pulau	eiland	N;SG	N;NEUT;SG
rumah	home	rumah	home	N;SG	N;MASC+FEM;SG
rumah	huis	rumah	huis	N;SG	N;NEUT;SG
rumah	startpagina	rumah	startpagina	N;SG	N;MASC+FEM;SG
rumah	huis	rumah	huis	N;SG	N;NEUT;SG
pendidikan	opvoeding	pendidikan	opvoeding	N;SG	N;MASC+FEM;SG
pendidikan	onderwijs	pendidikan	onderwijs	N;SG	N;NEUT;SG
laut	marinier	laut	marinier	N;SG	N;MASC+FEM;SG
laut	zee	laut	zee	N;SG	N;MASC+FEM;SG
laut	oceaan	laut	oceaan	N;SG	N;MASC+FEM;SG
tim	tim	tim	tim	N;SG	N;MASC+FEM;SG
tim	team	tim	team	N;SG	N;NEUT;SG
sistem	systeem	sistem	systeem	N;SG	N;NEUT;SG
sistem	stelsel	sistem	stelsel	N;SG	N;NEUT;SG
komune	commune	komune	commune	N	N;MASC+FEM;SG
termasuk	inbegrepen	termasuk	inbegrip	V	V;V.PTCP
termasuk	omvat	termasuk	omvatten	V	V;SG;PRS;FIN
semua	alle	semua	al	DET	DET
larva	larven	larva	larven	N	N;PL
larva	larve	larva	larve	N	N;MASC+FEM;SG
larva	larve	larva	larve	N	N;MASC+FEM;SG
terhadap	tegen	terhadap	tegen	ADP	ADP
selain	naast	selain	naast	ADP;SG	ADP
batang	batang	batang	batang	N;SG	N;MASC+FEM;SG
batang	bar	batang	bar	N;SG	N;MASC+FEM;SG
batang	stengel	batang	stengel	N;SG	N;MASC+FEM;SG
batang	stam	batang	stam	N;SG	N;MASC+FEM;SG
sendiri	eigen	sendiri	eigen	ADJ;SG	ADJ
matahari	zon	matahari	zon	N;SG	N;MASC+FEM;SG
presiden	president	presiden	president	N;SG	N;MASC+FEM;SG
presiden	voorzitter	presiden	voorzitter	N;SG	N;MASC+FEM;SG
masyarakat	gemeenschap	masyarakat	gemeenschap	N;SG	N;MASC+FEM;SG
masyarakat	community	masyarakat	community	N;SG	N;MASC+FEM;SG
masyarakat	samenleving	masyarakat	samenleving	N;SG	N;MASC+FEM;SG
masyarakat	genootschap	masyarakat	genootschap	N;SG	N;NEUT;SG
