per	pour	per	pour	ADP	ADP
con	avec	con	avec	ADP	ADP
una	une	uno	un	DET;INDF;FEM;SG	DET;INDF;FEM;SG
non	non	non	non	ADV	ADV
non	pas	non	pas	ADV	ADV;NEG
come	comment	come	comment	ADV	ADV
sono	sont	essere	être	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
più	davantage	più	davantage	ADV	ADV
più	plus	più	plus	ADV	ADV
anche	même	anche	même	ADV	ADV
anche	également	anche	également	ADV	ADV
anche	aussi	anche	aussi	ADV	ADV
anche	egalement	anche	egalement	ADV	ADV
team	équipe	team	équipe	N;MASC	N;FEM;SG
team	equipe	team	equipe	N;MASC	N;FEM;SG
due	deux	due	deux	NUM	NUM
tra	parmi	tra	parmi	ADP	ADP
tra	entre	tra	entre	ADP	ADP
era	était	essere	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
suo	sa	suo	son	DET;MASC;SG	DET;FEM;SG
suo	son	suo	son	DET;MASC;SG	DET;MASC;SG
prima	auparavant	prima	auparavant	ADV	ADV
parte	partie	parte	partie	N;FEM;SG	N;FEM;SG
altri	autres	altro	autre	PRO;MASC;PL	PRO;PL
altri	autres	altro	autre	PRO;MASC;PL	PRO;PL
bar	barreau	bar	barreau	N;MASC	N;MASC;SG
bar	bar	bar	bar	N;MASC	N;MASC;SG
bar	barre	bar	barre	N;MASC	N;FEM;SG
anni	années	anno	année	N;MASC;PL	N;FEM;PL
anni	ans	anno	an	N;MASC;PL	N;MASC;PL
italiano	italienne	italiano	italien	ADJ;MASC;SG	ADJ;FEM;SG
italiano	italien	italiano	italien	ADJ;MASC;SG	ADJ;MASC;SG
essere	être	essere	être	V;NFIN	V;NFIN
questo	cette	questo	ce	DET;MASC;SG	DET;FEM;SG
esterni	extérieurs	esterno	extérieur	ADJ;MASC;PL	ADJ;MASC;PL
esterni	externes	esterno	externe	ADJ;MASC;PL	ADJ;MASC;PL
esterni	extérieurs	esterno	extérieur	ADJ;MASC;PL	ADJ;MASC;PL
esterni	extérieures	esterno	extérieur	ADJ;MASC;PL	ADJ;FEM;PL
collegamenti	raccordements	collegamento	raccordement	N;MASC;PL	N;MASC;PL
collegamenti	connexions	collegamento	connexion	N;MASC;PL	N;FEM;PL
collegamenti	liens	collegamento	lien	N;MASC;PL	N;MASC;PL
serie	série	serie	série	N;FEM	N;FEM;SG
serie	séries	serie	série	N;FEM	N;FEM;PL
serie	serie	serie	serie	N;FEM	N;FEM;SG
viene	vient	venire	venir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
questa	cette	questo	ce	DET;FEM;SG	DET;FEM;SG
film	films	film	film	N;MASC	N;MASC;PL
film	films	film	film	N;MASC	N;MASC;PL
film	cinéma	film	cinéma	N;MASC	N;MASC;SG
film	ciné	film	ciné	N;MASC	N;MASC;SG
film	film	film	film	N;MASC	N;MASC;SG
film	film	film	film	N;MASC	N;MASC;SG
città	ville	città	ville	N;FEM	N;FEM;SG
città	ville	città	ville	N;FEM	N;FEM;SG
città	villes	città	ville	N;FEM	N;FEM;PL
città	villes	città	ville	N;FEM	N;FEM;PL
solo	uniquement	solo	uniquement	ADV	ADV
solo	seulement	solo	seulement	ADV	ADV
solo	simplement	solo	simplement	ADV	ADV
solo	juste	solo	juste	ADV	ADV
uno	un	uno	un	PRO;MASC;SG	PRO;MASC;SG
loro	leur	loro	lui	PRO;PL;3	PRO;PL;3
loro	eux	loro	soi	PRO;PL;3	PRO;MASC;PL;3
loro	elles	loro	il	PRO;PL;3	PRO;FEM;PL;3
loro	ils	loro	il	PRO;PL;3	PRO;MASC;PL;3
loro	eux	loro	soi	PRO;PL;3	PRO;MASC;PL;3
primo	première	primo	premier	ADJ;MASC;SG	ADJ;FEM;SG
primo	premier	primo	premier	ADJ;MASC;SG	ADJ;MASC;SG
nome	nom	nome	nom	N;MASC;SG	N;MASC;SG
nome	dénomination	nome	dénomination	N;MASC;SG	N;FEM;SG
poi	ensuite	poi	ensuite	ADV	ADV
poi	alors	poi	alors	ADV	ADV
secondo	second	secondo	second	ADJ;MASC;SG	ADJ;MASC;SG
secondo	deuxième	secondo	deuxième	ADJ;MASC;SG	ADJ;MASC;SG
secondo	deuxieme	secondo	deuxieme	ADJ;MASC;SG	ADJ;MASC;SG
secondo	seconde	secondo	second	ADJ;MASC;SG	ADJ;FEM;SG
msg	msg	msg	msg	N;MASC;SG	N;MASC;SG
voce	voix	voce	voix	N;FEM;SG	N;FEM;SG
progetti	projets	progetto	projet	N;MASC;PL	N;MASC;PL
anno	annee	anno	annee	N;MASC;SG	N;FEM;SG
anno	an	anno	an	N;MASC;SG	N;MASC;SG
anno	année	anno	année	N;MASC;SG	N;FEM;SG
durante	durant	durante	durant	ADP	ADP
durante	pendant	durante	pendant	ADP	ADP
voci	rumeurs	voce	rumeur	N;FEM;PL	N;FEM;PL
tre	trois	tre	trois	NUM	NUM
molto	très	molto	très	ADV	ADV
molto	trés	molto	trés	ADV	ADV
molto	beaucoup	molto	beaucoup	ADV	ADV
hanno	avoir	avere	avoir	V;IND;PL;3;PRS;FIN	V;NFIN
comune	fréquent	comune	fréquent	ADJ;SG	ADJ;MASC;SG
comune	commun	comune	commun	ADJ;SG	ADJ;MASC;SG
stesso	identique	stesso	identique	ADJ;MASC;SG	ADJ;MASC;SG
tutti	toutes	tutto	tout	PRO;MASC;PL	PRO;FEM;PL
tutti	tous	tutto	tout	PRO;MASC;PL	PRO;MASC;PL
stagione	saison	stagione	saison	N;FEM;SG	N;FEM;SG
gruppo	groupe	gruppo	groupe	N;MASC;SG	N;MASC;SG
contro	contre	contro	contre	ADP	ADP
calciatore	footballeur	calciatore	footballeur	N;MASC;SG	N;MASC;SG
tempo	temps	tempo	temps	N;MASC;SG	N;MASC;SG
tempo	heure	tempo	heure	N;MASC;SG	N;FEM;SG
abitanti	habitants	abitante	habitant	N;PL	N;MASC;PL
chiesa	église	chiesa	église	N;FEM;SG	N;FEM;SG
chiesa	eglise	chiesa	eglise	N;FEM;SG	N;FEM;SG
grande	grande	grande	grand	ADJ;SG	ADJ;FEM;SG
grande	grand	grande	grand	ADJ;SG	ADJ;MASC;SG
grande	gros	grande	gros	ADJ;SG	ADJ;MASC;SG
grande	grosse	grande	gros	ADJ;SG	ADJ;FEM;SG
grande	grande	grande	grand	ADJ;SG	ADJ;FEM;SG
grande	grand	grande	grand	ADJ;SG	ADJ;MASC;SG
grande	grande	grande	grand	ADJ;SG	ADJ;FEM;SG
grande	génial	grande	génial	ADJ;SG	ADJ;MASC;SG
grande	grand	grande	grand	ADJ;SG	ADJ;MASC;SG
grande	grande	grande	grand	ADJ;SG	ADJ;FEM;SG
secolo	siecle	secolo	siecle	N;MASC;SG	N;MASC;SG
secolo	siècle	secolo	siècle	N;MASC;SG	N;MASC;SG
secolo	century	secolo	century	N;MASC;SG	N;MASC;SG
guerra	guerre	guerra	guerre	N;FEM;SG	N;FEM;SG
guerra	war	guerra	war	N;FEM;SG	N;SG
sempre	toujours	sempre	toujours	ADV	ADV
fatto	fait	fare	faire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fatto	faite	fare	faire	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fatto	fabriqué	fare	fabriquer	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fatto	fait	fare	faire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fatto	faite	fare	faire	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
erano	étaient	essere	être	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
storia	récit	storia	récit	N;FEM;SG	N;MASC;SG
storia	histoire	storia	histoire	N;FEM;SG	N;FEM;SG
fine	end	fine	end	N;FEM;SG	N;MASC;SG
fine	fin	fine	fin	N;FEM;SG	N;FEM;SG
album	album	album	album	N;MASC	N;MASC;SG
album	albums	album	album	N;MASC	N;MASC;PL
già	déjà	già	déjà	ADV	ADV
alcuni	certains	alcuno	certain	PRO;MASC;PL	PRO;MASC;PL
alcuni	certaines	alcuno	certain	PRO;MASC;PL	PRO;FEM;PL
alcuni	quelques	alcuno	quelque	PRO;MASC;PL	PRO;PL
ancora	encore	ancora	encore	ADV	ADV
ancora	encore	ancora	encore	ADV	ADV
ancora	toujours	ancora	toujours	ADV	ADV
senza	sans	senza	sans	ADP	ADP
francese	francais	francese	francais	ADJ;SG	ADJ;MASC;SG
francese	française	francese	français	ADJ;SG	ADJ;FEM;SG
francese	français	francese	français	ADJ;SG	ADJ;MASC;SG
seconda	second	secondo	second	ADJ;FEM;SG	ADJ;MASC;SG
seconda	deuxième	secondo	deuxième	ADJ;FEM;SG	ADJ;MASC;SG
seconda	deuxieme	secondo	deuxieme	ADJ;FEM;SG	ADJ;MASC;SG
seconda	seconde	secondo	second	ADJ;FEM;SG	ADJ;FEM;SG
finale	définitif	finale	définitif	ADJ;SG	ADJ;MASC;SG
finale	final	finale	final	ADJ;SG	ADJ;MASC;SG
finale	définitive	finale	définitif	ADJ;SG	ADJ;FEM;SG
vita	vie	vita	vie	N;FEM;SG	N;FEM;SG
vita	vita	vita	vita	N;FEM;SG	N;FEM;SG
vita	taille	vita	taille	N;FEM;SG	N;FEM;SG
titolo	titre	titolo	titre	N;MASC;SG	N;MASC;SG
shift	maj	shift	maj	N	N;FEM;SG
campionato	championnat	campionato	championnat	N;MASC;SG	N;MASC;SG
ogni	chaque	ogni	chaque	DET;SG	DET;FEM;SG
ogni	chaque	ogni	chaque	DET;SG	DET;FEM;SG
mondo	monde	mondo	monde	N;MASC;SG	N;MASC;SG
tutto	tout	tutto	tout	PRO;MASC;SG	PRO;MASC;SG
tutto	tout	tutto	tout	PRO;MASC;SG	PRO;MASC;SG
settembre	septembre	settembre	septembre	N;MASC;SG	N;MASC;SG
nazionale	national	nazionale	national	ADJ;SG	ADJ;MASC;SG
nazionale	nationale	nazionale	national	ADJ;SG	ADJ;FEM;SG
italiana	italienne	italiano	italien	ADJ;FEM;SG	ADJ;FEM;SG
italiana	italien	italiano	italien	ADJ;FEM;SG	ADJ;MASC;SG
altro	autre	altro	autre	PRO;MASC;SG	PRO;SG
sotto	sous	sotto	sous	ADP	ADP
wikipedia	wikipedia	wikipedia	wikipedia	N;FEM;SG	N;FEM;SG
calcio	football	calcio	football	N;MASC;SG	N;MASC;SG
calcio	foot	calcio	foot	N;MASC;SG	N;MASC;SG
calcio	soccer	calcio	soccer	N;MASC;SG	N;MASC;SG
calcio	football	calcio	football	N;MASC;SG	N;MASC;SG
calcio	calcium	calcio	calcium	N;MASC;SG	N;MASC;SG
famiglia	famille	famiglia	famille	N;FEM;SG	N;FEM;SG
inoltre	également	inoltre	également	ADV	ADV
inoltre	aussi	inoltre	aussi	ADV	ADV
inoltre	egalement	inoltre	egalement	ADV	ADV
numero	nombre	numero	nombre	N;MASC;SG	N;MASC;SG
numero	numéro	numero	numéro	N;MASC;SG	N;MASC;SG
via	loin	via	loin	ADV	ADV
posto	place	posto	place	N;MASC;SG	N;FEM;SG
posto	endroit	posto	endroit	N;MASC;SG	N;MASC;SG
posto	lieu	posto	lieu	N;MASC;SG	N;MASC;SG
ottobre	octobre	ottobre	octobre	N;MASC;SG	N;MASC;SG
maggio	mai	maggio	mai	N;MASC;SG	N;MASC;SG
ruolo	rôle	ruolo	rôle	N;MASC;SG	N;MASC;SG
gennaio	janvier	gennaio	janvier	N;MASC;SG	N;MASC;SG
modo	façon	modo	façon	N;MASC;SG	N;FEM;SG
modo	manière	modo	manière	N;MASC;SG	N;FEM;SG
nuovo	nouveau	nuovo	nouveau	ADJ;MASC;SG	ADJ;MASC;SG
nuovo	nouvelle	nuovo	nouveau	ADJ;MASC;SG	ADJ;FEM;SG
perché	parce	perché	parce	ADV	ADV
perché	pourquoi	perché	pourquoi	ADV	ADV
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	domicile	casa	domicile	N;FEM;SG	N;MASC;SG
casa	accueil	casa	accueil	N;FEM;SG	N;MASC;SG
generale	générale	generale	général	ADJ;SG	ADJ;FEM;SG
marzo	marche	marzo	marche	N;MASC;SG	N;FEM;SG
marzo	mars	marzo	mars	N;MASC;SG	N;MASC;SG
squadra	escouade	squadra	escouade	N;FEM;SG	N;FEM;SG
squadra	équipe	squadra	équipe	N;FEM;SG	N;FEM;SG
squadra	escadron	squadra	escadron	N;FEM;SG	N;MASC;SG
squadra	brigade	squadra	brigade	N;FEM;SG	N;FEM;SG
squadra	équipe	squadra	équipe	N;FEM;SG	N;FEM;SG
squadra	equipe	squadra	equipe	N;FEM;SG	N;FEM;SG
dicembre	décembre	dicembre	décembre	N;MASC;SG	N;MASC;SG
dicembre	decembre	dicembre	decembre	N;MASC;SG	N;MASC;SG
caso	cas	caso	cas	N;MASC;SG	N;MASC;SG
caso	étui	caso	étui	N;MASC;SG	N;MASC;SG
caso	affaire	caso	affaire	N;MASC;SG	N;FEM;SG
giugno	juin	giugno	juin	N;MASC;SG	N;MASC;SG
questi	ces	questo	ce	PRO;MASC;PL	PRO;PL;3
agosto	aout	agosto	août	N;MASC;SG	N;MASC;SG
agosto	août	agosto	août	N;MASC;SG	N;MASC;SG
agosto	aout	agosto	août	N;MASC;SG	N;MASC;SG
agosto	août	agosto	août	N;MASC;SG	N;MASC;SG
luglio	juillet	luglio	juillet	N;MASC;SG	N;MASC;SG
opera	opéra	opera	opéra	N;FEM;SG	N;MASC;SG
opera	opus	opera	opus	N;FEM;SG	N;MASC;SG
fra	entre	fra	entre	ADP	ADP
aprile	avril	aprile	avril	N;MASC;SG	N;MASC;SG
pagina	page	pagina	page	N;FEM;SG	N;FEM;SG
periodo	période	periodo	période	N;MASC;SG	N;FEM;SG
novembre	novembre	novembre	novembre	N;MASC;SG	N;MASC;SG
grazie	remerciement	grazie	remerciement	N	N;MASC;SG
grazie	remerciements	grazie	remerciement	N	N;MASC;PL
insieme	ensemble	insieme	ensemble	ADV	ADV
lui	lui	lui	lui	PRO;MASC;SG;3	PRO;SG;3
morte	décès	morte	décès	N;FEM;SG	N;MASC;SG
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
nuova	nouveau	nuovo	nouveau	ADJ;FEM;SG	ADJ;MASC;SG
nuova	nouvelle	nuovo	nouveau	ADJ;FEM;SG	ADJ;FEM;SG
febbraio	fevrier	febbraio	fevrier	N;MASC;SG	N;MASC;SG
febbraio	février	febbraio	février	N;MASC;SG	N;MASC;SG
febbraio	fév	febbraio	fév	N;MASC;SG	N;MASC;SG
febbraio	février	febbraio	février	N;MASC;SG	N;MASC;SG
centro	center	centro	center	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
inglese	anglais	inglese	anglais	N;SG	N;MASC;SG
quattro	quatre	quattro	quatre	NUM	NUM
interno	interieur	interno	interieur	ADJ;MASC;SG	ADJ;MASC;SG
interno	interne	interno	interne	ADJ;MASC;SG	ADJ;MASC;SG
attività	activités	attività	activité	N;FEM	N;FEM;PL
attività	activité	attività	activité	N;FEM	N;FEM;SG
edizione	edition	edizione	edition	N;FEM;SG	N;FEM;SG
edizione	édition	edizione	édition	N;FEM;SG	N;FEM;SG
infatti	effectivement	infatti	effectivement	ADV	ADV
qui	ici	qui	ici	ADV	ADV
nord	nord	nord	nord	N;MASC;SG	N;MASC;SG
nord	nord	nord	nord	N;MASC;SG	N;MASC;SG
diretto	directe	diretto	direct	ADJ;MASC;SG	ADJ;FEM;SG
diretto	direct	diretto	direct	ADJ;MASC;SG	ADJ;MASC;SG
esempio	exemple	esempio	exemple	N;MASC;SG	N;MASC;SG
ultimo	dernier	ultimo	dernier	ADJ;MASC;SG	ADJ;MASC;SG
ultimo	dernière	ultimo	dernier	ADJ;MASC;SG	ADJ;FEM;SG
sfondo	fond	sfondo	fond	N;MASC;SG	N;MASC;SG
sfondo	contexte	sfondo	contexte	N;MASC;SG	N;MASC;SG
versione	version	versione	version	N;FEM;SG	N;FEM;SG
provincia	province	provincia	province	N;FEM;SG	N;FEM;SG
attore	comédien	attore	comédien	N;MASC;SG	N;MASC;SG
attore	acteur	attore	acteur	N;MASC;SG	N;MASC;SG
coppa	gobelet	coppa	gobelet	N;FEM;SG	N;MASC;SG
coppa	tasse	coppa	tasse	N;FEM;SG	N;FEM;SG
coppa	coupe	coppa	coupe	N;FEM;SG	N;FEM;SG
forma	shape	forma	shape	N;FEM;SG	N;MASC;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	formulaire	forma	formulaire	N;FEM;SG	N;MASC;SG
codice	codex	codice	codex	N;MASC;SG	N;MASC;SG
codice	code	codice	code	N;MASC;SG	N;MASC;SG
base	base	base	base	N;FEM;SG	N;FEM;SG
base	base	base	base	N;FEM;SG	N;FEM;SG
base	fondement	base	fondement	N;FEM;SG	N;MASC;SG
trova	trouver	trovare	trouver	V;IND;SG;3;PRS;FIN	V;NFIN
trova	trouve	trovare	trouver	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
punto	punto	punto	punto	N;MASC;SG	N;FEM;SG
punto	point	punto	point	N;MASC;SG	N;MASC;SG
tuttavia	toutefois	tuttavia	toutefois	ADV	ADV
tuttavia	cependant	tuttavia	cependant	ADV	ADV
figlio	fils	figlio	fils	N;MASC;SG	N;MASC;SG
figlio	fiston	figlio	fiston	N;MASC;SG	N;MASC;SG
corso	cours	corso	cours	N;MASC;SG	N;MASC;SG
