가속	acceleration	가속	acceleration	N	N;NOM;INDF;MASC+FEM;SG
상속	arvinge	상속	arvinge	N	N;NOM;INDF;MASC+FEM;SG
상속	arvtagare	상속	arvtagare	N	N;NOM;INDF;MASC+FEM;SG
상속	arvingar	상속	arvinge	N	N;NOM;INDF;MASC+FEM;PL
상속	arvtagare	상속	arvtagare	N	N;NOM;INDF;MASC+FEM;SG
상속	arv	상속	arv	N	N;NOM;INDF;NEUT;SG
맞춤법	stavning	맞춤법	stavning	N	N;NOM;INDF;MASC+FEM;SG
스노보드	snowboard	스노보드	snowboard	N	N;NOM;INDF;MASC+FEM;SG
스노보드	snowboard	스노보드	snowboard	N	N;NOM;INDF;MASC+FEM;SG
정치국	politbyrån	정치국	politbyrå	N	N;NOM;DEF;MASC+FEM;SG
정치국	politbyrå	정치국	politbyrå	N	N;NOM;INDF;MASC+FEM;SG
쇼크	chock	쇼크	chock	N	N;NOM;INDF;MASC+FEM;SG
쇼크	stöt	쇼크	stöta	N	N;NOM;INDF;MASC+FEM;SG
단말기	anordning	단말기	anordning	N	N;NOM;INDF;MASC+FEM;SG
단말기	enhet	단말기	enhet	N	N;NOM;INDF;MASC+FEM;SG
단말기	enheten	단말기	enhet	N	N;NOM;DEF;MASC+FEM;SG
묘사	beskrivning	묘사	beskrivning	N	N;NOM;INDF;MASC+FEM;SG
묘사	skildringar	묘사	skildring	N	N;NOM;INDF;MASC+FEM;PL
몰락	undergång	몰락	undergång	N	N;NOM;INDF;MASC+FEM;SG
논리학	logiken	논리학	logik	N	N;NOM;DEF;MASC+FEM;SG
논리학	logik	논리학	logik	N	N;NOM;INDF;MASC+FEM;SG
음절	stavelse	음절	stavelse	N	N;NOM;INDF;MASC+FEM;SG
간섭	interventioner	간섭	intervention	N	N;NOM;INDF;MASC+FEM;PL
간섭	ingripande	간섭	ingripande	N	N;NOM;INDF;NEUT;SG
간섭	intervention	간섭	intervention	N	N;NOM;INDF;MASC+FEM;SG
간섭	störningar	간섭	störning	N	N;NOM;INDF;MASC+FEM;PL
간섭	störning	간섭	störning	N	N;NOM;INDF;MASC+FEM;SG
간섭	interferens	간섭	interferens	N	N;NOM;INDF;MASC+FEM;SG
간섭	inblandning	간섭	inblandning	N	N;NOM;INDF;MASC+FEM;SG
손상	skador	손상	skada	N	N;NOM;INDF;MASC+FEM;PL
손상	skada	손상	skada	N	N;NOM;INDF;MASC+FEM;SG
호흡	andedräkt	호흡	andedräkt	N	N;NOM;INDF;MASC+FEM;SG
호흡	andetag	호흡	andetag	N	N;NOM;INDF;NEUT;SG
호흡	andning	호흡	andning	N	N;NOM;INDF;MASC+FEM;SG
호흡	andningen	호흡	andning	N	N;NOM;DEF;MASC+FEM;SG
호흡	andningen	호흡	andning	N	N;NOM;DEF;MASC+FEM;SG
호흡	andning	호흡	andning	N	N;NOM;INDF;MASC+FEM;SG
경쟁력	konkurrenskraft	경쟁력	konkurrenskraft	N	N;NOM;INDF;MASC+FEM;SG
침대	bäddar	침대	badda	N	N;NOM;INDF;MASC+FEM;PL
침대	sängar	침대	säng	N	N;NOM;INDF;MASC+FEM;PL
침대	säng	침대	säng	N	N;NOM;INDF;MASC+FEM;SG
침대	sängen	침대	säng	N	N;NOM;DEF;MASC+FEM;SG
침대	bädd	침대	bädd	N	N;NOM;INDF;MASC+FEM;SG
휴식	paus	휴식	paus	N	N;NOM;INDF;MASC+FEM;SG
