dan	та	dan	та	CONJ	CONJ
dari	від	dari	від	ADP	ADP;GEN
ini	цей	ini	цей	DET	DET;NOM;MASC;SG
ini	ця	ini	цей	DET	DET;NOM;FEM;SG
untuk	для	untuk	для	ADP	ADP;GEN
tahun	рік	tahun	рік	N;SG	N;INAN;NOM;MASC;SG
juga	також	juga	також	ADV	ADV
tidak	не	tidak	не	PART;NEG	PART;NEG
menjadi	проводиться	menjadi	проводитися	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
menjadi	будучи	menjadi	бути	V;SG;ACT	V;IPFV;PRS;V.CVB
menjadi	стати	menjadi	стати	V;SG;ACT	V;PFV;NFIN
menjadi	стає	menjadi	ставати	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
menjadi	ставши	menjadi	стати	V;SG;ACT	V;PFV;PST;V.CVB
itu	той	itu	той	DET	DET;NOM;MASC;SG
bagian	розділ	bagian	розділ	N;SG	N;INAN;NOM;MASC;SG
bagian	секція	bagian	секція	N;SG	N;INAN;NOM;FEM;SG
bagian	частина	bagian	частина	N;SG	N;INAN;NOM;FEM;SG
spesies	виді	spesies	вид	N;SG	N;INAN;DAT;MASC;SG
spesies	вид	spesies	вид	N;SG	N;INAN;NOM;MASC;SG
dapat	можна	dapat	можна	ADV;SG;ACT	ADV
orang	особа	orang	особа	N;SG	N;ANIM;NOM;FEM;SG
orang	народ	orang	народ	N;SG	N;INAN;NOM;MASC;SG
mereka	їх	mereka	вони	PRO;PL;3	PRO;ACC;PL;3
mereka	їм	mereka	вони	PRO;PL;3	PRO;DAT;PL;3
mereka	вони	mereka	вони	PRO;PL;3	PRO;NOM;PL;3
satu	одна	satu	один	NUM	NUM;NOM;FEM
satu	один	satu	один	NUM	NUM;NOM;MASC
memiliki	має	menmiliki	мати	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
memiliki	маю	menmiliki	мати	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN
memiliki	маєш	menmiliki	мати	V;SG;ACT	V;IPFV;IND;SG;2;PRS;FIN
kota	містечко	kota	містечко	N;SG	N;INAN;NOM;NEUT;SG
kota	місто	kota	місто	N;SG	N;INAN;NOM;NEUT;SG
kota	місто	kota	місто	N;SG	N;INAN;NOM;NEUT;SG
kota	міста	kota	місто	N;SG	N;INAN;NOM;NEUT;SG
kota	кота	kota	кіт	N;SG	N;ANIM;ACC;MASC;SG
pranala	посиланням	pranala	посилання	N;SG	N;INAN;INS;NEUT;SG
pranala	лінк	pranala	лінк	N;SG	N;INAN;NOM;MASC;SG
pranala	гіперпосилання	pranala	гіперпосилання	N;SG	N;INAN;NOM;NEUT;SG
karena	адже	karena	адже	CONJ	CONJ
karena	бо	karena	бо	CONJ	CONJ
desa	села	desa	село	N;SG	N;INAN;NOM;NEUT;SG
desa	село	desa	село	N;SG	N;INAN;NOM;NEUT;SG
ada	існує	ada	існувати	V;SG	V;IPFV;IND;SG;3;PRS;FIN
lebih	більше	lebih	більше	ADV	ADV;CMPR
nama	назва	nama	назва	N;SG	N;INAN;NOM;FEM;SG
kayu	деревина	kayu	деревина	N;SG	N;INAN;NOM;FEM;SG
setelah	після	setelah	після	ADP	ADP;GEN
bahasa	мова	bahasa	мова	N;SG	N;INAN;NOM;FEM;SG
bahasa	мову	bahasa	мова	N;SG	N;INAN;ACC;FEM;SG
asteroid	астероїди	asteroid	астероїда	N	N;ANIM;NOM;MASC;PL
asteroid	астероїд	asteroid	астероїд	N	N;ANIM;NOM;MASC;SG
asteroid	астероїди	asteroid	астероїда	N	N;ANIM;NOM;MASC;PL
besar	велике	besar	великий	ADJ;SG	ADJ;NOM;NEUT;SG
besar	велика	besar	великий	ADJ;SG	ADJ;NOM;FEM;SG
besar	великий	besar	великий	ADJ;SG	ADJ;NOM;MASC;SG
besar	великий	besar	великий	ADJ;SG	ADJ;NOM;MASC;SG
film	фільм	film	фільм	N;SG	N;INAN;NOM;MASC;SG
film	кіно	film	кіно	N;SG	N;INAN;NOM;NEUT;SG
film	фільм	film	фільм	N;SG	N;INAN;NOM;MASC;SG
film	плівка	film	плівка	N;SG	N;INAN;NOM;FEM;SG
film	кіно	film	кіно	N;SG	N;INAN;NOM;NEUT;SG
kelas	клас	kelas	клас	N;SG	N;INAN;NOM;MASC;SG
beberapa	декілька	beberapa	декілька	DET	DET;NOM
beberapa	декілька	beberapa	декілька	DET	DET;NOM
beberapa	деякі	beberapa	деякий	DET	DET;NOM;PL
beberapa	якесь	beberapa	якийсь	DET	DET;NOM;NEUT;SG
beberapa	якийсь	beberapa	якийсь	DET	DET;NOM;MASC;SG
kecamatan	улус	kecamatan	улус	N;SG	N;INAN;NOM;MASC;SG
kecamatan	округ	kecamatan	округ	N;SG	N;INAN;NOM;MASC;SG
kecamatan	район	kecamatan	район	N;SG	N;INAN;NOM;MASC;SG
negara	країна	negara	країна	N;SG	N;INAN;NOM;FEM;SG
negara	стан	negara	стан	N;SG	N;INAN;NOM;MASC;SG
negara	держава	negara	держава	N;SG	N;INAN;NOM;FEM;SG
biasanya	зазвичай	biasanya	зазвичай	ADV	ADV
biasanya	зазвичай	biasanya	зазвичай	ADV	ADV
biasanya	зазвичай	biasanya	зазвичай	ADV	ADV
kemudian	потім	kemudian	потім	ADV	ADV
kemudian	тоді	kemudian	тоді	ADV	ADV
kemudian	згодом	kemudian	згодом	ADV	ADV
kemudian	пізніше	kemudian	пізніше	ADV	ADV;CMPR
banyak	багато	banyak	багато	ADV	ADV
banyak	багато	banyak	багато	ADV	ADV
banyak	сильно	banyak	сильно	ADV	ADV
kabupaten	графство	kabupaten	графство	N;SG	N;INAN;NOM;NEUT;SG
kabupaten	повіт	kabupaten	повіт	N;SG	N;INAN;NOM;MASC;SG
kabupaten	жупанія	kabupaten	жупанія	N;SG	N;INAN;NOM;FEM;SG
kabupaten	улус	kabupaten	улус	N;SG	N;INAN;NOM;MASC;SG
kabupaten	округ	kabupaten	округ	N;SG	N;INAN;NOM;MASC;SG
