der	tam	der	tam	ADV	ADV
var	bil	være	biti	V;IND;PST;FIN;ACT	V;MASC;SG;V.PTCP
var	bila	være	biti	V;IND;PST;FIN;ACT	V;FEM;SG;V.PTCP
var	bili	være	biti	V;IND;PST;FIN;ACT	V;MASC;PL;V.PTCP
blev	postala	blive	postati	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
blev	postal	blive	postati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
blev	bil	blive	biti	V;IND;PST;FIN;ACT	V;MASC;SG;V.PTCP
blev	bila	blive	biti	V;IND;PST;FIN;ACT	V;FEM;SG;V.PTCP
blev	ostal	blive	ostati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
blev	ostala	blive	ostati	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
har	dobil	have	dobiti	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP
har	ima	have	imeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
har	imajo	have	imeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
har	imeti	have	imeti	V;IND;PRS;FIN;ACT	V;IPFV;NFIN
men	toda	men	toda	CONJ	CONJ
men	ampak	men	ampak	CONJ	CONJ
men	vendar	men	vendar	CONJ	CONJ
hvor	kje	hvor	kje	ADV	ADV
havde	imelo	have	imeti	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
havde	imeli	have	imeti	V;IND;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
havde	imel	have	imeti	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
havde	imela	have	imeti	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
under	spodaj	under	spodaj	ADV	ADV
hans	njegovo	hans	njegov	DET;3	DET;NOM;NEUT;SG;3
hans	njegove	hans	njegov	DET;3	DET;NOM;FEM;PL;3
hans	njegov	hans	njegov	DET;3	DET;NOM;MASC;SG;3
hans	njegova	hans	njegov	DET;3	DET;NOM;FEM;SG;3
over	zgoraj	over	zgoraj	ADV	ADV
første	prva	første	prvi	ADJ	ADJ;NOM;FEM;SG
første	prvo	første	prvi	ADJ	ADJ;ACC;NEUT;SG
første	prvi	første	prvi	ADJ	ADJ;NOM;MASC;PL
henvisninger	napotitve	henvisning	napotitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
henvisninger	reference	henvisning	referenca	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
henvisninger	sklicevanja	henvisning	sklicevanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
dansk	dansko	dansk	danski	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
mod	pogum	mod	pogum	N;INDF;NEUT;SG	N;NOM;MASC;SG
mod	mod	mod	mod	N;INDF;NEUT;SG	N;NOM;MASC;SG
hun	ona	hun	on	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;FEM;SG;3
fik	dobil	få	dobiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
del	del	del	del	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
del	del	del	del	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
del	delež	del	delež	N;INDF;MASC+FEM;SG	N;INAN;ACC;MASC;SG
født	rodil	føde	roditi	V;INDF;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
mellem	med	mellem	med	ADP	ADP;INS
deres	njihovi	deres	njihov	DET;3	DET;NOM;MASC;PL;3
deres	njihov	deres	njihov	DET;3	DET;NOM;MASC;SG;3
deres	njihovo	deres	njihov	DET;3	DET;NOM;NEUT;SG;3
