עשורים	десетилетия	עשור	десетилетие	N;MASC;PL	N;INDF;NEUT;PL
צפייה	гледане	צפייה	гледане	N;FEM;SG	N;INDF;NEUT;SG
צפייה	изглед	צפייה	изглед	N;FEM;SG	N;INDF;MASC;SG
צפייה	гледка	צפייה	гледка	N;FEM;SG	N;INDF;FEM;SG
צפייה	оглед	צפייה	оглед	N;FEM;SG	N;INDF;MASC;SG
צפייה	преглед	צפייה	преглед	N;FEM;SG	N;INDF;MASC;SG
צפייה	гледане	צפייה	гледане	N;FEM;SG	N;INDF;NEUT;SG
מלאים	пълни	מלא	пълен	ADJ;MASC;PL	ADJ;INDF;PL
אדריכלים	архитекти	אדריכל	архитект	N;MASC;PL	N;INDF;MASC;PL
מיתרים	струните	מיתר	струна	N;MASC;PL	N;DEF;FEM;PL
מיתרים	струни	מיתר	струна	N;MASC;PL	N;INDF;FEM;PL
הצלה	спасяване	הצלה	спасяване	N;FEM;SG	N;INDF;NEUT;SG
מדויקים	точни	מדויק	точен	ADJ;MASC;PL	ADJ;INDF;PL
עלילות	парцели	עלילות	парцел	N;FEM;PL	N;INDF;MASC;PL
מנדטים	мандатите	מנדט	мандат	N;MASC;PL	N;DEF;MASC;PL
גישות	нагласи	גישה	нагласа	N;FEM;PL	N;INDF;FEM;PL
תאונות	инциденти	תאונה	инцидент	N;FEM;PL	N;INDF;MASC;PL
תאונות	злополуки	תאונה	злополука	N;FEM;PL	N;INDF;FEM;PL
תאונות	аварии	תאונה	авария	N;FEM;PL	N;INDF;FEM;PL
תאונות	произшествия	תאונה	произшествие	N;FEM;PL	N;INDF;NEUT;PL
מבוגר	възрастна	מבוגר	възрастен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
מבוגר	възрастен	מבוגר	възрастен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
אתמול	вчера	אתמול	вчера	ADV	ADV
התנגשות	сблъсък	התנגשות	сблъсък	N;FEM;SG	N;INDF;MASC;SG
התנגשות	сблъсък	התנגשות	сблъсък	N;FEM;SG	N;INDF;MASC;SG
מסרים	послания	מסר	послание	N;MASC;PL	N;INDF;NEUT;PL
מסרים	съобщения	מסר	съобщение	N;MASC;PL	N;INDF;NEUT;PL
המשלוח	пратка	המשלוח	пратка	N;MASC;SG	N;INDF;FEM;SG
פורמלי	официален	פורמאלי	официален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
פורמלי	официална	פורמאלי	официален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
סיפון	палубата	סיפון	палуба	N;MASC;SG	N;DEF;FEM;SG
סיפון	палуба	סיפון	палуб	N;MASC;SG	N;INDF;FEM;SG
סיפון	тесте	סיפון	тест	N;MASC;SG	N;INDF;NEUT;SG
חיתוך	рязане	חיתוך	рязане	N;MASC;SG	N;INDF;NEUT;SG
פסוקים	знамения	פסוק	знамение	N;MASC;PL	N;INDF;NEUT;PL
פסוקים	стихове	פסוק	стих	N;MASC;PL	N;INDF;MASC;PL
הנאה	наслада	הנאה	наслада	N;FEM;SG	N;INDF;FEM;SG
הנאה	удоволствие	הנאה	удоволствие	N;FEM;SG	N;INDF;NEUT;SG
קודמת	предишна	קודם	предишен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
קודמת	предишен	קודם	предишен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
מליון	милион	מליון	милион	N;MASC;SG	N;INDF;MASC;SG
אתגר	предизвикателство	אתגר	предизвикателство	N;MASC;SG	N;INDF;NEUT;SG
אתגר	предизвикателството	אתגר	предизвикателство	N;MASC;SG	N;DEF;NEUT;SG
נערים	момчета	נער	момче	N;MASC;PL	N;INDF;NEUT;PL
נערים	тийнейджъри	נער	тийнейджър	N;MASC;PL	N;INDF;MASC;PL
נערים	тинейджъри	נער	тинейджър	N;MASC;PL	N;INDF;MASC;PL
נערים	момци	נער	момец	N;MASC;PL	N;INDF;MASC;PL
נערים	юнаци	נער	юнак	N;MASC;PL	N;INDF;MASC;PL
הדוק	стегнат	הדוק	стегна-(се)	ADJ;MASC;SG	ADJ;INDF;MASC;SG
הדוק	стегната	הדוק	стегна	ADJ;MASC;SG	ADJ;DEF;FEM;SG
צריכת	прием	צריך	прием	N;FEM;SG	N;INDF;MASC;SG
צריכת	потребление	צריך	потребление	N;FEM;SG	N;INDF;NEUT;SG
צריכת	консумация	צריך	консумация	N;FEM;SG	N;INDF;FEM;SG
פרוטוקול	протокол	פרוטוקול	протокол	N;MASC;SG	N;INDF;MASC;SG
פרוטוקול	протоколът	פרוטוקול	протокол	N;MASC;SG	N;DEF;MASC;SG
לחזית	отпред	לחזית	отпред	ADV	ADV
פרסומת	реклама	פרסומת	реклама	N;FEM;SG	N;INDF;FEM;SG
פרסומת	обява	פרסומת	обявам-(се)	N;FEM;SG	N;INDF;FEM;SG
פרסומת	реклама	פרסומת	реклама	N;FEM;SG	N;INDF;FEM;SG
בהרחבה	екстензивно	בהרחבה	екстензивно	ADV	ADV
סערה	буря	סערה	буря	N;FEM;SG	N;INDF;FEM;SG
סערה	сторм	סערה	сторм	N;FEM;SG	N;INDF;MASC;SG
סערה	бурята	סערה	буря	N;FEM;SG	N;DEF;FEM;SG
מנגן	свирене	מנגן	свирене	N;MASC;SG	N;INDF;NEUT;SG
מנגן	манган	מנגן	манган	N;MASC;SG	N;INDF;MASC;SG
מנצחים	победители	מנצח	победител	N;MASC;PL	N;INDF;MASC;PL
מנצחים	победителите	מנצח	победител	N;MASC;PL	N;DEF;MASC;PL
הומור	хумор	הומור	хумор	N;MASC;SG	N;INDF;MASC;SG
הומור	хумор	הומור	хумор	N;MASC;SG	N;INDF;MASC;SG
אשראי	кредитиране	אשראי	кредитиране	N;MASC;SG	N;INDF;NEUT;SG
אשראי	кредит	אשראי	кредит	N;MASC;SG	N;INDF;MASC;SG
זרמים	потоци	זרם	поток	N;MASC;PL	N;INDF;MASC;PL
זרמים	течения	זרם	течение	N;MASC;PL	N;INDF;NEUT;PL
זרמים	теченията	זרם	течение	N;MASC;PL	N;DEF;NEUT;PL
זרמים	токове	זרם	ток	N;MASC;PL	N;INDF;MASC;PL
גדודים	кохорти	גדוד	кохорт	N;MASC;PL	N;INDF;MASC;PL
גדודים	батальони	גדוד	батальон	N;MASC;PL	N;INDF;MASC;PL
רווחה	благосъстояние	רווחה	благосъстояние	N;FEM;SG	N;INDF;NEUT;SG
רווחה	благосъстоянието	רווחה	благосъстояние	N;FEM;SG	N;DEF;NEUT;SG
חסידים	последователите	חסיד	последовател	N;MASC;PL	N;DEF;MASC;PL
חסידים	последователи	חסיד	последовател	N;MASC;PL	N;INDF;MASC;PL
חסידים	последователи	חסיד	последовател	N;MASC;PL	N;INDF;MASC;PL
נשימה	дъх	נשימה	дъх	N;FEM;SG	N;INDF;MASC;SG
נשימה	дишане	נשימה	дишане	N;FEM;SG	N;INDF;NEUT;SG
נשימה	дишането	נשימה	дишане	N;FEM;SG	N;DEF;NEUT;SG
בטוחה	безопасен	בטוח	безопасен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
בטוחה	уверен	בטוח	уверен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
בטוחה	уверена	בטוח	уверя-(се)	ADJ;FEM;SG	ADJ;INDF;FEM;SG
קונצרטים	концерти	קונצרט	концерт	N;MASC;PL	N;INDF;MASC;PL
קונצרטים	концертите	קונצרט	концерт	N;MASC;PL	N;DEF;MASC;PL
העמדה	позиция	העמדה	позиция	N;FEM;SG	N;INDF;FEM;SG
העמדה	положение	העמדה	положение	N;FEM;SG	N;INDF;NEUT;SG
העמדה	длъжност	העמדה	длъжност	N;FEM;SG	N;INDF;FEM;SG
מסעדות	ресторанти	מסעדה	ресторант	N;FEM;PL	N;INDF;MASC;PL
מיניות	сексуалността	מיני	сексуалност	N;FEM;SG	N;DEF;FEM;SG
מיניות	сексуалност	מיני	сексуалност	N;FEM;SG	N;INDF;FEM;SG
סודי	тайна	סודי	тайна	N;MASC;SG	N;INDF;FEM;SG
סודי	таен	סודי	таен	N;MASC;SG	N;INDF;MASC;SG
סודי	тайната	סודי	тайна	N;MASC;SG	N;DEF;FEM;SG
להבהיר	поясни	הבהיר	поясня	V;NFIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
להבהיר	изясни	הבהיר	изясня-(се)	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN
עדים	свидетелите	עד	свидетел	N;MASC;PL	N;DEF;MASC;PL
עדים	свидетели	עד	свидетел	N;MASC;PL	N;INDF;MASC;PL
עדים	очевидци	עד	очевидец	N;MASC;PL	N;INDF;MASC;PL
עדים	свидетели	עד	свидетел	N;MASC;PL	N;INDF;MASC;PL
כיס	джоб	כיס	джоб	N;MASC;SG	N;INDF;MASC;SG
כיס	джоба	כיס	джоб	N;MASC;SG	N;DEF;MASC;SG
שותפות	партньорство	שותפות	партньорство	N;FEM;SG	N;INDF;NEUT;SG
מנהרות	тунели	מנהרה	тунел	N;FEM;PL	N;INDF;MASC;PL
מנהרות	тунелите	מנהרה	нунел	N;FEM;PL	N;DEF;MASC;PL
ערובה	заложник	ערובה	заложник	N;FEM;SG	N;INDF;MASC;SG
ערובה	гаранция	ערובה	гаранция	N;FEM;SG	N;INDF;FEM;SG
מוקף	обкръжен	הוקף	обкръжа	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
מוקף	обграден	הוקף	обградя	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
מוקף	заобиколен	הוקף	заобиколя	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
אוריינות	грамотност	אוריינות	грамотност	N;FEM;SG	N;INDF;FEM;SG
פשוטות	прости	פשוט	прост	ADJ;FEM;PL	ADJ;INDF;PL
אמנותי	артистична	אמנותי	артистичен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
אמנותי	художествена	אמנותי	художествен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
אמנותי	артистичен	אמנותי	артистичен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
אורחים	посетителите	אורח	посетител	N;MASC;PL	N;DEF;MASC;PL
אורחים	посетители	אורח	посетител	N;MASC;PL	N;INDF;MASC;PL
אורחים	гостите	אורח	гост	N;MASC;PL	N;DEF;MASC;PL
אורחים	гости	אורח	гост	N;MASC;PL	N;INDF;MASC;PL
איומים	заплахи	איום	заплаха	N;MASC;PL	N;INDF;FEM;PL
אטומי	атомни	אטומי	атомен	ADJ;MASC;PL	ADJ;INDF;PL
תקלה	неизправност	תקלה	неизправност	N;FEM;SG	N;INDF;FEM;SG
תקלה	повреда	תקלה	повреда	N;FEM;SG	N;INDF;FEM;SG
תקלה	бъг	תקלה	бъг	N;FEM;SG	N;INDF;MASC;SG
חינוכי	образователна	חינוכי	образователен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
חינוכי	образователен	חינוכי	образователен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
הורשע	осъждан	הורשע	осъждам	V;MASC;SG;3;PST;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
הורשע	осъден	הורשע	осъдя	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
דחף	тяга	דחף	тягам-се	N;MASC;SG	N;INDF;FEM;SG
דחף	импулс	דחף	импулс	N;MASC;SG	N;INDF;MASC;SG
דחף	импулсна	דחף	импулсен	N;MASC;SG	N;INDF;FEM;SG
טיול	пътуване	טיול	пътуване	N;MASC;SG	N;INDF;NEUT;SG
טיול	пътешествие	טיול	пътешествие	N;MASC;SG	N;INDF;NEUT;SG
טיול	трип	טיול	трип	N;MASC;SG	N;INDF;MASC;SG
טיול	екскурзия	טיול	екскурзия	N;MASC;SG	N;INDF;FEM;SG
כובע	капачка	כובע	капачка	N;MASC;SG	N;INDF;FEM;SG
כובע	осп	כובע	осп	N;MASC;SG	N;INDF;FEM;SG
כובע	кап	כובע	кап	N;MASC;SG	N;INDF;MASC;SG
כובע	шапка	כובע	шапка	N;MASC;SG	N;INDF;FEM;SG
כובע	шапката	כובע	шапка	N;MASC;SG	N;DEF;FEM;SG
הצפנה	криптиране	הצפנה	криптиране	N;FEM;SG	N;INDF;NEUT;SG
הצפנה	кодиране	הצפנה	кодиране	N;FEM;SG	N;INDF;NEUT;SG
רפובליקה	република	רפובליקה	република	N;FEM;SG	N;INDF;FEM;SG
זרעים	семки	זרע	семка	N;MASC;PL	N;INDF;FEM;PL
זרעים	семена	זרע	семе	N;MASC;PL	N;INDF;NEUT;PL
מודרניות	модерни	מודרני	модерен	ADJ;FEM;PL	ADJ;INDF;PL
בהינתן	дадено	בהינתן	даден	ADV	ADV
החזרה	репетицията	החזרה	репетиция	N;FEM;SG	N;DEF;FEM;SG
החזרה	репетиция	החזרה	репетиция	N;FEM;SG	N;INDF;FEM;SG
חגים	почивки	חג	почивка	N;MASC;PL	N;INDF;FEM;PL
חגים	празници	חג	празник	N;MASC;PL	N;INDF;MASC;PL
לשדר	предава	שידר	предавам-(се)	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
הנחיות	посоки	הנחיה	посока	N;FEM;PL	N;INDF;FEM;PL
הנחיות	насоки	הנחיה	насока	N;FEM;PL	N;INDF;FEM;PL
הנחיות	директиви	הנחיה	директива	N;FEM;PL	N;INDF;FEM;PL
הנחיות	директивите	הנחיה	директива	N;FEM;PL	N;DEF;FEM;PL
הנחיות	инструкции	הנחיה	инструкция	N;FEM;PL	N;INDF;FEM;PL
הנחיות	указания	הנחיה	указание	N;FEM;PL	N;INDF;NEUT;PL
פסים	райета	פס	райе	N;MASC;PL	N;INDF;NEUT;PL
פסים	ивици	פס	ивик	N;MASC;PL	N;INDF;FEM;PL
פסים	райета	פס	райе	N;MASC;PL	N;INDF;NEUT;PL
נזקים	щети	נזק	щета	N;MASC;PL	N;INDF;FEM;PL
נזקים	вреди	נזק	вреда	N;MASC;PL	N;INDF;FEM;PL
נזקים	обезщетения	נזק	обезщетение	N;MASC;PL	N;INDF;NEUT;PL
נזקים	щети	נזק	щета	N;MASC;PL	N;INDF;FEM;PL
נזקים	вреди	נזק	вреда	N;MASC;PL	N;INDF;FEM;PL
נזקים	повреди	נזק	повредя	N;MASC;PL	N;INDF;MASC;PL
דגלים	знамена	דגל	знамена	N;MASC;PL	N;INDF;NEUT;PL
דגלים	флагове	דגל	флаг	N;MASC;PL	N;INDF;MASC;PL
דגלים	знамената	דגל	знаме	N;MASC;PL	N;DEF;FEM;PL
מעריצים	вентилатори	מעריץ	вентилатор	N;MASC;PL	N;INDF;MASC;PL
מעריצים	фенове	מעריץ	фен	N;MASC;PL	N;INDF;MASC;PL
מעריצים	почитатели	מעריץ	почитател	N;MASC;PL	N;INDF;MASC;PL
מעריצים	феновете	מעריץ	фен	N;MASC;PL	N;DEF;MASC;PL
מנועים	двигатели	נועה	двигател	N;MASC;PL	N;INDF;MASC;PL
קשתות	арки	קשת	арки	N;FEM;PL	N;INDF;FEM;PL
קשתות	панделки	קשת	панделка	N;FEM;PL	N;INDF;FEM;PL
קשתות	лъкове	קשת	лък	N;FEM;PL	N;INDF;MASC;PL
מושבות	колонии	מושבה	колония	N;FEM;PL	N;INDF;FEM;PL
יריב	съперник	יריב	съперник	N;MASC;SG	N;INDF;MASC;SG
יריב	противник	יריב	противник	N;MASC;SG	N;INDF;MASC;SG
יריב	опонент	יריב	опонент	N;MASC;SG	N;INDF;MASC;SG
יריב	съперник	יריב	съперник	N;MASC;SG	N;INDF;MASC;SG
יריב	противник	יריב	противник	N;MASC;SG	N;INDF;MASC;SG
רצופים	последователни	רצוף	последователен	ADJ;MASC;PL	ADJ;INDF;PL
טבלה	масата	טבלה	маса	N;FEM;SG	N;DEF;FEM;SG
טבלה	маса	טבלה	маса	N;FEM;SG	N;INDF;FEM;SG
טבלה	масичка	טבלה	масичка	N;FEM;SG	N;INDF;FEM;SG
טבלה	таблица	טבלה	таблица	N;FEM;SG	N;INDF;FEM;SG
טבלה	диаграма	טבלה	диаграма	N;FEM;SG	N;INDF;FEM;SG
טבלה	картона	טבלה	картон	N;FEM;SG	N;DEF;MASC;SG
המונים	маси	המון	маса	N;MASC;PL	N;INDF;FEM;PL
אחיות	сестри	אח	сестра	N;FEM;PL	N;INDF;FEM;PL
אחיות	сестри	אח	сестра	N;FEM;PL	N;INDF;FEM;PL
האחיות	сестри	האחיה	сестра	N;FEM;PL	N;INDF;FEM;PL
ריאות	дроб	ריאות	дроб	N;FEM;SG	N;INDF;MASC;SG
ריאות	лунг	ריאות	лунг	N;FEM;SG	N;INDF;MASC;SG
נפשי	психичното	נפשי	психичен	ADJ;MASC;SG	ADJ;DEF;NEUT;SG
שוחררו	освободени	שוחרר	освободя-(се)	V;PL;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
מעצמות	суперсили	מעצמה	суперсиля	N;FEM;PL	N;INDF;MASC;PL
סוללות	акумулатори	סלל	акумулатор	N;FEM;PL	N;INDF;MASC;PL
סוללות	батерии	סלל	батерия	N;FEM;PL	N;INDF;FEM;PL
סוללות	батериите	סלל	батерия	N;FEM;PL	N;DEF;FEM;PL
לאבד	губи	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
לאבד	губиш	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
