भित्ति	väggmålning	भित्ति	väggmålning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
नरसंहार	folkmord	नरसंहार	folkmord	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पड़ोस	grannskap	पड़ोस	grannskap	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पड़ोस	stadsdel	पड़ोस	stadsdel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
न्यास	foundation	न्यास	foundation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
न्यास	rf	न्यास	rf	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
न्यास	stiftelsen	न्यास	stiftelse	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
न्यास	stiftelse	न्यास	stiftelse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फोरम	forum	फोरम	forum	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
फोरम	forumet	फोरम	forum	N;NOM;FEM;SG;3	N;NOM;DEF;NEUT;SG
पूँछ	svans	पूँछ	svans	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पूँछ	stjärt	पूँछ	stjärta	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पूँछ	svansen	पूँछ	svans	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
धीमा	slow	धीमा	slow	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
राज्याभिषेक	kröning	राज्याभिषेक	kröning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
लड़का	boy	लड़का	boy	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
लड़का	pojke	लड़का	pojke	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
लड़का	gosse	लड़का	gosse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
लड़का	pojk	लड़का	pojk	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बॉडी	body	बॉडी	body	N;NOM;FEM;SG;3	N
बॉडी	kropp	बॉडी	kropp	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
बॉडी	kroppen	बॉडी	kropp	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
बॉडी	kropps	बॉडी	kropp	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पीतल	mässing	पीतल	mässing	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
मुक्केबाजी	boxning	मुक्केबाजी	boxning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
गुजर	passerar	गुजर	passera	V;ACT	V;IND;PRS;FIN;ACT
उभरा	framkom	उभर	framkom	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;ACT
उभरा	framkommit	उभर	framkomma	V;PFV;MASC;SG;V.PTCP;ACT	V;V.CVB;ACT
बढ़ाना	förvärra	बढ़ा	förvärra	V;MASC;NFIN;ACT	V;IMP;FIN;ACT
बोतल	flaska	बोतल	flaska	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
बोतल	flaskan	बोतल	flaska	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
बोतल	burk	बोतल	burk	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पिस्टन	kolv	पिस्टन	kolv	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
त्रिज्या	radie	त्रिज्या	radie	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
तुम्हारा	ditt	तुम्हारा	du	PRO;MASC;SG;3	PRO;DEF;NEUT;SG
तुम्हारा	din	तुम्हारा	du	PRO;MASC;SG;3	PRO;DEF;MASC+FEM;SG
सस्ता	snål	सस्ता	snål	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
सस्ता	billigt	सस्ता	billig	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
सस्ता	billigare	सस्ता	billig	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR
