undervisningen	lesgeven	undervisning	lesgeven	N;DEF;MASC+FEM;SG	N;NEUT;SG
opvækst	opvoeding	opvækst	opvoeding	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
normer	normen	norm	norm	N;INDF;MASC+FEM;PL	N;PL
normer	normen	norm	norm	N;INDF;MASC+FEM;PL	N;PL
normer	standaarden	norm	standaard	N;INDF;MASC+FEM;PL	N;PL
normer	standaards	norm	standaard	N;INDF;MASC+FEM;PL	N;PL
dateret	gedateerd	dateret	dateren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ukrainske	oekraïens	ukrainsk	oekraïen	ADJ;PL	ADJ
ukrainske	oekraïense	ukrainsk	oekraïens	ADJ;PL	ADJ
heiberg	heiberg	heiberg	heiberg	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forbedringer	verbeteringen	forbedring	verbetering	N;INDF;MASC+FEM;PL	N;PL
sind	geest	sind	geest	N;INDF;NEUT;SG	N;MASC+FEM;SG
brune	bruine	brune	bruin	ADJ;PL	ADJ
brune	bruin	brune	bruin	ADJ;PL	ADJ
falske	vals	falsk	vals	ADJ;PL	ADJ
falske	vals	falsk	vals	ADJ;PL	ADJ
falske	onwaar	falsk	onwaar	ADJ;PL	ADJ
falske	valse	falsk	vals	ADJ;PL	ADJ
falske	nep	falsk	nep	ADJ;PL	ADJ
falske	fake	falsk	fake	ADJ;PL	ADJ
båret	gedragen	bære	dragen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
båret	versleten	bære	verslijten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
etaper	fasen	etape	fas	N;INDF;MASC+FEM;PL	N;PL
etaper	fases	etape	fase	N;INDF;MASC+FEM;PL	N;PL
etaper	fasen	etape	fas	N;INDF;MASC+FEM;PL	N;PL
etaper	etappes	etape	etap	N;INDF;MASC+FEM;PL	N;PL
etaper	stadia	etape	stadium	N;INDF;MASC+FEM;PL	N;PL
industrien	industrie	industri	industrie	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
industrien	bedrijfstak	industri	bedrijfstak	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
rør	aanraken	røre	aanraak	V;IMP	V;NFIN
rør	pijpen	røre	pijp	V;IMP	V;NFIN
valuta	munt	valuta	munt	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
valuta	munteenheid	valuta	munteenheid	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
valuta	valuta	valuta	valuta	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
udskilt	uitgescheiden	udskille	uitscheiden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
nomineringer	voordrachten	nominering	voordracht	N;INDF;MASC+FEM;PL	N;PL
nomineringer	nominaties	nominering	nominatie	N;INDF;MASC+FEM;PL	N;PL
dialog	dialoog	dialog	dialoog	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
dialog	dialoog	dialog	dialoog	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kapital	kapitaal	kapital	kapitaal	N;INDF;NEUT;SG	N;NEUT;SG
kapital	hoofdstad	kapital	hoofdstad	N;INDF;NEUT;SG	N;MASC+FEM;SG
kapital	hoofdletter	kapital	hoofdletter	N;INDF;NEUT;SG	N;MASC+FEM;SG
annonceret	aangekondigde	annoncere	aankondigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
annonceret	aangekondigd	annoncere	aankondigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
annonceret	kondigde	annoncere	kondigen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
annonceret	geadverteerd	annoncere	dverteren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
dokumentation	documentatie	dokumentation	documentatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
krateret	krater	kratere	kraat	N;DEF;NEUT;SG	N;MASC+FEM;SG
dømte	veroordeelde	dømme	veroordelen	V;PL;PST;V.PTCP	V;V.PTCP
dømte	veroordeeld	dømme	veroordelen	V;PL;PST;V.PTCP	V;V.PTCP
dømte	veroordeeld	dømme	veroordelen	V;PL;PST;V.PTCP	V;V.PTCP
dømte	veroordeelde	dømme	veroordelen	V;PL;PST;V.PTCP	V;V.PTCP
dømte	veroordeeld	dømme	veroordelen	V;PL;PST;V.PTCP	V;V.PTCP
årgang	vintage	årgang	vintage	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
etnisk	etnisch	etnisk	etnisch	ADJ;INDF;SG	ADJ
etnisk	etnisch	etnisk	etnisch	ADJ;INDF;SG	ADJ
skjulte	verstopt	skjule	verstoppen	V;PL;PST;V.PTCP	V;V.PTCP
skjulte	verborgen	skjule	verbergen	V;PL;PST;V.PTCP	V;V.PTCP
hat	hoed	hat	hoed	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hat	pet	hat	pet	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hat	hat	hat	hat	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
hat	muts	hat	muts	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
historia	historia	historia	historia	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
reklamer	advertenties	reklame	advertentie	N;INDF;MASC+FEM;PL	N;PL
reklamer	aankondigingen	reklame	aankondiging	N;INDF;MASC+FEM;PL	N;PL
reklamer	advertenties	reklame	advertentie	N;INDF;MASC+FEM;PL	N;PL
forbedrede	verbeterd	forbedre	verbeteren	V;PL;PST;V.PTCP	V;V.PTCP
flyder	zwevende	flyde	zweven	V;IND;PRS;FIN;ACT	V;V.PTCP
flyder	zweven	flyde	zweven	V;IND;PRS;FIN;ACT	V;NFIN
flyder	zwevend	flyde	zwevend	V;IND;PRS;FIN;ACT	V;V.PTCP
flyder	drijvend	flyde	drijven	V;IND;PRS;FIN;ACT	V;V.PTCP
flyder	drijvende	flyde	drijven	V;IND;PRS;FIN;ACT	V;V.PTCP
flyder	drijven	flyde	drijf	V;IND;PRS;FIN;ACT	V;NFIN
flyder	zweven	flyde	zweven	V;IND;PRS;FIN;ACT	V;NFIN
flyder	zwevend	flyde	zwevend	V;IND;PRS;FIN;ACT	V;V.PTCP
flyder	zweef	flyde	zweef	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
flyder	stroomt	flyde	stromen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
flyder	stromen	flyde	stroom	V;IND;PRS;FIN;ACT	V;NFIN
flyder	stromend	flyde	stromen	V;IND;PRS;FIN;ACT	V;V.PTCP
forvaltning	beheer	forvaltning	beheer	N;INDF;MASC+FEM;SG	N;NEUT;SG
forvaltning	management	forvaltning	management	N;INDF;MASC+FEM;SG	N;NEUT;SG
forvaltning	administratie	forvaltning	administratie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forvaltning	toediening	forvaltning	toediening	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forvaltning	bestuur	forvaltning	bestuur	N;INDF;MASC+FEM;SG	N;NEUT;SG
forvaltning	governance	forvaltning	governance	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
curling	curling	curling	curling	N;INDF;MASC+FEM;SG	N;NEUT;SG
involverede	betrokken	involvere	betrekken	V;PL;PST;V.PTCP	V;V.PTCP
venter	wachtende	vente	wachten	V;IND;PRS;FIN;ACT	V;V.PTCP
venter	afwachten	vente	afwachten	V;IND;PRS;FIN;ACT	V;NFIN
venter	wachten	vente	wachten	V;IND;PRS;FIN;ACT	V;NFIN
venter	verwacht	vente	verwachten	V;IND;PRS;FIN;ACT	V;V.PTCP
venter	verwachten	vente	verwachten	V;IND;PRS;FIN;ACT	V;NFIN
tegne	inschrijven	tegne	inschrijven	V;NFIN;ACT	V;NFIN
tegne	abonneren	tegne	abonneren	V;NFIN;ACT	V;NFIN
tegne	tekenen	tegne	tekenen	V;NFIN;ACT	V;NFIN
tegne	trekken	tegne	trekken	V;NFIN;ACT	V;NFIN
tegne	tekenen	tegne	tekenen	V;NFIN;ACT	V;NFIN
selvbiografi	autobiografie	selvbiografi	autobiografie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kontorer	kantoren	kontor	kantoor	N;INDF;MASC+FEM;PL	N;PL
besøge	bezoeken	besøge	bezoeken	V;NFIN;ACT	V;NFIN
introduktion	inleiding	introduktion	inleiding	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
introduktion	invoering	introduktion	invoering	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
introduktion	introductie	introduktion	introductie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
introduktion	intro	introduktion	intro	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forstærkninger	versterkingen	forstærkning	versterking	N;INDF;MASC+FEM;PL	N;PL
cello	cello	cello	cello	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
territorier	gebieden	territori	gebied	N;INDF;MASC+FEM;PL	N;PL
territorier	gebiedsdelen	territori	gebiedsdeel	N;INDF;MASC+FEM;PL	N;PL
svag	zwak	svag	zwak	ADJ;INDF;MASC+FEM;SG	ADJ
svag	slap	svag	slap	ADJ;INDF;MASC+FEM;SG	ADJ
svag	zwakke	svag	zwak	ADJ;INDF;MASC+FEM;SG	ADJ
løve	lion	løve	lion	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
løve	leeuw	løve	leeuw	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sejler	varen	sejle	varen	V;IND;PRS;FIN;ACT	V;NFIN
hebraisk	hebreeuws	hebraisk	hebreeuws	ADJ;INDF;SG	ADJ
operationen	bewerking	operation	bewerking	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
operationen	operatie	operation	operatie	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
operationen	exploitatie	operation	exploitatie	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
aftaler	deals	aftale	deal	N;INDF;MASC+FEM;PL	N;PL
aftaler	contracten	aftale	contract	N;INDF;MASC+FEM;PL	N;PL
aftaler	benoemingen	aftale	benoeming	N;INDF;MASC+FEM;PL	N;PL
aftaler	afspraken	aftale	afspraak	N;INDF;MASC+FEM;PL	N;PL
aftaler	akkoorden	aftale	akkoord	N;INDF;MASC+FEM;PL	N;PL
aftaler	overeenkomsten	aftale	overeenkomsten	N;INDF;MASC+FEM;PL	N;PL
spænding	spanning	spænding	spanning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spænding	opwinding	spænding	opwinding	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spænding	spanning	spænding	spanning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spænding	spanning	spænding	spanning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spænding	spanning	spænding	spanning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spænding	voltage	spænding	voltage	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kontrakten	contract	kontrakt	contract	N;DEF;MASC+FEM;SG	N;NEUT;SG
løsladt	vrijgelaten	løsladt	vrijlaten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
løsladt	vrijgegeven	løsladt	vrijgeven	V;INDF;SG;PST;V.PTCP	V;V.PTCP
løsladt	uitgebracht	løsladt	uitbrengen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
planlægning	planning	planlægning	planning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
planlægning	planning	planlægning	planning	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
planlægning	programmering	planlægning	programmering	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ubåde	onderzeeërs	ubåd	onderzeeër	N;INDF;MASC+FEM;PL	N;PL
ubåde	duikboten	ubåd	duikboot	N;INDF;MASC+FEM;PL	N;PL
fløjte	fluitje	fløjte	fluit	N;INDF;MASC+FEM;SG	N;NEUT;SG
fløjte	fluit	fløjte	fluit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fløjte	fluit	fløjte	fluit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
racen	ras	race	ras	N;DEF;MASC+FEM;SG	N;NEUT;SG
romantiske	romantische	romantisk	romantisch	ADJ;PL	ADJ
romantiske	romantisch	romantisk	romantisch	ADJ;PL	ADJ
delstater	deelstaten	delstat	deelstaat	N;INDF;MASC+FEM;PL	N;PL
delstater	deelstaten	delstat	deelstaat	N;INDF;MASC+FEM;PL	N;PL
tykke	mollige	tyk	mollig	ADJ;PL	ADJ
tykke	dikke	tyk	dik	ADJ;PL	ADJ
tykke	dik	tyk	dik	ADJ;PL	ADJ
tykke	vette	tyk	vet	ADJ;PL	ADJ
sammenlægning	fusie	sammenlægning	fusie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sammenlægning	aggregatie	sammenlægning	aggregatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sammenlægning	samenvoeging	sammenlægning	samenvoeging	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
zoo	dierentuin	zoo	dierentuin	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
zoo	zoo	zoo	zullen	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
tjekkisk	tsjechische	tjekkisk	tsjechisch	ADJ;INDF;SG	ADJ
tjekkisk	tsjechisch	tjekkisk	tsjechisch	ADJ;INDF;SG	ADJ
indsigt	inzicht	indsigt	inzicht	N;INDF;MASC+FEM;SG	N;NEUT;SG
blåt	blauw	blå	blauw	ADJ;INDF;NEUT;SG	ADJ
blåt	blauwe	blå	blauw	ADJ;INDF;NEUT;SG	ADJ
jennifer	jennifer	jennif	jennifer	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
glemt	vergeten	glemme	vergeten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
glemt	vergeten	glemme	vergeten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
meddelelser	aankondigingen	meddelelse	aankondiging	N;INDF;MASC+FEM;PL	N;PL
meddelelser	meldingen	meddelelse	melding	N;INDF;MASC+FEM;PL	N;PL
meddelelser	aanmeldingen	meddelelse	aanmelding	N;INDF;MASC+FEM;PL	N;PL
meddelelser	boodschappen	meddelelse	boodschap	N;INDF;MASC+FEM;PL	N;PL
meddelelser	berichten	meddelelse	bericht	N;INDF;MASC+FEM;PL	N;PL
meddelelser	mededelingen	meddelelse	mededeling	N;INDF;MASC+FEM;PL	N;PL
tynde	mager	tynd	maag	ADJ;PL	ADJ
tynde	mager	tynd	maag	ADJ;PL	ADJ
tynde	dun	tynd	dun	ADJ;PL	ADJ
luke	luke	luke	luk	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
måne	maan	måne	maan	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
måne	moon	måne	moon	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
krydsede	gekruist	krydse	kruisen	V;IND;PST;FIN;ACT	V;V.PTCP
krydsede	gekruiste	krydse	kruisen	V;IND;PST;FIN;ACT	V;V.PTCP
krydsede	overschreden	krydse	overschrijden	V;IND;PST;FIN;ACT	V;V.PTCP
krydsede	overgestoken	krydse	oversteken	V;IND;PST;FIN;ACT	V;V.PTCP
