kao	som	kao	som	CONJ	CONJ
bio	varit	biti	vara	V;MASC;SG;PST;V.PTCP;ACT	V;V.CVB;ACT
nakon	efter	nakon	efter	ADP;GEN	ADP
poveznice	länkar	poveznica	länka	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
ali	men	ali	men	CONJ	CONJ
oko	omkring	oko	omkring	ADV	ADV
oko	runt	oko	runt	ADV	ADV
samo	bara	samo	bara	ADV	ADV
samo	enbart	samo	enbart	ADV	ADV
samo	endast	samo	endast	ADV	ADV
samo	bara	samo	bara	ADV	ADV
prvi	första	prvi	en	ADJ;NOM;MASC;SG	ADJ;NOM
godina	years	godina	years	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
godina	år	godina	år	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
godina	year	godina	yea	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
godina	årsmodell	godina	årsmodell	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
godina	året	godina	år	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
godina	år	godina	år	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
više	mera	mnogo	mycket	ADV;CMPR	ADV;CMPR
više	mer	mnogo	mycket	ADV;CMPR	ADV;CMPR
pod	under	pod	under	ADP;INS	ADP
gdje	där	gdje	där	ADV	ADV
dok	medan	dok	medan	CONJ	CONJ
kada	när	kada	när	ADV	ADV
vrijeme	väder	vrijeme	väder	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
vrijeme	vädret	vrijeme	vädre	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
vrijeme	tid	vrijeme	tid	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
vrijeme	tidpunkt	vrijeme	tidpunkt	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
vrijeme	dags	vrijeme	dags	N;NOM;NEUT;SG	N;MASC+FEM
vrijeme	klockslag	vrijeme	klockslag	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
vrijeme	tiden	vrijeme	tid	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
jedan	en	jedan	en	NUM;NOM;MASC;SG	NUM;NOM;INDF;MASC+FEM;SG
jedan	ett	jedan	en	NUM;NOM;MASC;SG	NUM;NOM;INDF;NEUT;SG
grad	town	grad	town	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grad	stad	grad	stad	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grad	staden	grad	stad	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
grad	staden	grad	stad	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
grad	city	grad	city	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
grad	ort	grad	ort	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grad	stad	grad	stad	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grad	orten	grad	ort	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
također	också	također	också	ADV	ADV
također	även	također	även	ADV	ADV
između	emellan	između	emellan	ADP;GEN	ADP
između	mellan	između	mellan	ADP;GEN	ADP
tijekom	under	tijekom	under	ADP;GEN	ADP
dio	delen	dio	del	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
dio	del	dio	del	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
danas	idag	danas	idag	ADV	ADV
naselje	uppgörelse	naselje	uppgörelse	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
naselje	bosättning	naselje	bosättning	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
naselje	avveckling	naselje	avveckling	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
jer	eftersom	jer	eftersom	CONJ	CONJ
dva	två	dva	två	NUM	NUM;NOM
mjesto	ställe	mjesto	ställe	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
mjesto	place	mjesto	place	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
mjesto	plats	mjesto	plats	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
lokacija	platsen	lokacija	plats	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
lokacija	läge	lokacija	läge	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
lokacija	plats	lokacija	plats	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
prije	förut	prije	förut	ADV	ADV
ime	namn	ime	namn	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
ime	name	ime	name	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
broj	tal	broj	tal	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
broj	antal	broj	antal	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
broj	nummer	broj	nummer	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
tri	tre	tri	tre	NUM	NUM;NOM
pop	farsan	pop	farsan	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
pop	pop	pop	pop	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kasnije	senare	kasno	sen	ADV;CMPR	ADV;CMPR
već	redan	već	redan	ADV	ADV
jpg	jpg	jpg	jpg	N;NOM;MASC;SG	N
protiv	mot	protiv	mot	ADP;GEN	ADP
stoljeća	århundraden	stoljeće	århundrade	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
