die	the	die	the	DET;DEF	DET;DEF
het	has	het	have	V;PRS	V;IND;SG;3;PRS;FIN
met	with	met	with	ADP	ADP
was	was	is	be	V;PST;FIN	V;IND;SG;3;PST;FIN
was	were	is	be	V;PST;FIN	V;IND;PST;FIN
nie	not	nie	not	PART	PART
ook	also	ook	also	ADV	ADV
jaar	year	jaar	year	N;SG	N;SG
maar	but	maar	but	CONJ	CONJ
kan	can	kan	can	V;PRS	V;FIN
een	one	een	one	NUM	NUM
gebruik	use	gebruik	use	V;PRS	V;IMP;FIN
twee	two	twee	two	NUM	NUM
gemeente	congregation	gemeent	congregation	N;SG	N;SG
gemeente	assembly	gemeent	assembly	N;SG	N;SG
begin	start	begin	start	V;PRS	V;IMP;FIN
hul	their	hul	they	PRO;PL;3	PRO;PL;3
haar	her	haar	she	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
sien	seeing	sien	see	V;PRS	V;V.MSDR
sien	see	sien	see	V;PRS	V;IMP;FIN
nuwe	new	nuut	new	ADJ;NOM	ADJ
stad	city	stad	city	N;SG	N;SG
land	country	land	country	N;SG	N;SG
skakels	links	skakel	link	N;PL	N;PL
later	later	laat	later	ADV;CMPR	ADV
net	only	net	only	ADV	ADV
net	just	net	just	ADV	ADV
sou	would	sal	would	V;PST;FIN	V;FIN
naam	name	naam	name	N;SG	N;SG
deel	share	deel	share	V;PRS	V;IMP;FIN
drie	three	drie	three	NUM	NUM
sal	will	sal	will	V;PRS	V;FIN
kon	could	kan	could	V;PST;FIN	V;FIN
ons	our	ons	we	PRO;PL;1	PRO;PL;1
mense	people	mens	people	N;PL	N;PL
bestaan	exist	bestaan	exist	V;PRS	V;IMP;FIN
bestaan	exists	bestaan	exist	V;PRS	V;IND;SG;3;PRS;FIN
nasionale	national	nasionaal	national	ADJ;NOM	ADJ
maak	make	maak	make	V;PRS	V;IMP;FIN
kom	come	kom	come	V;PRS	V;IMP;FIN
saam	together	saam	together	ADV	ADV
terwyl	while	terwyl	while	CONJ	CONJ
veral	especially	veral	especially	ADV	ADV
moet	must	moet	must	V;PRS	V;FIN
hier	here	hier	here	ADV	ADV
tyd	time	tyd	time	N;SG	N;SG
vlag	flag	vlag	flag	N;SG	N;SG
verskeie	various	verskeie	various	ADJ;NOM	ADJ
verskeie	miscellaneous	verskeie	miscellaneous	ADJ;NOM	ADJ
staan	stand	staan	stand	V;PRS	V;IMP;FIN
gereformeerde	reformed	reformeer	reform	ADJ;NOM	ADJ
genoem	mentioned	noem	mention	V;PST;V.PTCP	V;PST;V.PTCP
dan	then	dan	then	ADV	ADV
bevolking	population	bevolking	population	N;SG	N;SG
gemaak	made	maak	make	V;PST;V.PTCP	V;PST;V.PTCP
jare	years	jaar	year	N;PL	N;PL
amerikaanse	american	amerikaans	american	ADJ;NOM	ADJ
slegs	only	slegs	only	ADV	ADV
slegs	just	slegs	just	ADV	ADV
lank	long	lank	long	ADV	ADV
gestig	founded	stig	found	V;PST;V.PTCP	V;PST;V.PTCP
reeds	already	reeds	already	ADV	ADV
alle	all	al	all	DET	DET
nou	now	nou	now	ADV	ADV
provinsie	province	provinsie	province	N;SG	N;SG
provinsie	county	provinsie	county	N;SG	N;SG
provinsie	state	provinsie	state	N;SG	N;SG
universiteit	university	universiteit	university	N;SG	N;SG
beskou	consider	beskou	consider	V;PRS	V;IMP;FIN
lewe	life	lewe	life	N;SG	N;SG
vier	celebrating	vier	celebrating	V;PRS	V;V.MSDR
vier	celebrate	vier	celebrate	V;PRS	V;IMP;FIN
franse	french	frans	french	ADJ;NOM	ADJ
