dans	اندر	dans	اندر	ADP	ADP;NOM;MASC;SG;3
catégorie	قسم	catégorie	قسم	N;FEM;SG	N;NOM;MASC;SG;3
catégorie	قسم	catégorie	قسم	N;FEM;SG	N;NOM;MASC;SG;3
catégorie	درجہ	catégorie	درجہ	N;FEM;SG	N;NOM;MASC;SG;3
par	بمطابق	par	بمطابق	ADP	ADP
par	نزدیک	par	نزدیک	ADP	ADP;NOM;MASC;SG;3
par	براہِ	par	براہِ	ADP	ADP
pour	بحوالہ	pour	بحوالہ	ADP	ADP
pour	بمناسبت	pour	بمناسبت	ADP	ADP
pour	بغرض	pour	بغرض	ADP	ADP
sur	قریب	sur	قریب	ADP	ADP;NOM;MASC;SG;3
sur	پاس	sur	پاس	ADP	ADP;NOM;MASC;SG;3
sur	قریب	sur	قریب	ADP	ADP;NOM;MASC;SG;3
sur	پاس	sur	پاس	ADP	ADP;NOM;MASC;SG;3
sur	پر	sur	پر	ADP	ADP
avec	سے	avec	سے	ADP	ADP
avancement	ترقی	avancement	ترقی	N;MASC;SG	N;NOM;FEM;SG;3
mais	لیکن	mais	لیکن	CONJ	CONJ
naissance	ولادت	naissance	ولادت	N;FEM;SG	N;NOM;MASC;SG;3
après	مابعد	après	مابعد	ADP	ADP
après	بعد	après	بعد	ADP	ADP;NOM;MASC;SG;3
après	مابعد	après	مابعد	ADP	ADP
sous	زیر	sous	زیر	ADP	ADP;NOM;MASC;SG
nom	شہرت	nom	شہرت	N;MASC;SG	N;NOM;FEM;SG;3
nom	افکار	nom	فکر	N;MASC;SG	N;NOM;MASC;SG;3
nom	جگہ	nom	جگہ	N;MASC;SG	N;NOM;MASC;SG;3
français	بری	français	بری	ADJ;MASC;SG	ADJ;FEM
lui	وہ	lui	وہ	PRO;SG;3	PRO;NOM;SG;3
lieu	محلہ	lieu	محلہ	N;MASC;SG	N;NOM;MASC;SG;3
lieu	مرتبہ	lieu	مرتبہ	N;MASC;SG	N;NOM;MASC;SG;3
lieu	منصب	lieu	منصب	N;MASC;SG	N;NOM;MASC;SG;3
lieu	احاطہ	lieu	احاطہ	N;MASC;SG	N;NOM;MASC;SG;3
lieu	نشست	lieu	نشست	N;MASC;SG	N;NOM;MASC;SG;3
lieu	شہر	lieu	شہر	N;MASC;SG	N;ACC;MASC;SG;3
lieu	مرتبہ	lieu	مرتبہ	N;MASC;SG	N;NOM;MASC;SG;3
lieu	مقام	lieu	مقام	N;MASC;SG	N;NOM;MASC;SG;3
lieu	منصب	lieu	منصب	N;MASC;SG	N;NOM;MASC;SG;3
lieu	احاطہ	lieu	احاطہ	N;MASC;SG	N;NOM;MASC;SG;3
lieu	نشست	lieu	نشست	N;MASC;SG	N;NOM;MASC;SG;3
lieu	شہر	lieu	شہر	N;MASC;SG	N;ACC;MASC;SG;3
décès	موت	décès	موت	N;MASC;SG	N;NOM;FEM;SG;3
commune	نیچ	commune	نیچ	N;FEM;SG	N;NOM;MASC;SG;3
ville	بلدیہ	ville	بلدیہ	N;FEM;SG	N;NOM;MASC;SG;3
depuis	سے	depuis	سے	ADP	ADP
première	بنیادی	premier	بنیادی	ADJ;FEM;SG	ADJ
première	سابق	premier	سابق	ADJ;FEM;SG	ADJ
externes	خارجی	externe	خارجی	ADJ;MASC;PL	ADJ
externes	خارجی	externe	خارجی	ADJ;MASC;PL	ADJ
externes	بیرونی	externe	بیرونی	ADJ;MASC;PL	ADJ
premier	بنیادی	premier	بنیادی	ADJ;MASC;SG	ADJ
premier	سابق	premier	سابق	ADJ;MASC;SG	ADJ
film	فلم	film	فلم	N;MASC;SG	N;NOM;FEM;SG;3
voir	پانا	voir	پانا	V;NFIN	V;SG;NFIN;ACT
voir	سوچنا	voir	سوچ	V;NFIN	V;MASC;SG;NFIN;ACT
voir	ملنا	voir	مل	V;NFIN	V;MASC;SG;NFIN;ACT
voir	دیکھنا	voir	دیکھ	V;NFIN	V;NFIN
voir	دیکھنا	voir	دیکھ	V;NFIN	V;NFIN
pays	ملک	pays	ملک	N;MASC;SG	N;NOM;MASC;SG;3
pays	ملک	pays	ملک	N;MASC;SG	N;NOM;MASC;SG;3
grand	بڑا	grand	بڑا	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grand	اہم	grand	اہم	ADJ;MASC;SG	ADJ
grand	نمایاں	grand	نمایاں	ADJ;MASC;SG	ADJ
