קטגוריה	categoria	קטגוריה	categoria	N;FEM;SG	N;FEM;SG
עם	con	עם	con	ADP	ADP
גם	inoltre	גם	inoltre	ADV	ADV
גם	anche	גם	anche	ADV	ADV
גם	troppo	גם	troppo	ADV	ADV
היא	lei	הוא	lei	PRO;FEM;SG;3	PRO;SG;3
שיחה	conversazione	שיחה	conversazione	N;FEM;SG	N;FEM;SG
שיחה	call	שיחה	call	N;FEM;SG	N
בין	tra	בין	tra	ADP	ADP
בין	fra	בין	fra	ADP	ADP
כל	tutte	כול	tutto	DET;PSSD	DET;FEM;PL
כל	qualsiasi	כול	qualsiasi	DET;PSSD	DET;SG
כל	qualunque	כול	qualunque	DET;PSSD	DET;SG
יותר	più	יותר	più	ADV	ADV
אך	ma	אך	ma	CONJ	CONJ
יש	evviva	יש	evvivo	V	V;IND;SG;3;PRS;FIN
שם	lì	שם	lì	ADV	ADV
שם	là	שם	là	ADV	ADV
בית	beit	בית	beit	N;MASC;SG	N;MASC;SG
בית	home	בית	home	N;MASC;SG	N
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
הם	loro	הוא	loro	PRO;MASC;PL;3	PRO;PL;3
שמאל	sinistro	שמאל	sinistro	N;MASC;SG	N;MASC;SG
שמאל	sinistra	שמאל	sinistra	N;MASC;SG	N;FEM;SG
קישורים	collegamenti	קישורים	collegamento	N;MASC;PL	N;MASC;PL
קישורים	link	קישורים	link	N;MASC;PL	N;MASC
חיצוניים	esterni	חיצוני	esterno	ADJ;MASC;PL	ADJ;MASC;PL
מספר	numero	מספר	numero	N;MASC;SG	N;MASC;SG
רק	solo	רק	solo	ADV	ADV
רק	soltanto	רק	soltanto	ADV	ADV
רק	solo	רק	solo	ADV	ADV
אותו	lui	None	lui	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
שני	due	שני	due	NUM;MASC;PL	NUM
שנים	anni	שנה	anno	N;FEM;PL	N;MASC;PL
אבל	ma	אבל	ma	CONJ	CONJ
אביב	aviv	אביב	aviv	N;MASC;SG	N;MASC;SG
אביב	molla	אביב	molla	N;MASC;SG	N;FEM;SG
אביב	primavera	אביב	primavera	N;MASC;SG	N;FEM;SG
במאי	may	במאי	may	N;MASC;SG	N
במאי	maggio	במאי	maggio	N;MASC;SG	N;MASC;SG
במאי	regista	במאי	regista	N;MASC;SG	N;SG
במאי	direttore	במאי	direttore	N;MASC;SG	N;MASC;SG
שנה	anno	שנה	anno	N;FEM;SG	N;MASC;SG
נולד	nato	נולד	nascere	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נולד	nata	נולד	nascere	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
הערות	note	הערה	nota	N;FEM;PL	N;FEM;PL
הערות	annotazioni	הערה	annotazione	N;FEM;PL	N;FEM;PL
הערות	osservazioni	הערה	osservazione	N;FEM;PL	N;FEM;PL
הערות	commenti	הערה	commento	N;FEM;PL	N;MASC;PL
