まで	hasta	まで	hasta	ADP	ADP
もの	cosas	もの	cosa	N	N;FEM;PL
もの	things	もの	thing	N	N
大学	universidades	大学	universidad	N	N;FEM;PL
大学	universitario	大学	universitario	N	N;MASC;SG
大学	universitarios	大学	universitario	N	N;MASC;PL
大学	universidades	大学	universidad	N	N;FEM;PL
大学	universidad	大学	universidad	N	N;FEM;SG
大学	college	大学	collegar	N	N;MASC;SG
大学	colegio	大学	colegio	N	N;MASC;SG
大学	universidad	大学	universidad	N	N;FEM;SG
大学	colegios	大学	colegio	N	N;MASC;PL
大学	universidades	大学	universidad	N	N;FEM;PL
テレビ	televisiones	テレビ	televisión	N	N;FEM;PL
テレビ	televisores	テレビ	televisor	N	N;MASC;PL
テレビ	televisor	テレビ	televisor	N	N;MASC;SG
テレビ	television	テレビ	television	N	N;FEM;SG
テレビ	televisión	テレビ	televisión	N	N;FEM;SG
テレビ	televisiones	テレビ	televisión	N	N;FEM;PL
放送	transmitiendo	放送	transmitir	V	V;V.MSDR
削除	eliminando	削除	eliminar	V	V;V.MSDR
削除	borrando	削除	borrar	V	V;V.MSDR
削除	quita	削除	quitar	V	V;IND;SG;3;PRS;FIN
削除	eliminar	削除	eliminar	V	V;NFIN
削除	quitar	削除	quitar	V	V;NFIN
削除	borrar	削除	borrar	V	V;NFIN
削除	eliminar	削除	eliminar	V	V;NFIN
削除	suprimir	削除	suprimir	V	V;NFIN
現在	actualidad	現在	actualidad	N	N;FEM;SG
現在	corriente	現在	corriente	N	N;MASC;SG
学校	escuelas	学校	escuela	N	N;FEM;PL
学校	colegios	学校	colegio	N	N;MASC;PL
学校	escuela	学校	escuela	N	N;FEM;SG
学校	colegio	学校	colegio	N	N;MASC;SG
学校	escuela	学校	escuela	N	N;FEM;SG
これ	este	これ	este	PRO	PRO;MASC;SG
これ	esto	これ	este	PRO	PRO;SG
これ	esta	これ	este	PRO	PRO;FEM;SG
世界	mundo	世界	mundo	N	N;MASC;SG
世界	world	世界	world	N	N
でも	sino	でも	sino	CONJ	CONJ
でも	pero	でも	pero	CONJ	CONJ
について	sobre	について	sobre	ADP	ADP
作品	trabajos	作品	trabajo	N	N;MASC;PL
作品	obras	作品	obra	N	N;FEM;PL
作品	discografía	作品	discografía	N	N;FEM;SG
映画	pelicula	映画	pelicula	N	N;FEM;SG
映画	cine	映画	cine	N	N;MASC;SG
映画	movie	映画	movie	N	N;SG
映画	película	映画	película	N	N;FEM;SG
映画	cine	映画	cine	N	N;MASC;SG
映画	cinema	映画	cinema	N	N;MASC;SG
映画	pelicula	映画	pelicula	N	N;FEM;SG
映画	cine	映画	cine	N	N;MASC;SG
映画	película	映画	película	N	N;FEM;SG
映画	film	映画	film	N	N;MASC;SG
映画	peliculas	映画	pelicula	N	N;FEM;PL
映画	cine	映画	cine	N	N;MASC;SG
映画	películas	映画	película	N	N;FEM;PL
監督	directora	監督	directora	N	N;FEM;SG
監督	director	監督	director	N	N;MASC;SG
監督	supervisión	監督	supervisión	N	N;FEM;SG
鉄道	ferrocarriles	鉄道	ferrocarril	N	N;MASC;PL
鉄道	ferrocarril	鉄道	ferrocarril	N	N;MASC;SG
鉄道	ferrocarril	鉄道	ferrocarril	N	N;MASC;SG
鉄道	ferrocarriles	鉄道	ferrocarril	N	N;MASC;PL
鉄道	ferrocarril	鉄道	ferrocarril	N	N;MASC;SG
鉄道	ferrocarriles	鉄道	ferrocarril	N	N;MASC;PL
鉄道	ferroviarios	鉄道	ferroviario	N	N;MASC;PL
使用	usar	使用	usar	V	V;NFIN
使用	utilizar	使用	utilizar	V	V;NFIN
明治	meiji	明治	meiji	N	N;MASC;SG
時間	horarios	時間	horario	N	N;MASC;PL
時間	horas	時間	hora	N	N;FEM;PL
時間	horario	時間	horario	N	N;MASC;SG
時間	hora	時間	hora	N	N;FEM;SG
時間	hora	時間	hora	N	N;FEM;SG
時間	tiempo	時間	tiempo	N	N;MASC;SG
時間	time	時間	time	N	N
開始	comenzar	開始	comenzar	V	V;NFIN
開始	empezar	開始	empezar	V	V;NFIN
開始	empezar	開始	empezar	V	V;NFIN
シリーズ	serie	シリーズ	serie	N	N;FEM;SG
シリーズ	series	シリーズ	serie	N	N;FEM;PL
記事	articulo	記事	articulo	N	N;MASC;SG
記事	artículo	記事	artículo	N	N;MASC;SG
記事	historia	記事	historia	N	N;FEM;SG
記事	story	記事	story	N	N
記事	historias	記事	historia	N	N;FEM;PL
記事	relatos	記事	relato	N	N;MASC;PL
記事	cuentos	記事	cuento	N	N;MASC;PL
記事	articulos	記事	articulo	N	N;MASC;PL
記事	artículos	記事	artículo	N	N;MASC;PL
選手	jugadores	選手	jugador	N	N;MASC;PL
選手	reproductores	選手	reproductor	N	N;MASC;PL
選手	deportistas	選手	deportista	N	N;PL
選手	atletas	選手	atleta	N	N;PL
しかし	sino	しかし	sino	CONJ	CONJ
しかし	pero	しかし	pero	CONJ	CONJ
大会	convención	大会	convención	N	N;FEM;SG
大会	convenio	大会	convenio	N	N;MASC;SG
大会	convenciones	大会	convención	N	N;FEM;PL
チーム	equipos	チーム	equipo	N	N;MASC;PL
チーム	equipo	チーム	equipo	N	N;MASC;SG
チーム	team	チーム	team	N	N
優勝	ganar	優勝	ganar	V	V;NFIN
優勝	ganando	優勝	ganar	V	V;V.MSDR
作詞	letra	作詞	letra	N	N;FEM;SG
作詞	letras	作詞	letra	N	N;FEM;PL
所属	perteneces	所属	pertenez	V	V;IND;SG;2;PRS;FIN
所属	pertenecer	所属	pertenecer	V	V;NFIN
所属	pertenecen	所属	pertenecer	V	V;IND;PL;3;PRS;FIN
一部	some	一部	some	N	N
結果	resultado	結果	resultado	N	N;MASC;SG
結果	resultados	結果	resultado	N	N;MASC;PL
アルバム	álbum	アルバム	álbum	N	N;MASC;SG
アルバム	album	アルバム	album	N	N;MASC;SG
アルバム	disco	アルバム	disco	N	N;MASC;SG
アルバム	álbumes	アルバム	álbum	N	N;MASC;PL
ゲーム	videojuegos	ゲーム	videojuego	N	N;MASC;PL
ゲーム	juego	ゲーム	juego	N	N;MASC;SG
ゲーム	juegos	ゲーム	juego	N	N;MASC;PL
ゲーム	juego	ゲーム	juego	N	N;MASC;SG
ゲーム	juegos	ゲーム	juego	N	N;MASC;PL
問題	cuestión	問題	cuestión	N	N;FEM;SG
問題	problemas	問題	problema	N	N;MASC;PL
問題	problemática	問題	problemática	N	N;FEM;SG
問題	problema	問題	problema	N	N;MASC;SG
問題	problemas	問題	problema	N	N;MASC;PL
問題	problemática	問題	problemática	N	N;FEM;SG
問題	asuntos	問題	asunto	N	N;MASC;PL
問題	cuestiones	問題	cuestión	N	N;FEM;PL
問題	temas	問題	tema	N	N;MASC;PL
リーグ	league	リーグ	league	N	N;FEM;SG
リーグ	liga	リーグ	liga	N	N;FEM;SG
リーグ	ligas	リーグ	liga	N	N;FEM;PL
リーグ	leguas	リーグ	legua	N	N;FEM;PL
リーグ	ligas	リーグ	liga	N	N;FEM;PL
利用	canjear	利用	canjear	V	V;NFIN
事業	empresa	事業	empresa	N	N;FEM;SG
事業	negocio	事業	negocio	N	N;MASC;SG
事業	negocios	事業	negocio	N	N;MASC;PL
音楽	music	音楽	music	N	N
音楽	música	音楽	música	N	N;FEM;SG
音楽	musica	音楽	musica	N	N;FEM;SG
転送	transmita	転送	transmito	V	V;SBJV;SG;3;PRS;FIN
転送	transmitir	転送	transmitir	V	V;NFIN
転送	transmite	転送	transmitir	V	V;IND;SG;3;PRS;FIN
転送	transmitan	転送	transmitir	V	V;IMP;PL;3;FIN
情報	info	情報	info	N	N;FEM;SG
情報	información	情報	información	N	N;FEM;SG
情報	informacion	情報	informacion	N	N;FEM;SG
情報	información	情報	información	N	N;FEM;SG
情報	informacion	情報	informacion	N	N;FEM;SG
情報	informaciones	情報	información	N	N;FEM;PL
公式	oficial	公式	oficial	ADJ	ADJ;SG
参加	unir	参加	unir	V	V;NFIN
参加	únete	参加	únete	V	V;IND;SG;2;PRS;FIN
地域	regiones	地域	región	N	N;FEM;PL
地域	region	地域	region	N	N;FEM;SG
地域	comarca	地域	comarca	N	N;FEM;SG
地域	región	地域	región	N	N;FEM;SG
変更	cambia	変更	cambiar	V	V;IND;SG;3;PRS;FIN
変更	modificar	変更	modificar	V	V;NFIN
変更	modifique	変更	modificar	V	V;IMP;SG;3;FIN
変更	modifica	変更	modificar	V	V;IND;SG;3;PRS;FIN
変更	cambiar	変更	cambiar	V	V;NFIN
変更	cambia	変更	cambiar	V	V;IND;SG;3;PRS;FIN
編曲	arreglista	編曲	arreglista	N	N;SG
編曲	acuerdo	編曲	acuerdo	N	N;MASC;SG
編曲	arreglo	編曲	arreglo	N	N;MASC;SG
編曲	arreglos	編曲	arreglo	N	N;MASC;PL
サイト	sitio	サイト	sitio	N	N;MASC;SG
サイト	site	サイト	sitir	N	N;MASC;SG
サイト	sitios	サイト	sitio	N	N;MASC;PL
サイト	emplazamientos	サイト	emplazamiento	N	N;MASC;PL
記録	grabando	記録	grabar	V	V;V.MSDR
記録	grabar	記録	grabar	V	V;NFIN
記録	grabar	記録	grabar	V	V;NFIN
関係	relación	関係	relación	N	N;FEM;SG
関係	relaciones	関係	relación	N	N;FEM;PL
クラブ	club	クラブ	club	N	N;MASC;SG
クラブ	garrote	クラブ	garrote	N	N;MASC;SG
クラブ	discoteca	クラブ	discoteca	N	N;FEM;SG
クラブ	palos	クラブ	palo	N	N;MASC;PL
