kas	кой	kas	кой	PRO;NOM	PRO;NOM;MASC;SG
tika	бе	tikt	съм	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
pēc	след	pēc	след	ADP	ADP
bet	но	bet	но	CONJ	CONJ
var	могат	varēt	мога	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
saites	вратовръзки	saite	вратовръзка	N;NOM;FEM;PL	N;INDF;FEM;PL
saites	връзки	saite	връзка	N;NOM;FEM;PL	N;INDF;FEM;PL
tas	това	tas	този	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG
dzimis	роден	dzimt	родя-(се)	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dzimis	родена	dzimt	родя-(се)	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
valsts	държава	valsts	държава	N;NOM;FEM;SG	N;INDF;FEM;SG
valsts	страна	valsts	страна	N;NOM;FEM;SG	N;INDF;FEM;SG
valsts	щат	valsts	щат	N;NOM;FEM;SG	N;INDF;MASC;SG
valsts	държава	valsts	държава	N;NOM;FEM;SG	N;INDF;FEM;SG
viņa	тя	viņa	аз	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
kad	кога	kad	кога	ADV	ADV
gadu	година	gads	година	N;ACC;MASC;SG	N;INDF;FEM;SG
gadu	годината	gads	година	N;ACC;MASC;SG	N;DEF;FEM;SG
pilsētas	градове	pilsēta	град	N;NOM;FEM;PL	N;INDF;MASC;PL
pilsētas	градовете	pilsēta	град	N;NOM;FEM;PL	N;DEF;MASC;PL
pilsētas	градчета	pilsēta	градче	N;NOM;FEM;PL	N;INDF;NEUT;PL
pilsētas	градове	pilsēta	град	N;NOM;FEM;PL	N;INDF;MASC;PL
pilsētas	градовете	pilsēta	град	N;NOM;FEM;PL	N;DEF;MASC;PL
kur	къде	kur	къде	ADV	ADV
vieta	място	vieta	място	N;NOM;FEM;SG	N;INDF;NEUT;SG
vieta	местоположение	vieta	местоположение	N;NOM;FEM;SG	N;INDF;NEUT;SG
vieta	място	vieta	място	N;NOM;FEM;SG	N;INDF;NEUT;SG
vieta	местонахождение	vieta	местонахождение	N;NOM;FEM;SG	N;INDF;NEUT;SG
vieta	локация	vieta	локация	N;NOM;FEM;SG	N;INDF;FEM;SG
vieta	сайт	vieta	сайт	N;NOM;FEM;SG	N;INDF;MASC;SG
kara	войната	karš	война	N;NOM;MASC;SG	N;DEF;FEM;SG
kara	война	karš	война	N;NOM;MASC;SG	N;INDF;FEM;SG
iela	улица	iela	улица	N;NOM;FEM;SG	N;INDF;FEM;SG
iela	стрийт	iela	стрийт	N;NOM;FEM;SG	N;INDF;MASC;SG
iela	улицата	iela	улица	N;NOM;FEM;SG	N;DEF;FEM;SG
jau	вече	jau	вече	ADV	ADV
miris	починала	mirt	почина-(си)	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
miris	починал	mirt	почина-(си)	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
kopā	общо	kopā	общо	ADV	ADV
kopā	заедно	kopā	заедно	ADV	ADV
attēls	снимка	attēls	снимка	N;NOM;MASC;SG	N;INDF;FEM;SG
attēls	картинка	attēls	картинка	N;NOM;MASC;SG	N;INDF;FEM;SG
attēls	имидж	attēls	имидж	N;NOM;MASC;SG	N;INDF;MASC;SG
attēls	картинка	attēls	картинка	N;NOM;MASC;SG	N;INDF;FEM;SG
attēls	образ	attēls	образ	N;NOM;MASC;SG	N;INDF;MASC;SG
attēls	изображение	attēls	изображение	N;NOM;MASC;SG	N;INDF;NEUT;SG
attēls	фигура	attēls	фигура	N;NOM;MASC;SG	N;INDF;FEM;SG
attēls	фигурата	attēls	фигура	N;NOM;MASC;SG	N;DEF;FEM;SG
starp	между	starp	между	ADP	ADP
pilsēta	град	pilsēta	град	N;NOM;FEM;SG	N;INDF;MASC;SG
pilsēta	градът	pilsēta	град	N;NOM;FEM;SG	N;DEF;MASC;SG
pilsēta	градче	pilsēta	градче	N;NOM;FEM;SG	N;INDF;NEUT;SG
pilsēta	град	pilsēta	град	N;NOM;FEM;SG	N;INDF;MASC;SG
pilsēta	градът	pilsēta	град	N;NOM;FEM;SG	N;DEF;MASC;SG
pilsēta	сити	pilsēta	сит	N;NOM;FEM;SG	N;INDF;MASC;SG
viens	една	viens	един	NUM;NOM;MASC;SG	NUM;INDF;FEM;SG
viens	един	viens	един	NUM;NOM;MASC;SG	NUM;INDF;MASC;SG
viens	едно	viens	един	NUM;NOM;MASC;SG	NUM;INDF;NEUT;SG
pret	срещу	pret	срещу	ADP	ADP
pret	против	pret	против	ADP	ADP
taču	но	taču	но	CONJ	CONJ
ļoti	много	ļoti	много	ADV	ADV;INDF;PL
vācu	германец	vāci	германец	N;NOM;MASC;SG	N;INDF;MASC;SG
vēl	още	vēl	още	ADV	ADV
viena	една	viena	един	NUM;NOM;FEM;SG	NUM;INDF;FEM;SG
viena	един	viena	един	NUM;NOM;FEM;SG	NUM;INDF;MASC;SG
viena	едно	viena	един	NUM;NOM;FEM;SG	NUM;INDF;NEUT;SG
pagasts	енория	pagasts	енория	N;NOM;MASC;SG	N;INDF;FEM;SG
pagasts	париш	pagasts	паря	N;NOM;MASC;SG	N;INDF;FEM;SG
pagasts	периш	pagasts	перя	N;NOM;MASC;SG	N;INDF;MASC;SG
daļa	част	daļa	част	N;NOM;FEM;SG	N;INDF;FEM;SG
daļa	споделяне	daļa	споделяне	N;NOM;FEM;SG	N;INDF;NEUT;SG
daļa	дял	daļa	дял	N;NOM;FEM;SG	N;INDF;MASC;SG
tad	тогава	tad	тогава	ADV	ADV
pirms	преди	pirms	преди	ADP	ADP
zemes	земи	zeme	земя	N;NOM;FEM;PL	N;INDF;FEM;PL
šaha	чес	šahs	чес	N;NOM;MASC;SG	N;INDF;MASC;SG
šaha	шах	šahs	шах	N;NOM;MASC;SG	N;INDF;MASC;SG
šaha	шахмат	šahs	шахмат	N;NOM;MASC;SG	N;INDF;MASC;SG
centrs	център	centrs	център	N;NOM;MASC;SG	N;INDF;MASC;SG
centrs	център	centrs	център	N;NOM;MASC;SG	N;INDF;MASC;SG
kurš	кой	kurš	кой	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
trīs	три	trīs	три	NUM;NOM;MASC;PL	NUM;INDF;PL
trīs	трима	trīs	трима	NUM;NOM;MASC;PL	NUM;INDF;PL
viņu	него	viņš	аз	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
parasti	обикновено	parasti	обикновено	ADV	ADV
parasti	обикновенно	parasti	обикновенно	ADV	ADV
parasti	обикновено	parasti	обикновено	ADV	ADV
parasti	нормално	parasti	нормално	ADV	ADV
parasti	обикновено	parasti	обикновено	ADV	ADV
parasti	обичайно	parasti	обичайно	ADV	ADV
pat	дори	pat	дори	PART	PART
pat	даже	pat	даже	PART	PART
jūras	пехотинец	jūra	пехотинец	N;NOM;FEM;SG	N;INDF;MASC;SG
http	http	http	http	N	N;INDF;MASC;SG
spēles	игри	spēle	игра	N;NOM;FEM;PL	N;INDF;FEM;PL
nosaukums	името	nosaukums	име	N;NOM;MASC;SG	N;DEF;NEUT;SG
nosaukums	наименование	nosaukums	наименование	N;NOM;MASC;SG	N;INDF;NEUT;SG
nosaukums	име	nosaukums	име	N;NOM;MASC;SG	N;INDF;NEUT;SG
sezonas	сезоните	sezona	сезон	N;NOM;FEM;PL	N;DEF;MASC;PL
sezonas	сезони	sezona	сезон	N;NOM;FEM;PL	N;INDF;MASC;PL
grupas	групи	grupa	група	N;NOM;FEM;PL	N;INDF;FEM;PL
vienu	една	viens	един	NUM;ACC;MASC;SG	NUM;INDF;FEM;SG
vienu	един	viens	един	NUM;ACC;MASC;SG	NUM;INDF;MASC;SG
vienu	едно	viens	един	NUM;ACC;MASC;SG	NUM;INDF;NEUT;SG
ieguva	спечели	iegūt	спечеля	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
laika	времето	laiks	време	N;GEN;MASC;SG	N;DEF;NEUT;SG
laika	времето	laiks	време	N;GEN;MASC;SG	N;DEF;NEUT;SG
laika	време	laiks	време	N;GEN;MASC;SG	N;INDF;NEUT;SG
gads	година	gads	година	N;NOM;MASC;SG	N;INDF;FEM;SG
gads	годината	gads	година	N;NOM;MASC;SG	N;DEF;FEM;SG
skatīt	видя	skatīt	видя-(се)	V;POS;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
skatīt	вижте	skatīt	видя-(се)	V;POS;NFIN	V;PFV;IMP;PL;2;FIN
skatīt	виж	skatīt	видя-(се)	V;POS;NFIN	V;PFV;IMP;SG;2;FIN
centra	център	centrs	център	N;GEN;MASC;SG	N;INDF;MASC;SG
padomju	дъски	padome	дъски	N;GEN;FEM;PL	N;INDF;FEM;PL
krievu	руснак	krievs	руснак	N;ACC;MASC;SG	N;INDF;MASC;SG
krievu	русо	krievs	русо	N;ACC;MASC;SG	N;INDF;NEUT;SG
angļu	англичани	anglis	англичанин	N;GEN;MASC;PL	N;INDF;MASC;PL
profils	профил	profils	профил	N;NOM;MASC;SG	N;INDF;MASC;SG
bez	без	bez	без	ADP	ADP
tautas	народите	tauta	народ	N;NOM;FEM;PL	N;DEF;MASC;PL
tautas	народи	tauta	народ	N;NOM;FEM;PL	N;INDF;MASC;PL
apmēram	приблизително	apmēram	приблизително	ADV	ADV
garums	дължина	garums	дължина	N;NOM;MASC;SG	N;INDF;FEM;SG
garums	дължина	garums	дължина	N;NOM;MASC;SG	N;INDF;FEM;SG
daudz	много	daudz	много	ADV	ADV;INDF;PL
divas	двама	divas	двама	NUM;NOM;FEM;PL	NUM;INDF;PL
divas	две	divas	два	NUM;NOM;FEM;PL	NUM;INDF;FEM;PL
komandas	команди	komanda	команд	N;NOM;FEM;PL	N;INDF;MASC;PL
komandas	командите	komanda	команд	N;NOM;FEM;PL	N;DEF;MASC;PL
komandas	отбори	komanda	отбор	N;NOM;FEM;PL	N;INDF;MASC;PL
komandas	екипи	komanda	екип	N;NOM;FEM;PL	N;INDF;MASC;PL
pils	замъка	pils	замъкам	N;NOM;FEM;SG	N;DEF;MASC;SG
pils	замъкът	pils	замък	N;NOM;FEM;SG	N;DEF;MASC;SG
pils	замък	pils	замък	N;NOM;FEM;SG	N;INDF;MASC;SG
pils	касъл	pils	касъл	N;NOM;FEM;SG	N;INDF;MASC;SG
pils	палас	pils	палас	N;NOM;FEM;SG	N;INDF;MASC;SG
pils	двореца	pils	дворец	N;NOM;FEM;SG	N;DEF;MASC;SG
pils	дворец	pils	дворец	N;NOM;FEM;SG	N;INDF;MASC;SG
pils	дворецът	pils	дворец	N;NOM;FEM;SG	N;DEF;MASC;SG
pils	палат	pils	палат	N;NOM;FEM;SG	N;INDF;MASC;SG
vietas	местоположения	vieta	местоположение	N;NOM;FEM;PL	N;INDF;NEUT;PL
vietas	места	vieta	място	N;NOM;FEM;PL	N;INDF;NEUT;PL
latns	latns	latns	latns	N;NOM;MASC;SG	N;INDF;MASC;SG
valodas	езиците	valoda	език	N;NOM;FEM;PL	N;DEF;MASC;PL
valodas	езици	valoda	език	N;NOM;FEM;PL	N;INDF;MASC;PL
sezonā	сезон	sezona	сезон	N;ESS;FEM;SG	N;INDF;MASC;SG
sezonā	сезона	sezona	сезон	N;ESS;FEM;SG	N;DEF;MASC;SG
novads	община	novads	община	N;NOM;MASC;SG	N;INDF;FEM;SG
grupa	група	grupa	група	N;NOM;FEM;SG	N;INDF;FEM;SG
grupa	групиране	grupa	групиране	N;NOM;FEM;SG	N;INDF;NEUT;SG
piedalījās	участвали	piedalīties	участвам	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
piedalījās	участвала	piedalīties	участвам	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;INDF;FEM;SG;PST;V.PTCP;ACT
piedalījās	участваха	piedalīties	участвам	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
šis	това	šis	този	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG
ūdens	вода	ūdens	вода	N;NOM;MASC;SG	N;INDF;FEM;SG
ūdens	водата	ūdens	вода	N;NOM;MASC;SG	N;DEF;FEM;SG
ģints	род	ģints	род	N;NOM;FEM;SG	N;INDF;MASC;SG
valoda	езикът	valoda	език	N;NOM;FEM;SG	N;DEF;MASC;SG
valoda	езика	valoda	език	N;NOM;FEM;SG	N;DEF;MASC;SG
valoda	език	valoda	език	N;NOM;FEM;SG	N;INDF;MASC;SG
janvārī	януари	janvāris	януари	N;ESS;MASC;SG	N;INDF;MASC;SG
sugas	видове	suga	вид	N;NOM;FEM;PL	N;INDF;MASC;PL
pasaulē	свят	pasaule	свят	N;ESS;FEM;SG	N;INDF;MASC;SG
pasaulē	света	pasaule	свят	N;ESS;FEM;SG	N;DEF;MASC;SG
jūlijā	юли	jūlijs	юли	N;ESS;MASC;SG	N;INDF;MASC;SG
ciems	село	ciems	село	N;NOM;MASC;SG	N;INDF;NEUT;SG
skaits	брой	skaits	брой	N;NOM;MASC;SG	N;INDF;MASC;SG
skaits	брой	skaits	брой	N;NOM;MASC;SG	N;INDF;MASC;SG
skaits	число	skaits	число	N;NOM;MASC;SG	N;INDF;NEUT;SG
skaits	номер	skaits	номер	N;NOM;MASC;SG	N;INDF;MASC;SG
suga	вид	suga	вид	N;NOM;FEM;SG	N;INDF;MASC;SG
spēlē	играе	spēlēt	играя	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
spēlē	свири	spēlēt	свиря	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
spēlē	играе	spēlēt	играя	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
spēlē	играят	spēlēt	играя	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
aptuveni	приблизително	aptuveni	приблизително	ADV	ADV
aptuveni	приблизително	aptuveni	приблизително	ADV	ADV
apriņķis	окръг	apriņķis	окръг	N;NOM;MASC;SG	N;INDF;MASC;SG
apriņķis	графство	apriņķis	графство	N;NOM;MASC;SG	N;INDF;NEUT;SG
upes	ривър	upe	ривър	N;NOM;FEM;SG	N;INDF;MASC;SG
upes	река	upe	река	N;NOM;FEM;SG	N;INDF;FEM;SG
upes	реката	upe	река	N;NOM;FEM;SG	N;DEF;FEM;SG
upes	ривърс	upe	ривърс	N;NOM;FEM;SG	N;INDF;MASC;SG
komanda	командване	komanda	командване	N;NOM;FEM;SG	N;INDF;NEUT;SG
komanda	команда	komanda	команда	N;NOM;FEM;SG	N;INDF;FEM;SG
