van	frå	van	frå	ADP	ADP
het	den	het	den	PRO;3	PRO;SG;3
voor	for	voor	for	ADP	ADP
met	med	met	med	ADP	ADP
zijn	er	zijn	vere	V;PL;PRS;FIN	V;IND;PRS;FIN
uit	frå	uit	frå	ADP	ADP
uit	ut	uit	ut	ADP	ADP
uit	ute	uit	ute	ADP	ADP
was	var	zijn	vere	V;SG;PST;FIN	V;IND;PST;FIN
ook	òg	ook	òg	ADV	ADV
ook	også	ook	også	ADV	ADV
ook	óg	ook	òg	ADV	ADV
ook	også	ook	også	ADV	ADV
score	poeng	score	poeng	N;MASC+FEM;SG	N;INDF;NEUT;SG
score	score	score	score	N;MASC+FEM;SG	N;INDF;NEUT;SG
score	poengsum	score	poengsum	N;MASC+FEM;SG	N;INDF;NEUT;SG
score	snes	score	snes	N;MASC+FEM;SG	N;INDF;MASC;SG
tot	inntil	tot	inntil	ADP	ADP
naam	namn	naam	namn	N;MASC+FEM;SG	N;INDF;NEUT;SG
naam	navnet	naam	navn	N;MASC+FEM;SG	N;DEF;NEUT;SG
naam	navn	naam	navn	N;MASC+FEM;SG	N;INDF;NEUT;SG
soort	kind	soort	kind	N;SG	N;INDF;MASC;SG
soort	typen	soort	type	N;SG	N;DEF;MASC;SG
soort	type	soort	type	N;SG	N;INDF;MASC;SG
soort	art	soort	art	N;SG	N;INDF;MASC;SG
familie	familien	familie	familie	N;MASC+FEM;SG	N;DEF;MASC;SG
familie	familie	familie	familie	N;MASC+FEM;SG	N;INDF;MASC;SG
familie	slekt	familie	slekkje	N;MASC+FEM;SG	N;INDF;FEM;SG
eerst	først	eerst	først	ADV	ADV
maar	men	maar	men	CONJ	CONJ
gepubliceerd	publiserte	publiceren	publisere	V;V.PTCP	V;IND;PST;FIN
geldig	gyldige	geldig	gyldig	ADJ	ADJ;PL
geldig	gyldig	geldig	gyldig	ADJ	ADJ;INDF;NEUT;SG
over	om	over	om	ADP	ADP
over	over	over	over	ADP	ADP
heeft	har	hebben	ha	V;SG;PRS;FIN	V;IND;PRS;FIN
dan	deretter	dan	deretter	ADV	ADV
dan	så	dan	så	ADV	ADV
dan	da	dan	da	ADV	ADV
plaats	spisested	plaats	spisested	N;MASC+FEM;SG	N;INDF;MASC;SG
plaats	place	plaats	place	N;MASC+FEM;SG	N
onder	under	onder	under	ADP	ADP
onder	under	onder	under	ADP	ADP
team	avdeling	team	avdeling	N;NEUT;SG	N;INDF;FEM;SG
team	squad	team	squad	N;NEUT;SG	N;INDF;MASC;SG
team	troppen	team	tropp	N;NEUT;SG	N;DEF;MASC;SG
team	lag	team	lag	N;NEUT;SG	N;INDF;NEUT;SG
team	laget	team	lag	N;NEUT;SG	N;DEF;NEUT;SG
team	team	team	team	N;NEUT;SG	N;INDF;NEUT;SG
nog	framleis	nog	framleis	ADV	ADV
nog	likevel	nog	likevel	ADV	ADV
eerste	første	één	første	ADJ	ADJ;DEF;SG
kan	kan	kunnen	kunne	V;SG;PRS;FIN	V;IND;PRS;FIN
haar	henne	haar	ho	PRO;ACC;3	PRO;ACC;FEM;SG;3
wel	vel	wel	vel	ADV	ADV
jaar	ar	jaar	ar	N;NEUT;SG	N;INDF;MASC;SG
jaar	år	jaar	år	N;NEUT;SG	N;INDF;NEUT;SG
jaar	årsmodell	jaar	årsmodell	N;NEUT;SG	N;INDF;MASC;SG
jaar	året	jaar	år	N;NEUT;SG	N;DEF;NEUT;SG
jaar	år	jaar	år	N;NEUT;SG	N;INDF;NEUT;SG
twee	to	twee	to	NUM	NUM;PL
deel	delingen	deel	deling	N;NEUT;SG	N;DEF;MASC;SG
deel	andel	deel	andel	N;NEUT;SG	N;INDF;MASC;SG
externe	ekstern	extern	ekstern	ADJ	ADJ;INDF;SG
externe	eksternt	extern	eksternt	ADJ	ADJ;INDF;NEUT;SG
externe	eksterne	extern	ekstern	ADJ	ADJ;PL
overleg	konsultasjoner	overleg	konsultasjon	N;NEUT;SG	N;INDF;MASC;SG
overleg	konsultasjon	overleg	konsultasjon	N;NEUT;SG	N;INDF;MASC;SG
tussen	mellom	tussen	mellom	ADP	ADP
had	hadde	hebben	ha	V;SG;PST;FIN	V;IND;PST;FIN
had	hatt	hebben	ha	V;SG;PST;FIN	V;V.PTCP
hebben	har	hebben	ha	V;PL;PRS;FIN	V;IND;PRS;FIN
hebben	ha	hebben	ha	V;PL;PRS;FIN	V;IMP;FIN
hun	sine	hun	sin	PRO;ACC;3	PRO;PL
tegen	mot	tegen	mot	ADP	ADP
waren	var	zijn	vere	V;PL;PST;FIN	V;IND;PST;FIN
kunnen	kan	kunnen	kunne	V;PL;PRS;FIN	V;IND;PRS;FIN
zie	skjønner	zien	skjønne	V;SG;PRS;FIN	V;IND;PRS;FIN
zie	sjå	zien	sjå	V;SG;PRS;FIN	V;IMP;FIN
geslacht	kjønn	geslacht	kjønn	N;NEUT;SG	N;INDF;NEUT;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;INDF;MASC;SG
grote	stor	groot	stor	ADJ	ADJ;INDF;SG
grote	stort	groot	stor	ADJ	ADJ;INDF;NEUT;SG
grote	store	groot	stor	ADJ	ADJ;PL
grote	stor	groot	stor	ADJ	ADJ;INDF;SG
grote	stort	groot	stor	ADJ	ADJ;INDF;NEUT;SG
aantal	tall	aantal	tall	N;NEUT;SG	N;INDF;NEUT;SG
aantal	nummer	aantal	nummer	N;NEUT;SG	N;INDF;NEUT;SG
aantal	number	aantal	number	N;NEUT;SG	N
aantal	antall	aantal	antall	N;NEUT;SG	N;INDF;NEUT;SG
nieuwe	ny	nieuw	ny	ADJ	ADJ;INDF;SG
nieuwe	nye	nieuw	ny	ADJ	ADJ;PL
nieuwe	nytt	nieuw	ny	ADJ	ADJ;INDF;NEUT;SG
later	seinare	laat	sein	ADJ;CMPR	ADJ;CMPR
artikel	artikkel	artikel	artikkel	N;NEUT;SG	N;INDF;MASC;SG
artikel	artikkelen	artikel	artikkel	N;NEUT;SG	N;DEF;MASC;SG
via	via	via	via	ADP	ADP
gebied	sone	gebied	sone	N;NEUT;SG	N;INDF;FEM;SG
gebied	zone	gebied	zone	N;NEUT;SG	N;INDF
gebied	areal	gebied	areal	N;NEUT;SG	N;INDF;NEUT;SG
gebied	område	gebied	område	N;NEUT;SG	N;INDF;NEUT;SG
gebied	området	gebied	område	N;NEUT;SG	N;DEF;NEUT;SG
gebied	area	gebied	area	N;NEUT;SG	N;INDF;MASC;SG
nederlandse	hollandsk	nederlands	hollandsk	ADJ	ADJ;INDF;SG
alle	all	al	all	DET	DET;MASC;SG
stad	byen	stad	by	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	by	stad	by	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	city	stad	city	N;MASC+FEM;SG	N
stad	byen	stad	by	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	poststed	stad	poststed	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	by	stad	by	N;MASC+FEM;SG	N;INDF;MASC;SG
lijst	liste	lijst	liste	N;MASC+FEM;SG	N;INDF;FEM;SG
lijst	list	lijst	list	N;MASC+FEM;SG	N;INDF;FEM;SG
lijst	listen	lijst	list	N;MASC+FEM;SG	N;DEF;MASC;SG
hier	her	hier	her	ADV	ADV
omdat	fordi	omdat	fordi	CONJ	CONJ
links	forlatt	links	forlatt	ADJ	ADJ;INDF;NEUT;SG;V.PTCP
nederland	nederland	nederland	nederland	N;NEUT;SG	N;INDF;NEUT;SG
jan	jan	jan	jan	N;MASC+FEM;SG	N;MASC
tijd	tid	tijd	tid	N;MASC+FEM;SG	N;INDF;FEM;SG
tijd	klokkeslett	tijd	klokkeslett	N;MASC+FEM;SG	N;INDF;FEM;SG
tijd	gang	tijd	gang	N;MASC+FEM;SG	N;INDF;MASC;SG
daar	der	daar	der	ADV	ADV
drie	tre	drie	tre	NUM	NUM;PL
vanaf	frå	vanaf	frå	ADP	ADP
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N;INDF;MASC;SG
provincie	provins	provincie	provins	N;MASC+FEM;SG	N;INDF;MASC;SG
provincie	provinser	provincie	provinser	N;MASC+FEM;SG	N;INDF;MASC;SG
provincie	provinsen	provincie	provins	N;MASC+FEM;SG	N;DEF;MASC;SG
link	link	link	link	N;MASC+FEM;SG	N;INDF;MASC;SG
link	kobling	link	kobling	N;MASC+FEM;SG	N;INDF;FEM;SG
link	lenke	link	lenke	N;MASC+FEM;SG	N;INDF;MASC;SG
http	http	ht	http	N;MASC+FEM;SG	N;INDF;MASC;SG
km²	km²	km²	km²	N;MASC+FEM;SG	N;INDF;MASC;SG
alleen	åleine	alleen	åleine	ADV	ADV
alleen	aleine	alleen	aleine	ADV	ADV
alleen	berre	alleen	berre	ADV	ADV
alleen	bare	alleen	bare	ADV	ADV
nederlands	hollandsk	nederland	hollandsk	ADJ	ADJ;INDF;SG
eeuw	århundre	eeuw	århundre	N;MASC+FEM;SG	N;INDF;NEUT;SG
vlinder	butterfly	vlinder	butterfly	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	sommerfugl	vlinder	sommerfugl	N;MASC+FEM;SG	N;INDF;MASC;SG
per	per	per	per	ADP	ADP
keversoort	bille	keversoort	bille	N;MASC+FEM;SG	N;INDF;FEM;SG
bekend	kjente	bekend	kjent	ADJ	ADJ;PL
bekend	kjent	bekend	kjent	ADJ	ADJ;INDF;NEUT;SG
bekend	velkjent	bekend	velkjent	ADJ	ADJ;INDF;NEUT;SG
bekend	kjent	bekend	kjent	ADJ	ADJ;INDF;NEUT;SG
club	club	club	club	N;MASC+FEM;SG	N;INDF;MASC;SG
club	klubb	club	klubb	N;MASC+FEM;SG	N;INDF;MASC;SG
maken	lage	maken	lage	V;NFIN	V;NFIN
maken	opprette	maken	opprette	V;NFIN	V;NFIN
maken	skape	maken	skape	V;NFIN	V;IMP;NFIN
maken	lage	maken	lage	V;NFIN	V;NFIN
amerikaanse	amerikanske	amerikaans	amerikansk	ADJ	ADJ;PL
amerikaanse	amerikansk	amerikaans	amerikansk	ADJ	ADJ;INDF;SG
verder	lenger	verder	lenge	ADJ;CMPR	ADJ;CMPR
verder	lengre	verder	lang	ADJ;CMPR	ADJ;CMPR
verschillende	ulike	verschillend	ulik	ADJ	ADJ;PL
verschillende	forskjellige	verschillend	forskjellig	ADJ	ADJ;PL
verschillende	forskjellig	verschillend	forskjellig	ADJ	ADJ;INDF;NEUT;SG
verschillende	ymse	verschillend	ymis	ADJ	ADJ;PL
verschillende	diverse	verschillend	diverse	ADJ	ADJ;PL
bestaat	eksisterer	bestaan	eksistere	V;SG;PRS;FIN	V;IND;PRS;FIN
seizoen	sesong	seizoen	sesong	N;NEUT;SG	N;INDF;MASC;SG
seizoen	sesongen	seizoen	sesong	N;NEUT;SG	N;DEF;MASC;SG
seizoen	årstid	seizoen	årstid	N;NEUT;SG	N;INDF;FEM;SG
gaat	går	gaan	gå	V;SG;PRS;FIN	V;IND;PRS;FIN
insect	bug	insect	bug	N;NEUT;SG	N;INDF;MASC;SG
film	movie	film	movie	N;MASC+FEM;SG	N;INDF
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
rond	rundt	rond	rundt	ADP	ADP
rond	omkring	rond	omkring	ADP	ADP
rond	rundt	rond	rundt	ADP	ADP
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	N;DEF;NEUT;SG
land	fedreland	land	fedreland	N;NEUT;SG	N;INDF;NEUT;SG
land	landet	land	land	N;NEUT;SG	N;DEF;NEUT;SG
land	land	land	land	N;NEUT;SG	N;INDF;NEUT;SG
land	country	land	country	N;NEUT;SG	N;INDF
land	land	land	land	N;NEUT;SG	N;INDF;NEUT;SG
ging	gikk	gaan	gå	V;SG;PST;FIN	V;IND;PST;FIN
ging	dro	gaan	dro	V;SG;PST;FIN	V;IND;PST;FIN
ging	gjekk	gaan	gå	V;SG;PST;FIN	V;IND;PST;FIN
kreeg	fikk	krijgen	fikk	V;SG;PST;FIN	V;IND;PST;FIN
werk	arbeid	werk	arbeid	N;NEUT;SG	N;INDF;NEUT;SG
werk	jobb	werk	jobb	N;NEUT;SG	N;INDF;MASC;SG
website	nettsted	website	nettsted	N;MASC+FEM;SG	N;INDF;NEUT;SG
website	nettside	website	nettside	N;MASC+FEM;SG	N;INDF;FEM;SG
website	nettstedet	website	nettsted	N;MASC+FEM;SG	N;DEF;NEUT;SG
goed	flinke	goed	flink	ADJ	ADJ;PL
goed	flink	goed	flink	ADJ	ADJ;INDF;SG
goed	godt	goed	god	ADJ	ADJ;INDF;NEUT;SG
goed	dyktig	goed	dyktig	ADJ	ADJ;INDF;SG
goed	god	goed	god	ADJ	ADJ;INDF;SG
