ele	그를	ele	그+를	PRO;NOM;MASC;SG;3	PRO
mas	그런데	mas	그런데	CONJ	CONJ
mas	그러나	mas	그러나	CONJ	CONJ
mas	하지만	mas	하지만	CONJ	CONJ
discussão	논의	discussão	논의	N;FEM;SG	N
cidade	시내	cidade	시내	N;FEM;SG	N
cidade	도시	cidade	도시	N;FEM;SG	N
cidade	마을	cidade	마을	N;FEM;SG	N
cidade	도시	cidade	도시	N;FEM;SG	N
mesmo	똑같이	mesmo	똑같이	ADV	ADV
onde	어디서	onde	어디+서	ADV	ADV
onde	어디에	onde	어디+에	ADV	ADV
onde	어디로	onde	어디+로	ADV	ADV
depois	나중에	depois	나중+에	ADV	ADV
estado	상태	estado	상태	N;MASC;SG	N
estado	상태	estado	상태	N;MASC;SG	N
estado	국가	estado	국가	N;MASC;SG	N
estado	조건	estado	조건	N;MASC;SG	N
primeiro	우선	primeiro	우선	ADV	ADV
primeiro	먼저	primeiro	먼저	ADV	ADV
ligações	연결	ligação	연결	N;FEM;PL	N
parte	부분	parte	부분	N;FEM;SG	N
parte	부품	parte	부품	N;FEM;SG	N
nome	이름	nome	이름	N;MASC;SG	N
ainda	아직도	ainda	아직도	ADV	ADV
ainda	여전히	ainda	여전+히	ADV	ADV
ela	그녀는	ela	그녀+는	PRO;NOM;FEM;SG;3	PRO
ela	그녀의	ela	그녀+의	PRO;NOM;FEM;SG;3	PRO
dia	하루	dia	하루	N;MASC;SG	N
muito	아주	muito	아주	ADV	ADV
muito	매우	muito	매우	ADV	ADV
muito	많이	muito	많이	ADV	ADV
muito	훨씬	muito	훨씬	ADV	ADV
região	지방	região	지방	N;FEM;SG	N
região	지역	região	지역	N;FEM;SG	N
artigo	기사	artigo	기사	N;MASC;SG	N
apenas	오직	apenas	오직	ADV	ADV
apenas	단지	apenas	단지	ADV	ADV
apenas	그냥	apenas	그냥	ADV	ADV
área	구역	área	구역	N;FEM;SG	N
área	영역	área	영역	N;FEM;SG	N
área	지역	área	지역	N;FEM;SG	N
lista	목록	lista	목록	N;FEM;SG	N
lista	명단	lista	명단	N;FEM;SG	N
lista	목록	lista	목록	N;FEM;SG	N
março	행진	março	행진	N;MASC;SG	N
norte	북부	norte	북부	N;MASC;SG	N
norte	북쪽	norte	북+쪽	N;MASC;SG	N
norte	북부	norte	북부	N;MASC;SG	N
grupo	집단	grupo	집단	N;MASC;SG	N
ver	보기	ver	보+기	V;NFIN	V
álbum	앨범	álbum	앨범	N;MASC;SG	N
álbum	음반	álbum	음반	N;MASC;SG	N
tempo	날씨	tempo	날씨	N;MASC;SG	N
tempo	시간	tempo	시간	N;MASC;SG	N
dezembro	적위	dezembro	적위	N;MASC;SG	N
forma	형태	forma	형태	N;FEM;SG	N
forma	모양	forma	모양	N;FEM;SG	N
forma	형태	forma	형태	N;FEM;SG	N
forma	양식	forma	양식	N;FEM;SG	N
série	직렬	série	직렬	N;FEM;SG	N
final	결승전	final	결승전	N;MASC;SG	N
final	결승	final	결승	N;MASC;SG	N
final	종료	final	종료	N;MASC;SG	N
final	기말고사	final	기말고사	N;MASC;SG	N
final	결승전	final	결승전	N;MASC;SG	N
história	이야기	história	이야기	N;FEM;SG	N
história	스토리	história	스토리	N;FEM;SG	N
história	소식	história	소식	N;FEM;SG	N
história	역사	história	역사	N;FEM;SG	N
história	내역	história	내역	N;FEM;SG	N
história	기록	história	기록	N;FEM;SG	N
filme	영화	filme	영화	N;MASC;SG	N
filme	필름	filme	필름	N;MASC;SG	N
filme	영화	filme	영화	N;MASC;SG	N
antes	전에	antes	전+에	ADV	ADV
guerra	전쟁	guerra	전쟁	N;FEM;SG	N
população	인구순	população	인구순	N;FEM;SG	N
população	인구	população	인구	N;FEM;SG	N
mundo	세상	mundo	세상	N;MASC;SG	N
mundo	세계	mundo	세계	N;MASC;SG	N
banda	밴드	banda	밴드	N;FEM;SG	N
gols	목표	gol	목표	N;MASC;PL	N
jogos	게임	jogo	게임	N;MASC;PL	N
center	중앙	center	중앙	N;MASC;SG	N
center	중심	center	중심	N;MASC;SG	N
vida	생명	vida	생명	N;FEM;SG	N
vida	생활	vida	생활	N;FEM;SG	N
vida	인생	vida	인생	N;FEM;SG	N
país	나라	país	나라	N;MASC;SG	N
país	국가	país	국가	N;MASC;SG	N
eles	그들이	eles	그+들+이	PRO;NOM;MASC;PL;3	PRO
eles	그들은	eles	그+들+은	PRO;NOM;MASC;PL;3	PRO
música	음악	música	음악	N;FEM;SG	N
música	뮤직	música	뮤직	N;FEM;SG	N
futebol	축구	futebol	축구	N;MASC;SG	N
futebol	축구	futebol	축구	N;MASC;SG	N
futebol	미식축구	futebol	미식+축구	N;MASC;SG	N
futebol	풋볼	futebol	풋볼	N;MASC;SG	N
espécie	종족	espécie	종족	N;FEM;SG	N
pessoas	국민	pessoa	국민	N;FEM;PL	N
pessoas	사람	pessoa	사람	N;FEM;PL	N
pessoas	사람들	pessoa	사람+들	N;FEM;PL	N
presidente	회장	presidente	회장	N;MASC;SG	N
presidente	대통령	presidente	대통령	N;MASC;SG	N
presidente	회장님	presidente	회장님	N;MASC;SG	N
presidente	회장	presidente	회장	N;MASC;SG	N
caso	케이스	caso	케이스	N;MASC;SG	N
caso	사례	caso	사례	N;MASC;SG	N
jogo	게임	jogo	게임	N;MASC;SG	N
jogo	경기	jogo	경기	N;MASC;SG	N
sistema	체계	sistema	체계	N;MASC;SG	N
sistema	시스템	sistema	시스템	N;MASC;SG	N
americano	미국인	americano	미국인	N;MASC;SG	N
período	기간	período	기간	N;MASC;SG	N
período	시대	período	시대	N;MASC;SG	N
século	세기	século	세기	N;MASC;SG	N
título	제목	título	제목	N;MASC;SG	N
lugar	장소	lugar	장소	N;MASC;SG	N
filho	아들	filho	아들	N;MASC;SG	N
governo	정부	governo	정부	N;MASC;SG	N
artigos	기사	artigo	기사	N;MASC;PL	N
artigos	상품	artigo	상품	N;MASC;PL	N
artigos	항목	artigo	항목	N;MASC;PL	N
artigos	품목	artigo	품목	N;MASC;PL	N
artigos	아이템	artigo	아이템	N;MASC;PL	N
local	장소	local	장소	N;MASC;SG	N
local	장소	local	장소	N;MASC;SG	N
local	공연장	local	공연장	N;MASC;SG	N
trabalho	직업	trabalho	직업	N;MASC;SG	N
trabalho	직장	trabalho	직장	N;MASC;SG	N
trabalho	작업	trabalho	작업	N;MASC;SG	N
acordo	협정	acordo	협정	N;MASC;SG	N
acordo	합의	acordo	합의	N;MASC;SG	N
acordo	편곡	acordo	편곡	N;MASC;SG	N
número	숫자	número	숫자	N;MASC;SG	N
número	번호	número	번호	N;MASC;SG	N
terra	지구	terra	지구	N;FEM;SG	N
gênero	장르	gênero	장르	N;MASC;SG	N
gênero	성별	gênero	성별	N;MASC;SG	N
igreja	교회	igreja	교회	N;FEM;SG	N
universidade	대학교	universidade	대학교	N;FEM;SG	N
universidade	대학	universidade	대학	N;FEM;SG	N
universidade	대학교	universidade	대학교	N;FEM;SG	N
universidade	대학	universidade	대학	N;FEM;SG	N
centro	중앙	centro	중앙	N;MASC;SG	N
centro	중심	centro	중심	N;MASC;SG	N
centro	중앙	centro	중앙	N;MASC;SG	N
início	시작	início	시작	N;MASC;SG	N
tipo	종류	tipo	종류	N;MASC;SG	N
tipo	친절	tipo	친절	N;MASC;SG	N
tipo	종류	tipo	종류	N;MASC;SG	N
tipo	유형	tipo	유형	N;MASC;SG	N
canção	노래	canção	노래	N;FEM;SG	N
edição	편집	edição	편집	N;FEM;SG	N
edição	수정	edição	수정	N;FEM;SG	N
edição	게시	edição	게시	N;FEM;SG	N
edição	출판	edição	출판	N;FEM;SG	N
lançado	시작됨	lançar	시작+되+ㄴ	V;MASC;SG;V.PTCP	V
água	물이	água	물+이	N;FEM;SG	N
época	계절	época	계절	N;FEM;SG	N
exemplo	예제	exemplo	예제	N;MASC;SG	N
exemplo	예시	exemplo	예시	N;MASC;SG	N
morte	죽음	morte	죽음	N;FEM;SG	N
morte	사망	morte	사망	N;FEM;SG	N
produção	생산	produção	생산	N;FEM;SG	N
produção	제작	produção	제작	N;FEM;SG	N
temporada	계절	temporada	계절	N;FEM;SG	N
time	시간	time	시간	N;MASC;SG	N
geral	장군	geral	장군	N;MASC;SG	N
geral	일반	geral	일반	N;MASC;SG	N
aqui	여기에	aqui	여기+에	ADV	ADV
versão	버전	versão	버전	N;FEM;SG	N
fim	종료	fim	종료	N;MASC;SG	N
programa	프로그램	programa	프로그램	N;MASC;SG	N
porto	항구	porto	항구	N;MASC;SG	N
fontes	출처	fonte	출처	N;FEM;PL	N
fontes	글꼴	fonte	글꼴	N;FEM;PL	N
sempre	항상	sempre	항상	ADV	ADV
sempre	언제나	sempre	언제나	ADV	ADV
escola	학교	escola	학교	N;FEM;SG	N
escola	학교는	escola	학교+는	N;FEM;SG	N
dados	자료	dado	자료	N;MASC;PL	N
dados	데이터	dado	데이터	N;MASC;PL	N
posição	직위	posição	직위	N;FEM;SG	N
posição	포지션	posição	포지션	N;FEM;SG	N
asteroide	소행성	asteroider	소행성	N;MASC;SG	N
você	당신은	você	당신+은	PRO;NOM;SG;3	PRO
você	당신	você	당신	PRO;NOM;SG;3	PRO
ordem	순서	ordem	순서	N;FEM;SG	N
ordem	주문	ordem	주문	N;FEM;SG	N
pai	아버지	pai	아버지	N;MASC;SG	N
estádio	경기장	estádio	경기장	N;MASC;SG	N
estádio	스타디움	estádio	스타디움	N;MASC;SG	N
partido	파티	partido	파티	N;MASC;SG	N
começou	시작되었습니다	começar	시작+되+었+습니다	V;IND;SG;3;PST;FIN	V
começou	시작했습니다	começar	시작+하+었+습니다	V;IND;SG;3;PST;FIN	V
começou	시작됨	começar	시작+되+ㄴ	V;IND;SG;3;PST;FIN	V
mesma	같은	mesmo	같+ㄴ	ADJ;FEM;SG	ADJ
carreira	경력	carreira	경력	N;FEM;SG	N
carreira	직업	carreira	직업	N;FEM;SG	N
placar	점수	placar	점수	N;MASC;SG	N
placar	득점	placar	득점	N;MASC;SG	N
uso	사용법	uso	사용법	N;MASC;SG	N
uso	사용량	uso	사용량	N;MASC;SG	N
uso	사용	uso	사용	N;MASC;SG	N
uso	사용	uso	사용	N;MASC;SG	N
uso	이용	uso	이용	N;MASC;SG	N
poder	전력	poder	전력	N;MASC;SG	N
poder	권력	poder	권력	N;MASC;SG	N
reino	왕국	reino	왕국	N;MASC;SG	N
reino	왕국	reino	왕국	N;MASC;SG	N
grandes	대형	grande	대형	N;MASC;PL	N
conta	계좌	conta	계좌	N;FEM;SG	N
conta	계정	conta	계정	N;FEM;SG	N
vila	시내	vila	시내	N;FEM;SG	N
vila	도시	vila	도시	N;FEM;SG	N
vila	마을	vila	마을	N;FEM;SG	N
vila	마을	vila	마을	N;FEM;SG	N
política	정책	política	정책	N;FEM;SG	N
política	방침	política	방침	N;FEM;SG	N
política	정치	política	정치	N;FEM;SG	N
política	정치학	política	정치학	N;FEM;SG	N
base	기지	base	기지	N;FEM;SG	N
base	기초	base	기초	N;FEM;SG	N
base	근거	base	근거	N;FEM;SG	N
base	기저	base	기저	N;FEM;SG	N
direito	오른쪽	direito	오른쪽	N;MASC;SG	N
direito	법칙	direito	법칙	N;MASC;SG	N
direito	법률	direito	법률	N;MASC;SG	N
direito	법학	direito	법학	N;MASC;SG	N
real	진짜	real	진짜	N;MASC;SG	N
público	타겟	público	타산	N;MASC;SG	N
público	관객	público	관객	N;MASC;SG	N
público	공공	público	공공	N;MASC;SG	N
público	공개	público	공개	N;MASC;SG	N
público	공중	público	공중	N;MASC;SG	N
capital	자본	capital	자본	N;MASC;SG	N
capital	자본주의	capital	자본주의	N;MASC;SG	N
empresa	회사	empresa	회사	N;FEM;SG	N
empresa	기업	empresa	기업	N;FEM;SG	N
empresa	기업	empresa	기업	N;FEM;SG	N
corpo	시체	corpo	시체	N;MASC;SG	N
corpo	몸매	corpo	몸매	N;MASC;SG	N
corpo	몸매가	corpo	몸매+가	N;MASC;SG	N
divisão	사단	divisão	사단	N;FEM;SG	N
divisão	디비전	divisão	디비전	N;FEM;SG	N
relação	관계	relação	관계	N;FEM;SG	N
relação	연애	relação	연애	N;FEM;SG	N
relação	관계	relação	관계	N;FEM;SG	N
república	공화국	república	공화국	N;FEM;SG	N
votação	투표	votação	투표	N;FEM;SG	N
votação	득표	votação	득표	N;FEM;SG	N
votação	투표	votação	투표	N;FEM;SG	N
votação	투표	votação	투표	N;FEM;SG	N
data	데이트	data	데이트	N;FEM;SG	N
data	자료	data	자료	N;FEM;SG	N
data	데이터	data	데이터	N;FEM;SG	N
desenvolvimento	개발	desenvolvimento	개발	N;MASC;SG	N
desenvolvimento	발달	desenvolvimento	발달	N;MASC;SG	N
diretor	감독	diretor	감독	N;MASC;SG	N
categoria	카테고리	categoria	카테고리	N;FEM;SG	N
categoria	범주	categoria	범주	N;FEM;SG	N
categoria	분류	categoria	분류	N;FEM;SG	N
militar	군사	militar	군사	N;MASC;SG	N
campeão	챔피언	campeão	챔피언	N;MASC;SG	N
campeão	챔피언	campeão	챔피언	N;MASC;SG	N
sucesso	성공적	sucesso	성공+적	N;MASC;SG	N
sucesso	성공	sucesso	성공	N;MASC;SG	N
sucesso	성공적	sucesso	성공+적	N;MASC;SG	N
sucesso	성공	sucesso	성공	N;MASC;SG	N
fora	밖에서	fora	밖+에서	ADV	ADV
comunidade	연방	comunidade	연방	N;FEM;SG	N
comunidade	공동체	comunidade	공동체	N;FEM;SG	N
idade	연령	idade	연령	N;FEM;SG	N
idade	나이	idade	나이	N;FEM;SG	N
cinco	다섯	cinco	다섯	NUM	NUM
recebeu	받았습니다	receber	받+았+습니다	V;IND;SG;3;PST;FIN	V
recebeu	받은	receber	받+ㄴ	V;IND;SG;3;PST;FIN	V
média	평균	média	평균	N;FEM;SG	N
média	미디어	média	미디어	N;FEM;SG	N
média	중간	média	중간	N;FEM;SG	N
média	평균	média	평균	N;FEM;SG	N
média	평균	média	평균	N;FEM;SG	N
departamento	부서	departamento	부서	N;MASC;SG	N
quase	거의	quase	거의	ADV	ADV
boa	좋다	bom	좋+다	ADJ;FEM;SG	ADJ
processo	프로세스	processo	프로세스	N;MASC;SG	N
processo	과정	processo	과정	N;MASC;SG	N
bom	좋다	bom	좋+다	ADJ;MASC;SG	ADJ
arte	예술	arte	예술	N;FEM;SG	N
arte	미술	arte	미술	N;FEM;SG	N
total	총액	total	총액	N;MASC;SG	N
total	전체	total	전체	N;MASC;SG	N
lei	법칙	lei	법칙	N;FEM;SG	N
lei	법률	lei	법률	N;FEM;SG	N
lei	법학	lei	법학	N;FEM;SG	N
obras	작동	obra	작동	N;FEM;PL	N
obras	작품	obra	작품	N;FEM;PL	N
censo	인구조사	censo	인구+조사	N;MASC;SG	N
língua	언어	língua	언어	N;FEM;SG	N
sede	본부	sede	본부	N;FEM;SG	N
sede	본사	sede	본사	N;FEM;SG	N
pontos	점수	ponto	점수	N;MASC;PL	N
pontos	바늘	ponto	바늘	N;MASC;PL	N
origem	출처	origem	출처	N;FEM;SG	N
origem	출처	origem	출처	N;FEM;SG	N
exército	육군	exército	육군	N;MASC;SG	N
exército	군대	exército	군대	N;MASC;SG	N
texto	텍스트	texto	텍스트	N;MASC;SG	N
texto	문자	texto	문자	N;MASC;SG	N
texto	문구	texto	문구	N;MASC;SG	N
membros	구성원	membro	구성원	N;MASC;PL	N
membros	멤버들	membro	멤버+들	N;MASC;PL	N
altura	키는	altura	키+는	N;FEM;SG	N
direção	방향	direção	방향	N;FEM;SG	N
direção	스티어링	direção	스티어링	N;FEM;SG	N
direção	핸들링	direção	핸들링	N;FEM;SG	N
imagem	사진	imagem	사진	N;FEM;SG	N
imagem	그림	imagem	그림	N;FEM;SG	N
imagem	그림	imagem	그림	N;FEM;SG	N
usuário	사용자	usuário	사용자	N;MASC;SG	N
diferentes	다르다	diferente	다르+다	ADJ;MASC;PL	ADJ
homem	남자	homem	남자	N;MASC;SG	N
homem	남성	homem	남성	N;MASC;SG	N
homem	사람	homem	사람	N;MASC;SG	N
criação	생성	criação	생성	N;FEM;SG	N
criação	창조	criação	창조	N;FEM;SG	N
construção	건물	construção	건물	N;FEM;SG	N
construção	건축	construção	건축	N;FEM;SG	N
construção	빌딩	construção	빌딩	N;FEM;SG	N
