ensino	nastava	ensino	nastava	N	N;NOM;FEM;SG
informática	računalo	informática	računalo	N	N;NOM;NEUT;SG
técnicas	tehnike	técnica	tehnika	N	N;NOM;FEM;PL
veterinarios	veterinari	veterinario	veterinar	N	N;NOM;MASC;PL
confesión	ispovijed	confesión	ispovijed	N	N;NOM;FEM;SG
confesión	ispovijedi	confesión	ispovijediti	N	N;NOM;FEM;PL
confesión	priznanje	confesión	priznanje	N	N;NOM;NEUT;SG
medicinas	lijek	medicina	lijek	N	N;NOM;MASC;SG
medicinas	lijekovi	medicina	lijek	N	N;NOM;MASC;PL
medicinas	medicina	medicina	medicina	N	N;NOM;FEM;SG
perden	izgubi	perder	izguba	V	V;IND;SG;3;PRS;FIN
perden	izgubiti	perder	izgubiti	V	V;NFIN
culturas	kulture	cultura	kultura	N	N;NOM;FEM;PL
interpretación	tumačenje	interpretación	tumačenje	N	N;NOM;NEUT;SG
interpretación	interpretacija	interpretación	interpretacija	N	N;NOM;FEM;SG
escoitan	sluša	escoitar	sluša	V	V;IND;SG;3;PRS;FIN
escoitan	slušam	escoitar	slušati	V	V;IND;SG;1;PRS;FIN
dinámica	dynamics	dinámica	dynamics	N	N;NOM;MASC;SG
populares	popularni	popular	popularan	ADJ	ADJ;NOM;DEF;MASC;SG
populares	popularna	popular	popularan	ADJ	ADJ;NOM;DEF;FEM;SG
populares	popularan	popular	popularan	ADJ	ADJ;NOM;INDF;MASC;SG
populares	popularne	popular	popularan	ADJ	ADJ;NOM;DEF;FEM;PL
populares	popularno	popular	popularan	ADJ	ADJ;NOM;DEF;NEUT;SG
aumenta	hoce	aumentar	hoce	V	V;IND;SG;3;PRS;FIN
sida	aids	sida	aids	N	N;NOM;MASC;SG
sida	sida	sida	sid	N	N;NOM;MASC;SG
similar	slično	similar	sličan	ADJ	ADJ;NOM;DEF;NEUT;SG
similar	slični	similar	sličan	ADJ	ADJ;NOM;DEF;MASC;PL
similar	slične	similar	sličan	ADJ	ADJ;NOM;DEF;FEM;PL
similar	slična	similar	sličan	ADJ	ADJ;NOM;DEF;FEM;SG
espectadores	gledatelji	espectador	gledatelj	N	N;NOM;MASC;PL
espectadores	gledatelje	espectador	gledatelj	N	N;ACC;MASC;PL
espectadores	gledatelja	espectador	gledatelj	N	N;GEN;MASC;PL
espectadores	gledateljima	espectador	gledatelj	N	N;DAT;MASC;PL
decateime	shvatio	decateime	shvatiti	V	V;MASC;SG;PST;V.PTCP;ACT
saibas	znati	saber	znati	V	V;NFIN
garantía	garancija	garantía	garancija	N	N;NOM;FEM;SG
garantía	jamstvo	garantía	jamstvo	N	N;NOM;NEUT;SG
garantía	garancije	garantía	garancija	N	N;NOM;FEM;PL
bambú	bambusa	bambú	bambus	N	N;ACC;MASC;SG
bambú	bambus	bambú	bambus	N	N;NOM;MASC;SG
pensaban	mislio	pensabar	misliti	V	V;MASC;SG;PST;V.PTCP;ACT
xulgado	sud	xulgado	sud	N	N;NOM;MASC;SG
xulgado	dvor	xulgado	dvor	N	N;NOM;MASC;SG
