geprüft	zkontroloval	prüfen	zkontrolovat	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
rückseite	reverzní	rückseite	reverzní	ADJ	ADJ;NOM;MASC;SG;POS
rückseite	zpětný	rückseite	zpětný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
rückseite	zadní	rückseite	zadní	ADJ	ADJ;NOM;MASC;SG;POS
geheimen	tajný	geheimen	tajný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
geheimen	tajná	geheimen	tajný	ADJ	ADJ;NOM;FEM;SG;POS
geheimen	tajné	geheimen	tajný	ADJ	ADJ;NOM;MASC;SG;POS
teilung	rozděl	teilung	rozděl	N;NOM;FEM;SG	N;NOM;MASC;SG;POS
verschwinden	mizí	verschwinden	mizet	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
verschwinden	zmizet	verschwinden	zmizet	V;NFIN	V;POS;NFIN
verschwinden	zmizí	verschwinden	zmizet	V;NFIN	V;IND;SG;3;POS;PRS;FIN;ACT
magdalena	magdaléna	magdalena	magdalén	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
magdalena	magdalena	magdalena	magdalen	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
spenden	přispět	spenden	přispět	V;NFIN	V;POS;NFIN
spenden	darovat	spenden	darovat	V;NFIN	V;IPFV;POS;NFIN
bestätigen	ověřte	bestätigen	ověřit	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
bestätigen	ověřit	bestätigen	ověřit	V;NFIN	V;PFV;POS;NFIN
bestätigen	ověřovat	bestätigen	ověřovat	V;NFIN	V;IPFV;POS;NFIN
bestätigen	uznat	bestätigen	uznat	V;NFIN	V;PFV;POS;NFIN
bestätigen	potvrzuji	bestätigen	potvrzovat	V;NFIN	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
bestätigen	potvrdit	bestätigen	potvrdit	V;NFIN	V;PFV;POS;NFIN
scharf	ostrý	scharf	ostrý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
scharf	ostré	scharf	ostrý	ADJ	ADJ;NOM;NEUT;SG;POS
scharf	ostrá	scharf	ostrý	ADJ	ADJ;NOM;FEM;SG;POS
