και	et	και	et	CONJ	CONJ
το	le	ο	le	DET;NOM;DEF;NEUT;SG	DET;DEF;MASC;SG
το	la	ο	le	DET;NOM;DEF;NEUT;SG	DET;DEF;FEM;SG
από	de	από	de	ADP	ADP
από	depuis	από	depuis	ADP	ADP
με	avec	με	avec	ADP	ADP
που	laquelle	που	lequel	PRO;ACC;NEUT;SG;3	PRO;FEM;SG
που	lequel	που	lequel	PRO;ACC;NEUT;SG;3	PRO;MASC;SG
για	pour	για	pour	ADP	ADP
κατηγορία	catégorie	κατηγορία	catégorie	N;NOM;FEM;SG	N;FEM;SG
τους	eux	μου	soi	PRO;GEN;MASC;PL;3	PRO;MASC;PL;3
ήταν	fut	είμαι	être	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;PST;FIN
ότι	que	ότι	que	CONJ	CONJ
αλλά	mais	αλλά	mais	CONJ	CONJ
μετά	ensuite	μετά	ensuite	ADV	ADV
μετά	alors	μετά	alors	ADV	ADV
επίσης	également	επίσης	également	ADV	ADV
επίσης	aussi	επίσης	aussi	ADV	ADV
επίσης	egalement	επίσης	egalement	ADV	ADV
δύο	deux	δύο	deux	NUM;NOM;MASC;PL	NUM
αυτό	ceci	αυτός	ceci	PRO;NOM;NEUT;SG;3	PRO;SG
αυτό	cet	αυτός	ce	PRO;NOM;NEUT;SG;3	PRO;SG;3
αυτό	cela	αυτός	cela	PRO;NOM;NEUT;SG;3	PRO;SG
αυτό	ce	αυτός	ce	PRO;NOM;NEUT;SG;3	PRO;SG;3
αυτό	cela	αυτός	cela	PRO;NOM;NEUT;SG;3	PRO;SG
όταν	lorsque	όταν	lorsque	CONJ	CONJ
όταν	quand	όταν	quand	CONJ	CONJ
μπορεί	peut	μπορώ	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ομάδα	escouade	ομάδα	escouade	N;ACC;FEM;SG	N;FEM;SG
ομάδα	équipe	ομάδα	équipe	N;ACC;FEM;SG	N;FEM;SG
ομάδα	escadron	ομάδα	escadron	N;ACC;FEM;SG	N;MASC;SG
ομάδα	brigade	ομάδα	brigade	N;ACC;FEM;SG	N;FEM;SG
ομάδα	groupe	ομάδα	groupe	N;ACC;FEM;SG	N;MASC;SG
ομάδα	équipe	ομάδα	équipe	N;ACC;FEM;SG	N;FEM;SG
ομάδα	equipe	ομάδα	equipe	N;ACC;FEM;SG	N;FEM;SG
θέση	position	θέση	position	N;ACC;FEM;SG	N;FEM;SG
μεταξύ	entre	μεταξύ	entre	ADP	ADP
χρόνια	chroniques	χρόνος	chronique	N;NOM;NEUT;PL	N;FEM;PL
χρόνια	années	χρόνος	année	N;NOM;NEUT;PL	N;FEM;PL
χρόνια	ans	χρόνος	an	N;NOM;NEUT;PL	N;MASC;PL
πιο	davantage	πιο	davantage	ADV	ADV
πιο	plus	πιο	plus	ADV	ADV
ένας	une	ένας	un	DET;NOM;INDF;MASC;SG	DET;INDF;FEM;SG
πόλη	ville	πόλη	ville	N;NOM;FEM;SG	N;FEM;SG
πόλη	ville	πόλη	ville	N;NOM;FEM;SG	N;FEM;SG
μόνο	uniquement	μόνο	uniquement	ADV	ADV
μόνο	seulement	μόνο	seulement	ADV	ADV
έγινε	fait	γίνομαι	faire	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;PST;V.PTCP
έγινε	faite	γίνομαι	faire	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;PST;V.PTCP
πολύ	très	πολύ	très	ADV	ADV
πολύ	trés	πολύ	trés	ADV	ADV
κάθε	chacune	κάθε	chacun	PRO;ACC;FEM;SG;3	PRO;FEM;SG
κάθε	chacun	κάθε	chacun	PRO;ACC;FEM;SG;3	PRO;MASC;SG
περιοχή	région	περιοχή	région	N;NOM;FEM;SG	N;FEM;SG
περιοχή	région	περιοχή	région	N;NOM;FEM;SG	N;FEM;SG
περιοχή	zone	περιοχή	zone	N;NOM;FEM;SG	N;FEM;SG
περιοχή	domaine	περιοχή	domaine	N;NOM;FEM;SG	N;MASC;SG
αιώνα	siecle	αιώνας	siecle	N;ACC;MASC;SG	N;MASC;SG
αιώνα	siècle	αιώνας	siècle	N;ACC;MASC;SG	N;MASC;SG
αιώνα	century	αιώνας	century	N;ACC;MASC;SG	N;MASC;SG
περίοδο	période	περίοδος	période	N;ACC;FEM;SG	N;FEM;SG
τότε	ensuite	τότε	ensuite	ADV	ADV
τότε	alors	τότε	alors	ADV	ADV
όνομα	nom	όνομα	nom	N;NOM;NEUT;SG	N;MASC;SG
όνομα	dénomination	όνομα	dénomination	N;NOM;NEUT;SG	N;FEM;SG
μέρος	partie	μέρος	partie	N;NOM;NEUT;SG	N;FEM;SG
μέρος	place	μέρος	place	N;NOM;NEUT;SG	N;FEM;SG
μέρος	endroit	μέρος	endroit	N;NOM;NEUT;SG	N;MASC;SG
μέρος	lieu	μέρος	lieu	N;NOM;NEUT;SG	N;MASC;SG
μαζί	ensemble	μαζί	ensemble	ADV	ADV
διάρκεια	duree	διάρκεια	duree	N;ACC;FEM;SG	N;FEM;SG
διάρκεια	durée	διάρκεια	durée	N;ACC;FEM;SG	N;FEM;SG
