contraste	contraste	contraste	contraste	N;MASC;SG	N;MASC;SG
kiss	beso	kiss	beso	N;MASC;SG	N;MASC;SG
kiss	kiss	kiss	kiss	N;MASC;SG	N
natação	natación	natação	natación	N;FEM;SG	N;FEM;SG
natação	natación	natação	natación	N;FEM;SG	N;FEM;SG
cheia	lleno	cheio	lleno	ADJ;FEM;SG	ADJ;MASC;SG
cheia	llena	cheio	lleno	ADJ;FEM;SG	ADJ;FEM;SG
cheia	plena	cheio	pleno	ADJ;FEM;SG	ADJ;FEM;SG
cheia	completo	cheio	completo	ADJ;FEM;SG	ADJ;MASC;SG
desporto	sport	desporto	sport	N;MASC;SG	N
desporto	deporte	desporto	deporte	N;MASC;SG	N;MASC;SG
desporto	deporte	desporto	deporte	N;MASC;SG	N;MASC;SG
quantidades	montantes	quantidade	montante	N;FEM;PL	N;PL
quantidades	montos	quantidade	monto	N;FEM;PL	N;MASC;PL
quantidades	importes	quantidade	importe	N;FEM;PL	N;MASC;PL
quantidades	cantidades	quantidade	cantidad	N;FEM;PL	N;FEM;PL
quantidades	cantidades	quantidade	cantidad	N;FEM;PL	N;FEM;PL
quantidades	magnitudes	quantidade	magnitudes	N;FEM;PL	N;FEM;PL
minissérie	miniserie	minissérie	miniserie	N;FEM;SG	N;FEM;SG
utilidade	utilidad	utilidade	utilidad	N;FEM;SG	N;FEM;SG
utilidade	utilidad	utilidade	utilidad	N;FEM;SG	N;FEM;SG
utilidade	utilidad	utilidade	utilidad	N;FEM;SG	N;FEM;SG
sessões	sesiones	sessão	sesión	N;FEM;PL	N;FEM;PL
templos	templos	templo	templo	N;MASC;PL	N;MASC;PL
polonês	polaco	polonês	polaco	N;MASC;SG	N;MASC;SG
oitavo	octava	oitavo	octavo	ADJ;MASC;SG	ADJ;FEM;SG
oitavo	octavo	oitavo	octavo	ADJ;MASC;SG	ADJ;MASC;SG
fair	feria	fair	feria	N;MASC;SG	N;FEM;SG
point	punta	point	punta	N;MASC;SG	N;FEM;SG
point	point	point	point	N;MASC;SG	N
point	punto	point	punto	N;MASC;SG	N;MASC;SG
knight	caballero	knight	caballero	N;MASC;SG	N;MASC;SG
knight	knight	knight	knight	N;MASC;SG	N;SG
vendo	venda	ver	vender	V;V.MSDR	V;SBJV;SG;3;PRS;FIN
vendo	vender	ver	vender	V;V.MSDR	V;NFIN
vendo	vendo	ver	ver	V;V.MSDR	V;FIN
vendo	vende	ver	vender	V;V.MSDR	V;IND;SG;3;PRS;FIN
vendo	viendo	ver	ver	V;V.MSDR	V;V.MSDR
vendo	mirando	ver	mirar	V;V.MSDR	V;V.MSDR
vendo	viendo	ver	ver	V;V.MSDR	V;V.MSDR
vendo	observando	ver	observar	V;V.MSDR	V;V.MSDR
vinicius	vinicius	viniciar	vinicius	N;MASC;SG	N
chase	persecución	chase	persecución	N;MASC;SG	N;FEM;SG
chase	chase	chase	chase	N;MASC;SG	N;SG
true	true	true	true	N;MASC;SG	N
true	verdad	true	verdad	N;MASC;SG	N;FEM;SG
walker	walker	walker	walker	N;MASC;SG	N
walker	caminante	walker	caminante	N;MASC;SG	N;SG
clínica	clinica	clínica	clinicar	N;FEM;SG	N;FEM;SG
clínica	clínica	clínica	clínica	N;FEM;SG	N;FEM;SG
clínica	clínica	clínica	clínica	N;FEM;SG	N;FEM;SG
ossos	bones	osso	bone	N;MASC;PL	N
ossos	huesos	osso	hueso	N;MASC;PL	N;MASC;PL
ossos	bone	osso	bone	N;MASC;PL	N
ossos	huesos	osso	hueso	N;MASC;PL	N;MASC;PL
vincent	vicente	vincent	vicente	N;MASC;SG	N;SG
ordenado	ordenó	ordenado	ordenar	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
destruído	destruyó	destruir	destruir	V;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
expressões	expresiones	expressão	expresión	N;FEM;PL	N;FEM;PL
gonzález	gonzález	gonzález	gonzález	N;MASC;SG	N;MASC;SG
gonzález	gonzález	gonzález	gonzález	N;MASC;SG	N;MASC;SG
judaica	judio	judaica	judio	N;FEM;SG	N;MASC;SG
judaica	judío	judaica	judío	N;FEM;SG	N;MASC;SG
protestos	protestas	protesto	protesta	N;MASC;PL	N;FEM;PL
protestos	protestas	protesto	protesta	N;MASC;PL	N;FEM;PL
guerreiros	warriors	guerreiro	warriors	N;MASC;PL	N;PL
guerreiros	guerreros	guerreiro	guerrero	N;MASC;PL	N;MASC;PL
servidores	servidores	servidor	servidor	N;MASC;PL	N;MASC;PL
queiroz	queiroz	queiroz	queiroz	N;MASC;SG	N;MASC;SG
mistério	misterio	mistério	misterio	N;MASC;SG	N;MASC;SG
legado	legado	legado	legado	N;MASC;SG	N;MASC;SG
legado	legacy	legado	legacy	N;MASC;SG	N
legado	herencia	legado	herencia	N;MASC;SG	N;FEM;SG
revolucionário	revolucionaria	revolucionário	revolucionario	ADJ;MASC;SG	ADJ;FEM;SG
revolucionário	revolucionario	revolucionário	revolucionario	ADJ;MASC;SG	ADJ;MASC;SG
excesso	exceso	excesso	exceso	N;MASC;SG	N;MASC;SG
excesso	excedente	excesso	excedente	N;MASC;SG	N;SG
entradas	insumos	entrada	insumo	N;FEM;PL	N;MASC;PL
entradas	aportes	entrada	aporte	N;FEM;PL	N;MASC;PL
entradas	entradas	entrada	entrada	N;FEM;PL	N;FEM;PL
ruim	malo	ruim	malo	ADJ;MASC;SG	ADJ;MASC;SG
ruim	mala	ruim	malo	ADJ;MASC;SG	ADJ;FEM;SG
croácia	croacia	croácia	croacia	N;FEM;SG	N;FEM;SG
variantes	variantes	variante	variante	N;FEM;PL	N;FEM;PL
judicial	judicial	judicial	judicial	ADJ;MASC;SG	ADJ;SG
amy	amy	amy	amy	N;FEM;SG	N;FEM;SG
modalidades	modalidades	modalidade	modalidad	N;FEM;PL	N;FEM;PL
eficiente	eficiente	eficiente	eficiente	ADJ;MASC;SG	ADJ;SG
eficiente	eficaz	eficiente	eficaz	ADJ;MASC;SG	ADJ;SG
hierarquia	jerarquía	hierarquia	jerarquía	N;FEM;SG	N;FEM;SG
demonstrar	demuestre	demonstrar	demostrar	V;NFIN	V;IMP;SG;3;FIN
demonstrar	demostrar	demonstrar	demostrar	V;NFIN	V;NFIN
abadia	abadía	abadia	abadía	N;FEM;SG	N;FEM;SG
complexos	complejas	complexo	complejo	ADJ;MASC;PL	ADJ;FEM;PL
destacando	resaltar	destacar	resaltar	V;V.MSDR	V;NFIN
