par	za	par	za		
arī	aj	arī	aj	PART	PART
arī	tiež	arī	tiež	PART	PART
bija	malo	būt	mať	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
bija	mali	būt	mať	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
bija	mal	būt	mať	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
bija	mala	būt	mať	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
bija	bola	būt	byť	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
bija	bol	būt	byť	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
bija	bolo	būt	byť	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
pēc	po	pēc	po	ADP	ADP;ESS
bet	ale	bet	ale	CONJ	CONJ
var	môže	varēt	môcť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
var	môžu	varēt	môcť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
var	môže	varēt	môcť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tiek	byť	tikt	byť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;POS;NFIN
saites	väzby	saite	väzba	N;NOM;FEM;PL	N;NOM;FEM;PL
saites	spojenia	saite	spojenie	N;NOM;FEM;PL	N;NOM;NEUT;PL
saites	väzby	saite	väzba	N;NOM;FEM;PL	N;NOM;FEM;PL
saites	prepojenia	saite	prepojenie	N;NOM;FEM;PL	N;NOM;NEUT;PL
saites	odkazy	saite	odkaz	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
saites	linky	saite	linka	N;NOM;FEM;PL	N;NOM;FEM;PL
valsts	štát	valsts	štát	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
valsts	krajina	valsts	krajina	N;NOM;FEM;SG	N;NOM;FEM;SG
valsts	štát	valsts	štát	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
tikai	iba	tikai	iba	PART	PART
tikai	len	tikai	len	PART	PART
tikai	iba	tikai	iba	PART	PART
tikai	len	tikai	len	PART	PART
tikai	proste	tikai	prost	PART	PART
viņa	ona	viņa	ona	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
pilsētas	mestá	pilsēta	mesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
pilsētas	mestá	pilsēta	mesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
vieta	miesto	vieta	miesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	miesto	vieta	miesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	place	vieta	placať	N;NOM;FEM;SG	N;NOM;MASC;SG
vieta	umiestnenie	vieta	umiestnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	miesto	vieta	miesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	poloha	vieta	poloha	N;NOM;FEM;SG	N;NOM;FEM;SG
vieta	lokalita	vieta	lokalita	N;NOM;FEM;SG	N;NOM;FEM;SG
vieta	stránka	vieta	stránka	N;NOM;FEM;SG	N;NOM;FEM;SG
vieta	lokalita	vieta	lokalita	N;NOM;FEM;SG	N;NOM;FEM;SG
vieta	mieste	vieta	miesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
vieta	miesto	vieta	miesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
kara	vojna	karš	vojna	N;NOM;MASC;SG	N;NOM;FEM;SG
iela	ulica	iela	ulica	N;NOM;FEM;SG	N;NOM;FEM;SG
kopā	spolu	kopā	spolu	ADV	ADV
kopā	celkom	kopā	celkom	ADV	ADV
kopā	celkovo	kopā	celkovo	ADV	ADV
kopā	spolu	kopā	spolu	ADV	ADV
kopā	dokopy	kopā	dokopy	ADV	ADV
kopā	spoločne	kopā	spoločne	ADV	ADV
attēls	fotka	attēls	fotka	N;NOM;MASC;SG	N;NOM;FEM;SG
attēls	obrázok	attēls	obrázok	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
attēls	obraz	attēls	obraz	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
attēls	image	attēls	imag	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
attēls	obrázok	attēls	obrázok	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
attēls	obraz	attēls	obraz	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
attēls	obrázok	attēls	obrázok	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
starp	medzi	starp	medzi	ADP	ADP;INS
pilsēta	mesto	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
pilsēta	mesta	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
pilsēta	mestečko	pilsēta	mestečko	N;NOM;FEM;SG	N;NOM;NEUT;SG
pilsēta	mesto	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
pilsēta	mesta	pilsēta	mesto	N;NOM;FEM;SG	N;NOM;NEUT;SG
viens	jedno	viens	jeden	NUM;NOM;MASC;SG	NUM;NOM;NEUT;SG
viens	jeden	viens	jeden	NUM;NOM;MASC;SG	NUM;ANIM;NOM;MASC;SG
viens	jedna	viens	jeden	NUM;NOM;MASC;SG	NUM;NOM;FEM;SG
pret	proti	pret	proti	ADP	ADP;DAT
taču	ale	taču	ale	CONJ	CONJ
ļoti	veľmi	ļoti	veľmi	ADV	ADV
vācu	nemčina	vāci	nemčina	N;NOM;MASC;SG	N;NOM;FEM;SG
vēl	stále	vēl	stále	ADV	ADV
vēl	zatiaľ	vēl	zatiaľ	ADV	ADV
viena	jedno	viena	jeden	NUM;NOM;FEM;SG	NUM;NOM;NEUT;SG
viena	jeden	viena	jeden	NUM;NOM;FEM;SG	NUM;ANIM;NOM;MASC;SG
viena	jedna	viena	jeden	NUM;NOM;FEM;SG	NUM;NOM;FEM;SG
daļa	časť	daļa	časť	N;NOM;FEM;SG	N;NOM;FEM;SG
daļa	čast	daļa	čast	N;NOM;FEM;SG	N;NOM;FEM;SG
daļa	súčasť	daļa	súčasť	N;NOM;FEM;SG	N;NOM;FEM;SG
daļa	zdieľanie	daļa	zdieľanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
tad	potom	tad	potom	ADV	ADV
tad	vtedy	tad	vtedy	ADV	ADV
notika	vyskytla	notikt	vyskytnúť	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
notika	nastala	notikt	nastať	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
notika	došlo	notikt	dôjsť	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
notika	stalo	notikt	stať	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
pirms	pred	pirms	pred	ADP	ADP;INS
zemes	zeme	zeme	zem	N;NOM;FEM;PL	N;NOM;FEM;PL
zemes	pôdy	zeme	pôda	N;NOM;FEM;PL	N;NOM;FEM;PL
zemes	pozemky	zeme	pozemok	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
zemes	mleté	zeme	mletý	N;NOM;FEM;PL	N;NOM;FEM;PL
šaha	šach	šahs	šach	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
pirmā	prvý	pirmā	prvý	ADJ;NOM;DEF;FEM;SG	ADJ;ANIM;NOM;MASC;SG
pirmā	prvy	pirmā	prva	ADJ;NOM;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG
pirmā	prvé	pirmā	prvý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
pirmā	prvá	pirmā	prvý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
centrs	centrum	centrs	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	centre	centrs	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	center	centrs	center	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
centrs	stred	centrs	stred	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
centrs	centrum	centrs	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	centre	centrs	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	stredisko	centrs	stredisko	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	stred	centrs	stred	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
trīs	tri	trīs	tri	NUM;NOM;MASC;PL	NUM;INAN;NOM;MASC;PL
trīs	traja	trīs	tri	NUM;NOM;MASC;PL	NUM;ANIM;NOM;MASC;PL
viņu	ho	viņš	on	PRO;ACC;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
parasti	zvyčajne	parasti	zvyčajne	ADV	ADV
parasti	typicky	parasti	typicky	ADV	ADV
parasti	všeobecne	parasti	všeobecne	ADV	ADV
parasti	zvyčajne	parasti	zvyčajne	ADV	ADV
parasti	obyčajne	parasti	obyčajne	ADV	ADV
parasti	bežne	parasti	bežne	ADV	ADV
parasti	normálne	parasti	normálne	ADV	ADV
parasti	normalne	parasti	normalne	ADV	ADV
parasti	zvyčajne	parasti	zvyčajne	ADV	ADV
pat	dokonca	pat	dokonca	PART	PART
pat	aj	pat	aj	PART	PART
jūras	mariňák	jūra	mariňák	N;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
jūras	námorník	jūra	námorník	N;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
jūras	marine	jūra	marin	N;NOM;FEM;SG	N;NOM;FEM;SG
pirmais	prvý	pirmais	prvý	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
pirmais	prvy	pirmais	prva	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG
pirmais	prvé	pirmais	prvý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
pirmais	prvá	pirmais	prvý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
spēles	zápasy	spēle	zápas	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
spēles	hry	spēle	hra	N;NOM;FEM;PL	N;NOM;FEM;PL
nosaukums	názov	nosaukums	názov	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
nosaukums	meno	nosaukums	meno	N;NOM;MASC;SG	N;NOM;NEUT;SG
sezonas	sezóny	sezona	sezón	N;NOM;FEM;PL	N;NOM;FEM;PL
grupas	skupiny	grupa	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL
grupas	skupiny	grupa	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL
ieguva	získala	iegūt	získať	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
ieguva	pribral	iegūt	pribrať	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ieguva	získala	iegūt	získať	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
ieguva	nadobudol	iegūt	nadobudnúť	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ieguva	vyhrali	iegūt	vyhrať	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
ieguva	vyhrala	iegūt	vyhrať	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
ieguva	zvíťazil	iegūt	zvíťaziť	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ieguva	vyhral	iegūt	vyhrať	V;FH;IND;3;POS;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
gads	rok	gads	rok	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
skatīt	pozri	skatīt	pozrieť	V;POS;NFIN	V;PFV;IMP;SG;2;POS;FIN
skatīt	vidíš	skatīt	vidieť	V;POS;NFIN	V;IPFV;IND;SG;2;POS;PRS;FIN
skatīt	vidieť	skatīt	vidieť	V;POS;NFIN	V;IPFV;POS;NFIN
otrā	druhá	otrā	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
