dan	in	dan	in	CONJ	CONJ
dari	iz	dari	iz	ADP	ADP;GEN
dari	od	dari	od	ADP	ADP;GEN
ini	to	ini	ta	DET	DET;NOM;NEUT;SG
ini	ta	ini	ta	DET	DET;NOM;MASC;SG
ini	tega	ini	ta	DET	DET;GEN;NEUT;SG
tahun	leta	tahun	leto	N;SG	N;GEN;NEUT;SG
tahun	leto	tahun	leto	N;SG	N;NOM;NEUT;SG
tahun	letnica	tahun	letnica	N;SG	N;NOM;FEM;SG
tidak	ne	tidak	ne	PART;NEG	PART
itu	to	itu	ta	DET	DET;NOM;NEUT;SG
itu	tisto	itu	tisti	DET	DET;NOM;NEUT;SG
bagian	odsek	bagian	odsek	N;SG	N;NOM;MASC;SG
bagian	poglavje	bagian	poglavje	N;SG	N;NOM;NEUT;SG
bagian	razdelek	bagian	razdelek	N;SG	N;NOM;MASC;SG
bagian	oddelek	bagian	oddelek	N;SG	N;NOM;MASC;SG
bagian	del	bagian	del	N;SG	N;NOM;MASC;SG
spesies	vrsta	spesies	vrsta	N;SG	N;NOM;FEM;SG
dapat	lahko	dapat	lahko	ADV;SG;ACT	ADV
orang	oseba	orang	oseba	N;SG	N;NOM;FEM;SG
orang	osebo	orang	oseba	N;SG	N;ACC;FEM;SG
orang	ljudstvo	orang	ljudstvo	N;SG	N;NOM;NEUT;SG
mereka	njimi	mereka	on	PRO;PL;3	PRO;DAT;MASC;PL;3
mereka	jih	mereka	on	PRO;PL;3	PRO;ACC;MASC;PL;3
mereka	njih	mereka	on	PRO;PL;3	PRO;GEN;MASC;PL;3
satu	ena	satu	en	NUM	NUM;NOM;FEM;SG
satu	en	satu	en	NUM	NUM;NOM;MASC;SG
satu	eden	satu	eden	NUM	NUM;NOM;MASC;SG
satu	eno	satu	en	NUM	NUM;NOM;NEUT;SG
memiliki	ima	menmiliki	imeti	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
memiliki	imeti	menmiliki	imeti	V;SG;ACT	V;IPFV;NFIN
kota	mestu	kota	mesto	N;SG	N;DAT;NEUT;SG
kota	mesto	kota	mesto	N;SG	N;NOM;NEUT;SG
kota	mesto	kota	mesto	N;SG	N;NOM;NEUT;SG
kota	mestu	kota	mesto	N;SG	N;DAT;NEUT;SG
pranala	link	pranala	linka	N;SG	N;NOM;MASC;SG
pranala	povezava	pranala	povezava	N;SG	N;NOM;FEM;SG
pranala	hiperpovezava	pranala	hiperpovezava	N;SG	N;NOM;FEM;SG
karena	ker	karena	ker	CONJ	CONJ
desa	vasi	desa	vas	N;SG	N;GEN;FEM;SG
desa	vasi	desa	vas	N;SG	N;GEN;FEM;SG
desa	vasica	desa	vasica	N;SG	N;NOM;FEM;SG
ada	obstaja	ada	obstajati	V;SG	V;IPFV;IND;SG;3;PRS;FIN
lebih	bolj	lebih	bolj	ADV	ADV;CMPR
nama	ime	nama	ime	N;SG	N;NOM;NEUT;SG
kayu	les	kayu	les	N;SG	N;NOM;MASC;SG
kayu	lesa	kayu	les	N;SG	N;GEN;MASC;SG
kayu	les	kayu	les	N;SG	N;NOM;MASC;SG
kayu	les	kayu	les	N;SG	N;NOM;MASC;SG
bahasa	jezik	bahasa	jezik	N;SG	N;NOM;MASC;SG
asteroid	asteroidi	asteroid	asteroid	N	N;NOM;MASC;PL
asteroid	asteroid	asteroid	asteroid	N	N;NOM;MASC;SG
lain	drugi	lain	drug	ADJ;SG	ADJ;NOM;MASC;SG
lain	drugo	lain	drug	ADJ;SG	ADJ;NOM;NEUT;SG
lain	druga	lain	drug	ADJ;SG	ADJ;NOM;FEM;SG
lain	drugi	lain	drug	ADJ;SG	ADJ;NOM;MASC;SG
besar	velika	besar	velik	ADJ;SG	ADJ;NOM;FEM;SG
besar	velika	besar	velik	ADJ;SG	ADJ;NOM;FEM;SG
besar	veliki	besar	velik	ADJ;SG	ADJ;NOM;DEF;MASC;SG
besar	velik	besar	velik	ADJ;SG	ADJ;NOM;INDF;MASC;SG
film	film	film	film	N;SG	N;NOM;MASC;SG
film	film	film	film	N;SG	N;NOM;MASC;SG
film	kino	film	kino	N;SG	N;NOM;MASC;SG
kelas	pouk	kelas	pouk	N;SG	N;NOM;MASC;SG
kelas	razred	kelas	razred	N;SG	N;NOM;MASC;SG
kelas	pouk	kelas	pouk	N;SG	N;NOM;MASC;SG
beberapa	nekatere	beberapa	nekateri	DET	DET;NOM;FEM;PL
beberapa	nekaterim	beberapa	nekateri	DET	DET;DAT;MASC;PL
beberapa	nekateri	beberapa	nekateri	DET	DET;NOM;MASC;PL
beberapa	neki	beberapa	nek	DET	DET;NOM;MASC;SG
