και	그리고	και	그리고	CONJ	CONJ
κατηγορία	카테고리	κατηγορία	카테고리	N;NOM;FEM;SG	N
κατηγορία	범주	κατηγορία	범주	N;NOM;FEM;SG	N
κατηγορία	분류	κατηγορία	분류	N;NOM;FEM;SG	N
αλλά	그런데	αλλά	그런데	CONJ	CONJ
αλλά	그러나	αλλά	그러나	CONJ	CONJ
αλλά	하지만	αλλά	하지만	CONJ	CONJ
αυτή	그녀는	αυτός	그녀+는	PRO;NOM;FEM;SG;3	PRO
όπου	어디서	όπου	어디+서	ADV	ADV
όπου	어디에	όπου	어디+에	ADV	ADV
όπου	어디로	όπου	어디+로	ADV	ADV
ομάδα	분대	ομάδα	분대	N;ACC;FEM;SG	N
ομάδα	스쿼드	ομάδα	스쿼드	N;ACC;FEM;SG	N
ομάδα	집단	ομάδα	집단	N;ACC;FEM;SG	N
θέση	직위	θέση	직위	N;ACC;FEM;SG	N
θέση	포지션	θέση	포지션	N;ACC;FEM;SG	N
χρόνια	만성	χρόνος	만성	N;NOM;NEUT;PL	N
πόλη	시내	πόλη	시내	N;NOM;FEM;SG	N
πόλη	도시	πόλη	도시	N;NOM;FEM;SG	N
πόλη	마을	πόλη	마을	N;NOM;FEM;SG	N
πόλη	도시	πόλη	도시	N;NOM;FEM;SG	N
μόνο	오직	μόνο	오직	ADV	ADV
πολύ	아주	πολύ	아주	ADV	ADV
πολύ	매우	πολύ	매우	ADV	ADV
περιοχή	지방	περιοχή	지방	N;NOM;FEM;SG	N
περιοχή	지역	περιοχή	지역	N;NOM;FEM;SG	N
περιοχή	구역	περιοχή	구역	N;NOM;FEM;SG	N
περιοχή	영역	περιοχή	영역	N;NOM;FEM;SG	N
περιοχή	지역	περιοχή	지역	N;NOM;FEM;SG	N
αιώνα	세기	αιώνας	세기	N;ACC;MASC;SG	N
περίοδο	기간	περίοδος	기간	N;ACC;FEM;SG	N
περίοδο	시대	περίοδος	시대	N;ACC;FEM;SG	N
όνομα	이름	όνομα	이름	N;NOM;NEUT;SG	N
μέρος	부분	μέρος	부분	N;NOM;NEUT;SG	N
μέρος	부품	μέρος	부품	N;NOM;NEUT;SG	N
μέρος	장소	μέρος	장소	N;NOM;NEUT;SG	N
πως	어떻게	πως	어떻+게	CONJ	CONJ
μαζί	함께	μαζί	함께	ADV	ADV
μαζί	같이	μαζί	같이	ADV	ADV
διάρκεια	기간	διάρκεια	기간	N;ACC;FEM;SG	N
ιστορία	이야기	ιστορία	이야기	N;NOM;FEM;SG	N
ιστορία	스토리	ιστορία	스토리	N;NOM;FEM;SG	N
ιστορία	소식	ιστορία	소식	N;NOM;FEM;SG	N
ιστορία	역사	ιστορία	역사	N;NOM;FEM;SG	N
ιστορία	내역	ιστορία	내역	N;NOM;FEM;SG	N
ιστορία	기록	ιστορία	기록	N;NOM;FEM;SG	N
πρωτάθλημα	동맹	πρωτάθλημα	동맹	N;NOM;NEUT;SG	N
πρωτάθλημα	리그	πρωτάθλημα	리그	N;NOM;NEUT;SG	N
αργότερα	나중에	αργά	나중+에	ADV;CMPR	ADV
πριν	전에	πριν	전+에	ADV	ADV
συζήτηση	대화	συζήτηση	대화	N;ACC;FEM;SG	N
συζήτηση	논의	συζήτηση	논의	N;ACC;FEM;SG	N
συζήτηση	논쟁	συζήτηση	논쟁	N;ACC;FEM;SG	N
αρχείο	파일	αρχείο	파일	N;NOM;NEUT;SG	N
φορά	시간	φορά	시간	N;ACC;FEM;SG	N
έργο	직장	έργο	직장	N;NOM;NEUT;SG	N
έργο	작업	έργο	작업	N;NOM;NEUT;SG	N
κυρίως	주로	κυρίως	주로	ADV	ADV
κυρίως	주로	κυρίως	주로	ADV	ADV
ταινία	영화	ταινία	영화	N;NOM;FEM;SG	N
ταινία	필름	ταινία	필름	N;NOM;FEM;SG	N
ταινία	영화	ταινία	영화	N;NOM;FEM;SG	N
τμήμα	부서	τμήμα	부서	N;NOM;NEUT;SG	N
τμήμα	섹션	τμήμα	섹션	N;NOM;NEUT;SG	N
εκεί	거기에	εκεί	거기+에	ADV	ADV
ωστόσο	그러나	ωστόσο	그러나	CONJ	CONJ
τέλος	마침내	τέλος	마침내	ADV	ADV
