august	август	august	август	N;MASC;SG	N;INDF;MASC;SG
qualificação	квалификация	qualificação	квалификация	N;FEM;SG	N;INDF;FEM;SG
luke	люк	luke	люк	N;MASC;SG	N;INDF;MASC;SG
concluído	завършена	concluir	завърша	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
concluído	завършен	concluir	завърша	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
concluído	завършено	concluir	завърша	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
concluído	завършен	concluir	завърша	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pátio	двор	pátio	двор	N;MASC;SG	N;INDF;MASC;SG
pátio	двора	pátio	двор	N;MASC;SG	N;DEF;MASC;SG
pátio	дворът	pátio	двор	N;MASC;SG	N;DEF;MASC;SG
pátio	двор	pátio	двор	N;MASC;SG	N;INDF;MASC;SG
pátio	двор	pátio	двор	N;MASC;SG	N;INDF;MASC;SG
fortificações	укрепления	fortificação	укрепление	N;FEM;PL	N;INDF;NEUT;PL
western	уестърн	western	уестърн	N;MASC;SG	N;INDF;MASC;SG
western	western	western	western	N;MASC;SG	N;INDF;MASC;SG
culpa	вина	culpa	вина	N;FEM;SG	N;INDF;NEUT;SG
culpa	вината	culpa	вина	N;FEM;SG	N;DEF;FEM;SG
holmes	холмс	holme	холмс	N;MASC;SG	N;INDF;MASC;SG
emancipação	еманципация	emancipação	еманципация	N;FEM;SG	N;INDF;FEM;SG
circunstâncias	обстоятелства	circunstância	обстоятелство	N;FEM;PL	N;INDF;NEUT;PL
circunstâncias	обстоятелства	circunstância	обстоятелство	N;FEM;PL	N;INDF;NEUT;PL
circunstâncias	обстоятелствата	circunstância	обстоятелство	N;FEM;PL	N;DEF;NEUT;PL
orange	оранжев	orange	оранжев	N;MASC;SG	N;INDF;MASC;SG
orange	портокал	orange	портокал	N;MASC;SG	N;INDF;MASC;SG
abastecimento	снабдяване	abastecimento	снабдяване	N;MASC;SG	N;INDF;NEUT;SG
abastecimento	предлагане	abastecimento	предлагане	N;MASC;SG	N;INDF;NEUT;SG
abastecimento	доставка	abastecimento	доставка	N;MASC;SG	N;INDF;FEM;SG
residentes	обитатели	residente	обитател	N;MASC;PL	N;INDF;MASC;PL
residentes	жители	residente	жител	N;MASC;PL	N;INDF;MASC;PL
mundialmente	световно	mundialmente	световен	ADV	ADV
tanque	резервоар	tanque	резервоар	N;MASC;SG	N;INDF;MASC;SG
tanque	танк	tanque	танк	N;MASC;SG	N;INDF;MASC;SG
tanque	цистерна	tanque	цистерна	N;MASC;SG	N;INDF;FEM;SG
tito	тито	tito	тито	N;MASC;SG	N;INDF;MASC;SG
museus	музеите	museu	музей	N;MASC;PL	N;DEF;FEM;PL
museus	музеи	museu	музей	N;MASC;PL	N;INDF;MASC;PL
ferido	ранена	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ferido	ранен	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ferido	ранена	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ferido	ранен	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ferido	наранена	ferir	нараня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ferido	ранена	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dallas	далас	dalla	далас	N;MASC;SG	N;INDF;FEM;SG
plástico	пластмаса	plástico	пластмас	N;MASC;SG	N;INDF;FEM;SG
plástico	пластмаса	plástico	пластмас	N;MASC;SG	N;INDF;FEM;SG
plástico	найлон	plástico	найлон	N;MASC;SG	N;INDF;MASC;SG
malásia	малайзия	malásia	малайзия	N;FEM;SG	N;INDF;FEM;SG
card	карта	card	карта	N;MASC;SG	N;INDF;FEM;SG
card	картичка	card	картичка	N;MASC;SG	N;INDF;FEM;SG
positivas	положителни	positivo	положителен	ADJ;FEM;PL	ADJ;INDF;PL
cartão	картон	cartão	картон	N;MASC;SG	N;INDF;MASC;SG
cartão	карта	cartão	карта	N;MASC;SG	N;INDF;FEM;SG
cartão	картичка	cartão	картичка	N;MASC;SG	N;INDF;FEM;SG
violação	нарушение	violação	нарушение	N;FEM;SG	N;INDF;NEUT;SG
violação	изнасилване	violação	изнасилване	N;FEM;SG	N;INDF;NEUT;SG
violação	нарушение	violação	нарушение	N;FEM;SG	N;INDF;NEUT;SG
violação	пробив	violação	пробив	N;FEM;SG	N;INDF;MASC;SG
fort	форт	fort	форт	N;MASC;SG	N;INDF;MASC;SG
cargas	товари	carga	товар	N;FEM;PL	N;INDF;MASC;PL
diretores	директорите	diretor	директор	N;MASC;PL	N;DEF;MASC;PL
diretores	режисьори	diretor	режисьор	N;MASC;PL	N;INDF;MASC;PL
diretores	директори	diretor	директор	N;MASC;PL	N;INDF;MASC;PL
sex	секс	sexta-feira	секс	N;MASC;SG	N;INDF;MASC;SG
sex	секса	sexta-feira	секс	N;MASC;SG	N;DEF;MASC;SG
sex	сексът	sexta-feira	секс	N;MASC;SG	N;DEF;MASC;SG
cerâmica	керамика	cerâmica	керамика	N;FEM;SG	N;INDF;FEM;SG
cerâmica	керамика	cerâmica	керамика	N;FEM;SG	N;INDF;FEM;SG
cerâmica	керамика	cerâmica	керамика	N;FEM;SG	N;INDF;FEM;SG
falsa	фалшива	falso	фалшив	ADJ;FEM;SG	ADJ;INDF;FEM;SG
falsa	фалшив	falso	фалшив	ADJ;FEM;SG	ADJ;INDF;MASC;SG
falsa	фалшива	falso	фалшив	ADJ;FEM;SG	ADJ;INDF;FEM;SG
cinematografia	кинематография	cinematografia	кинематография	N;FEM;SG	N;INDF;FEM;SG
idéias	идеи	idéia	идея	N;FEM;PL	N;INDF;FEM;PL
manifestação	демонстрация	manifestação	демонстрация	N;FEM;SG	N;INDF;FEM;SG
manifestação	доказване	manifestação	доказване	N;FEM;SG	N;INDF;NEUT;SG
manifestação	проява	manifestação	проява	N;FEM;SG	N;INDF;FEM;SG
pianista	пианист	pianista	пианист	N;MASC;SG	N;INDF;MASC;SG
postura	стойка	postura	стойка	N;FEM;SG	N;INDF;FEM;SG
postura	поза	postura	поза	N;FEM;SG	N;INDF;FEM;SG
postura	стойка	postura	стойка	N;FEM;SG	N;INDF;FEM;SG
postura	стойката	postura	стойка	N;FEM;SG	N;DEF;FEM;SG
melbourne	мелбърн	melbourne	мелбърн	N;MASC;SG	N;INDF;MASC;SG
edwards	едуардс	edwards	едуардс	N;MASC;SG	N;INDF;MASC;SG
prof	проф	prof	проф	N;MASC;SG	N;INDF;MASC;SG
melhorias	подобрения	melhoria	подобрение	N;FEM;PL	N;INDF;NEUT;PL
melhorias	подобрения	melhoria	подобрение	N;FEM;PL	N;INDF;NEUT;PL
melhorias	подобрения	melhoria	подобрение	N;FEM;PL	N;INDF;NEUT;PL
exige	изисква	exigir	изисквам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
java	java	java	java	N;MASC;SG	N;INDF;MASC;SG
controlo	контролиране	controlo	контролиране	N;MASC;SG	N;INDF;NEUT;SG
controlo	контрол	controlo	контрол	N;MASC;SG	N;INDF;MASC;SG
eficiência	кпд	eficiência	кпд	N;FEM;SG	N;INDF;MASC;SG
eficiência	ефективност	eficiência	ефективност	N;FEM;SG	N;INDF;FEM;SG
eficiência	ефикасност	eficiência	ефикасност	N;FEM;SG	N;INDF;FEM;SG
eficiência	ефективност	eficiência	ефективност	N;FEM;SG	N;INDF;FEM;SG
rebelde	бунтар	rebelde	бунтар	N;MASC;SG	N;INDF;MASC;SG
rebelde	бунтовник	rebelde	бунтовник	N;MASC;SG	N;INDF;MASC;SG
proibido	забранено	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
proibido	забранен	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
proibido	забранена	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
proibido	забранено	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
proibido	забранена	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
proibido	забранен	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
proibido	забранено	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
proibido	забранен	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
