kot	som	kot	som	CONJ	CONJ
team	laget	teama	lag	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
team	lag	teama	lag	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
team	team	teama	team	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
med	under	med	under	ADP;INS	ADP
med	emellan	med	emellan	ADP;INS	ADP
med	mellan	med	mellan	ADP;INS	ADP
seznam	förteckning	seznam	förteckning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
seznam	list	seznam	list	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
seznam	lista	seznam	lista	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
glej	see	gledati	see	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
glej	se	gledati	se	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
glej	titta	gledati	titta	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
nova	ny	nov	ny	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
nova	nytt	nov	ny	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
socorro	socorro	socorra	socorro	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
povezave	anslutningar	povezava	anslutning	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
povezave	förbindelser	povezava	förbindelse	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
povezave	kopplingar	povezava	koppling	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
povezave	länkar	povezava	länka	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
del	delen	del	del	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
del	del	del	del	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
del	del	del	del	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
jih	dem	on	de	PRO;ACC;MASC;PL;3	PRO;ACC;DEF;PL
mesto	town	mesto	town	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
