על	относно	על	относно	ADP	ADP
קטגוריה	категория	קטגוריה	категория	N;FEM;SG	N;INDF;FEM;SG
עם	със	עם	със	ADP	ADP
גם	също	גם	също	ADV	ADV
זה	това	זה	този	PRO;MASC;SG;3	PRO;NOM;NEUT;SG
היא	тя	הוא	аз	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
שיחה	разговор	שיחה	разговор	N;FEM;SG	N;INDF;MASC;SG
שיחה	беседа	שיחה	бесед	N;FEM;SG	N;INDF;FEM;SG
שיחה	повикване	שיחה	повикване	N;FEM;SG	N;INDF;NEUT;SG
שיחה	обаждане	שיחה	обаждане	N;FEM;SG	N;INDF;NEUT;SG
לאחר	след	לאחר	след	ADP	ADP
בין	между	בין	между	ADP	ADP
יותר	повече	יותר	повече	ADV	ADV;INDF;PL
יותר	още	יותר	още	ADV	ADV
אך	но	אך	но	CONJ	CONJ
שם	там	שם	там	ADV	ADV
בית	бейт	בית	бейт	N;MASC;SG	N;INDF;MASC;SG
בית	дом	בית	дом	N;MASC;SG	N;INDF;MASC;SG
בית	house	בית	house	N;MASC;SG	N;INDF;MASC;SG
בית	къща	בית	къща	N;MASC;SG	N;INDF;FEM;SG
בית	къщата	בית	къща	N;MASC;SG	N;DEF;FEM;SG
בית	хаус	בית	хаус	N;MASC;SG	N;INDF;MASC;SG
הם	те	הוא	аз	PRO;MASC;PL;3	PRO;NOM;PL;3
אחד	една	אחד	един	NUM;MASC;SG	NUM;INDF;FEM;SG
אחד	един	אחד	един	NUM;MASC;SG	NUM;INDF;MASC;SG
אחד	едно	אחד	един	NUM;MASC;SG	NUM;INDF;NEUT;SG
שמאל	ляв	שמאל	ляв	N;MASC;SG	N;INDF;MASC;SG
קישורים	връзки	קישורים	връзка	N;MASC;PL	N;INDF;FEM;PL
חיצוניים	външни	חיצוני	външен	ADJ;MASC;PL	ADJ;INDF;PL
מספר	брой	מספר	брой	N;MASC;SG	N;INDF;MASC;SG
מספר	число	מספר	число	N;MASC;SG	N;INDF;NEUT;SG
מספר	номер	מספר	номер	N;MASC;SG	N;INDF;MASC;SG
רק	само	רק	само	ADV	ADV
רק	единствено	רק	единствено	ADV	ADV
רק	просто	רק	просто	ADV	ADV
רק	само	רק	само	ADV	ADV
