lovlige	قانونی	lovlig	قانونی	ADJ;PL	ADJ
enken	بیوہ	enken	بیوہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
analog	وزن	analog	وزن	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
reparation	شہرت	reparation	شہرت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
reparation	رجوع	reparation	رجوع	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
reparation	رسائی	reparation	رسائی	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
reparation	مرجع	reparation	مرجع	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
reparation	مقبولیت	reparation	مقبولیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
veto	ممانعت	veto	ممانعت	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
boring	پتلا	boring	پتلا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pesten	وبال	pest	وبال	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
lodtrækning	قسمت	lodtrækning	قسمت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
lodtrækning	تقدیر	lodtrækning	تقدیر	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
lodtrækning	قسمت	lodtrækning	قسمت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
atmosfærisk	فضائی	atmosfærisk	فضائی	ADJ;INDF;SG	ADJ
guvernøren	آجر	guvernør	آجر	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
guvernøren	آجر	guvernør	آجر	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
klog	ہنرمند	klog	ہنرمند	ADJ;INDF;MASC+FEM;SG	ADJ
klog	تیز	klog	تیز	ADJ;INDF;MASC+FEM;SG	ADJ
klog	چالاک	klog	چالاک	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
klog	ہنرمند	klog	ہنرمند	ADJ;INDF;MASC+FEM;SG	ADJ
klog	عاقلانہ	klog	عاقلانہ	ADJ;INDF;MASC+FEM;SG	ADJ
klog	مستعد	klog	مستعد	ADJ;INDF;MASC+FEM;SG	ADJ
klog	عاقلانہ	klog	عاقلانہ	ADJ;INDF;MASC+FEM;SG	ADJ
klog	مستعد	klog	مستعد	ADJ;INDF;MASC+FEM;SG	ADJ
klog	ممتاز.	klog	ممتاز.	ADJ;INDF;MASC+FEM;SG	ADJ
klog	درست	klog	درست	ADJ;INDF;MASC+FEM;SG	ADJ
klog	پھرتی	klog	پھرتی	ADJ;INDF;MASC+FEM;SG	ADJ;FEM
klog	تیز	klog	تیز	ADJ;INDF;MASC+FEM;SG	ADJ
storby	بلدیہ	storby	بلدیہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
storby	دارالحکومت	storby	دارالحکومت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
præcision	صداقت	præcision	صداقت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
præcision	صحت	præcision	صحت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
instans	قضیہ	instans	قضیہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
instans	مثال	instans	مثال	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
omkreds	دوری	omkreds	دوری	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
omkreds	احاطہ	omkreds	احاطہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
omkreds	دور	omkreds	دور	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stiv	سخت	stiv	سخت	ADJ;INDF;MASC+FEM;SG	ADJ
stiv	سخت	stiv	سخت	ADJ;INDF;MASC+FEM;SG	ADJ
stiv	رسمی	stiv	رسمی	ADJ;INDF;MASC+FEM;SG	ADJ
stiv	شدید	stiv	شدید	ADJ;INDF;MASC+FEM;SG	ADJ
stiv	مشکل	stiv	مشکل	ADJ;INDF;MASC+FEM;SG	ADJ
stiv	سخت	stiv	سخت	ADJ;INDF;MASC+FEM;SG	ADJ
visning	چھاپہ	visning	چھاپہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
visning	رائے	visning	رائے	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
visning	نقش	visning	نقش	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
visning	چھاپہ	visning	چھاپہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
visning	رائے	visning	رائے	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
heldige	مناسب	heldig	مناسب	ADJ;PL	ADJ
heldige	درست	heldig	درست	ADJ;PL	ADJ
heldige	موافق.	heldig	موافق.	ADJ;PL	ADJ
heldige	مناسب	heldig	مناسب	ADJ;PL	ADJ
heldige	درست	heldig	درست	ADJ;PL	ADJ
heldige	موافق.	heldig	موافق.	ADJ;PL	ADJ
ædle	عمدہ	gol	عمدہ	ADJ;PL	ADJ
samleje	مجامعت	samleje	مجامعت	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
høg	جنگجو	høg	جنگجو	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
privilegium	مفاد	privilegium	مفاد	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
privilegium	استثنا	privilegium	استثنا	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
køretøjet	خیال	køretøj	خیال	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
køretøjet	مرکب	køretøj	مرکب	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
køretøjet	گاڑی	køretøj	گاڑی	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
køretøjet	خیال	køretøj	خیال	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
køretøjet	سواری	køretøj	سواری	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
køretøjet	مرکب	køretøj	مرکب	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
søjle	ستون	søjle	ستون	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
søjle	ستون	søjle	ستون	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
søjle	لکڑی	søjle	لکڑی	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
søjle	لکڑی	søjle	لکڑی	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dum	احمقانہ	dum	احمقانہ	ADJ;INDF;MASC+FEM;SG	ADJ
dum	احمقانہ	dum	احمقانہ	ADJ;INDF;MASC+FEM;SG	ADJ
parsons	ریکٹر	parson	ریکٹر	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gentagelse	تکرار	gentagelse	تکرار	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gentagelse	نقل	gentagelse	نقل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
argumentere	منوانا	argumentere	منوا	V;NFIN;ACT	V;NFIN;ACT
kunsthåndværk	دستکاری	kunsthåndværk	دستکاری	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mellemliggende	عارضی	mellemliggende	عارضی	ADJ	ADJ
ungdommen	جوش	ungdom	جوش	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
ungdommen	توانائی	ungdom	توانائی	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
bring	دلانا	bring	دلانا	V;IMP	V;MASC;SG;NFIN;ACT
overvægt	فوقیت	overvægt	فوقیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
minoritet	مذہب	minoritet	مذہب	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
makker	ساتھی	makke	ساتھی	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
makker	ساتھی	makke	ساتھی	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forebyggelse	تدارک	forebyggelse	تدارک	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
transmission	ترسیل	transmission	ترسیل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	گھاٹی	kløft	گھاٹی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kløft	خلا	kløft	خلا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	مذاق	kløft	مذاق	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	گھاٹی	kløft	گھاٹی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
