kategória	kategorie	kategória	kategorie	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
roku	roku	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
roku	roce	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
ako	jak	ako	jak	ADV	ADV
bol	bylo	byť	být	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
bol	byl	byť	být	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
pozri	viz	pozrieť	viz	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;SG;2;POS;FIN
obce	obce	obec	obec	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
obce	obce	obec	obec	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
obec	obec	obec	obec	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
obec	obec	obec	obec	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
obec	village	obec	villaga	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
obec	vesnice	obec	vesnice	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pre	pro	pre	pro	ADP;ACC	ADP;ACC
pre	za	pre	za	ADP;ACC	ADP;ACC
jeho	jeho	jeho	jeho	DET;NOM;NEUT;SG;3	DET;3
jeho	jeho	jeho	jeho	DET;NOM;NEUT;SG;3	DET;3
ktorá	který	ktorý	který	DET;NOM;FEM;SG	DET;NOM;MASC;SG
ktorá	která	ktorý	který	DET;NOM;FEM;SG	DET;NOM;FEM;SG
bod	bod	bod	bod	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
bola	bylo	byť	být	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
bola	byl	byť	být	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
ktoré	který	ktorý	který	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
ktoré	která	ktorý	který	DET;NOM;NEUT;SG	DET;NOM;FEM;SG
ktorý	který	ktorý	který	DET;ANIM;NOM;MASC;SG	DET;NOM;MASC;SG
ktorý	která	ktorý	který	DET;ANIM;NOM;MASC;SG	DET;NOM;FEM;SG
zoznam	seznam	zoznam	seznam	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
odkazy	odkazy	odkaz	odkaz	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
odkazy	reference	odkaz	reference	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
odkazy	odkazy	odkaz	odkaz	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
externé	externí	externý	externí	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
externé	vnější	externý	vnější	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
ale	ale	ale	ale	CONJ	CONJ
počet	číslo	počet	číslo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
počet	počet	počet	počet	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
boli	byli	byť	být	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
boli	byly	byť	být	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;INAN;PL;POS;PST;V.PTCP;ACT
miesto	spot	miesto	spot	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
miesto	místo	miesto	místo	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
miesto	misto	miesto	misto	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
miesto	místo	miesto	místo	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
miesto	poloha	miesto	poloha	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
miesto	umístění	miesto	umístění	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
miesto	lokalita	miesto	lokalita	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
miesto	stránka	miesto	stránka	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
miesto	lokalita	miesto	lokalita	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
bolo	bylo	byť	být	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
bolo	byl	byť	být	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
jej	jí	ona	on	PRO;DAT;FEM;SG;3	PRO;DAT;FEM;SG;3
jej	ní	ona	on	PRO;DAT;FEM;SG;3	PRO;DAT;FEM;SG;3
projekty	projekty	projekt	projekt	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
byť	být	byť	být	V;IPFV;POS;NFIN	V;POS;NFIN
francúzska	francouzština	francúzsky	francouzština	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
francúzska	francouz	francúzsky	francouz	N;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
najvyšší	nejvyšší	vysoký	vysoký	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;RL;MASC;SG;POS
najvyšší	nejvyšší	vysoký	vysoký	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;RL;MASC;SG;POS
vývoj	rozvoj	vývoj	rozvoj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
vývoj	vývoj	vývoj	vývoj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
vývoj	vývoj	vývoj	vývoj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
vývoj	evoluce	vývoj	evoluce	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
vývoj	vývoj	vývoj	vývoj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
graf	diagram	graf	diagram	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
graf	tabulka	graf	tabulka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
graf	schéma	graf	schéma	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
najnižší	nejnižší	žízky	nízký	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;RL;MASC;SG;POS
kde	kde	kde	kde	ADV	ADV
kde	kde	kde	kde	ADV	ADV
kde	kam	kde	kam	ADV	ADV
môže	může	môcť	moci	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;POS;PRS;FIN;ACT
