els	the	el	the	DET;DEF;MASC;PL	DET;DEF
amb	with	amb	with	ADP	ADP
bar	bar	bar	bar	N;MASC;SG	N;SG
text	text	text	text	N;MASC;SG	N;SG
també	also	també	also	ADV	ADV
anys	years	any	year	N;MASC;PL	N;PL
any	year	any	year	N;MASC;SG	N;SG
població	population	població	population	N;FEM;SG	N;SG
però	but	però	but	CONJ	CONJ
després	after	després	after	ADV	ADV
són	are	ser	be	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
estats	states	estat	state	N;MASC;PL	N;PL
persones	people	persona	people	N;FEM;PL	N;PL
gran	great	gran	great	ADJ;SG	ADJ
tot	everything	tot	everything	PRO;MASC;SG	PRO;SG
enllaços	links	enllaç	link	N;MASC;PL	N;PL
dos	two	dos	two	NUM;MASC;PL	NUM
externs	external	extern	external	ADJ;MASC;PL	ADJ
família	family	família	family	N;FEM;SG	N;SG
ciutat	city	ciutat	city	N;FEM;SG	N;SG
habitatges	houses	habitatge	house	N;MASC;PL	N;PL
molt	very	molt	very	ADV	ADV
habitants	inhabitants	habitant	inhabitant	N;PL	N;PL
dones	women	dona	woman	N;FEM;PL	N;PL
res	nothing	res	nothing	PRO;SG	PRO;SG
segle	century	segle	century	N;MASC;SG	N;SG
tres	three	tres	three	NUM;PL	NUM
lloc	place	lloc	place	N;MASC;SG	N;SG
nova	new	nou	new	ADJ;FEM;SG	ADJ
homes	men	home	man	N;MASC;PL	N;PL
dues	two	dos	two	NUM;FEM;PL	NUM
això	this	això	this	PRO;SG	PRO;SG
general	general	general	general	ADJ;SG	ADJ
municipi	municipality	municipi	municipality	N;MASC;SG	N;SG
encara	still	encara	still	ADV	ADV
només	only	només	only	ADV	ADV
només	just	només	just	ADV	ADV
regió	region	regió	region	N;FEM;SG	N;SG
temps	time	temps	time	N;MASC	N;SG
empreses	companies	empresa	company	N;FEM;PL	N;PL
grup	group	grup	group	N;MASC;SG	N;SG
contra	against	contra	against	ADP	ADP
famílies	families	família	family	N;FEM;PL	N;PL
poblacions	populations	població	population	N;FEM;PL	N;PL
fills	children	fill	child	N;MASC;PL	N;PL
