aliado	حليف	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
ama	يحب	amar	حَبّ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
luchó	كافحت	luchar	كَافَح	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
luchó	قاتلت	luchar	قَاتَل	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
mediodía	الظهيرة	mediodía	ظُهَيرَة	N;MASC;SG	N;NOM;DEF;SG
mediodía	الظهر	mediodía	ظُهر	N;MASC;SG	N;NOM;DEF;SG
mediodía	ظهرا	mediodía	ظُهر	N;MASC;SG	N;ACC;INDF;SG
traducciones	الترجمات	traducción	الترجمات	N;FEM;PL	N;NOM;DEF;PL
traducciones	ترجمات	traducción	تَرَجُّم	N;FEM;PL	N;NOM;INDF;PL
pulgadas	بوصات	pulgado	بَوصَة	N;FEM;PL	N;NOM;INDF;PL
creer	تصدق	creer	صَدَّق	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
compartir	شارك	compartir	شَارَك	V;NFIN	V;PFV;MASC;SG;3;ACT
niñas	بنات	niña	بِنَة	N;FEM;PL	N;NOM;INDF;PL
niñas	البنات	niña	بِنت	N;FEM;PL	N;NOM;DEF;PL
niñas	فتيات	niña	فَتَاة	N;FEM;PL	N;NOM;INDF;PL
niñas	لبنات	niña	لِبنَات	N;FEM;PL	N;NOM;INDF;PL
niñas	الفتيات	niña	فَتَاة	N;FEM;PL	N;NOM;DEF;PL
dependencia	التبعية	dependencia	تَبعِيَة	N;FEM;SG	N;NOM;DEF;SG
dependencia	الاعتماد	dependencia	اِعتِمَاد	N;FEM;SG	N;NOM;DEF;SG
dependencia	تبعية	dependencia	تَبعِيَة	N;FEM;SG	N;NOM;INDF;SG
dependencia	التبعية	dependencia	تَبعِيَة	N;FEM;SG	N;NOM;DEF;SG
dependencia	الاعتماد	dependencia	اِعتِمَاد	N;FEM;SG	N;NOM;DEF;SG
detective	المحقق	detective	مُحَقَّق	N;SG	N;NOM;DEF;SG
detective	المخبر	detective	مُخَبَّر	N;SG	N;NOM;DEF;SG
detective	مخبر	detective	مُخَبَّر	N;SG	N;NOM;INDF;SG
probar	حاول	probar	حَاوَل	V;NFIN	V;MASC;IMP;SG;FIN
arroyos	الجداول	arroyo	جَدوَل	N;MASC;PL	N;NOM;DEF;PL
arroyos	جداول	arroyo	جَدوَل	N;MASC;PL	N;NOM;INDF;PL
cráneo	جمجمة	cráneo	جُمجُمَة	N;MASC;SG	N;NOM;INDF;SG
cráneo	الجمجمة	cráneo	جُمجُمَة	N;MASC;SG	N;NOM;DEF;SG
provocando	تسبب	provocar	تَسَبَّب	V;V.MSDR	V;PFV;MASC;SG;3;ACT
provocando	يسبب	provocar	سَبَّب	V;V.MSDR	V;IPFV;MASC;IND;SG;3;FIN;ACT
caridad	الصدقة	caridad	صِدقَة	N;FEM;SG	N;NOM;DEF;SG
caridad	صدقة	caridad	صِدقَة	N;FEM;SG	N;NOM;INDF;SG
caridad	الاحسان	caridad	إِحسَان	N;FEM;SG	N;NOM;DEF;SG
llave	المفتاح	llave	مُفتَاح	N;FEM;SG	N;NOM;DEF;SG
llave	مفتاح	llave	مفتاح	N;FEM;SG	N;NOM;INDF;SG
exclusiva	حصرية	exclusivo	حصرية	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
exclusiva	حصريا	exclusivo	حِصرِيّ	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
manuscritos	المخطوطات	manuscrito	مَخطُوط	N;MASC;PL	N;NOM;DEF;PL
major	الرائد	major	رَائِد	N	N;NOM;DEF;SG
demonio	شيطان	demonio	شِيطَان	N;MASC;SG	N;NOM;INDF;SG
demonio	شيطان	demonio	شِيطَان	N;MASC;SG	N;NOM;INDF;SG
note	ملاحظة	notar	مُلَاحِظَة	N	N;NOM;INDF;SG
note	الملاحظة	notar	مُلَاحَظَة	N	N;NOM;DEF;SG
nazis	النازيون	nazi	نَازِيّ	N;PL	N;NOM;DEF;PL
nazis	النازيين	nazi	نَازِيّ	N;PL	N;NOM;DEF;PL
malo	سيئة	malo	سَيِّئ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
malo	سيء	malo	سِيَّة	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
malo	سيئ	malo	سَيِّئ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
malo	سئ	malo	سَأّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
materias	المواد	materia	مَادَّة	N;FEM;PL	N;NOM;DEF;PL
materias	مواد	materia	مَادَّة	N;FEM;PL	N;NOM;INDF;PL
materias	مواضيع	materia	مَوضُوع	N;FEM;PL	N;NOM;INDF;PL
materias	موضوعات	materia	موضوعات	N;FEM;PL	N;NOM;INDF;PL
materias	المواضيع	materia	مَوضُوع	N;FEM;PL	N;NOM;DEF;PL
materias	الموضوعات	materia	مَوضُوع	N;FEM;PL	N;NOM;DEF;PL
estándares	معايير	estándar	مِعيَار	N;MASC;PL	N;NOM;INDF;PL
estándares	المقاييس	estándar	مِقيَاس	N;MASC;PL	N;NOM;DEF;PL
estándares	المعايير	estándar	مِعيَار	N;MASC;PL	N;NOM;DEF;PL
gases	غازات	gas	غَاز	N;MASC;PL	N;NOM;INDF;PL
gases	الغازات	gas	غَاز	N;MASC;PL	N;NOM;DEF;PL
gases	غازات	gas	غَاز	N;MASC;PL	N;NOM;INDF;PL
boletín	نشرة	boletín	نَشرَة	N;MASC;SG	N;NOM;INDF;SG
boletín	النشرة	boletín	نَشرَة	N;MASC;SG	N;NOM;DEF;SG
potencias	سلطات	potencia	سُلطَة	N;FEM;PL	N;NOM;INDF;PL
potencias	القوى	potencia	قُوَّة	N;FEM;PL	N;NOM;DEF;PL
potencias	الصلاحيات	potencia	صَلَاحِيَّة	N;FEM;PL	N;NOM;DEF;PL
ejemplar	علم	ejemplar	عَلِم	V;NFIN	V;PFV;MASC;SG;3;ACT
ejemplar	انسخ	ejemplar	انسخ	V;NFIN	V;MASC;IMP;SG;FIN
basket	السلة	basket	سَلَّة	N;MASC;SG	N;NOM;DEF;SG
basket	سلة	basket	سَلَّة	N;MASC;SG	N;NOM;INDF;SG
montaje	التركيب	montaje	تَركِيب	N;MASC;SG	N;NOM;DEF;SG
montaje	تثبيت	montaje	تَثبِيت	N;MASC;SG	N;NOM;INDF;SG
montaje	التثبيت	montaje	تَثبِيت	N;MASC;SG	N;NOM;DEF;SG
montaje	تركيب	montaje	تَركِيب	N;MASC;SG	N;NOM;INDF;SG
montaje	جمعية	montaje	جَمعِيَّة	N;MASC;SG	N;NOM;INDF;SG
montaje	الجمعية	montaje	جَمعِيَّة	N;MASC;SG	N;NOM;DEF;SG
montaje	التعديل	montaje	تَعدِيل	N;MASC;SG	N;NOM;DEF;SG
montaje	تحرير	montaje	تَحرِير	N;MASC;SG	N;NOM;INDF;SG
montaje	التحرير	montaje	تَحرِير	N;MASC;SG	N;NOM;DEF;SG
enviados	المبعوثين	enviar	مَبعُوث	ADJ;MASC;PL;V.PTCP	ADJ;NOM;DEF;MASC;PL
fotógrafo	المصور	fotógrafo	المصور	N;MASC;SG	N;NOM;DEF;SG
fotógrafo	مصور	fotógrafo	مُصَوِّر	N;MASC;SG	N;NOM;INDF;SG
combatientes	المقاتلون	combatiente	مُقَاتِل	N;PL	N;NOM;DEF;PL
combatientes	المقاتلين	combatiente	مُقَاتِل	N;PL	N;NOM;DEF;PL
combatientes	مقاتلين	combatiente	مُقَاتِل	N;PL	N;NOM;INDF;PL
combatientes	المقاتلون	combatiente	مُقَاتِل	N;PL	N;NOM;DEF;PL
combatientes	المقاتلات	combatiente	مُقَاتِلَة	N;PL	N;NOM;DEF;PL
oponente	الخصم	oponente	خَصم	N;SG	N;NOM;DEF;SG
prince	امير	prince	أَمِير	N	N;NOM;INDF;SG
prince	الامير	prince	أَمِير	N	N;NOM;DEF;SG
pura	نقية	puro	نَقِيَّة	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
track	مسار	track	مَسَار	N;SG	N;NOM;INDF;SG
track	المسار	track	مَسَار	N;SG	N;NOM;DEF;SG
evangelio	الانجيل	evangelio	أَنجِيل	N;MASC;SG	N;NOM;DEF;SG
esfera	المجال	esfera	مَجَال	N;FEM;SG	N;NOM;DEF;SG
muertes	الوفيات	muerte	وَفَاة	N;FEM;PL	N;NOM;DEF;PL
muertes	وفيات	muerte	وَفَاة	N;FEM;PL	N;NOM;INDF;PL
muertes	الوفيات	muerte	وَفَاة	N;FEM;PL	N;NOM;DEF;PL
