und	та	und	та	CONJ	CONJ
von	від	von	від	ADP	ADP;GEN
für	для	für	для	ADP	ADP;GEN
auch	також	auch	також	ADV	ADV
auch	теж	auch	теж	ADV	ADV
auch	надто	auch	надто	ADV	ADV
auch	занадто	auch	занадто	ADV	ADV
nicht	не	nicht	не	PART;NEG	PART;NEG
nach	після	nach	після	ADP	ADP;GEN
aus	від	aus	від	ADP	ADP;GEN
sie	вона	sie	вона	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
bis	до	bis	до	ADP	ADP;GEN
durch	через	durch	через	ADP	ADP;ACC
über	про	über	про	ADP	ADP;ACC
über	щодо	über	щодо	ADP	ADP;GEN
über	через	über	через	ADP	ADP;ACC
über	над	über	над	ADP	ADP;ACC
aber	але	aber	але	CONJ	CONJ
nur	щойно	nur	щойно	ADV	ADV
noch	ще	noch	ще	ADV	ADV
noch	надалі	noch	надалі	ADV	ADV
noch	досі	noch	досі	ADV	ADV
noch	ще	noch	ще	ADV	ADV
unter	під	unter	під	ADP	ADP;ACC
hat	має	haben	мати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
vor	перед	vor	перед	ADP	ADP;INS
vor	перед	vor	перед	ADP	ADP;INS
hier	тут	hier	тут	ADV	ADV
diskussion	дискусії	diskussion	дискусія	N	N;INAN;NOM;FEM;PL
diskussion	обговорення	diskussion	обговорення	N	N;INAN;NOM;NEUT;SG
diskussion	дискусії	diskussion	дискусія	N	N;INAN;NOM;FEM;PL
diskussion	дискусія	diskussion	дискусія	N	N;INAN;NOM;FEM;SG
diskussion	обговорення	diskussion	обговорення	N	N;INAN;NOM;NEUT;SG
diskussion	дискусії	diskussion	дискусія	N	N;INAN;NOM;FEM;PL
diskussion	дебати	diskussion	дебати	N	N;INAN;NOM;MASC;PL
jahr	рік	Jahr	рік	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
dann	потім	dann	потім	ADV	ADV
dann	тоді	dann	тоді	ADV	ADV
zwei	два	zwei	два	NUM	NUM;NOM;MASC
zwei	дві	zwei	два	NUM	NUM;NOM;FEM
zwei	двоє	zwei	двоє	NUM	NUM;NOM
zwei	двох	zwei	два	NUM	NUM;ACC
was	що	was	що	PRO;NOM;NEUT;SG	PRO;INAN;NOM;NEUT;SG
sowie	та	sowie	та	CONJ	CONJ
hatte	мав	haben	мати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
zwischen	між	zwischen	між	ADP	ADP;INS
team	команда	team	команда	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
mehr	більше	mehr	більше	ADV	ADV;CMPR
wieder	знов	wieder	знов	ADV	ADV
wieder	знову	wieder	знову	ADV	ADV
wieder	назад	wieder	назад	ADV	ADV
wieder	ззаду	wieder	ззаду	ADV	ADV
schon	уже	schon	уже	ADV	ADV
schon	вже	schon	вже	ADV	ADV
gibt	визнає	geben	визнавати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gibt	повертається	geben	повертатися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gibt	повертає	geben	повертати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gibt	дає	geben	давати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
deutscher	німецька	deutsch	німецький	ADJ	ADJ;NOM;FEM;SG
deutscher	німецькою	deutsch	німецький	ADJ	ADJ;INS;FEM;SG
deutscher	німецький	deutsch	німецький	ADJ	ADJ;NOM;MASC;SG
dort	туди	dort	туди	ADV	ADV
dort	там	dort	там	ADV	ADV
siehe	подивитися	sehen	подивитися	V;IMP;SG;FIN	V;PFV;NFIN
siehe	переглянути	sehen	переглянути	V;IMP;SG;FIN	V;PFV;NFIN
drei	три	drei	три	NUM	NUM;NOM
drei	троє	drei	троє	NUM	NUM;NOM
etwa	приблизно	etwa	приблизно	ADV	ADV
etwa	приблизно	etwa	приблизно	ADV	ADV
deutschen	німецька	deutsch	німецький	ADJ	ADJ;NOM;FEM;SG
deutschen	німецькою	deutsch	німецький	ADJ	ADJ;INS;FEM;SG
deutschen	німецький	deutsch	німецький	ADJ	ADJ;NOM;MASC;SG
