觸動	tocar	觸動	tocar	V	V
調頻	metralladora	調頻	metrallador	N	N
帶子	cinta	帶子	cintar	N	N
掌聲	aplausos	掌聲	aplauso	N	N
掌聲	aplauso	掌聲	aplauso	N	N
迷惘	confusión	迷惘	confusión	N	N
青霉	penicilina	青霉	penicilinar	N	N
反饋	resposta	反饋	resposta	N	N
魷魚	lura	魷魚	lura	N	N
糖漿	melaza	糖漿	melaza	N	N
槍支	armas	槍支	arma	N	N
槍支	fusís	槍支	fuso	N	N
槍支	armados	槍支	armar	N	N
槍支	metralladoras	槍支	metrallador	N	N
槍支	arma	槍支	arma	N	N
槍支	pistola	槍支	pistola	N	N
槍支	revólver	槍支	revólver	N	N
大拇	polgar	大拇	polgar	N	N
稅款	impostos	稅款	imposto	N	N
爪子	canteiros	爪子	canteiro	N	N
爪子	garras	爪子	garra	N	N
淚水	bágoas	淚水	bágoa	N	N
淚水	aburrimento	淚水	aburrimento	N	N
披薩	pizza	披薩	pizza	N	N
燙	quente	燙	quente	N	N
燙	calor	燙	calor	N	N
手銬	esposas	手銬	esposo	N	N
允諾	prometeron	允諾	prometer	V	V
允諾	prometida	允諾	prometer	V	V
允諾	prometo	允諾	prometo	V	V
允諾	prometera	允諾	prometer	V	V
吸盤	parvo	吸盤	parvo	N	N
鮮花	flores	鮮花	flores	N	N
瞎子	cegas	瞎子	cega	N	N
瞎子	cega	瞎子	cega	N	N
瞎子	cego	瞎子	cego	N	N
瞎子	cegos	瞎子	cego	N	N
會	congregación	會	congregación	N	N
幣值	moeda	幣值	moeda	N	N
抽樣	mostra	抽樣	mostra	N	N
女	señora	女	señor	N	N
女	patroa	女	patroa	N	N
原產	orixe	原產	orixe	N	N
摘錄	extraer	摘錄	extraer	V	V
摘錄	extraen	摘錄	extraer	V	V
捲軸	parte	捲軸	parte	N	N
手帕	pano	手帕	pano	N	N
省省	provincia	省省	provincia	N	N
道義	moral	道義	moral	N	N
道義	vontade	道義	vontade	N	N
卡路里	calorías	卡路里	caloría	N	N
存貨	depósito	存貨	depósito	N	N
傢俱	mobles	傢俱	moble	N	N
單調	monótono	單調	monótono	N	N
拖鞋	zapato	拖鞋	zapato	N	N
拖鞋	zapatillas	拖鞋	zapatilla	N	N
卑微	humilde	卑微	humilde	N	N
卑微	humildes	卑微	humilde	N	N
垂死	morren	垂死	morrer	V	V
垂死	morrendo	垂死	morrer	V	V
垂死	morrer	垂死	morrer	V	V
難民	campo	難民	campo	N	N
難民	campamento	難民	campamento	N	N
難民	acampamento	難民	acampamento	N	N
倉儲	almacén	倉儲	almacén	N	N
奴隸	escravitude	奴隸	escravitude	N	N
羞愧	vergoña	羞愧	vergoña	N	N
鐵皮	estaño	鐵皮	estaño	N	N
同	a	同	o	DET	DET
