den	la	den	él	PRO;DEF;MASC+FEM;SG	PRO;ACC;FEM;SG;3
och	y	och	y	CONJ	CONJ
med	con	med	con	ADP	ADP
som	como	som	como	CONJ	CONJ
runt	alrededor	runt	alrededor	ADV	ADV
månaden	mes	månad	mes	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
nederbörd	precipitación	nederbörd	precipitación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
nederbörd	precipitación	nederbörd	precipitación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
ingår	incluye	ingå	incluir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
familjen	famila	familj	famila	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
familjen	familia	familj	familia	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
för	para	för	para	ADP	ADP
delen	part	del	part	N;NOM;DEF;MASC+FEM;SG	N
delen	parte	del	parte	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
släktet	género	släkte	género	N;NOM;DEF;NEUT;SG	N;MASC;SG
underarter	subespecies	underart	subespecie	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
life	vida	life	vida	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	N
listade	enumerados	lisa	enumerado	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
landet	pais	land	pais	N;NOM;DEF;NEUT;SG	N;MASC;SG
landet	país	land	país	N;NOM;DEF;NEUT;SG	N;MASC;SG
meter	metros	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	contadores	meter	contador	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	metros	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	medidores	meter	medidor	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	metros	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	patios	meter	patio	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
meter	yardas	meter	yarda	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
huvudstaden	capitolio	huvudstad	capitolio	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
huvudstaden	capital	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
havet	mar	hav	mar	N;NOM;DEF;NEUT;SG	N;SG
havet	océano	hav	océano	N;NOM;DEF;NEUT;SG	N;MASC;SG
havet	mar	hav	mar	N;NOM;DEF;NEUT;SG	N;SG
havet	oceano	hav	oceano	N;NOM;DEF;NEUT;SG	N;MASC;SG
invånare	habitantes	invånare	habitante	N;NOM;INDF;MASC+FEM;PL	N;PL
invånare	residentes	invånare	residente	N;NOM;INDF;MASC+FEM;PL	N;PL
invånare	habitantes	invånare	habitante	N;NOM;INDF;MASC+FEM;PL	N;PL
invånare	ciudadanos	invånare	ciudadano	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
invånare	ciudadanas	invånare	ciudadana	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
januari	enero	januari	enero	N;NOM;INDF;MASC+FEM;SG	N
millimeter	milímetros	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
millimeter	milímetros	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
millimeter	milímetros	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
genomsnitt	promedio	genomsnitt	promedio	N;NOM;INDF;NEUT;SG	N;MASC;SG
genomsnitt	media	genomsnitt	media	N;NOM;INDF;NEUT;SG	N;FEM;SG
juli	julio	juli	julio	N;NOM;INDF;MASC+FEM;SG	N
har	tiene	ha	tener	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	tener	ha	tener	V;IND;PRS;FIN;ACT	V;NFIN
har	tienen	ha	tener	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
per	per	per	per	ADP	ADP
vattendrag	rivers	vattendrag	river	N;NOM;INDF;NEUT;SG	N
från	de	från	de	ADP	ADP
från	desde	från	desde	ADP	ADP
provinsen	provincia	provins	provincia	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
närheten	cercanía	närhet	cercanía	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
närheten	proximidad	närhet	proximidad	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
men	sino	men	sino	CONJ	CONJ
men	pero	men	pero	CONJ	CONJ
högsta	supremo	hög	supremo	ADJ;NOM;DEF;RL	ADJ;MASC;SG
högsta	máximo	hög	máximo	ADJ;NOM;DEF;RL	ADJ;MASC;SG
högsta	máxima	hög	máximo	ADJ;NOM;DEF;RL	ADJ;FEM;SG
högsta	máximas	hög	máxima	ADJ;NOM;DEF;RL	ADJ;FEM;PL
augusti	agosto	augusti	agosto	N;NOM;INDF;MASC+FEM;SG	N
länkar	acoplamientos	länka	acoplamiento	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
länkar	vínculos	länka	vínculo	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
länkar	enlaces	länka	enlace	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
länkar	links	länka	link	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
läge	lugar	läge	lugar	N;NOM;INDF;NEUT;SG	N;MASC;SG
läge	ubicacion	läge	ubicacion	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	ubicación	läge	ubicación	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	emplazamiento	läge	emplazamiento	N;NOM;INDF;NEUT;SG	N;MASC;SG
läge	localización	läge	localización	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	modalidad	läge	modalidad	N;NOM;INDF;NEUT;SG	N;FEM;SG
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	N
läge	modo	läge	modo	N;NOM;INDF;NEUT;SG	N;MASC;SG
även	incluso	även	incluso	ADV	ADV
även	aun	även	aun	ADV	ADV
även	igualmente	även	igualmente	ADV	ADV
även	además	även	además	ADV	ADV
även	también	även	también	ADV	ADV
februari	febrero	februari	febrero	N;NOM;INDF;MASC+FEM;SG	N
under	durante	under	durante	ADP	ADP
under	bajo	under	bajo	ADP	ADP
lake	lago	lake	lago	N;NOM;INDF;NEUT;SG	N;MASC;SG
lake	laguna	lake	laguna	N;NOM;INDF;NEUT;SG	N;FEM;SG
sjö	lago	sjö	lago	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
sjö	laguna	sjö	laguna	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
sjö	mar	sjö	mar	N;NOM;INDF;MASC+FEM;SG	N;SG
kommun	municipalidad	kommun	municipalidad	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
kommun	municipio	kommun	municipio	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
två	dos	två	dos	NUM;NOM	NUM;PL
terrängen	terreno	terräng	terreno	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
juni	junio	juni	junio	N;NOM;INDF;MASC+FEM;SG	N
december	diciembre	december	diciembre	N;NOM;INDF;MASC+FEM;SG	N
växer	crecer	växa	crecer	V;IND;PRS;FIN;ACT	V;NFIN
växer	creciendo	växa	crecer	V;IND;PRS;FIN;ACT	V;V.MSDR
växer	crecen	växa	crecer	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
växer	crecer	växa	crecer	V;IND;PRS;FIN;ACT	V;NFIN
växer	crece	växa	crecer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
växer	crece	växa	crecer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
många	muchas	mången	mucho	PRO;INDF;PL	PRO;FEM;PL
många	muchos	mången	mucho	PRO;INDF;PL	PRO;MASC;PL
efter	tras	efter	tras	ADP	ADP
nära	cerca	nära	cerca	ADV	ADV
nära	cerca	nära	cerca	ADV	ADV
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
väster	occidente	väster	occidente	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
väster	oeste	väster	oeste	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
provins	provincia	provins	provincia	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
öster	oriente	öster	oriente	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
öster	east	öster	east	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
först	primero	först	primero	ADV	ADV
berg	montaña	berg	montaña	N;NOM;INDF;NEUT;SG	N;FEM;SG
berg	montaña	berg	montaña	N;NOM;INDF;NEUT;SG	N;FEM;SG
mars	marcha	mars	marcha	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
mars	marzo	mars	marzo	N;NOM;INDF;MASC+FEM;SG	N
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	N
mindre	menos	lite	menos	ADV;CMPR	ADV
norr	norte	norr	norte	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
oktober	octubre	oktober	octubre	N;NOM;INDF;MASC+FEM;SG	N
september	setiembre	september	setiembre	N;NOM;INDF;MASC+FEM;SG	N
september	septiembre	september	septiembre	N;NOM;INDF;MASC+FEM;SG	N
större	mayor	stor	mayor	ADJ;NOM;CMPR	ADJ;SG
andra	otras	annan	otro	PRO;INDF;PL	PRO;FEM;PL
andra	otros	annan	otro	PRO;INDF;PL	PRO;MASC;PL
andra	otras	annan	otro	PRO;INDF;PL	PRO;FEM;PL
andra	otros	annan	otro	PRO;INDF;PL	PRO;MASC;PL
hade	tuvo	ha	tener	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
där	allí	där	allí	ADV	ADV
där	ahí	där	ahí	ADV	ADV
county	condado	county	condado	N;NOM;INDF;NEUT;SG	N;MASC;SG
huvudsakligen	principalmente	huvudsakligen	principalmente	ADV	ADV
huvudsakligen	principalmente	huvudsakligen	principalmente	ADV	ADV
huvudsakligen	primordialmente	huvudsakligen	primordialmente	ADV	ADV
ovanligt	insólito	ovanlig	insólito	ADJ;NOM;INDF;NEUT;SG	ADJ;MASC;SG
ovanligt	inusual	ovanlig	inusual	ADJ;NOM;INDF;NEUT;SG	ADJ;SG
söder	sur	söder	sur	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
mycket	muy	mycket	mucho	ADV	ADV
mycket	mucho	mycket	mucho	ADV	ADV
regionen	region	region	region	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
regionen	comarca	region	comarca	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
regionen	región	region	región	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
creek	riachuelo	creek	riachuelo	N;NOM;INDF;NEUT;SG	N;MASC;SG
creek	creek	creek	creek	N;NOM;INDF;NEUT;SG	N;MASC
creek	arroyo	creek	arroyo	N;NOM;INDF;NEUT;SG	N;MASC;SG
ganska	bastante	ganska	bastante	ADV	ADV
november	noviembre	november	noviembre	N;NOM;INDF;MASC+FEM;SG	N
maj	mayo	maj	mayo	N;NOM;INDF;MASC+FEM;SG	N
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	N
född	nacido	född	nacido	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
samhälle	society	samhälle	society	N;NOM;INDF;NEUT;SG	N;SG
samhälle	sociedad	samhälle	sociedad	N;NOM;INDF;NEUT;SG	N;FEM;SG
samhälle	comunidad	samhälle	comunidad	N;NOM;INDF;NEUT;SG	N;FEM;SG
hon	ella	hon	él	PRO;NOM;DEF;MASC+FEM;SG	PRO;FEM;SG;3
består	consta	bestå	constar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
består	consisten	bestå	consistir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
består	consiste	bestå	consistir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
platser	escaños	plats	escaño	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	asientos	plats	asiento	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	localizaciones	plats	localización	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
platser	ubicaciones	plats	ubicación	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
platser	lugares	plats	lugar	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	localidades	plats	localidad	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
platser	sitios	plats	sitio	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	lugares	plats	lugar	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	localidades	plats	localidad	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
platser	plazas	plats	plaza	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
platser	sitios	plats	sitio	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
platser	emplazamientos	plats	emplazamiento	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
första	primera	en	primero	ADJ;NOM	ADJ;FEM;SG
första	primeras	en	primero	ADJ;NOM	ADJ;FEM;PL
första	primer	en	primero	ADJ;NOM	ADJ;MASC;SG
första	primeros	en	primero	ADJ;NOM	ADJ;MASC;PL
fick	consiguió	få	conseguir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
området	superficie	område	superficie	N;NOM;DEF;NEUT;SG	N;FEM;SG
området	zona	område	zona	N;NOM;DEF;NEUT;SG	N;FEM;SG
området	area	område	area	N;NOM;DEF;NEUT;SG	N;FEM;SG
området	área	område	área	N;NOM;DEF;NEUT;SG	N;FEM;SG
april	abril	april	abril	N;NOM;INDF;MASC+FEM;SG	N
bar	barra	ba	barra	N;NOM;INDF;NEUT;SG	N;FEM;SG
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	N;MASC;SG
södra	sureña	södra	sureño	ADJ;NOM;DEF;SG	ADJ;FEM;SG
