से	from	से	from		
श्रेणी	kategoria	श्रेणी	kategoria	N;NOM;FEM;SG;3	N;NOM;FEM;SG
श्रेणी	seria	श्रेणी	seria	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भी	nawet	भी	nawet	PART	PART
भी	także	भी	także	PART	PART
भी	też	भी	też	PART	PART
भी	również	भी	również	PART	PART
भी	też	भी	też	PART	PART
भी	zbyt	भी	zbyt	PART	PART
किया	zrobił	कर	zrobić	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
रूप	postać	रूप	postać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूप	forma	रूप	forma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूप	wygląd	रूप	wygląd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रूप	wystąpienie	रूप	wystąpienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नहीं	nie	नहीं	nie	PART;NEG	PART;NEG
गया	poszedł	जा	pójść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गया	poszło	जा	pójść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
साथ	razem	साथ	razem	ADV;NOM;MASC;SG;3	ADV
साथ	wspólnie	साथ	wspólnie	ADV;NOM;MASC;SG;3	ADV
बाद	później	बाद	późno	ADV;NOM;MASC;SG;3	ADV;CMPR
राज्य	stan	राज्य	stan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
राज्य	państwo	राज्य	państwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बाहरी	odkryty	बाहरी	odkryć	ADJ;NOM	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
बाहरी	zewnętrzne	बाहरी	zewnętrzny	ADJ;NOM	ADJ;NOM;NEUT;SG
बाहरी	zewnętrzna	बाहरी	zewnętrzny	ADJ;NOM	ADJ;NOM;FEM;SG
बाहरी	zewnętrzne	बाहरी	zewnętrzny	ADJ;NOM	ADJ;NOM;NEUT;SG
कुछ	niektóre	कुछ	niektóry	DET	DET;NOM;MASC;SG
कुछ	niektórzy	कुछ	niektóry	DET	DET;NOM;MASC;PL
ईसा	jezus	ईसा	jezus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सरकार	rząd	सरकार	rząd	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कड़ियाँ	łańcuchy	कड़ी	łańcuch	N;NOM;FEM;PL;3	N;NOM;MASC;PL
कड़ियाँ	linki	कड़ी	linka	N;NOM;FEM;PL;3	N;NOM;FEM;PL
प्रदेश	region	प्रदेश	region	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दिया	zważywszy	दे	zważyć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;PST;V.CVB;ACT
दिया	dał	दे	dać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
वर्ष	rok	वर्ष	rok	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समय	czas	समय	czas	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नाम	nazwisko	नाम	nazwisko	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नाम	imię	नाम	imię	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नाम	nazwa	नाम	nazwa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रकार	rodzaj	प्रकार	rodzaj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रकार	rodzaj	प्रकार	rodzaj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	teren	क्षेत्र	teren	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	powierzchnia	क्षेत्र	powierzchnia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्र	obszar	क्षेत्र	obszar	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	region	क्षेत्र	region	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कई	wielu	कई	wiele	DET	DET;ACC;MASC;PL
कई	wiele	कई	wiele	DET	DET;ACC;MASC;PL
कई	kilkanaście	कई	kilkanaście	DET	DET;ACC;MASC;PL
कई	kilka	कई	kilka	DET	DET;ACC;MASC;PL
कई	kilku	कई	kilka	DET	DET;ACC;MASC;PL
स्थित	zlokalizowany	स्थित	zlokalizować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
स्थित	zlokalizowane	स्थित	zlokalizować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
आधिकारिक	oficjalne	आधिकारिक	oficjalny	ADJ	ADJ;NOM;NEUT;SG
आधिकारिक	oficjalna	आधिकारिक	oficjalny	ADJ	ADJ;NOM;FEM;SG
आधिकारिक	urzędowym	आधिकारिक	urzędowy	ADJ	ADJ;INS;MASC;SG
आधिकारिक	oficjalny	आधिकारिक	oficjalny	ADJ	ADJ;NOM;MASC;SG
कारण	przyczyna	कारण	przyczynać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कारण	powód	कारण	powód	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारण	przyczyna	कारण	przyczynać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
होने	będąc	हो	być	V;MASC;NFIN;ACT	V;IPFV;PRS;V.CVB;ACT
करता	robi	कर	robić	V;IPFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
पहले	wcześniej	पहले	wcześnie	ADV;NOM;MASC;SG;3	ADV;CMPR
पहले	wcześniej	पहले	wcześnie	ADV;NOM;MASC;SG;3	ADV;CMPR
पहले	najpierw	पहले	najpierw	ADV;NOM;MASC;SG;3	ADV
दो	dwie	दो	dwa	NUM	NUM;ACC;FEM;PL
दो	dwóch	दो	dwa	NUM	NUM;ACC;MASC;PL
दो	dwa	दो	dwa	NUM	NUM;ACC;MASC;PL
जिला	okręg	जिला	okręg	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जिला	dystrykt	जिला	dystrykt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जिला	dzielnica	जिला	dzielnica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जिला	rejon	जिला	rejon	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जन्म	urodzenia	जन्म	urodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जन्म	poród	जन्म	poród	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जन्म	narodziny	जन्म	narodziny	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
लेकिन	ale	लेकिन	ale	CONJ	CONJ
कहा	powiedział	कह	powiedzieć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
लोग	osoby	लोग	osoba	N;NOM;MASC;PL;3	N;NOM;FEM;PL
लोग	ludzie	लोग	człowiek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
प्राचीन	prymitywne	प्राचीन	prymitywny	ADJ;NOM	ADJ;NOM;NEUT;SG
प्राचीन	prymitywny	प्राचीन	prymitywny	ADJ;NOM	ADJ;NOM;MASC;SG
प्राचीन	starożytny	प्राचीन	starożytny	ADJ;NOM	ADJ;NOM;MASC;SG
प्राचीन	starożytna	प्राचीन	starożytny	ADJ;NOM	ADJ;NOM;FEM;SG
प्राचीन	starożytne	प्राचीन	starożytny	ADJ;NOM	ADJ;NOM;NEUT;SG
भाषा	język	भाषा	język	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्राप्त	uzyskane	प्राप्त	uzyskać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
प्राप्त	otrzymana	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
प्राप्त	otrzymany	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
प्राप्त	otrzymane	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
प्राप्त	otrzymana	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
प्राप्त	otrzymany	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
प्राप्त	otrzymane	प्राप्त	otrzymać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
प्रयोग	wykorzystanie	प्रयोग	wykorzystać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रयोग	korzystanie	प्रयोग	korzystać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
प्रयोग	użycie	प्रयोग	użyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रयोग	użytkowanie	प्रयोग	użytkować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
शामिल	zaangażowane	शामिल	zaangażowany	ADJ	ADJ;NOM;NEUT;SG
शामिल	zaangażowana	शामिल	zaangażować	ADJ	ADJ;NOM;FEM;SG
शामिल	zaangażowany	शामिल	zaangażować	ADJ	ADJ;NOM;MASC;SG
