この	ovo	この	ovaj	DET	DET;NOM;NEUT;SG
もの	stvari	もの	stvar	N	N;NOM;FEM;PL
大学	sveučilišta	大学	sveučilište	N	N;NOM;NEUT;PL
大学	fakultet	大学	fakultet	N	N;NOM;MASC;SG
大学	sveučilište	大学	sveučilište	N	N;NOM;NEUT;SG
大学	fakultet	大学	fakultet	N	N;NOM;MASC;SG
大学	koledž	大学	koledž	N	N;NOM;MASC;SG
大学	college	大学	collega	N	N;NOM;MASC;SG
大学	fakultete	大学	fakultet	N	N;ACC;MASC;PL
テレビ	televizore	テレビ	televizor	N	N;ACC;MASC;PL
テレビ	televizija	テレビ	televizija	N	N;NOM;FEM;SG
削除	brišem	削除	bristi	V	V;IND;SG;1;PRS;FIN
削除	uklonite	削除	ukloniti	V	V;IMP;PL;2;FIN
削除	ukloni	削除	ukloniti	V	V;IND;SG;3;PRS;FIN
削除	obriši	削除	obrisiti	V	V;IMP;SG;2;PRS;FIN
現在	struja	現在	struja	N	N;NOM;FEM;SG
現在	sadašnjost	現在	sadašnjost	N	N;NOM;FEM;SG
現在	poklon	現在	poklon	N	N;NOM;MASC;SG
学校	škole	学校	škola	N	N;NOM;FEM;PL
学校	skole	学校	skola	N	N;NOM;FEM;PL
学校	skola	学校	skola	N	N;NOM;FEM;SG
学校	škola	学校	škola	N	N;NOM;FEM;SG
世界	svijeta	世界	svijet	N	N;GEN;MASC;SG
世界	svijet	世界	svijet	N	N;NOM;MASC;SG
でも	ali	でも	ali	CONJ	CONJ
作品	radovi	作品	rad	N	N;NOM;MASC;PL
作品	diskografija	作品	diskografija	N	N;NOM;FEM;SG
時代	ere	時代	era	N	N;NOM;FEM;SG
時代	era	時代	era	N	N;NOM;FEM;SG
映画	film	映画	film	N	N;NOM;MASC;SG
映画	kino	映画	kino	N	N;NOM;MASC;SG
映画	film	映画	film	N	N;NOM;MASC;SG
映画	filmovi	映画	film	N	N;NOM;MASC;PL
映画	filmove	映画	film	N	N;ACC;MASC;PL
映画	kino	映画	kino	N	N;NOM;MASC;SG
監督	direktor	監督	direktor	N	N;NOM;MASC;SG
監督	redatelj	監督	redatelj	N	N;NOM;MASC;SG
監督	direktore	監督	direktor	N	N;ACC;MASC;PL
監督	nadzor	監督	nadzor	N	N;NOM;MASC;SG
鉄道	željeznice	鉄道	željeznica	N	N;NOM;FEM;PL
鉄道	željeznica	鉄道	željeznica	N	N;NOM;FEM;SG
鉄道	pruga	鉄道	prugati	N	N;NOM;FEM;SG
鉄道	željeznice	鉄道	željeznica	N	N;NOM;FEM;PL
鉄道	željeznica	鉄道	željeznica	N	N;NOM;FEM;SG
鉄道	željeznica	鉄道	željeznica	N	N;NOM;FEM;SG
使用	koristi	使用	koristiti	V	V;IND;SG;3;PRS;FIN
使用	iskoristi	使用	iskoristiti	V	V;IND;SG;3;PRS;FIN
使用	upotrijebi	使用	upotrijebiti	V	V;IND;SG;3;PRS;FIN
明治	meiji	明治	mei	N	N;NOM;FEM;SG
時間	sati	時間	sat	N	N;GEN;MASC;PL
時間	satima	時間	sat	N	N;DAT;MASC;PL
時間	sat	時間	sat	N	N;NOM;MASC;SG
時間	vreme	時間	vreme	N	N;NOM;NEUT;SG
時間	vrijeme	時間	vrijeme	N	N;NOM;NEUT;SG
シリーズ	serije	シリーズ	serija	N	N;NOM;FEM;PL
シリーズ	serija	シリーズ	serija	N	N;NOM;FEM;SG
記事	članak	記事	članak	N	N;NOM;MASC;SG
記事	priča	記事	priča	N	N;NOM;FEM;SG
記事	prica	記事	prica	N	N;NOM;FEM;SG
記事	priče	記事	priča	N	N;NOM;FEM;PL
記事	price	記事	price	N	N;NOM;FEM;PL
記事	članke	記事	članak	N	N;ACC;MASC;PL
記事	članci	記事	članak	N	N;NOM;MASC;PL
選手	igrači	選手	igrač	N	N;NOM;MASC;PL
選手	igrača	選手	igrač	N	N;ACC;MASC;SG
選手	sportaši	選手	sportaš	N	N;NOM;MASC;PL
しかし	ali	しかし	ali	CONJ	CONJ
大会	konvencija	大会	konvencija	N	N;NOM;FEM;SG
大会	sabor	大会	sabor	N	N;NOM;MASC;SG
大会	konvencije	大会	konvencija	N	N;NOM;FEM;PL
大会	konvenciji	大会	konvencija	N	N;DAT;FEM;SG
チーム	timovi	チーム	tim	N	N;NOM;MASC;PL
チーム	ekipe	チーム	ekipa	N	N;NOM;FEM;PL
チーム	momčadi	チーム	momčad	N	N;NOM;FEM;PL
チーム	ekipa	チーム	ekipa	N	N;NOM;FEM;SG
チーム	momčad	チーム	momčad	N	N;NOM;FEM;SG
チーム	reprezentacija	チーム	reprezentacija	N	N;NOM;FEM;SG
作詞	stihovi	作詞	stih	N	N;NOM;MASC;PL
作詞	stihove	作詞	stih	N	N;ACC;MASC;PL
所属	pripadam	所属	pripadati	V	V;IND;SG;1;PRS;FIN
所属	pripadaju	所属	pripadati	V	V;IND;PL;3;PRS;FIN
結果	rezultat	結果	rezultat	N	N;NOM;MASC;SG
結果	rezultati	結果	rezultat	N	N;NOM;MASC;PL
アルバム	album	アルバム	album	N	N;NOM;MASC;SG
アルバム	albuma	アルバム	album	N	N;GEN;MASC;SG
アルバム	albume	アルバム	album	N	N;ACC;MASC;PL
ゲーム	gaming	ゲーム	gaming	N	N;NOM;MASC;SG
ゲーム	igra	ゲーム	igra	N	N;NOM;FEM;SG
ゲーム	utakmice	ゲーム	utakmica	N	N;NOM;FEM;PL
ゲーム	igre	ゲーム	igra	N	N;NOM;FEM;PL
ゲーム	igrice	ゲーム	igrica	N	N;NOM;FEM;PL
問題	problem	問題	problem	N	N;NOM;MASC;SG
問題	probleme	問題	problem	N	N;ACC;MASC;PL
問題	problema	問題	problem	N	N;GEN;MASC;PL
問題	problemi	問題	problem	N	N;NOM;MASC;PL
問題	pitanja	問題	pitanje	N	N;NOM;NEUT;PL
リーグ	ligu	リーグ	liga	N	N;ACC;FEM;SG
リーグ	liga	リーグ	liga	N	N;NOM;FEM;SG
事業	poslovanje	事業	poslovanje	N	N;NOM;NEUT;SG
事業	posao	事業	posao	N	N;NOM;MASC;SG
音楽	muzika	音楽	muzika	N	N;NOM;FEM;SG
音楽	glazba	音楽	glazba	N	N;NOM;FEM;SG
転送	proslijedi	転送	proslijediti	V	V;IND;SG;3;PRS;FIN
転送	prebaci	転送	prebac	V	V;IND;SG;3;PRS;FIN
情報	info	情報	info	N	N;NOM;MASC;SG
情報	podaci	情報	podatak	N	N;NOM;MASC;PL
情報	informacije	情報	informacija	N	N;NOM;FEM;PL
情報	informacija	情報	informacija	N	N;NOM;FEM;SG
情報	podaci	情報	podatak	N	N;NOM;MASC;PL
情報	informacije	情報	informacija	N	N;NOM;FEM;PL
公式	službeni	公式	služben	ADJ	ADJ;NOM;DEF;MASC;SG
地域	regije	地域	regija	N	N;NOM;FEM;PL
地域	regija	地域	regija	N	N;NOM;FEM;SG
地域	regije	地域	regija	N	N;NOM;FEM;PL
地域	regiji	地域	regija	N	N;DAT;FEM;SG
地域	regija	地域	regija	N	N;NOM;FEM;SG
変更	promijeni	変更	promijeniti	V	V;IND;SG;3;PRS;FIN
編曲	aranžman	編曲	aranžman	N	N;NOM;MASC;SG
サイト	site	サイト	site	N	N;NOM;MASC;SG
サイト	sajt	サイト	sajt	N	N;NOM;MASC;SG
関係	odnose	関係	odnos	N	N;ACC;MASC;PL
関係	odnosi	関係	odnos	N	N;NOM;MASC;SG
クラブ	klub	クラブ	klub	N	N;NOM;MASC;SG
クラブ	club	クラブ	club	N	N;NOM;MASC;SG
クラブ	klubovi	クラブ	klub	N	N;NOM;MASC;PL
クラブ	klubova	クラブ	klub	N	N;GEN;MASC;PL
クラブ	palice	クラブ	palica	N	N;NOM;FEM;PL
クラブ	klubove	クラブ	klub	N	N;ACC;MASC;PL
中央	central	中央	central	N	N;NOM;MASC;SG
中央	centar	中央	centar	N	N;NOM;MASC;SG
中央	centar	中央	centar	N	N;NOM;MASC;SG
中央	središte	中央	središte	N	N;NOM;NEUT;SG
中央	sredina	中央	sredini	N	N;NOM;FEM;SG
同じ	isti	同じ	isti	ADJ	ADJ;NOM;DEF;MASC;SG
同じ	ista	同じ	isti	ADJ	ADJ;NOM;DEF;FEM;SG
考え	razmišljam	考える	razmišljati	V	V;IND;SG;1;PRS;FIN
考え	mislio	考える	misliti	V	V;MASC;SG;PST;V.PTCP;ACT
考え	misli	考える	misliti	V	V;IND;SG;3;PRS;FIN
教育	obrazovanje	教育	obrazovanje	N	N;NOM;NEUT;SG
教育	edukacije	教育	edukacija	N	N;NOM;FEM;PL
教育	školovanje	教育	školovanje	N	N;NOM;NEUT;SG
プロ	profesionalac	プロ	profesionalac	N	N;NOM;MASC;SG
シーズン	sezone	シーズン	sezona	N	N;GEN;FEM;SG
シーズン	sezona	シーズン	sezona	N	N;NOM;FEM;SG
ファイル	datoteke	ファイル	datoteka	N	N;NOM;FEM;PL
ファイル	datoteka	ファイル	datoteka	N	N;NOM;FEM;SG
都市	grad	都市	grad	N	N;NOM;MASC;SG
都市	gradom	都市	grad	N	N;INS;MASC;SG
都市	gradove	都市	grad	N	N;ACC;MASC;PL
都市	gradova	都市	grad	N	N;GEN;MASC;PL
都市	gradovi	都市	grad	N	N;NOM;MASC;PL
会社	firma	会社	firma	N	N;NOM;FEM;SG
会社	firmi	会社	firma	N	N;DAT;FEM;SG
会社	društvo	会社	društvo	N	N;NOM;NEUT;SG
会社	drustvo	会社	drustvo	N	N;NOM;NEUT;SG
会社	tvrtka	会社	tvrtka	N	N;NOM;FEM;SG
会社	kompanija	会社	kompanija	N	N;NOM;FEM;SG
会社	poduzeća	会社	poduzeće	N	N;NOM;NEUT;PL
会社	tvrtke	会社	tvrtka	N	N;NOM;FEM;PL
会社	kompanije	会社	kompanija	N	N;NOM;FEM;PL
会社	firme	会社	firma	N	N;NOM;FEM;PL
世紀	stoljeća	世紀	stoljeće	N	N;NOM;NEUT;PL
世紀	vijek	世紀	vijek	N	N;NOM;MASC;SG
世紀	stoljeće	世紀	stoljeće	N	N;NOM;NEUT;SG
世紀	stoljeća	世紀	stoljeće	N	N;NOM;NEUT;PL
ノート	napomena	ノート	napomen	N	N;NOM;FEM;SG
ノート	bilješka	ノート	bilješka	N	N;NOM;FEM;SG
ノート	bilježnice	ノート	bilježnica	N	N;NOM;FEM;PL
ノート	note	ノート	note	N	N;NOM;FEM;PL
ノート	bilješke	ノート	bilješka	N	N;NOM;FEM;PL
ノート	bilježnica	ノート	bilježnica	N	N;NOM;FEM;SG
ノート	bilježnicu	ノート	bilježnica	N	N;ACC;FEM;SG
社会	društvo	社会	društvo	N	N;NOM;NEUT;SG
社会	drustvo	社会	drustvo	N	N;NOM;NEUT;SG
社会	društva	社会	društvo	N	N;NOM;NEUT;PL
社会	društava	社会	društvo	N	N;NOM;NEUT;PL
開催	držao	開催	držati	V	V;MASC;SG;PST;V.PTCP;ACT
シングル	samac	シングル	samac	N	N;NOM;MASC;SG
シングル	singl	シングル	singl	N	N;NOM;MASC;SG
センター	centar	センター	centar	N	N;NOM;MASC;SG
センター	centar	センター	centar	N	N;NOM;MASC;SG
センター	središte	センター	središte	N	N;NOM;NEUT;SG
センター	sredina	センター	sredini	N	N;NOM;FEM;SG
終了	završi	終了	završiti	V	V;IND;SG;3;PRS;FIN
中心	centar	中心	centar	N	N;NOM;MASC;SG
中心	centar	中心	centar	N	N;NOM;MASC;SG
中心	središte	中心	središte	N	N;NOM;NEUT;SG
中心	sredina	中心	sredini	N	N;NOM;FEM;SG
内容	sadržaj	内容	sadržaj	N	N;NOM;MASC;SG
内容	sadržaj	内容	sadržaj	N	N;NOM;MASC;SG
文化	kulture	文化	kultura	N	N;NOM;FEM;PL
文化	kultura	文化	kultura	N	N;NOM;FEM;SG
ドラマ	drama	ドラマ	drama	N	N;NOM;FEM;SG
ドラマ	drami	ドラマ	drama	N	N;DAT;FEM;SG
ドラマ	dramu	ドラマ	dram	N	N;ACC;FEM;SG
ドラマ	drame	ドラマ	drama	N	N;NOM;FEM;PL
ドラマ	drame	ドラマ	drama	N	N;NOM;FEM;PL
さらに	dalje	さらに	daleko	ADV	ADV;CMPR
撮影	snima	撮影	snimati	V	V;IND;SG;3;PRS;FIN
選手権	prvenstvu	選手権	prvenstvo	N	N;DAT;NEUT;SG
選手権	prvenstva	選手権	prvenstvo	N	N;NOM;NEUT;PL
選手権	prvenstvo	選手権	prvenstvo	N	N;NOM;NEUT;SG
野球	bejzbol	野球	bejzbol	N	N;NOM;MASC;SG
野球	bejzbola	野球	bejzbol	N	N;NOM;MASC;SG
野球	baseball	野球	baseball	N	N;NOM;MASC;SG
指定	navesti	指定	navesti	V	V;NFIN
指定	navedite	指定	navediti	V	V;IMP;PL;2;FIN
マン	mann	マン	mann	N	N;NOM;MASC;SG
卒業	diplomirao	卒業	diplomirati	V	V;MASC;SG;PST;V.PTCP;ACT
卒業	diplomirala	卒業	diplomirati	V	V;FEM;SG;PST;V.PTCP;ACT
人物	osobi	人物	osoba	N	N;DAT;FEM;SG
人物	osoba	人物	osoba	N	N;NOM;FEM;SG
人物	osobe	人物	osoba	N	N;NOM;FEM;PL
公開	objavi	公開	objaviti	V	V;IND;SG;3;PRS;FIN
確認	potvrdi	確認	potvrditi	V	V;IND;SG;3;PRS;FIN
歴史	povijest	歴史	povijest	N	N;NOM;FEM;SG
歴史	istorija	歴史	istorija	N	N;NOM;FEM;SG
選挙	izbore	選挙	izbor	N	N;ACC;MASC;PL
選挙	izbori	選挙	izbor	N	N;NOM;MASC;PL
選挙	izbore	選挙	izbor	N	N;ACC;MASC;PL
選挙	izbori	選挙	izbor	N	N;NOM;MASC;PL
計画	planiranja	計画	planiranje	N	N;NOM;NEUT;PL
計画	planiranje	計画	planiranje	N	N;NOM;NEUT;SG
計画	plan	計画	plan	N	N;NOM;MASC;SG
計画	plana	計画	plan	N	N;GEN;MASC;SG
計画	planovi	計画	plan	N	N;NOM;MASC;PL
計画	planova	計画	plan	N	N;GEN;MASC;PL
計画	planove	計画	plan	N	N;ACC;MASC;PL
経済	gospodarstva	経済	gospodarstvo	N	N;NOM;NEUT;PL
経済	gospodarstva	経済	gospodarstvo	N	N;NOM;NEUT;PL
経済	ekonomija	経済	ekonomija	N	N;NOM;FEM;SG
経済	gospodarstvo	経済	gospodarstvo	N	N;NOM;NEUT;SG
ページ	stranicu	ページ	stranica	N	N;ACC;FEM;SG
ページ	stranica	ページ	stranica	N	N;NOM;FEM;SG
ページ	stranice	ページ	stranica	N	N;NOM;FEM;PL
ページ	stranice	ページ	stranica	N	N;NOM;FEM;PL
教授	profesore	教授	profesor	N	N;ACC;MASC;PL
劇場	teatar	劇場	teatar	N	N;NOM;MASC;SG
劇場	kazalište	劇場	kazalište	N	N;NOM;NEUT;SG
劇場	teatar	劇場	teatar	N	N;NOM;MASC;SG
劇場	kazalište	劇場	kazalište	N	N;NOM;NEUT;SG
グループ	grupa	グループ	grupa	N	N;NOM;FEM;SG
グループ	grupe	グループ	grupa	N	N;NOM;FEM;PL
英語	englezi	英語	engleg	N	N;NOM;MASC;PL
女性	zena	女性	zena	N	N;NOM;FEM;SG
女性	ženo	女性	ženo	N	N;NOM;MASC;SG
女性	žena	女性	žena	N	N;NOM;FEM;SG
女性	zeno	女性	zeno	N	N;NOM;MASC;SG
女性	ženka	女性	ženka	N	N;NOM;FEM;SG
女性	žene	女性	žena	N	N;NOM;FEM;PL
地区	okrugu	地区	okruga	N	N;DAT;MASC;SG
地区	okrug	地区	okrug	N	N;NOM;MASC;SG
獲得	zaraditi	獲得	zaraditi	V	V;NFIN
獲得	zaradi	獲得	zaraditi	V	V;IND;SG;3;PRS;FIN
得点	rezultat	得点	rezultat	N	N;NOM;MASC;SG
得点	ocjena	得点	ocjena	N	N;NOM;FEM;SG
