conquistando	conquérir	conquistare	conquérir	V;V.MSDR	V;NFIN
riflessione	reflet	riflessione	reflet	N;FEM;SG	N;MASC;SG
riflessione	réflexion	riflessione	réflexion	N;FEM;SG	N;FEM;SG
carrozzeria	organisme	carrozzeria	organisme	N;FEM;SG	N;MASC;SG
carrozzeria	carrosserie	carrozzeria	carrosserie	N;FEM;SG	N;FEM;SG
carrozzeria	organe	carrozzeria	organe	N;FEM;SG	N;MASC;SG
carrozzeria	corps	carrozzeria	corps	N;FEM;SG	N;MASC;SG
carrozzeria	carrosserie	carrozzeria	carrosserie	N;FEM;SG	N;FEM;SG
lussemburgo	luxembourg	lussemburgo	luxembourg	N;MASC;SG	N;MASC;SG
lussemburgo	luxembourg	lussemburgo	luxembourg	N;MASC;SG	N;MASC;SG
inedito	inédit	inedito	inédit	ADJ;MASC;SG	ADJ;MASC;SG
inedito	inédit	inedito	inédit	ADJ;MASC;SG	ADJ;MASC;SG
quadrati	carrés	quadrato	carré	N;MASC;PL	N;MASC;PL
quadrati	carrés	quadrato	carré	N;MASC;PL	N;MASC;PL
lucky	veinard	lucky	veinard	N	N;MASC;SG
idrogeno	hydrogène	idrogeno	hydrogène	N;MASC;SG	N;MASC;SG
rilasciato	publié	rilasciare	publier	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
rilasciato	relâché	rilasciare	relâcher	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
rilasciato	libéré	rilasciare	libérer	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
rilasciato	émis	rilasciare	émettre	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
rilasciato	émise	rilasciare	émettre	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
rilasciato	délivré	rilasciare	délivrer	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
collegati	connectés	collegare	connecter	V;MASC;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
collegati	liés	collegare	lier	V;MASC;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
ottone	cuivre	ottone	cuivre	N;MASC;SG	N;MASC;SG
ottone	laiton	ottone	laiton	N;MASC;SG	N;MASC;SG
orologio	horloge	orologio	horloge	N;MASC;SG	N;FEM;SG
rotte	routes	rotta	route	N;FEM;PL	N;FEM;PL
rotte	itinéraires	rotta	itinéraire	N;FEM;PL	N;MASC;PL
separate	séparées	separare	séparer	V;FEM;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
separate	séparés	separare	séparer	V;FEM;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
separate	séparés	separare	séparer	V;FEM;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
separate	séparées	separare	séparer	V;FEM;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
separate	séparer	separare	séparer	V;FEM;PL;PST;V.PTCP	V;NFIN
mantenuta	maintenu	mantenere	maintenir	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
mantenuta	entretenu	mantenere	entretenir	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
mantenuta	entretenue	mantenere	entretenir	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
mantenuta	maintenue	mantenere	maintenir	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
disponibilità	disponibilités	disponibilità	disponibilité	N;FEM	N;FEM;PL
disponibilità	disponibilité	disponibilità	disponibilité	N;FEM	N;FEM;SG
tunnel	tunnel	tunnel	tunnel	N;MASC	N;MASC;SG
tunnel	tunnels	tunnel	tunnel	N;MASC	N;MASC;PL
siciliano	sicilien	siciliare	sicilien	ADJ;MASC;SG	ADJ;MASC;SG
siciliano	sicilienne	siciliare	sicilien	ADJ;MASC;SG	ADJ;FEM;SG
bank	banques	bank	banque	N	N;FEM;PL
bank	banque	bank	banque	N	N;FEM;SG
masters	masters	masters	master	N;MASC	N;MASC;PL
masters	capitaines	masters	capitaine	N;MASC	N;MASC;PL
masters	maîtres	masters	maître	N;MASC	N;MASC;PL
approvata	approuvé	approvare	approuver	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
approvata	approuvée	approvare	approuver	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
approvata	agréée	approvare	agréée	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
approvata	agréé	approvare	agrée	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
approvata	adoptée	approvare	adopter	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
approvata	adopté	approvare	adopter	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
marrone	marron	marrone	marron	N;MASC;SG	N;MASC;SG
marrone	brune	marrone	brune	N;MASC;SG	N;FEM;SG
ceramica	poterie	ceramica	poterie	N;FEM;SG	N;FEM;SG
ceramica	céramique	ceramica	céramique	N;FEM;SG	N;FEM;SG
ceramica	céramique	ceramica	céramique	N;FEM;SG	N;FEM;SG
ceramica	céramique	ceramica	céramique	N;FEM;SG	N;FEM;SG
eretto	ériger	erigere	ériger	V;MASC;SG;PST;V.PTCP	V;NFIN
eretto	érigée	erigere	ériger	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
eretto	érigé	erigere	ériger	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
bravo	bonne	bravo	bon	ADJ;MASC;SG	ADJ;FEM;SG
bravo	bon	bravo	bon	ADJ;MASC;SG	ADJ;MASC;SG
gravità	gravité	gravità	gravité	N;FEM	N;FEM;SG
gravità	gravitation	gravità	gravitation	N;FEM	N;FEM;SG
gravità	pesanteur	gravità	pesanteur	N;FEM	N;FEM;SG
gravità	gravité	gravità	gravité	N;FEM	N;FEM;SG
gravità	gravité	gravità	gravité	N;FEM	N;FEM;SG
gravità	sévérité	gravità	sévérité	N;FEM	N;FEM;SG
subisce	subit	subire	subir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
vocali	voyelles	vocale	voyelle	N;FEM;PL	N;FEM;PL
vocali	voyelles	vocale	voyelle	N;FEM;PL	N;FEM;PL
lentamente	lentement	lentamente	lentement	ADV	ADV
lentamente	doucement	lentamente	doucement	ADV	ADV
legend	légendes	legend	légende	N	N;FEM;PL
legend	légende	legend	légende	N	N;FEM;SG
strumentale	instrumental	strumentale	instrumental	ADJ;SG	ADJ;MASC;SG
strumentale	instrumentale	strumentale	instrumental	ADJ;SG	ADJ;FEM;SG
hit	hits	hit	hit	N;FEM	N;MASC;PL
perdono	pardonner	perdere	pardonner	V;IND;PL;3;PRS;FIN	V;NFIN
progettata	conçu	progettare	concevoir	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
progettata	conçue	progettare	concevoir	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
partigiani	partisans	partigiano	partisan	N;MASC;PL	N;MASC;PL
collaboratore	collègue	collaboratore	collègue	N;MASC;SG	N;FEM;SG
collaboratore	collaborateur	collaboratore	collaborateur	N;MASC;SG	N;MASC;SG
collaboratore	collaboratrice	collaboratore	collaborateur	N;MASC;SG	N;FEM;SG
collaboratore	collaborateur	collaboratore	collaborateur	N;MASC;SG	N;MASC;SG
collaboratore	contributeur	collaboratore	contributeur	N;MASC;SG	N;MASC;SG
memorial	commémoration	memorial	commémoration	N;MASC;SG	N;FEM;SG
memorial	mémorial	memorial	mémorial	N;MASC;SG	N;MASC;SG
difficili	difficiles	difficile	difficile	ADJ;PL	ADJ;MASC;PL
tifosi	fans	tifoso	fan	N;MASC;PL	N;MASC;PL
tifosi	ventilateurs	tifoso	ventilateur	N;MASC;PL	N;MASC;PL
tifosi	adeptes	tifoso	adepte	N;MASC;PL	N;MASC;PL
tifosi	partisans	tifoso	partisan	N;MASC;PL	N;MASC;PL
tifosi	supporters	tifoso	supporter	N;MASC;PL	N;MASC;PL
tifosi	soutiens	tifoso	soutien	N;MASC;PL	N;MASC;PL
ucraino	ukrainien	ucraino	ukrainien	ADJ;MASC;SG	ADJ;MASC;SG
ucraino	ukrainienne	ucraino	ukrainien	ADJ;MASC;SG	ADJ;FEM;SG
franchigia	franchise	franchigia	franchise	N;FEM;SG	N;FEM;SG
tessuti	tissus	tessuto	tissu	N;MASC;PL	N;MASC;PL
tessuti	toiles	tessuto	toile	N;MASC;PL	N;FEM;PL
tessuti	tissus	tessuto	tissu	N;MASC;PL	N;MASC;PL
finalisti	finalistes	finalista	finaliste	N;MASC;PL	N;MASC;PL
finalisti	finalistes	finalista	finaliste	N;MASC;PL	N;MASC;PL
incrociatore	cruiser	incrociatore	cruiser	N;MASC;SG	N;MASC;SG
incrociatore	croiseur	incrociatore	croiseur	N;MASC;SG	N;MASC;SG
essenziale	essentiel	essenziale	essentiel	ADJ;SG	ADJ;MASC;SG
essenziale	indispensable	essenziale	indispensable	ADJ;SG	ADJ;MASC;SG
essenziale	essentielle	essenziale	essentiel	ADJ;SG	ADJ;FEM;SG
essenziale	essentiel	essenziale	essentiel	ADJ;SG	ADJ;MASC;SG
duello	duel	duello	duel	N;MASC;SG	N;MASC;SG
immediato	immédiat	immediato	immédiat	ADJ;MASC;SG	ADJ;MASC;SG
