על	om	על	om	ADP	ADP
קטגוריה	kategori	קטגוריה	kategori	N;FEM;SG	N;INDF;MASC;SG
קטגוריה	kategorien	קטגוריה	kategori	N;FEM;SG	N;DEF;MASC;SG
עם	med	עם	med	ADP	ADP
גם	òg	גם	òg	ADV	ADV
גם	også	גם	også	ADV	ADV
גם	óg	גם	òg	ADV	ADV
גם	også	גם	også	ADV	ADV
זה	dette	זה	dette	PRO;MASC;SG;3	PRO;NEUT;SG;3
זה	denne	זה	denne	PRO;MASC;SG;3	PRO;SG;3
זה	detta	זה	dette	PRO;MASC;SG;3	PRO;NEUT;SG;3
זה	det	זה	det	PRO;MASC;SG;3	PRO;NEUT;SG;3
שיחה	samtalen	שיחה	samtale	N;FEM;SG	N;DEF;MASC;SG
שיחה	samtale	שיחה	samtale	N;FEM;SG	N;INDF;FEM;SG
שיחה	konversasjon	שיחה	konversasjon	N;FEM;SG	N;INDF;MASC;SG
שיחה	anrop	שיחה	anrop	N;FEM;SG	N;INDF;MASC;SG
שיחה	call	שיחה	call	N;FEM;SG	N;INDF;MASC;SG
שיחה	ring	שיחה	ring	N;FEM;SG	N;INDF;MASC;SG
לאחר	etter	לאחר	etter	ADP	ADP
בין	mellom	בין	mellom	ADP	ADP
כל	all	כול	all	DET;PSSD	DET;MASC;SG
כי	fordi	כי	fordi	CONJ	CONJ
אך	men	אך	men	CONJ	CONJ
עד	inntil	עד	inntil	ADP	ADP
שם	der	שם	der	ADV	ADV
בית	hjem	בית	hjem	N;MASC;SG	N;INDF;NEUT;SG
בית	hjemmet	בית	hjem	N;MASC;SG	N;DEF;NEUT;SG
בית	home	בית	home	N;MASC;SG	N;INDF;NEUT;SG
בית	house	בית	house	N;MASC;SG	N;INDF;MASC;SG
בית	huset	בית	hus	N;MASC;SG	N;DEF;NEUT;SG
בית	hus	בית	hus	N;MASC;SG	N;INDF;NEUT;SG
כמו	som	כמו	som	ADP	ADP
שמאל	venstresiden	שמאל	venstreside	N;MASC;SG	N;DEF;MASC;SG
שמאל	venstre	שמאל	venstre	N;MASC;SG	N;NEUT
שמאל	left	שמאל	left	N;MASC;SG	N;INDF;NEUT;SG
קישורים	koblinger	קישורים	koblinger	N;MASC;PL	N;INDF;FEM;PL
קישורים	linker	קישורים	linker	N;MASC;PL	N;INDF;MASC;PL
קישורים	lenker	קישורים	lank	N;MASC;PL	N;INDF;FEM;PL
חיצוניים	eksterne	חיצוני	ekstern	ADJ;MASC;PL	ADJ;PL
מספר	tall	מספר	tall	N;MASC;SG	N;INDF;NEUT;SG
מספר	nummer	מספר	nummer	N;MASC;SG	N;INDF;NEUT;SG
מספר	number	מספר	number	N;MASC;SG	N
מספר	antall	מספר	antall	N;MASC;SG	N;INDF;NEUT;SG
רק	berre	רק	berre	ADV	ADV
רק	bare	רק	bare	ADV	ADV
רק	berre	רק	berre	ADV	ADV
רק	akkurat	רק	akkurat	ADV	ADV
רק	bare	רק	bare	ADV	ADV
רק	nettopp	רק	nettopp	ADV	ADV
שני	to	שני	to	NUM;MASC;PL	NUM;PL
אבל	men	אבל	men	CONJ	CONJ
אביב	våren	אביב	vår	N;MASC;SG	N;DEF;MASC;SG
במאי	mai	במאי	mai	N;MASC;SG	N;INDF;MASC;SG
במאי	may	במאי	may	N;MASC;SG	N;INDF;MASC;SG
במאי	direktør	במאי	direktør	N;MASC;SG	N;INDF;MASC;SG
במאי	regissør	במאי	regissør	N;MASC;SG	N;INDF;MASC;SG
שנה	årsmodell	שנה	årsmodell	N;FEM;SG	N;INDF;MASC;SG
שנה	året	שנה	år	N;FEM;SG	N;DEF;NEUT;SG
שנה	år	שנה	år	N;FEM;SG	N;INDF;NEUT;SG
שנה	ar	שנה	ar	N;FEM;SG	N;INDF;MASC;SG
שנה	år	שנה	år	N;FEM;SG	N;INDF;NEUT;SG
הערות	merknader	הערה	merknad	N;FEM;PL	N;INDF;MASC;PL
הערות	kommentarar	הערה	kommentar	N;FEM;PL	N;INDF;MASC;PL
הערות	kommentarer	הערה	kommentar	N;FEM;PL	N;INDF;FEM;PL
לפני	før	לפני	før	ADP	ADP
אותה	henne	None	ho	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
ארצות	landene	ארץ	land	N;FEM;PL	N;DEF;FEM;PL
ראש	hode	ראש	hode	N;MASC;SG	N;INDF;MASC;SG
ראש	hodet	ראש	hod	N;MASC;SG	N;DEF;NEUT;SG
ראש	head	ראש	head	N;MASC;SG	N;INDF;NEUT;SG
ראש	rush	ראש	rush	N;MASC;SG	N;INDF;SG
תל	tel	תל	telje	N;MASC;SG	N;INDF;MASC;SG
ערך	verdien	ערך	verdi	N;MASC;SG	N;DEF;MASC;SG
ערך	verdi	ערך	verdi	N;MASC;SG	N;INDF;MASC;SG
זמן	tid	זמן	tid	N;MASC;SG	N;INDF;FEM;SG
זמן	klokkeslett	זמן	klokkeslett	N;MASC;SG	N;INDF;FEM;SG
זמן	gang	זמן	gang	N;MASC;SG	N;INDF;MASC;SG
אתר	nettsted	אתר	nettsted	N;MASC;SG	N;INDF;NEUT;SG
אתר	nettside	אתר	nettside	N;MASC;SG	N;INDF;FEM;SG
אתר	nettstedet	אתר	nettsted	N;MASC;SG	N;DEF;NEUT;SG
אתר	nettsted	אתר	nettsted	N;MASC;SG	N;INDF;NEUT;SG
אתר	nettstedet	אתר	nettsted	N;MASC;SG	N;DEF;NEUT;SG
אתר	site	אתר	sitje	N;MASC;SG	N;INDF;MASC;SG
אתר	eter	אתר	eter	N;MASC;SG	N;INDF;NEUT;SG
ללא	utan	ללא	utan	ADP	ADP
שונים	ulike	שונה	ulik	ADJ;MASC;PL	ADJ;PL
שונים	forskjellige	שונה	forskjellig	ADJ;MASC;PL	ADJ;PL
שונים	ymse	שונה	ymis	ADJ;MASC;PL	ADJ;PL
שונים	diverse	שונה	diverse	ADJ;MASC;PL	ADJ;PL
אדם	person	אדם	person	N;MASC;SG	N;INDF;MASC;SG
אדם	personen	אדם	person	N;MASC;SG	N;DEF;MASC;SG
אדם	adam	אדם	adam	N;MASC;SG	N;INDF;MASC;SG
אדם	mannfolk	אדם	mannfolk	N;MASC;SG	N;INDF;NEUT;SG
אדם	mannen	אדם	mann	N;MASC;SG	N;DEF;MASC;SG
אדם	mann	אדם	mann	N;MASC;SG	N;INDF;MASC;SG
דבר	thing	דבר	thing	N;MASC;SG	N;INDF;MASC;SG
דבר	tingen	דבר	ting	N;MASC;SG	N;DEF;MASC;SG
דבר	greie	דבר	greie	N;MASC;SG	N;INDF;FEM;SG
דבר	snakkes	דבר	snakkes	N;MASC;SG	N;INDF;NEUT;SG
דבר	snakk	דבר	snakk	N;MASC;SG	N;INDF;NEUT;SG
דבר	talk	דבר	talk	N;MASC;SG	N;INDF;MASC;SG
דבר	tal	דבר	tal	N;MASC;SG	N;INDF;NEUT;SG
