esporre	کھلا	esporre	کھل	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
unanime	متفقہ	unanime	متفقہ	ADJ;MASC;SG	ADJ
prostituzione	تخریب	prostituzione	تخریب	N;FEM;SG	N;NOM;MASC;SG;3
lente	تال	lente	تال	N;FEM;SG	N;NOM;MASC;SG;3
lente	روشنی	lente	روشنی	N;FEM;SG	N;NOM;MASC;SG;3
lente	تال	lente	تال	N;FEM;SG	N;NOM;MASC;SG;3
lente	روشنی	lente	روشنی	N;FEM;SG	N;NOM;MASC;SG;3
immediate	فوری	immediato	فوری	ADJ;FEM;PL	ADJ
salti	قیمتوں	salto	قیمت	N;MASC;PL	N;NOM;MASC;PL;3
salti	قیمتوں	salto	قیمت	N;MASC;PL	N;NOM;MASC;PL;3
pacifica	پُرسکون.	pacifico	پُرسکون.	ADJ;FEM;SG	ADJ
jolly	ضیافت	jolly	ضیافت	N;MASC	N;NOM;MASC;SG;3
jolly	دعوت	jolly	دعوت	N;MASC	N;NOM;FEM;SG;3
jolly	تقریب	jolly	تقریب	N;MASC	N;NOM;FEM;SG;3
migrazione	مہاجرت	migrazione	مہاجرت	N;FEM;SG	N;NOM;MASC;SG;3
feroce	شدید	feroca	شدید	ADJ;SG	ADJ
feroce	سخت	feroca	سخت	ADJ;SG	ADJ
feroce	جنگلی	feroca	جنگلی	ADJ;SG	ADJ
feroce	جنگلی	feroca	جنگلی	ADJ;SG	ADJ
letale	مہلک	letale	مہلک	ADJ;SG	ADJ
letale	مہلک	letale	مہلک	ADJ;SG	ADJ
palm	ہتھیلی	palm	ہتھیلی	N	N;NOM;FEM;SG;3
ornato	پیچیدہ.	ornato	پیچیدہ.	ADJ;MASC;SG	ADJ
swing	لچک	swing	لچک	N;MASC	N;NOM;MASC;SG;3
script	ڈرامے	script	ڈرامہ	N;MASC	N;NOM;MASC;SG;3
matto	فاترالعقل.	matto	فاترالعقل.	N;MASC;SG	N;SG
matto	فدا	matto	فدا	N;MASC;SG	N;NOM;MASC;SG;3
comprensibile	شریک	comprensibile	شریک	ADJ;SG	ADJ
visivo	عینی.	visivo	عینی.	ADJ;MASC;SG	ADJ
visivo	عینی.	visivo	عینی.	ADJ;MASC;SG	ADJ
gap	خلا	gap	خلا	N;MASC	N;NOM;MASC;SG;3
gap	مذاق	gap	مذاق	N;MASC	N;NOM;MASC;SG;3
gap	گھاٹی	gap	گھاٹی	N;MASC	N;NOM;FEM;SG;3
gap	فصل	gap	فصل	N;MASC	N;NOM;MASC;SG;3
gap	خلا	gap	خلا	N;MASC	N;NOM;MASC;SG;3
gap	رخنہ	gap	رخنہ	N;MASC	N;NOM;MASC;SG;3
gap	مذاق	gap	مذاق	N;MASC	N;NOM;MASC;SG;3
gap	گھاٹی	gap	گھاٹی	N;MASC	N;NOM;FEM;SG;3
gap	فصل	gap	فصل	N;MASC	N;NOM;MASC;SG;3
kick	زور	kick	زور	N;MASC	N;NOM;MASC;SG;3
kick	توانائی	kick	توانائی	N;MASC	N;NOM;FEM;SG;3
lavoratore	کارکن	lavoratore	کارکن	N;MASC;SG	N;NOM;MASC;SG;3
sorriso	مسکراہٹ	sorriso	مسکراہٹ	N;MASC;SG	N;NOM;MASC;SG;3
sorriso	خوشنودی	sorriso	خوشنودی	N;MASC;SG	N;NOM;MASC;SG;3
cult	مسلک	cult	مسلک	N;MASC	N;NOM;MASC;SG;3
solidi	اصلی	solido	اصلی	ADJ;MASC;PL	ADJ
solidi	پختہ	solido	پختہ	ADJ;MASC;PL	ADJ
solidi	معتبر	solido	معتبر	ADJ;MASC;PL	ADJ
solidi	ہموار	solido	ہموار	ADJ;MASC;PL	ADJ
solidi	اصلی	solido	اصلی	ADJ;MASC;PL	ADJ
solidi	پختہ	solido	پختہ	ADJ;MASC;PL	ADJ
solidi	معتبر	solido	معتبر	ADJ;MASC;PL	ADJ
solidi	ہموار	solido	ہموار	ADJ;MASC;PL	ADJ
solidi	ٹھوس	solido	ٹھوس	ADJ;MASC;PL	ADJ
solidi	مضبوط	solido	مضبوط	ADJ;MASC;PL	ADJ
solidi	سخت	solido	سخت	ADJ;MASC;PL	ADJ
