evakuasi	اخراج	evakuasi	اخراج	N;SG	N;NOM;MASC;SG;3
suspensi	تعطل	suspensi	تعطل	N;SG	N;NOM;MASC;SG;3
suspensi	منصب	suspensi	منصب	N;SG	N;NOM;MASC;SG;3
array	لباس	array	لباس	N	N;NOM;MASC;SG;3
array	قطار	array	قطار	N	N;NOM;MASC;SG;3
pendahuluan	پیشتر.	pendahuluan	پیشتر.	N;SG	N;NOM;MASC;SG;3
pendahuluan	تمہیدی	pendahuluan	تمہیدی	N;SG	N;NOM;MASC;SG;3
pendahuluan	پیشتر.	pendahuluan	پیشتر.	N;SG	N;NOM;MASC;SG;3
memuja	چاہنا	menpuja	چاہ	V;SG;ACT	V;MASC;SG;NFIN;ACT
moda	طور	moda	طور	N;SG	N;NOM;MASC;SG;3
moda	انداز	moda	انداز	N;SG	N;NOM;MASC;SG;3
moda	طور	moda	طور	N;SG	N;NOM;MASC;SG;3
moda	شان	moda	شان	N;SG	N;NOM;MASC;SG;3
moda	انداز	moda	انداز	N;SG	N;NOM;MASC;SG;3
siasat	نفاست	siasat	نفاست	N;SG	N;NOM;MASC;SG;3
lelucon	مذاق	lelucon	مذاق	N	N;NOM;MASC;SG;3
sperma	نطفہ	sperma	نطفہ	N	N;NOM;MASC;SG;3
sperma	دھات	sperma	دھات	N	N;NOM;MASC;SG;3
genap	صاف.	genap	صاف.		
genap	مسطح	genap	مسطح		
genap	صاف.	genap	صاف.		
genap	مسطح	genap	مسطح		
simpati	شرکت	simpati	شرکت	N;SG	N;NOM;MASC;SG;3
siput	پٹی	siput	پٹی	N;SG	N;NOM;MASC;SG;3
siput	ٹکڑا	siput	ٹکڑا	N;SG	N;NOM;MASC;SG;3
gaun	جج	gaun	جج	N;SG	N;NOM;MASC;SG;3
gaun	جج	gaun	جج	N;SG	N;NOM;MASC;SG;3
konfrontasi	مقابلہ	konfrontasi	مقابلہ	N;SG	N;NOM;MASC;SG;3
metropolis	دارالحکومت	metropolis	دارالحکومت	N	N;NOM;MASC;SG;3
