задняя	zadní	задний	zadní	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
возражения	námitky	возражение	námitka	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
возражения	námitky	возражение	námitka	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
юбилейная	jubilejní	юбилейный	jubilejní	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
бесплатно	zdarma	бесплатно	zdarma	ADV	ADV
стекла	skla	стекло	sklo	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
кинотеатр	divadlo	кинотеатр	divadlo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
кинотеатр	kino	кинотеатр	kino	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
центральное	ústřední	центральный	ústřední	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
центральное	centrální	центральный	centrální	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
важность	důležitost	важность	důležitost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
важность	význam	важность	význam	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
подробное	detailní	подробный	detailní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
подробное	podrobný	подробный	podrobný	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
подробное	podrobná	подробный	podrobný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
разновидности	odrůdy	разновидность	odrůda	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
разновидности	odrůdy	разновидность	odrůda	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
настоящая	skutečný	настоящий	skutečný	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
настоящая	skutečná	настоящий	skutečný	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
настоящая	opravdový	настоящий	opravdový	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
настоящая	reálné	настоящий	reálný	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
пресса	tisk	пресса	tisk	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
гостиница	hotel	гостиница	hotel	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
развиваться	vyvíjet	развиваться	vyvíjet	V;IPFV;NFIN;MID	V;IPFV;POS;NFIN
развиваться	vyvinout	развиваться	vyvinout	V;IPFV;NFIN;MID	V;POS;NFIN
хозяин	majitel	хозяин	majitel	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
хозяин	vlastník	хозяин	vlastník	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
хозяин	majitelka	хозяин	majitelka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
хозяин	mistr	хозяин	mistr	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
ранг	hodnost	ранг	hodnost	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
дополнительное	doplňkový	дополнительный	doplňkový	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
дополнительное	doplňující	дополнительный	doplňující	ADJ;NOM;NEUT;SG	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
дополнительное	dodatečná	дополнительный	dodatečný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
дополнительное	dodatečné	дополнительный	dodatečný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
дополнительное	doplňková	дополнительный	doplňkový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
колония	kolonie	колония	kolonie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
носила	nosil	носить	nosit	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
борцы	zápasníci	борец	zápasník	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
боги	bohové	бог	boh	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
боги	bohy	бог	bůh	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
