gard	gard	gard	gard	N;MASC;SG	N;INDF;MASC+FEM;SG
semblable	tilsvarende	semblable	tilsvarende	ADJ;MASC;SG	ADJ
forfait	pakke	forfait	pakke	N;MASC;SG	N;INDF;MASC+FEM;SG
forfait	pakken	forfait	pakke	N;MASC;SG	N;DEF;MASC+FEM;SG
forfait	pakning	forfait	pakning	N;MASC;SG	N;INDF;MASC+FEM;SG
finistère	finistère	finistère	finist	N;MASC;SG	N;INDF;MASC+FEM;SG
possibilités	muligheder	possibilité	mulighed	N;FEM;PL	N;INDF;MASC+FEM;PL
possibilités	mulighederne	possibilité	mulighed	N;FEM;PL	N;DEF;MASC+FEM;PL
possibilités	muligheder	possibilité	mulighed	N;FEM;PL	N;INDF;MASC+FEM;PL
décennie	årti	décennie	årti	N;FEM;SG	N;INDF;NEUT;SG
influences	påvirkninger	influence	påvirkning	N;FEM;PL	N;INDF;MASC+FEM;PL
fausse	falsk	faux	falsk	ADJ;FEM;SG	ADJ;INDF;SG
fausse	falsk	faux	falsk	ADJ;FEM;SG	ADJ;INDF;SG
century	århundrede	century	århundrede	N;MASC;SG	N;INDF;NEUT;SG
enquêtes	undersøgelser	enquête	undersøgelse	N;FEM;PL	N;INDF;MASC+FEM;PL
enquêtes	undersøgelser	enquête	undersøgelse	N;FEM;PL	N;INDF;MASC+FEM;PL
enquêtes	forespørgsler	enquête	forespørgsel	N;FEM;PL	N;INDF;MASC+FEM;PL
enquêtes	henvendelser	enquête	henvendelse	N;FEM;PL	N;INDF;MASC+FEM;PL
enquêtes	undersøgelser	enquête	undersøgelse	N;FEM;PL	N;INDF;MASC+FEM;PL
gendarmerie	gendarmeriet	gendarmerie	gendarmeri	N;FEM;SG	N;DEF;NEUT;SG
estonie	estlands	estonie	estlands	N;FEM;SG	N;GEN;INDF;MASC+FEM;SG
suggère	foreslå	suggérer	foreslå	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
suggère	foreslår	suggérer	foreslå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
suggère	antyder	suggérer	antyde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
suggère	foreslår	suggérer	foreslå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
surfaces	overflader	surface	overflade	N;FEM;PL	N;INDF;MASC+FEM;PL
surfaces	flader	surface	flade	N;FEM;PL	N;INDF;MASC+FEM;PL
sentiments	følelser	sentiment	følelse	N;MASC;PL	N;INDF;MASC+FEM;PL
vitesses	redskaber	vitesse	redskab	N;FEM;PL	N;INDF;NEUT;PL
vitesses	hastigheder	vitesse	hastighed	N;FEM;PL	N;INDF;MASC+FEM;PL
adoptée	vedtaget	adopter	vedtage	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
adoptée	adopteret	adopter	adoptere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
vigne	vingård	vigne	vingård	N;FEM;SG	N;INDF;MASC+FEM;SG
obligé	påtvunget	obliger	påtvunget	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
obligé	tvungen	obliger	tvinge	V;MASC;SG;PST;V.PTCP	V;V.MSDR
obligé	tvunget	obliger	tvinge	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
obligé	forpligtet	obliger	forpligte	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
