על	sobre	על	sobre	ADP	ADP
קטגוריה	categoria	קטגוריה	categoria	N;FEM;SG	N;FEM;SG
קטגוריה	categoría	קטגוריה	categoría	N;FEM;SG	N;FEM;SG
עם	con	עם	con	ADP	ADP
גם	igualmente	גם	igualmente	ADV	ADV
גם	además	גם	además	ADV	ADV
גם	también	גם	también	ADV	ADV
גם	también	גם	también	ADV	ADV
גם	demasiado	גם	demasiado	ADV	ADV
זה	este	זה	este	PRO;MASC;SG;3	PRO;MASC;SG
זה	esto	זה	este	PRO;MASC;SG;3	PRO;SG
זה	esta	זה	este	PRO;MASC;SG;3	PRO;FEM;SG
זה	eso	זה	ese	PRO;MASC;SG;3	PRO;SG
היא	ella	הוא	él	PRO;FEM;SG;3	PRO;FEM;SG;3
שיחה	conversación	שיחה	conversación	N;FEM;SG	N;FEM;SG
לאחר	tras	לאחר	tras	ADP	ADP
בין	entre	בין	entre	ADP	ADP
כל	cualquier	כול	cualquiera	DET;PSSD	DET;SG
כי	porque	כי	porque	CONJ	CONJ
יותר	más	יותר	más	ADV	ADV
יותר	mas	יותר	mas	ADV	ADV
אך	sino	אך	sino	CONJ	CONJ
אך	pero	אך	pero	CONJ	CONJ
עד	hasta	עד	hasta	ADP	ADP
שם	allí	שם	allí	ADV	ADV
שם	ahí	שם	ahí	ADV	ADV
בית	beit	בית	beit	N;MASC;SG	N;MASC;SG
בית	hogar	בית	hogar	N;MASC;SG	N;MASC;SG
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
בית	inicio	בית	inicio	N;MASC;SG	N;MASC;SG
בית	house	בית	house	N;MASC;SG	N;MASC;SG
בית	casita	בית	casita	N;MASC;SG	N;FEM;SG
בית	casa	בית	casa	N;MASC;SG	N;FEM;SG
הם	ellos	הוא	él	PRO;MASC;PL;3	PRO;MASC;PL;3
הם	ellas	הוא	él	PRO;MASC;PL;3	PRO;FEM;PL;3
שמאל	izquierda	שמאל	izquierda	N;MASC;SG	N;FEM;SG
קישורים	acoplamientos	קישורים	acoplamiento	N;MASC;PL	N;MASC;PL
