tagasiside	odozva	tagasi_side	odozva	N;NOM;SG	N;NOM;FEM;SG
kõrvits	tekvica	kõrvits	tekvica	N;NOM;SG	N;NOM;FEM;SG
toitainete	živín	toitaine	živina	N;GEN;PL	N;GEN;FEM;PL
toitainete	živín	toitaine	živina	N;GEN;PL	N;GEN;FEM;PL
bobby	bobby	bobby	bobba	N;NOM;SG	N;ANIM;NOM;MASC;SG
sumeri	sumerských	sumeri	sumerský	ADJ	ADJ;GEN;MASC;PL
tenor	tenor	tenor	tenor	N;NOM;SG	N;ANIM;NOM;MASC;SG
eemaldamine	odstránenie	eemaldamine	odstránenie	N;NOM;SG	N;NOM;NEUT;SG
eemaldamine	odstraňovanie	eemaldamine	odstraňovanie	N;NOM;SG	N;NOM;NEUT;SG
eemaldamine	odstránenie	eemaldamine	odstránenie	N;NOM;SG	N;NOM;NEUT;SG
ball	lopta	ball	lopta	N;NOM;SG	N;NOM;FEM;SG
ball	loptička	ball	loptička	N;NOM;SG	N;NOM;FEM;SG
ball	guľa	ball	guľa	N;NOM;SG	N;NOM;FEM;SG
globaalne	globálny	globaalne	globálny	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
globaalne	globálna	globaalne	globálny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
globaalne	globálne	globaalne	globálny	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
key	kľúč	key	kľúč	N;NOM;SG	N;INAN;NOM;MASC;SG
tõestatud	dokázaná	tõestama	dokázaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
tõestatud	preukázané	tõestama	preukázaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tõestatud	preukázaná	tõestama	preukázaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
tõestatud	dokázané	tõestama	dokázaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
vähk	karcinóm	vähk	karcin	N;NOM;SG	N;INAN;NOM;MASC;SG
vähk	rakovina	vähk	rakovina	N;NOM;SG	N;NOM;FEM;SG
viola	viola	violama	vila	N;NOM;SG	N;NOM;FEM;SG
ookean	oceán	ookean	oceán	N;NOM;SG	N;INAN;NOM;MASC;SG
jäljed	stopy	jälg	stopa	N;NOM;PL	N;NOM;FEM;PL
jäljed	skladby	jälg	skladba	N;NOM;PL	N;NOM;FEM;PL
jäljed	trate	jälg	triata	N;NOM;PL	N;NOM;FEM;PL
jäljed	stopy	jälg	stopa	N;NOM;PL	N;NOM;FEM;PL
võtmine	užívanie	võtmine	užívanie	N;NOM;SG	N;NOM;NEUT;SG
kultuuriline	kultúrna	kultuuriline	kultúrny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kultuuriline	kultúrny	kultuuriline	kultúrny	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
kultuuriline	kultúrne	kultuuriline	kultúrny	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kohtumised	stretnutí	kohtumine	stretnutie	N;NOM;PL	N;NOM;NEUT;PL
kohtumised	zasadnutia	kohtumine	zasadnutie	N;NOM;PL	N;NOM;NEUT;PL
kohtumised	stretnutia	kohtumine	stretnutie	N;NOM;PL	N;NOM;NEUT;PL
kohtumised	schôdze	kohtumine	schôdza	N;NOM;PL	N;NOM;FEM;PL
kohtumised	zasadania	kohtumine	zasadanie	N;NOM;PL	N;NOM;NEUT;PL
vastupidine	opačné	vastu_pidine	opačný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
vastupidine	spätný	vastu_pidine	spätný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
vastupidine	opačné	vastu_pidine	opačný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kilp	štít	kilp	štít	N;NOM;SG	N;INAN;NOM;MASC;SG
tähelepanuväärne	pozoruhodný	tähele_panu_väärne	pozoruhodný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
tähelepanuväärne	pozoruhodné	tähele_panu_väärne	pozoruhodný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
magic	mágia	magic	mágia	N;NOM;SG	N;NOM;FEM;SG
magic	kúzlo	magic	kúzlo	N;NOM;SG	N;NOM;NEUT;SG
vali	vybrať	valima	vybrať	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;POS;NFIN
vali	vybrať	valima	vybrať	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;POS;NFIN
hubble	hubble	hubblema	hubbľľa	N;NOM;SG	N;INAN;NOM;MASC;SG
osalus	účasti	osalus	účasť	N;NOM;SG	N;NOM;FEM;SG
osalus	účasť	osalus	účasť	N;NOM;SG	N;NOM;FEM;SG
modifitseeritud	modifikovaný	modifitseeri=tud	modifikovaný	ADJ;PST;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
modifitseeritud	zmenený	modifitseeri=tud	zmenený	ADJ;PST;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
modifitseeritud	modifikované	modifitseeri=tud	modifikovaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
modifitseeritud	zmenené	modifitseeri=tud	zmenený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
modifitseeritud	modifikovaná	modifitseeri=tud	modifikovaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
patricia	patricia	patricia	patrica	N;NOM;SG	N;NOM;FEM;SG
quercus	quercus	quercus	quercus	N;NOM;SG	N;INAN;NOM;MASC;SG
quercus	dub	quercus	dub	N;NOM;SG	N;INAN;NOM;MASC;SG
vahemaa	vzdialenosť	vahe_maa	vzdialenosť	N;NOM;SG	N;NOM;FEM;SG
karm	drsný	karm	drsný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
karm	tvrdý	karm	tvrdý	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
karm	ťažké	karm	ťažký	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
karm	tvrdá	karm	tvrdý	ADJ;NOM;SG	ADJ;NOM;FEM;SG
karm	tvrdé	karm	tvrdý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
karm	kruté	karm	krutý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kauplus	obchod	kauplus	obchod	N;NOM;SG	N;INAN;NOM;MASC;SG
kauplus	predajňa	kauplus	predajňa	N;NOM;SG	N;NOM;FEM;SG
lähemale	bližšie	lähemale	blízko	ADV	ADV;CMPR
marja	berry	mari	berra	N;NOM;SG	N;NOM;FEM;SG
sektsioon	oddiel	sektsioon	oddlieť	N;NOM;SG	N;INAN;NOM;MASC;SG
sektsioon	časť	sektsioon	časť	N;NOM;SG	N;NOM;FEM;SG
sektsioon	úsek	sektsioon	úsek	N;NOM;SG	N;INAN;NOM;MASC;SG
sektsioon	sekcia	sektsioon	sekcia	N;NOM;SG	N;NOM;FEM;SG
huvid	záujmy	huvi	záujem	N;NOM;PL	N;INAN;NOM;MASC;PL
huvid	úroky	huvi	úrok	N;NOM;PL	N;INAN;NOM;MASC;PL
mõõk	meč	mõõk	meč	N;NOM;SG	N;INAN;NOM;MASC;SG
ensüüm	enzým	ensüüm	enzým	N;NOM;SG	N;INAN;NOM;MASC;SG
