もの	rzeczy	もの	rzecz	N	N;ACC;FEM;PL
大学	uniwersytety	大学	uniwersytet	N	N;NOM;MASC;PL
大学	uniwersytetów	大学	uniwersytet	N	N;GEN;MASC;PL
大学	uczelnie	大学	uczelnie	N	N;NOM;FEM;SG
大学	uniwersytety	大学	uniwersytet	N	N;NOM;MASC;PL
大学	uniwersytetu	大学	uniwersytet	N	N;GEN;MASC;SG
大学	uczelnia	大学	uczelniać	N	N;NOM;FEM;SG
大学	uniwersytet	大学	uniwersytet	N	N;NOM;MASC;SG
大学	studia	大学	studia	N	N;NOM;NEUT;PL
大学	uczelnia	大学	uczelniać	N	N;NOM;FEM;SG
大学	college	大学	collega	N	N;NOM;MASC;SG
大学	kolegium	大学	kolegium	N	N;NOM;NEUT;SG
大学	uczelnie	大学	uczelnie	N	N;NOM;FEM;SG
テレビ	telewizory	テレビ	telewizor	N	N;NOM;MASC;PL
テレビ	telewizja	テレビ	telewizja	N	N;NOM;FEM;SG
テレビ	telewizor	テレビ	telewizor	N	N;NOM;MASC;SG
テレビ	telewizji	テレビ	telewizja	N	N;DAT;FEM;SG
より	niz	よる	niz	V	V;IPFV;SG;NFIN;ACT
削除	usunięto	削除	usunąć	V	V;PFV;IND;0;PST;FIN;ACT
削除	usuń	削除	usiń	V	V;PFV;IMP;SG;2;FIN;ACT
削除	usunąć	削除	usunąć	V	V;PFV;NFIN;ACT
削除	usuń	削除	usiń	V	V;PFV;IMP;SG;2;FIN;ACT
削除	usunąć	削除	usunąć	V	V;PFV;NFIN;ACT
現在	prąd	現在	prąd	N	N;NOM;MASC;SG
現在	teraźniejszość	現在	teraźniejszość	N	N;NOM;FEM;SG
現在	obecni	現在	obecny	N	N;NOM;MASC;PL
現在	prezent	現在	prezent	N	N;NOM;MASC;SG
学校	szkoły	学校	szkoła	N	N;GEN;FEM;SG
学校	szkoły	学校	szkoła	N	N;GEN;FEM;SG
学校	szkoła	学校	szkoła	N	N;NOM;FEM;SG
これ	tym	これ	to	PRO	PRO;INS;NEUT;SG
世界	świat	世界	świat	N	N;NOM;MASC;SG
世界	świata	世界	świat	N	N;GEN;MASC;SG
世界	świecie	世界	świat	N	N;DAT;MASC;SG
でも	ale	でも	ale	CONJ	CONJ
作品	prace	作品	praca	N	N;NOM;FEM;PL
作品	dyskografia	作品	dyskografia	N	N;NOM;FEM;SG
時代	epoka	時代	epoka	N	N;NOM;FEM;SG
映画	filmu	映画	film	N	N;GEN;MASC;SG
映画	film	映画	film	N	N;ACC;MASC;SG
映画	kino	映画	kino	N	N;NOM;NEUT;SG
映画	kina	映画	kino	N	N;GEN;NEUT;SG
映画	filmy	映画	film	N	N;NOM;MASC;PL
映画	folia	映画	folia	N	N;NOM;FEM;SG
映画	film	映画	film	N	N;ACC;MASC;SG
映画	filmy	映画	film	N	N;NOM;MASC;PL
監督	dyrektor	監督	dyrektor	N	N;NOM;MASC;SG
監督	dyrektora	監督	dyrektor	N	N;ACC;MASC;SG
監督	reżyser	監督	reżyser	N	N;NOM;MASC;SG
監督	nadzór	監督	nadzór	N	N;NOM;MASC;SG
監督	nadzoru	監督	nadzór	N	N;GEN;MASC;SG
鉄道	koleje	鉄道	kolej	N	N;NOM;FEM;SG
鉄道	kolej	鉄道	kolej	N	N;NOM;FEM;SG
鉄道	koleje	鉄道	kolej	N	N;NOM;FEM;SG
鉄道	kolej	鉄道	kolej	N	N;NOM;FEM;SG
使用	użyć	使用	użyć	V	V;PFV;NFIN;ACT
使用	użyj	使用	użyj	V	V;PFV;IMP;SG;2;FIN;ACT
時間	godziny	時間	godzina	N	N;NOM;FEM;PL
時間	godzin	時間	godzina	N	N;GEN;FEM;PL
時間	godzina	時間	godzina	N	N;NOM;FEM;SG
時間	godzinę	時間	godzina	N	N;ACC;FEM;SG
時間	godziny	時間	godzina	N	N;NOM;FEM;PL
時間	czasu	時間	czas	N	N;GEN;MASC;SG
時間	czas	時間	czas	N	N;NOM;MASC;SG
開始	rozpocząć	開始	rozpocząć	V	V;PFV;NFIN;ACT
開始	zacznij	開始	zacząć	V	V;PFV;IMP;SG;2;FIN;ACT
シリーズ	szeregi	シリーズ	szereg	N	N;ACC;MASC;SG
シリーズ	seria	シリーズ	seria	N	N;NOM;FEM;SG
記事	artykułu	記事	artykuł	N	N;GEN;MASC;SG
記事	artykul	記事	artykul	N	N;ACC;MASC;SG
記事	artykuł	記事	artykuł	N	N;NOM;MASC;SG
記事	historia	記事	historia	N	N;NOM;FEM;SG
記事	opowieść	記事	opowieść	N	N;NOM;FEM;SG
記事	zdarzenie	記事	zdarzenie	N	N;NOM;NEUT;SG
記事	opowiadanie	記事	opowiadać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
記事	zdarzenia	記事	zdarzenie	N	N;NOM;NEUT;SG
記事	opowiadania	記事	opowiadanie	N	N;NOM;NEUT;PL
記事	historie	記事	histora	N	N;NOM;FEM;SG
記事	wyroby	記事	wyrób	N	N;NOM;MASC;PL
記事	artykułów	記事	artykuł	N	N;GEN;MASC;PL
記事	artykuły	記事	artykuł	N	N;NOM;MASC;PL
選手	zawodnicy	選手	zawodnik	N	N;NOM;MASC;PL
選手	graczy	選手	gracz	N	N;ACC;MASC;PL
選手	gracze	選手	gracz	N	N;NOM;MASC;PL
選手	sportowcy	選手	sportowiec	N	N;NOM;MASC;PL
選手	sportowców	選手	sportowiec	N	N;ACC;MASC;PL
しかし	ale	しかし	ale	CONJ	CONJ
大会	konwencje	大会	konwencja	N	N;NOM;FEM;PL
大会	konwencji	大会	konwencja	N	N;GEN;FEM;SG
大会	konwent	大会	konwent	N	N;NOM;MASC;SG
大会	zjazd	大会	zjazd	N	N;NOM;MASC;SG
大会	konwencja	大会	konwencja	N	N;NOM;FEM;SG
チーム	zespoły	チーム	zespół	N	N;NOM;MASC;PL
チーム	zespołów	チーム	zespół	N	N;GEN;MASC;PL
チーム	drużyny	チーム	drużyna	N	N;ACC;FEM;PL
チーム	ekipy	チーム	ekipa	N	N;NOM;FEM;PL
チーム	ekipa	チーム	ekipa	N	N;NOM;FEM;SG
チーム	drużyny	チーム	drużyna	N	N;ACC;FEM;PL
チーム	drużyna	チーム	drużyna	N	N;NOM;FEM;SG
チーム	zespół	チーム	zespół	N	N;NOM;MASC;SG
優勝	wygrywa	優勝	wygrywać	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
優勝	wygrywają	優勝	wygrywać	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
作詞	teksty	作詞	tekst	N	N;NOM;MASC;PL
所属	należeć	所属	należeć	V	V;IPFV;NFIN;ACT
所属	należą	所属	należeć	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
結果	rezultat	結果	rezultat	N	N;NOM;MASC;SG
結果	efekt	結果	efekt	N	N;NOM;MASC;SG
結果	wynik	結果	wynik	N	N;NOM;MASC;SG
結果	rezultaty	結果	rezultat	N	N;NOM;MASC;PL
結果	wyniki	結果	wynik	N	N;NOM;MASC;PL
アルバム	album	アルバム	album	N	N;NOM;MASC;SG
アルバム	płyta	アルバム	płyta	N	N;NOM;FEM;SG
アルバム	albumy	アルバム	albuma	N	N;NOM;FEM;PL
アルバム	albumów	アルバム	album	N	N;GEN;MASC;PL
ゲーム	mecz	ゲーム	mecz	N	N;NOM;MASC;SG
ゲーム	mecze	ゲーム	mecz	N	N;NOM;MASC;PL
問題	wydanie	問題	wydanie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
問題	zagadnienie	問題	zagadnić	N	N;NOM;NEUT;SG
問題	problem	問題	problem	N	N;NOM;MASC;SG
問題	problemy	問題	problem	N	N;NOM;MASC;PL
問題	zagadnienia	問題	zagadnienie	N	N;NOM;NEUT;PL
問題	kwestie	問題	kwest	N	N;NOM;FEM;PL
問題	problemy	問題	problem	N	N;NOM;MASC;PL
問題	kwestii	問題	kwestia	N	N;GEN;FEM;SG
リーグ	liga	リーグ	liga	N	N;NOM;FEM;SG
リーグ	lidze	リーグ	liga	N	N;DAT;FEM;SG
リーグ	ligi	リーグ	liga	N	N;ACC;FEM;SG
利用	odkupić	利用	odkupić	V	V;PFV;NFIN;ACT
事業	biznes	事業	biznes	N	N;NOM;MASC;SG
事業	interesy	事業	interes	N	N;NOM;MASC;PL
事業	interes	事業	interes	N	N;NOM;MASC;SG
音楽	muzyka	音楽	muzyka	N	N;NOM;FEM;SG
情報	informacje	情報	informacja	N	N;NOM;FEM;PL
情報	informacja	情報	informacja	N	N;NOM;FEM;SG
情報	informacje	情報	informacja	N	N;NOM;FEM;PL
情報	informacja	情報	informacja	N	N;NOM;FEM;SG
公式	oficjalne	公式	oficjalny	ADJ	ADJ;NOM;NEUT;SG
公式	oficjalna	公式	oficjalny	ADJ	ADJ;NOM;FEM;SG
公式	urzędowym	公式	urzędowy	ADJ	ADJ;INS;MASC;SG
公式	oficjalny	公式	oficjalny	ADJ	ADJ;NOM;MASC;SG
参加	dołącz	参加	dołączyć	V	V;PFV;IMP;SG;2;FIN;ACT
参加	udział	参加	udział	V	V;PFV;MASC;IND;SG;PST;FIN;ACT
地域	regiony	地域	regić	N	N;NOM;MASC;PL
地域	rejony	地域	rejon	N	N;NOM;MASC;PL
地域	regionów	地域	region	N	N;GEN;MASC;PL
地域	region	地域	region	N	N;NOM;MASC;SG
地域	regionie	地域	region	N	N;ACC;MASC;SG
地域	regiony	地域	regić	N	N;NOM;MASC;PL
地域	regionu	地域	regić	N	N;GEN;MASC;SG
変更	zmodyfikować	変更	zmodyfikować	V	V;PFV;NFIN;ACT
変更	zmienić	変更	zmienić	V	V;PFV;NFIN;ACT
変更	zmień	変更	zmień	V	V;PFV;IMP;SG;2;FIN;ACT
編曲	układ	編曲	układ	N	N;NOM;MASC;SG
編曲	porozumienie	編曲	porozumienie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
