van	no	van	no		
word	kļūt	word	kļūt	V;PRS	V;POS;NFIN
met	ar	met	ar	ADP	ADP
was	tika	is	tikt	V;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
vir	priekš	vir	priekš	ADP	ADP
nie	ne	nie	ne	PART	PART
jaar	gadu	jaar	gads	N;SG	N;ACC;MASC;SG
jaar	gads	jaar	gads	N;SG	N;NOM;MASC;SG
eerste	pirmais	eerste	pirmais	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
eerste	pirmā	eerste	pirmā	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
eerste	pirmās	eerste	pirmā	ADJ;NOM	ADJ;NOM;DEF;FEM;PL
eerste	pirmie	eerste	pirmais	ADJ;NOM	ADJ;NOM;DEF;MASC;PL
eerste	pirma	eerste	pirma	ADJ;NOM	ADJ;NOM;FEM;SG
maar	bet	maar	bet	CONJ	CONJ
maar	taču	maar	taču	CONJ	CONJ
ander	citi	ander	cits	PRO	PRO;NOM;MASC;PL
ander	cits	ander	cits	PRO	PRO;NOM;MASC;SG
ander	citas	ander	cita	PRO	PRO;NOM;FEM;PL
een	viens	een	viens	NUM	NUM;NOM;MASC;SG
een	viena	een	viena	NUM	NUM;NOM;FEM;SG
een	vienu	een	viens	NUM	NUM;ACC;MASC;SG
gebruik	lietot	gebruik	lietot	V;PRS	V;POS;NFIN
gebruik	izlietot	gebruik	izlietot	V;PRS	V;POS;NFIN
afrikaanse	āfrikas	afrikaans	āfrika	N;PL	N;NOM;FEM;PL
onder	zem	onder	zem	ADP	ADP
twee	divas	twee	divas	NUM	NUM;NOM;FEM;PL
twee	divus	twee	divi	NUM	NUM;ACC;MASC;PL
twee	divi	twee	divi	NUM	NUM;NOM;MASC;PL
tussen	starp	tussen	starp	ADP	ADP
gemeente	draudzi	gemeent	draudzi	N;SG	N;ACC;FEM;SG
gemeente	montāža	gemeent	montāža	N;SG	N;NOM;FEM;SG
gemeente	asambleja	gemeent	asambleja	N;SG	N;NOM;FEM;SG
begin	sākt	begin	sākt	V;PRS	V;POS;NFIN
begin	palaist	begin	palaist	V;PRS	V;POS;NFIN
sien	redz	sien	redzēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
sien	redz	sien	redzēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
sien	skatīt	sien	skatīt	V;PRS	V;POS;NFIN
nuwe	jauna	nuut	jauns	ADJ;NOM	ADJ;NOM;FEM;SG
nuwe	jauni	nuut	jauns	ADJ;NOM	ADJ;NOM;MASC;PL
nuwe	jauns	nuut	jauns	ADJ;NOM	ADJ;NOM;MASC;SG
nuwe	jaunais	nuut	jauns	ADJ;NOM	ADJ;NOM;MASC;SG
nuwe	jaunas	nuut	jauna	ADJ;NOM	ADJ;NOM;FEM;PL
voor	pirms	voor	pirms	ADP	ADP
stad	pilsēta	stad	pilsēta	N;SG	N;NOM;FEM;SG
land	valsts	land	valsts	N;SG	N;NOM;FEM;SG
skakels	saites	skakel	saite	N;PL	N;NOM;FEM;PL
later	vēlāk	laat	vēlu	ADV;CMPR	ADV;CMPR
sou	būtu	sal	būt	V;PST;FIN	V;COND;POS;FIN;ACT
naam	vārds	naam	vārds	N;SG	N;NOM;MASC;SG
naam	nosaukums	naam	nosaukums	N;SG	N;NOM;MASC;SG
deel	dalies	deel	dalis	V;PRS	V;FH;IND;SG;2;POS;REFL;PRS;FIN;ACT
deel	dalīties	deel	dalīties	V;PRS	V;POS;REFL;NFIN
drie	trim	drie	trīs	NUM	NUM;DAT;MASC;PL
drie	trīs	drie	trīs	NUM	NUM;NOM;MASC;PL
mense	cilveki	mens	cilveks	N;PL	N;NOM;MASC;PL
mense	cilvēki	mens	cilvēks	N;PL	N;NOM;MASC;PL
mense	cilvēkiem	mens	cilvēks	N;PL	N;DAT;MASC;PL
bestaan	pastāvēt	bestaan	pastāvēt	V;PRS	V;POS;NFIN
bestaan	pastāv	bestaan	pastāvēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
bestaan	eksistē	bestaan	eksistēt	V;PRS	V;IMP;SG;2;POS;PRS;FIN;ACT
bestaan	pastāv	bestaan	pastāvēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
bestaan	eksistē	bestaan	eksistēt	V;PRS	V;IMP;SG;2;POS;PRS;FIN;ACT
nasionale	nacionālais	nasionaal	nacionāls	ADJ;NOM	ADJ;NOM;MASC;SG
maak	padarīt	maak	padarīt	V;PRS	V;POS;NFIN
maak	padarītu	maak	padarīt	V;PRS	V;COND;POS;FIN;ACT
kom	nāc	kom	nākt	V;PRS	V;IMP;SG;2;POS;FIN;ACT
saam	kopā	saam	kopā	ADV	ADV
veral	īpaši	veral	īpaši	ADV	ADV
hier	šeit	hier	šeit	ADV	ADV
hier	te	hier	te	ADV	ADV
tyd	laiks	tyd	laiks	N;SG	N;NOM;MASC;SG
tyd	laika	tyd	laiks	N;SG	N;GEN;MASC;SG
geword	kļūt	word	kļūt	V;PST;FIN	V;POS;NFIN
geword	kļuvis	word	kļūt	V;PST;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geword	kļuva	word	kļūt	V;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
vlag	karogs	vlag	karogs	N;SG	N;NOM;MASC;SG
vlag	karoga	vlag	karogs	N;SG	N;GEN;MASC;SG
verskeie	dažādi	verskeie	dažāds	ADJ;NOM	ADJ;NOM;MASC;PL
verskeie	dažādas	verskeie	dažāda	ADJ;NOM	ADJ;NOM;FEM;PL
staan	stāv	staan	stāvēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
staan	stāvot	staan	stāvot	V;PRS	V;V.CVB
staan	stāvēt	staan	stāvēt	V;PRS	V;POS;NFIN
genoem	pieminēts	noem	pieminēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genoem	minēts	noem	minēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genoem	pieminēja	noem	pieminēt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
dan	tad	dan	tad	ADV	ADV
bevolking	populācija	bevolking	populācija	N;SG	N;NOM;FEM;SG
gemaak	izgatavots	maak	izgatavot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
jare	gadus	jaar	gads	N;PL	N;ACC;MASC;PL
jare	gadi	jaar	gads	N;PL	N;NOM;MASC;PL
jare	gadiem	jaar	gads	N;PL	N;DAT;MASC;PL
lank	ilgi	lank	ilgi	ADV	ADV
gestig	dibināta	stig	dibināt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gestig	dibināts	stig	dibināt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
sedert	kopš	sedert	kopš	ADP	ADP
reeds	jau	reeds	jau	ADV	ADV
nou	tagad	nou	tagad	ADV	ADV
provinsie	province	provinsie	province	N;SG	N;NOM;FEM;SG
provinsie	ils	provinsie	ils	N;SG	N;ESS;MASC;SG
provinsie	apriņķis	provinsie	apriņķis	N;SG	N;NOM;MASC;SG
provinsie	apgabals	provinsie	apgabals	N;SG	N;NOM;MASC;SG
provinsie	valsts	provinsie	valsts	N;SG	N;NOM;FEM;SG
provinsie	štats	provinsie	štats	N;SG	N;NOM;MASC;SG
universiteit	universitātē	universiteit	universitāte	N;SG	N;ESS;FEM;SG
universiteit	universitāte	universiteit	universitāte	N;SG	N;NOM;FEM;SG
beskou	apsvērt	beskou	apsvērt	V;PRS	V;POS;NFIN
lewe	dzīve	lewe	dzīve	N;SG	N;NOM;FEM;SG
lewe	dzīvi	lewe	dzīve	N;SG	N;ACC;FEM;SG
lewe	dzīvība	lewe	dzīvība	N;SG	N;NOM;FEM;SG
vier	svinam	vier	svins	V;PRS	V;FH;IND;PL;1;POS;PRS;FIN;ACT
vier	svinam	vier	svins	V;PRS	V;FH;IND;PL;1;POS;PRS;FIN;ACT
dood	nāve	dood	nāve	N;SG	N;NOM;FEM;SG
dood	nāves	dood	nāve	N;SG	N;NOM;FEM;SG
wêreld	pasaule	wêreld	pasaule	N;SG	N;NOM;FEM;SG
wêreld	pasaulē	wêreld	pasaule	N;SG	N;ESS;FEM;SG
aantal	daudzums	aantal	daudzums	N;SG	N;NOM;MASC;SG
plaaslike	vietējie	plaaslik	vietējs	ADJ;NOM	ADJ;NOM;MASC;PL
plaaslike	vietējā	plaaslik	vietējs	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	vietējais	plaaslik	vietējs	ADJ;NOM	ADJ;NOM;MASC;SG
plaaslike	lokāla	plaaslik	lokāls	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	lokālā	plaaslik	lokāls	ADJ;NOM	ADJ;NOM;FEM;SG
internasionale	starptautiskā	internasionaal	starptautiska	ADJ;NOM	ADJ;NOM;FEM;SG
voëls	putni	voël	putnis	N;PL	N;NOM;MASC;PL
voëls	putniem	voël	putns	N;PL	N;DAT;MASC;PL
steeds	vēl	steeds	vēl	ADV	ADV
steeds	joprojām	steeds	joprojām	ADV	ADV
groep	grupu	groep	grupa	N;SG	N;ACC;FEM;SG
groep	grupa	groep	grupa	N;SG	N;NOM;FEM;SG
stel	uzstādīt	stel	uzstādīt	V;PRS	V;POS;NFIN
sluit	aizvērt	sluit	aizvērt	V;PRS	V;POS;NFIN
hoofstad	kapitāls	hoofstad	kapitāls	N;SG	N;NOM;MASC;SG
