con	sa	con	sa	ADP	ADP;INS
categoría	kategorija	categoría	kategorija	N;FEM;SG	N;NOM;FEM;SG
para	za	para	za	ADP	ADP;ACC
como	kako	como	kako	CONJ	CONJ
como	kao	como	kao	CONJ	CONJ
fue	bio	ser	biti	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
fue	bila	ser	biti	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP;ACT
más	više	más	mnogo	ADV	ADV;CMPR
también	također	también	također	ADV	ADV
también	takođe	también	takođa	ADV	ADV
también	previše	también	previše	ADV	ADV
entre	među	entre	među	ADP	ADP;INS
entre	između	entre	između	ADP	ADP;GEN
pero	ali	pero	ali	CONJ	CONJ
años	godinama	año	godina	N;MASC;PL	N;INS;FEM;PL
dos	dva	dos	dva	NUM;PL	NUM
son	su	ser	biti	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
son	jesu	ser	biti	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
año	godine	año	godina	N;MASC;SG	N;GEN;FEM;SG
año	godina	año	godina	N;MASC;SG	N;NOM;FEM;SG
desde	od	desde	od	ADP	ADP;GEN
desde	iz	desde	iz	ADP	ADP;GEN
enlaces	poveznice	enlace	poveznica	N;MASC;PL	N;NOM;FEM;PL
ciudad	grad	ciudad	grad	N;FEM;SG	N;NOM;MASC;SG
ciudad	grad	ciudad	grad	N;FEM;SG	N;NOM;MASC;SG
ciudad	gradom	ciudad	grad	N;FEM;SG	N;INS;MASC;SG
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	N;NOM;MASC;SG
parte	tulum	parte	tulum	N;FEM;SG	N;NOM;MASC;SG
parte	zabava	parte	zabava	N;FEM;SG	N;NOM;FEM;SG
parte	stranka	parte	stranka	N;FEM;SG	N;NOM;FEM;SG
parte	dijelom	parte	dio	N;FEM;SG	N;INS;MASC;SG
parte	dio	parte	dio	N;FEM;SG	N;NOM;MASC;SG
durante	tijekom	durante	tijekom	ADP	ADP;GEN
sin	bez	sin	bez	ADP	ADP;GEN
san	san	san	san	N;MASC;SG	N;NOM;MASC;SG
san	svetac	san	svetac	N;MASC;SG	N;NOM;MASC;SG
nacional	nacionalni	nacional	nacionalan	ADJ;SG	ADJ;NOM;DEF;MASC;SG
nacional	nacionalna	nacional	nacionalan	ADJ;SG	ADJ;NOM;DEF;FEM;SG
primera	prvi	primero	prvi	ADJ;FEM;SG	ADJ;NOM;MASC;SG
team	ekipa	team	ekipa	N	N;NOM;FEM;SG
team	momčad	team	momčad	N	N;NOM;FEM;SG
team	reprezentacija	team	reprezentacija	N	N;NOM;FEM;SG
nombre	naziv	nombre	naziv	N;MASC;SG	N;NOM;MASC;SG
nombre	ime	nombre	ime	N;MASC;SG	N;NOM;NEUT;SG
estados	države	estado	država	N;MASC;PL	N;NOM;FEM;PL
estados	stanja	estado	stanje	N;MASC;PL	N;NOM;NEUT;PL
siglo	vijek	siglo	vijek	N;MASC;SG	N;NOM;MASC;SG
siglo	stoljeće	siglo	stoljeće	N;MASC;SG	N;NOM;NEUT;SG
después	poslije	después	poslije	ADV	ADV
después	kasnije	después	kasno	ADV	ADV;CMPR
gran	velika	gran	velik	ADJ;SG	ADJ;NOM;DEF;FEM;SG
gran	veliki	gran	velik	ADJ;SG	ADJ;NOM;DEF;MASC;SG
gran	veliko	gran	velik	ADJ;SG	ADJ;NOM;NEUT;SG
unidos	ujedinjeni	unido	ujediniti	ADJ;MASC;PL;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
puede	može	poder	moći	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
puede	moze	poder	moza	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
estado	status	estado	status	N;MASC;SG	N;NOM;MASC;SG
estado	stanje	estado	stanje	N;MASC;SG	N;NOM;NEUT;SG
estado	stanje	estado	stanje	N;MASC;SG	N;NOM;NEUT;SG
estado	država	estado	država	N;MASC;SG	N;NOM;FEM;SG
estado	stanju	estado	stanje	N;MASC;SG	N;DAT;NEUT;SG
estado	stanje	estado	stanje	N;MASC;SG	N;NOM;NEUT;SG
estado	uvjet	estado	uvjet	N;MASC;SG	N;NOM;MASC;SG
lugar	mjesto	lugar	mjesto	N;MASC;SG	N;NOM;NEUT;SG
lugar	mesto	lugar	mesto	N;MASC;SG	N;NOM;NEUT;SG
lugar	lokacija	lugar	lokacija	N;MASC;SG	N;NOM;FEM;SG
lugar	lokaciju	lugar	lokacija	N;MASC;SG	N;ACC;FEM;SG
primer	prvi	primero	prvi	ADJ;MASC;SG	ADJ;NOM;MASC;SG
población	stanovništvo	población	stanovništvo	N;FEM;SG	N;NOM;NEUT;SG
población	populacija	población	populacija	N;FEM;SG	N;NOM;FEM;SG
muy	vrlo	mucho	vrlo	ADV	ADV
mismo	isti	mismo	isti	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
mismo	ista	mismo	isti	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
nueva	novo	nuevo	nov	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nueva	nova	nuevo	nov	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
nueva	novi	nuevo	nov	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
fueron	bile	ser	biti	V;IND;PL;3;PST;FIN	V;FEM;PL;PST;V.PTCP;ACT
fueron	bili	ser	biti	V;IND;PL;3;PST;FIN	V;MASC;PL;PST;V.PTCP;ACT
historia	priča	historia	priča	N;FEM;SG	N;NOM;FEM;SG
historia	prica	historia	prica	N;FEM;SG	N;NOM;FEM;SG
historia	povijest	historia	povijest	N;FEM;SG	N;NOM;FEM;SG
historia	istorija	historia	istorija	N;FEM;SG	N;NOM;FEM;SG
club	klub	club	klub	N;MASC;SG	N;NOM;MASC;SG
club	club	club	club	N;MASC;SG	N;NOM;MASC;SG
universidad	fakultet	universidad	fakultet	N;FEM;SG	N;NOM;MASC;SG
universidad	sveučilište	universidad	sveučilište	N;FEM;SG	N;NOM;NEUT;SG
universidad	fakultet	universidad	fakultet	N;FEM;SG	N;NOM;MASC;SG
universidad	koledž	universidad	koledž	N;FEM;SG	N;NOM;MASC;SG
universidad	college	universidad	collega	N;FEM;SG	N;NOM;MASC;SG
forma	oblik	forma	oblik	N;FEM;SG	N;NOM;MASC;SG
