ale	ama	ale	ama	CONJ	CONJ
odkazy	bağlantılar	odkaz	bağlantı	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
odkazy	bağlantıları	odkaz	bağlantı	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
let	yılların	rok	yıl	N;GEN;NEUT;PL;POS	N;GEN;PL;3
místo	yer	místo	yer	N;NOM;NEUT;SG;POS	N;NOM;SG;3
místo	yer	místo	yer	N;NOM;NEUT;SG;POS	N;NOM;SG;3
místo	konum	místo	konum	N;NOM;NEUT;SG;POS	N;NOM;SG;3
pak	sonra	pak	sonra	ADV	ADV
již	zaten	již	zaten	ADV	ADV
již	şimdiden	již	şimdiden	ADV	ADV
později	sonra	pozdě	sonra	ADV;CMPR;POS	ADV
nad	nad	nad	nad		
nad	yukarıdaki	nad	yukarıdakiki		
nad	üzeri	nad	üzer		
nad	üstü	nad	üst		
nad	yukarda	nad	yukar		
před	öncesi	před	önce	N;FEM;SG;POS	N;NOM;SG;3
před	öncesinde	před	önce	N;FEM;SG;POS	N;ESS;SG;3
města	şehirler	město	şehir	N;NOM;NEUT;PL;POS	N;NOM;PL;3
města	kasabalar	město	kasaba	N;NOM;NEUT;PL;POS	N;NOM;PL;3
města	kentler	město	kent	N;NOM;NEUT;PL;POS	N;NOM;PL;3
města	şehirler	město	şehir	N;NOM;NEUT;PL;POS	N;NOM;PL;3
města	şehirleri	město	şehir	N;NOM;NEUT;PL;POS	N;NOM;PL;3
území	bölgesi	území	bölge	N;NOM;NEUT;SG;POS	N;NOM;SG;3
pouze	yalnızca	pouze	yalnızca	ADV	ADV
pouze	sadece	pouze	sadece	ADV	ADV
články	makaleler	článek	makale	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
články	yazılar	článek	yazı	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
část	parçası	část	parça	N;NOM;FEM;SG;POS	N;NOM;SG;3
části	parçalar	část	parça	N;NOM;FEM;PL;POS	N;NOM;PL;3
bar	bar	bar	bar	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
obce	belediyeler	obec	belediye	N;NOM;FEM;PL;POS	N;NOM;PL;3
obce	topluluklar	obec	topluluk	N;NOM;FEM;PL;POS	N;NOM;PL;3
více	daha	hodně	daha	ADV;CMPR;POS	ADV
související	ilgili	související	ilgili	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
ještě	hala	ještě	hala	ADV	ADV
poté	ardından	poté	ardından	ADV	ADV
poté	sonra	poté	sonra	ADV	ADV
název	adınız	název	adınız	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
název	isim	název	isim	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
název	ad	název	ad	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
název	adı	název	ad	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
název	başlığı	název	başlık	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
měl	vardı	mít	var	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
seznam	listesi	seznam	liste	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
několik	birkaç	několik	birkaç	DET;NOM	DET
datum	randevu	datum	randev	N;NOM;NEUT;SG;POS	N;NOM;SG;3
datum	tarih	datum	tarih	N;NOM;NEUT;SG;POS	N;NOM;SG;3
roky	yıllar	rok	yıl	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
diskuse	münazara	diskuse	münazar	N;NOM;FEM;SG;POS	N;NOM;SG;3
diskuse	müzakere	diskuse	müzakere	N;NOM;FEM;SG;POS	N;NOM;SG;3
války	savaşları	válka	savaş	N;NOM;FEM;PL;POS	N;NOM;PL;3
války	savaşlar	válka	savaş	N;NOM;FEM;PL;POS	N;NOM;PL;3
oblasti	bölgeler	oblast	bölge	N;NOM;FEM;PL;POS	N;NOM;PL;3
oblasti	bölgeler	oblast	bölge	N;NOM;FEM;PL;POS	N;NOM;PL;3
oblasti	alanlar	oblast	alan	N;NOM;FEM;PL;POS	N;NOM;PL;3
oblasti	bölgeler	oblast	bölge	N;NOM;FEM;PL;POS	N;NOM;PL;3
druhé	ikinci	druhý	ikinci	ADJ;NOM;NEUT;SG	ADJ
soubor	dosyası	soubor	dosya	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
tři	üç	tři	üç	NUM;NOM;PL	NUM
počet	numarası	počet	numara	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
skupiny	gruplar	skupina	grup	N;NOM;FEM;PL;POS	N;NOM;PL;3
stránky	sayfalar	stránka	sayfa	N;NOM;FEM;PL;POS	N;NOM;PL;3
stránky	siteler	stránka	site	N;NOM;FEM;PL;POS	N;NOM;PL;3
jméno	adınız	jméno	adınız	N;NOM;NEUT;SG;POS	N;NOM;SG;3
jméno	isim	jméno	isim	N;NOM;NEUT;SG;POS	N;NOM;SG;3
jméno	ad	jméno	ad	N;NOM;NEUT;SG;POS	N;NOM;SG;3
jméno	adı	jméno	ad	N;NOM;NEUT;SG;POS	N;NOM;SG;3
nové	yeni	nový	yeni	ADJ;NOM;MASC;PL;POS	ADJ
národní	milli	národní	milli	ADJ;NOM;MASC;SG;POS	ADJ
velké	geniş	velký	geniş	ADJ;NOM;MASC;PL;POS	ADJ
země	arsa	země	arsa	N;NOM;FEM;SG;POS	N;NOM;SG;3
mistrovství	şampiyonası	mistrovství	şampiyon	N;NOM;NEUT;SG;POS	N;NOM;SG;3
mistrovství	şampiyonluk	mistrovství	şampiyonluk	N;NOM;NEUT;SG;POS	N;NOM;SG;3
mistrovství	şampiyonası	mistrovství	şampiyon	N;NOM;NEUT;SG;POS	N;NOM;SG;3
mistrovství	şampiyonluk	mistrovství	şampiyonluk	N;NOM;NEUT;SG;POS	N;NOM;SG;3
film	sinema	film	sine	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
film	filim	film	filim	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
strany	taraflar	strana	taraf	N;NOM;FEM;PL;POS	N;NOM;PL;3
strany	partiler	strana	parti	N;NOM;FEM;PL;POS	N;NOM;PL;3
jiné	farklı	jiný	farklı	ADJ;NOM;NEUT;SG;POS	ADJ
jiné	diğer	jiný	diğer	ADJ;NOM;NEUT;SG;POS	ADJ
narození	doğum	narození	doğum	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okres	şehristanı	okres	şehristan	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
okres	ilçesi	okres	ilçe	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
okres	semt	okres	semt	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
článek	madde	článek	madde	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
článek	makale	článek	makale	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
společnosti	firmalar	společnost	firma	N;NOM;FEM;PL;POS	N;NOM;PL;3
společnosti	şirketler	společnost	şirket	N;NOM;FEM;PL;POS	N;NOM;PL;3
vlastní	özel	vlastní	özel	ADJ;NOM;MASC;SG;POS	ADJ
základní	temel	základní	temel	ADJ;NOM;MASC;SG;POS	ADJ
marie	meryem	marie	meryem	N;NOM;FEM;SG;POS	N;NOM;SG;3
některé	bazı	některý	bazı	DET;NOM;MASC;PL	DET
klub	kulübü	klub	kulüb	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
začal	başladı	začít	başla	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
začal	başladım	začít	başla	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;1;POS;PST
několika	birkaç	několik	birkaç	DET;INS	DET
doby	dönemler	doba	dönem	N;NOM;FEM;PL;POS	N;NOM;PL;3
strana	sayfası	strana	sayfa	N;NOM;FEM;SG;POS	N;NOM;SG;3
práce	iş	práce	iş	N;NOM;FEM;SG;POS	N;NOM;SG;3
práce	iş	práce	iş	N;NOM;FEM;SG;POS	N;NOM;SG;3
mnoho	birçok	mnoho	birçok	DET;NOM	DET
nakonec	sonunda	nakonec	sonunda	ADV	ADV
opět	yine	opět	yine	ADV	ADV
opět	gene	opět	gene	ADV	ADV
opět	yeniden	opět	yeniden	ADV	ADV
politik	siyasetçi	politik	siyasetçi	N;ANIM;NOM;MASC;SG;POS	N;NOM;SG;3
web	site	web	sit	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
web	internet	web	internet	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
zemřel	öldü	zemřít	öl	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
zemřel	öldüm	zemřít	öl	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;1;POS;PST
společnost	sosyete	společnost	sosyet	N;NOM;FEM;SG;POS	N;NOM;SG;3
společnost	firma	společnost	firma	N;NOM;FEM;SG;POS	N;NOM;SG;3
číslo	numarası	číslo	numara	N;NOM;NEUT;SG;POS	N;NOM;SG;3
nový	yeni	nový	yeni	ADJ;INAN;NOM;MASC;SG;POS	ADJ
góly	hedefler	gól	hedef	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
góly	amaçlar	gól	amaç	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
góly	hedefleri	gól	hedef	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
někdy	bazen	někdy	bazen	ADV	ADV
život	yaşam	život	yaşam	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
titul	başlığı	titul	başlık	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
systém	sistem	systém	sistem	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
třetí	üçüncüsü	třetí	üçüncü	ADJ;NOM;MASC;SG	ADJ;NOM;SG;3
vlády	hükümetler	vláda	hükümet	N;NOM;FEM;PL;POS	N;NOM;PL;3
den	gün	den	gün	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
království	krallık	království	krallık	N;NOM;NEUT;SG;POS	N;NOM;SG;3
