with	مع	with	مَعَ	ADP	ADP;ACC
not	لا	not	لَا	PART	PART
also	ايضا	also	أَيضًا	ADV	ADV
new	جديد	new	جَدِيد	ADJ	ADJ;NOM;INDF;MASC;SG
new	جديدة	new	جَدِيد	ADJ	ADJ;NOM;INDF;FEM;SG
new	الجديد	new	جَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
page	صفحة	page	صَفحَة	N;SG	N;NOM;INDF;SG
page	الصفحة	page	صَفحَة	N;SG	N;NOM;DEF;SG
they	هم	they	هُوَ	PRO;NOM;PL;3	PRO;NOM;MASC;PL;3
article	مقالة	article	مَقَالَة	N;SG	N;NOM;INDF;SG
article	مقال	article	مَقَال	N;SG	N;NOM;INDF;SG
article	المقالة	article	مُقَال	N;SG	N;NOM;DEF;SG
article	المادة	article	مَادَّة	N;SG	N;NOM;DEF;SG
there	هناك	there	هُنَاكَ	ADV	ADV
made	صنعت	make	صَنَع	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
made	صنع	make	صَنَع	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
made	جعل	make	جَعَل	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
people	اشخاص	people	شَخص	N;PL	N;NOM;INDF;PL
people	اناس	people	اناس	N;PL	N;NOM;INDF;PL
people	الاشخاص	people	شَخص	N;PL	N;NOM;DEF;PL
people	الناس	people	إِنسَان	N;PL	N;NOM;DEF;PL
other	اخرى	other	آخَر	ADJ	ADJ;NOM;INDF;FEM;SG
two	اثنين	two	اِثنَان	NUM	NUM;NOM;INDF;MASC
two	اثنتان	two	اِثنَان	NUM	NUM;NOM;INDF;FEM
score	النتيجة	score	نَتِيجَة	N;SG	N;NOM;DEF;SG
more	اكثر	more	أَكثَر	ADJ;CMPR	ADJ;NOM;INDF;MASC;SG
she	هي	she	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
time	وقت	time	وَقت	N;SG	N;NOM;INDF;SG
time	الزمن	time	زَمَن	N;SG	N;NOM;DEF;SG
time	الوقت	time	وَقت	N;SG	N;NOM;DEF;SG
time	زمن	time	زَمَن	N;SG	N;NOM;INDF;SG
time	الزمان	time	زَمَان	N;SG	N;NOM;DEF;SG
team	الفريق	team	فَرِيق	N;SG	N;NOM;DEF;SG
team	فريق	team	فَرِيق	N;SG	N;NOM;INDF;SG
american	امريكية	american	أَمرِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
american	امريكي	american	أَمرِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
discussion	مناقشة	discussion	مُنَاقَشَة	N;SG	N;NOM;INDF;SG
discussion	نقاش	discussion	نِقَاش	N;SG	N;NOM;INDF;SG
discussion	المناقشة	discussion	مُنَاقَشَة	N;SG	N;NOM;DEF;SG
links	الوصلات	link	وُصلَة	N;PL	N;NOM;DEF;PL
links	الصلات	link	صَلَة	N;PL	N;NOM;DEF;PL
links	روابط	link	روابط	N;PL	N;NOM;INDF;PL
links	الروابط	link	رَابِطَة	N;PL	N;NOM;DEF;PL
links	وصلات	link	وُصلَة	N;PL	N;NOM;INDF;PL
only	فقط	only	فَقَط	ADV	ADV
years	السنين	year	سَنَة	N;PL	N;NOM;DEF;PL
years	اعوام	year	عَام	N;PL	N;NOM;INDF;PL
years	سنين	year	سَنَة	N;PL	N;NOM;INDF;PL
years	السنوات	year	سَنَة	N;PL	N;NOM;DEF;PL
years	سنوات	year	سَنَة	N;PL	N;NOM;INDF;PL
school	مدرسة	school	مَدرَسَة	N;SG	N;NOM;INDF;SG
school	المدرسة	school	مَدرَسَة	N;SG	N;NOM;DEF;SG
world	عالم	world	عَالَم	N;SG	N;NOM;INDF;SG
world	الدنيا	world	دِنِّيَا	N;SG	N;NOM;DEF;SG
world	العالم	world	عَالَم	N;SG	N;NOM;DEF;SG
university	جامعة	university	جَامِعَة	N;SG	N;NOM;INDF;SG
university	الجامعة	university	جَامِعَة	N;SG	N;NOM;DEF;SG
state	الولاية	state	وِلَايَة	N;SG	N;NOM;DEF;SG
state	دولة	state	دَولَة	N;SG	N;NOM;INDF;SG
state	ولاية	state	وِلَايَة	N;SG	N;NOM;INDF;SG
state	الحالة	state	حَالَة	N;SG	N;NOM;DEF;SG
state	الدولة	state	دَولَة	N;SG	N;NOM;DEF;SG
states	دول	state	دَولَة	N;PL	N;NOM;INDF;PL
states	الولايات	state	وِلَايَة	N;PL	N;NOM;DEF;PL
states	الدول	state	دَولَة	N;PL	N;NOM;DEF;PL
national	وطنية	national	وَطَنِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
national	وطني	national	وَطَنِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
wikipedia	ويكيبيديا	wikipedia	ويكيبيديا	N;SG	N;NOM;DEF;SG
year	عام	year	عَام	N;SG	N;NOM;INDF;SG
year	العام	year	عَام	N;SG	N;NOM;DEF;SG
year	السنه	year	سَنه	N;SG	N;NOM;DEF;SG
year	سنة	year	سَنَة	N;SG	N;NOM;INDF;SG
year	سنه	year	سنه	N;SG	N;NOM;INDF;SG
year	السنة	year	سَنَة	N;SG	N;NOM;DEF;SG
most	الاكثر	most	أَكثَر	ADJ;RL	ADJ;NOM;DEF;MASC;SG
city	مدينة	city	مَدِينَة	N;SG	N;NOM;INDF;SG
city	المدينة	city	مَدِينَة	N;SG	N;NOM;DEF;SG
used	استعمل	use	اِستَعمَل	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
used	استخدم	use	اِستَخدَم	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
used	استخدمت	use	اِستَخدَم	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
then	اذن	then	إِذَن	ADV	ADV
county	مقاطعة	county	مُقَاطَعَة	N;SG	N;NOM;INDF;SG
county	المقاطعة	county	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
external	خارجي	external	خَارِجِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
delete	احذف	delete	أَحذَف	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
delete	حذف	delete	حَذف	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
film	الفيلم	film	فِيلم	N;SG	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;SG	N;NOM;INDF;SG
many	كثير	many	كَثِير	ADJ	ADJ;NOM;INDF;MASC;SG
many	العديد	many	عَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
many	الكثيرون	many	كَثِير	ADJ	ADJ;NOM;DEF;MASC;PL
many	كثيرون	many	كَثِير	ADJ	ADJ;NOM;INDF;MASC;PL
many	الكثير	many	كَثِير	ADJ	ADJ;NOM;DEF;MASC;SG
