偵查	prieskum	偵查	prieskum	N	N;INAN;NOM;MASC;SG
視訊	video	視訊	video	N	N;NOM;NEUT;SG
視訊	videa	視訊	videa	N	N;NOM;NEUT;SG
侄子	synovca	侄子	synovca	N	N;ANIM;ACC;MASC;SG
侄子	synovec	侄子	synovec	N	N;ANIM;NOM;MASC;SG
墳	hrobu	墳	hrob	N	N;INAN;GEN;MASC;SG
墳	hrobe	墳	hrob	N	N;INAN;ESS;MASC;SG
墳	hrob	墳	hrob	N	N;INAN;NOM;MASC;SG
資本	kapitalizmus	資本	kapitalizmus	N	N;INAN;NOM;MASC;SG
奇異	exotické	奇異	exotický	ADJ	ADJ;NOM;NEUT;SG
奇異	jednotnom	奇異	jednotný	ADJ	ADJ;ESS;NEUT;SG
雉	bažant	雉	bažant	N	N;INAN;NOM;MASC;SG
慢性	chronickou	慢性	chronický	N	N;INS;FEM;SG
馬達	motors	馬達	motors	N	N;INAN;NOM;MASC;SG
馬達	motory	馬達	motor	N	N;INAN;NOM;MASC;PL
馬達	motor	馬達	motor	N	N;INAN;NOM;MASC;SG
光榮	sláva	光榮	slávať	N	N;NOM;FEM;SG
光榮	slávu	光榮	sláva	N	N;ACC;FEM;SG
自信	sebavedomie	自信	sebavedomie	N	N;NOM;NEUT;SG
自信	dôvera	自信	dôvera	N	N;NOM;FEM;SG
自信	dôveru	自信	dôvera	N	N;ACC;FEM;SG
邊疆	hranice	邊疆	hranica	N	N;NOM;FEM;PL
邊疆	hranica	邊疆	hranica	N	N;NOM;FEM;SG
枕	vankúš	枕	vankúš	N	N;INAN;NOM;MASC;SG
寺廟	chrámu	寺廟	chrám	N	N;INAN;GEN;MASC;SG
寺廟	chrám	寺廟	chrám	N	N;INAN;NOM;MASC;SG
寺廟	chrámy	寺廟	chrám	N	N;INAN;NOM;MASC;PL
鈾	urán	鈾	urán	N	N;INAN;NOM;MASC;SG
鈾	uránu	鈾	urán	N	N;GEN;MASC;SG
伴侶	partner	伴侶	partner	N	N;ANIM;NOM;MASC;SG
伴侶	partnera	伴侶	partner	N	N;ANIM;ACC;MASC;SG
伴侶	partnerka	伴侶	partnerka	N	N;NOM;FEM;SG
伴侶	spoločník	伴侶	spoločník	N	N;ANIM;NOM;MASC;SG
伴侶	spoločníka	伴侶	spoločník	N	N;ANIM;ACC;MASC;SG
伴侶	spoločníčka	伴侶	spoločníčky	N	N;NOM;FEM;SG
伴侶	spoločník	伴侶	spoločník	N	N;ANIM;NOM;MASC;SG
電荷	poplatok	電荷	poplatok	N	N;INAN;NOM;MASC;SG
廚房	kuchyňa	廚房	kuchyňa	N	N;NOM;FEM;SG
廚房	kuchyni	廚房	kuchyňa	N	N;DAT;FEM;SG
廚房	kuchyne	廚房	kuchyňa	N	N;GEN;FEM;SG
溫柔	tender	溫柔	tender	N	N;INAN;NOM;MASC;SG
紳士	gentleman	紳士	gentleman	N	N;ANIM;NOM;MASC;SG
潮汐	príliv	潮汐	príliv	N	N;INAN;NOM;MASC;SG
潮汐	príliv	潮汐	príliv	N	N;INAN;NOM;MASC;SG
潮汐	prílivu	潮汐	príliva	N	N;INAN;GEN;MASC;SG
潮汐	príliv	潮汐	príliv	N	N;INAN;NOM;MASC;SG
事變	incident	事變	incident	N	N;INAN;NOM;MASC;SG
申訴	sťažností	申訴	sťažnosť	N	N;GEN;FEM;PL
申訴	sťažnosti	申訴	sťažnosť	N	N;NOM;FEM;PL
