per	für	per	für	ADP	ADP
con	mit	con	mit	ADP	ADP
una	eine	uno	ein	DET;INDF;FEM;SG	DET;NOM;INDF;FEM;SG
come	inwiefern	come	inwiefern	ADV	ADV
come	woher	come	woher	ADV	ADV
sono	sind	essere	sein	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
più	mehr	più	mehr	ADV	ADV
anche	überhaupt	anche	überhaupt	ADV	ADV
anche	selbst	anche	selbst	ADV	ADV
anche	sogar	anche	sogar	ADV	ADV
anche	auch	anche	auch	ADV	ADV
anche	ausserdem	anche	ausserdem	ADV	ADV
anche	ebenso	anche	ebenso	ADV	ADV
anche	außerdem	anche	außerdem	ADV	ADV
anche	ebenfalls	anche	ebenfalls	ADV	ADV
anche	auch	anche	auch	ADV	ADV
team	team	team	team	N;MASC	N;NOM;NEUT;SG
due	zwei	due	zwei	NUM	NUM
tra	zwischen	tra	zwischen	ADP	ADP
suo	seinem	suo	sein	DET;MASC;SG	DET;DAT;MASC;SG
suo	seinen	suo	sein	DET;MASC;SG	DET;ACC;MASC;SG
suo	seine	suo	sein	DET;MASC;SG	DET;NOM;FEM;SG
suo	sein	suo	sein	DET;MASC;SG	DET;NOM;MASC;SG
suo	seiner	suo	sein	DET;MASC;SG	DET;NOM;MASC;SG
dopo	danach	dopo	danach	ADV	ADV
dopo	nachher	dopo	nachher	ADV	ADV
dopo	nachher	dopo	nachher	ADV	ADV
prima	zuvor	prima	zuvor	ADV	ADV
prima	davor	prima	davor	ADV	ADV
prima	vorher	prima	vorher	ADV	ADV
prima	zuerst	prima	zuerst	ADV	ADV
italiano	italienischer	italiano	italienisch	ADJ;MASC;SG	ADJ
italiano	italienisch	italiano	italienisch	ADJ;MASC;SG	ADJ
esterni	externen	esterno	extern	ADJ;MASC;PL	ADJ
esterni	außenbereich	esterno	außenbereich	ADJ;MASC;PL	ADJ
esterni	äußere	esterno	äußer	ADJ;MASC;PL	ADJ;NOM;FEM;PL
serie	serie	serie	serie	N;FEM	N;NOM;FEM;SG
serie	serie	serie	serie	N;FEM	N;NOM;FEM;SG
viene	kommt	venire	kommen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
film	folien	film	folien	N;MASC	N;NOM;PL
film	kino	film	kino	N;MASC	N;NOM;NEUT;SG
film	kino	film	kino	N;MASC	N;NOM;NEUT;SG
regia	regie	regia	Regie	N;FEM;SG	N;NOM;FEM;SG
città	städte	città	staden	N;FEM	N;NOM;FEM;PL
solo	alleine	solo	alleine	ADV	ADV
solo	allein	solo	allein	ADV	ADV
solo	lediglich	solo	lediglich	ADV	ADV
solo	nur	solo	nur	ADV	ADV
solo	gerade	solo	gerade	ADV	ADV
solo	eben	solo	eben	ADV	ADV
solo	nur	solo	nur	ADV	ADV
solo	einfach	solo	einfach	ADV	ADV
uno	einen	uno	ein	PRO;MASC;SG	PRO;ACC;INDF;MASC;SG
uno	einer	uno	ein	PRO;MASC;SG	PRO;NOM;INDF;MASC;SG
loro	ihnen	loro	sie	PRO;PL;3	PRO;DAT;PL;3
primo	erster	primo	erst	ADJ;MASC;SG	ADJ;NOM;MASC;SG
nome	name	nome	Name	N;MASC;SG	N;NOM;SG
poi	dann	poi	dann	ADV	ADV
poi	damals	poi	damals	ADV	ADV
poi	danach	poi	danach	ADV	ADV
secondo	zweiter	secondo	zweit	ADJ;MASC;SG	ADJ
dove	wo	dove	wo	ADV	ADV
dove	wohin	dove	wohin	ADV	ADV
quando	wann	quando	wann	ADV	ADV
anno	jahr	anno	Jahr	N;MASC;SG	N;NOM;NEUT;SG
anno	jahres	anno	jahres	N;MASC;SG	N;NOM;NEUT;SG
mentre	während	mentre	während	CONJ	CONJ
tre	drei	tre	drei	NUM	NUM
molto	sehr	molto	sehr	ADV	ADV
molto	äußerst	molto	äußerst	ADV	ADV
molto	viel	molto	viel	ADV	ADV
può	kann	potere	können	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
può	darf	potere	dürfen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
può	kann	potere	können	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
hanno	haben	avere	haben	V;IND;PL;3;PRS;FIN	V;IND;PL;3;FIN
comune	gemeinsamen	comune	gemeinsam	ADJ;SG	ADJ;SG
comune	häufig	comune	häufig	ADJ;SG	ADJ
comune	allgemein	comune	allgemein	ADJ;SG	ADJ
comune	gemeinsames	comune	gemeinsam	ADJ;SG	ADJ;NOM;NEUT;SG
tutti	alle	tutto	alle	PRO;MASC;PL	PRO;NOM;INDF;PL
tutti	alle	tutto	alle	PRO;MASC;PL	PRO;NOM;INDF;PL
tutti	alle	tutto	alle	PRO;MASC;PL	PRO;NOM;INDF;PL
stagione	spielzeit	stagione	spielzeit	N;FEM;SG	N;NOM;SG
stagione	saison	stagione	saison	N;FEM;SG	N;NOM;FEM;SG
gruppo	gruppe	gruppo	grappe	N;MASC;SG	N;NOM;FEM;SG
gruppo	gruppierung	gruppo	gruppierung	N;MASC;SG	N;NOM;FEM;SG
gruppo	unternehmensgruppe	gruppo	unternehmensgruppe	N;MASC;SG	N;NOM;FEM;SG
contro	gegen	contro	gegen	ADP	ADP
abitanti	einwohner	abitante	einwohner	N;PL	N;NOM;MASC;PL
grande	groß	grande	groß	ADJ;SG	ADJ
grande	großer	grande	groß	ADJ;SG	ADJ
grande	groß	grande	groß	ADJ;SG	ADJ
grande	großes	grande	groß	ADJ;SG	ADJ;NOM;NEUT;SG
grande	toll	grande	toll	ADJ;SG	ADJ
grande	großartig	grande	großartig	ADJ;SG	ADJ
grande	groß	grande	groß	ADJ;SG	ADJ
guerra	krieg	guerra	kriegen	N;FEM;SG	N
guerra	kriegsführung	guerra	kriegsführung	N;FEM;SG	N;NOM;FEM;SG
guerra	krieg	guerra	kriegen	N;FEM;SG	N
sempre	stets	sempre	stets	ADV	ADV
sempre	immer	sempre	immer	ADV	ADV
fatto	hergestellt	fare	herstellen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	machte	fare	machen	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
fatto	gemacht	fare	machen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	geschafft	fare	schaffen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	erledigt	fare	erledigen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	getan	fare	tun	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	gemacht	fare	machen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
fatto	geschafft	fare	schaffen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
storia	erzählung	storia	erzählung	N;FEM;SG	N;FEM;SG
fine	ende	fine	ende	N;FEM;SG	N;ACC;NEUT;SG
album	alben	album	albe	N;MASC	N;NOM;PL
album	albums	album	albums	N;MASC	N;NOM;SG
già	schon	già	schon	ADV	ADV
già	bereits	già	bereits	ADV	ADV
alcuni	einige	alcuno	einige	PRO;MASC;PL	PRO;NOM;INDF;PL
alcuni	manche	alcuno	manch	PRO;MASC;PL	PRO;NOM;INDF;PL
alcuni	einigen	alcuno	einige	PRO;MASC;PL	PRO;ACC;INDF;PL
ancora	wieder	ancora	wieder	ADV	ADV
ancora	noch	ancora	noch	ADV	ADV
ancora	trotzdem	ancora	trotzdem	ADV	ADV
senza	ohne	senza	ohne	ADP	ADP
francese	französisch	francese	französisch	ADJ;SG	ADJ
francese	franzosen	francese	franzosen	ADJ;SG	ADJ
seconda	zweiter	secondo	zweit	ADJ;FEM;SG	ADJ
finale	endgültig	finale	endgültig	ADJ;SG	ADJ
finale	endgültigen	finale	endgültig	ADJ;SG	ADJ
finale	letzte	finale	letzt	ADJ;SG	ADJ;NOM;FEM;SG
vita	taille	vita	taille	N;FEM;SG	N;NOM;SG
shift	verschiebung	shift	verschiebung	N	N;SG
campionato	meisterschaft	campionato	meisterschaft	N;MASC;SG	N;NOM;FEM;SG
mondo	welt	mondo	welt	N;MASC;SG	N;NOM;FEM;SG
tutto	alles	tutto	alle	PRO;MASC;SG	PRO;NOM;INDF;NEUT;SG
tutto	allem	tutto	alle	PRO;MASC;SG	PRO;DAT;INDF;NEUT;SG
tutto	alles	tutto	alle	PRO;MASC;SG	PRO;NOM;INDF;NEUT;SG
nazionale	nationaler	nazionale	national	ADJ;SG	ADJ
nazionale	nationalen	nazionale	national	ADJ;SG	ADJ;NOM
nazionale	national	nazionale	national	ADJ;SG	ADJ
italiana	italienischer	italiano	italienisch	ADJ;FEM;SG	ADJ
italiana	italienisch	italiano	italienisch	ADJ;FEM;SG	ADJ
circa	etwa	circa	etwa	ADV	ADV
sotto	unterhalb	sotto	unterhalb	ADP	ADP
sotto	unter	sotto	unter	ADP	ADP
famiglia	familie	famiglia	familie	N;FEM;SG	N;NOM;FEM;SG
oltre	vorbei	oltre	vorbei	ADV	ADV
oltre	hinaus	oltre	hinaus	ADV	ADV
oltre	jenseits	oltre	jenseits	ADV	ADV
inoltre	ausserdem	inoltre	ausserdem	ADV	ADV
inoltre	ebenso	inoltre	ebenso	ADV	ADV
inoltre	außerdem	inoltre	außerdem	ADV	ADV
inoltre	ebenfalls	inoltre	ebenfalls	ADV	ADV
inoltre	auch	inoltre	auch	ADV	ADV
numero	anzahl	numero	anzahl	N;MASC;SG	N;SG
numero	zahl	numero	zahl	N;MASC;SG	N;NOM;FEM;SG
via	weg	via	weg	ADV	ADV
posto	ort	posto	ort	N;MASC;SG	N;NOM;MASC;SG
ruolo	rolle	ruolo	roll	N;MASC;SG	N;NOM;FEM;SG
nuovo	neuer	nuovo	neu	ADJ;MASC;SG	ADJ
nuovo	neu	nuovo	neu	ADJ;MASC;SG	ADJ
nuovo	neuen	nuovo	neu	ADJ;MASC;SG	ADJ;ACC;MASC;SG
nuovo	neues	nuovo	neu	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
perché	weswegen	perché	weswegen	ADV	ADV
perché	wieso	perché	wieso	ADV	ADV
perché	warum	perché	warum	ADV	ADV
perché	wozu	perché	wozu	ADV	ADV
casa	haus	casa	haus	N;FEM;SG	N;NOM;NEUT;SG
casa	haus	casa	haus	N;FEM;SG	N;NOM;NEUT;SG
casa	heimat	casa	heimat	N;FEM;SG	N;FEM;SG
generale	allgemeines	generale	allgemein	ADJ;SG	ADJ;NOM;NEUT;SG
generale	allgemein	generale	allgemein	ADJ;SG	ADJ
generale	allgemeinen	generale	allgemein	ADJ;SG	ADJ
squadra	kader	squadra	kader	N;FEM;SG	N;NOM;MASC;SG
squadra	einheit	squadra	einheit	N;FEM;SG	N;NOM;FEM;SG
squadra	team	squadra	team	N;FEM;SG	N;NOM;NEUT;SG
politico	politikerin	politico	politikerin	ADJ;MASC;SG	ADJ;NOM;FEM;SG
politico	politiker	politico	politik	ADJ;MASC;SG	ADJ
politico	politisch	politico	politisch	ADJ;MASC;SG	ADJ
politico	politisches	politico	politisch	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
politico	politischer	politico	politisch	ADJ;MASC;SG	ADJ
opera	oper	opera	oper	N;FEM;SG	N;NOM;FEM;SG
fra	zwischen	fra	zwischen	ADP	ADP
pagina	seite	pagina	seit	N;FEM;SG	N
periodo	periode	periodo	periode	N;MASC;SG	N;SG
grazie	dankes	grazie	dankes	N	N;NOM;NEUT;SG
insieme	zusammen	insieme	zusammen	ADV	ADV
lui	er	lui	er	PRO;MASC;SG;3	PRO;NOM;MASC;SG;3
lui	ihn	lui	er	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
lui	ihm	lui	er	PRO;MASC;SG;3	PRO;DAT;MASC;SG;3
invece	anstelle	invece	anstelle	ADV	ADV
invece	stattdessen	invece	stattdessen	ADV	ADV
morte	todesstrafe	morte	todesstraf	N;FEM;SG	N;NOM;FEM;SG
nuova	neuer	nuovo	neu	ADJ;FEM;SG	ADJ
nuova	neu	nuovo	neu	ADJ;FEM;SG	ADJ
nuova	neuen	nuovo	neu	ADJ;FEM;SG	ADJ;ACC;MASC;SG
nuova	neues	nuovo	neu	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
quattro	vier	quattro	vier	NUM	NUM
interno	inneneinrichtung	interno	inneneinrichtung	ADJ;MASC;SG	ADJ
interno	innenausstattung	interno	innenausstattung	ADJ;MASC;SG	ADJ
interno	innenraum	interno	innenraum	ADJ;MASC;SG	ADJ
interno	inneren	interno	inner	ADJ;MASC;SG	ADJ
interno	interner	interno	intern	ADJ;MASC;SG	ADJ
interno	intern	interno	intern	ADJ;MASC;SG	ADJ
interno	inneres	interno	inner	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
interno	innerer	interno	inner	ADJ;MASC;SG	ADJ
interno	inneren	interno	inner	ADJ;MASC;SG	ADJ
edizione	ausgabe	edizione	ausgeben	N;FEM;SG	N;NOM;FEM;SG
qui	hierher	qui	hierher	ADV	ADV
qui	hier	qui	hier	ADV	ADV
diretto	direkten	diretto	direkt	ADJ;MASC;SG	ADJ
diretto	direkt	diretto	direkt	ADJ;MASC;SG	ADJ
diretto	direkter	diretto	direkt	ADJ;MASC;SG	ADJ
diretto	direktes	diretto	direkt	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
ultimo	letzte	ultimo	letzt	ADJ;MASC;SG	ADJ;NOM;FEM;SG
ultimo	letzter	ultimo	letzt	ADJ;MASC;SG	ADJ;NOM;MASC;SG
ultimo	letztes	ultimo	letzt	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
versione	version	versione	version	N;FEM;SG	N;NOM;FEM;SG
coppa	pokal	coppa	pokal	N;FEM;SG	N;NOM;MASC;SG
forma	form	forma	form	N;FEM;SG	N;SG
forma	form	forma	form	N;FEM;SG	N;SG
oggi	heute	oggi	heute	ADV	ADV
trova	findet	trovare	finden	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
trova	finden	trovare	finden	V;IND;SG;3;PRS;FIN	V;NFIN
trova	suchen	trovare	suchen	V;IND;SG;3;PRS;FIN	V;NFIN
trova	findet	trovare	finden	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
trova	finden	trovare	finden	V;IND;SG;3;PRS;FIN	V;NFIN
tuttavia	allerdings	tuttavia	allerdings	ADV	ADV
tuttavia	jedoch	tuttavia	jedoch	ADV	ADV
tuttavia	dennoch	tuttavia	dennoch	ADV	ADV
tuttavia	allerdings	tuttavia	allerdings	ADV	ADV
tuttavia	jedoch	tuttavia	jedoch	ADV	ADV
figlio	sohn	figlio	sohnen	N;MASC;SG	N;NOM;MASC;SG
corso	lehrgang	corso	lehrgang	N;MASC;SG	N
sistema	system	sistema	system	N;MASC;SG	N;NOM;NEUT;SG
società	firma	società	firma	N;FEM	N;NOM;FEM;SG
società	unternehmen	società	unternehmen	N;FEM	N;NOM;NEUT;PL
club	club	club	club	N;MASC	N;NOM
club	klub	club	klub	N;MASC	N;NOM;MASC;SG
sud	süd	sud	süd	N;MASC;SG	N;NOM;NEUT;SG
sud	süd	sud	süd	N;MASC;SG	N;NOM;NEUT;SG
discussione	diskussion	discussione	diskussion	N;FEM;SG	N
discussione	diskussion	discussione	diskussion	N;FEM;SG	N
padre	vater	padre	vater	N;MASC;SG	N;NOM;MASC;SG
linea	linie	linea	linie	N;FEM;SG	N
linea	strecke	linea	strecken	N;FEM;SG	N;SG
pubblicato	veröffentlichte	pubblicare	veröffentlichen	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
pubblicato	gepostet	pubblicare	posten	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	geschrieben	pubblicare	schreiben	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	veröffentlicht	pubblicare	veröffentlichen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	gesendet	pubblicare	senden	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	publiziert	pubblicare	publizieren	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	veröffentlichte	pubblicare	veröffentlichen	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
pubblicato	erschienen	pubblicare	erscheinen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
pubblicato	veröffentlicht	pubblicare	veröffentlichen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
primi	erste	primo	erst	ADJ;MASC;PL	ADJ;NOM;FEM;PL
primi	ersten	primo	erst	ADJ;MASC;PL	ADJ;NOM;PL
possono	können	potere	können	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
mai	niemals	mai	niemals	ADV	ADV
mai	nie	mai	nie	ADV	ADV
sito	website	sito	websit	N;MASC;SG	N;SG
sito	seite	sito	seit	N;MASC;SG	N
lungo	lang	lungo	lang	ADJ;MASC;SG	ADJ
lungo	langen	lungo	lang	ADJ;MASC;SG	ADJ
lungo	langer	lungo	lang	ADJ;MASC;SG	ADJ
uso	verwendung	uso	verwendung	N;MASC;SG	N;SG
uso	nutzung	uso	nutzung	N;MASC;SG	N;NOM;FEM;SG
uso	einsatz	uso	einsatz	N;MASC;SG	N
uso	benutzung	uso	Benutzung	N;MASC;SG	N;FEM;SG
uso	verwendung	uso	verwendung	N;MASC;SG	N;SG
uso	nutzung	uso	nutzung	N;MASC;SG	N;NOM;FEM;SG
tedesco	deutschen	tedesco	deutsch	ADJ;MASC;SG	ADJ
tedesco	deutscher	tedesco	deutsch	ADJ;MASC;SG	ADJ
tedesco	deutsch	tedesco	deutsch	ADJ;MASC;SG	ADJ
uniti	vereinigten	unito	vereinigen	ADJ;MASC;PL	ADJ;PL
lavoro	werk	lavoro	werk	N;MASC;SG	N;NOM;NEUT;SG
lavoro	arbeit	lavoro	arbeit	N;MASC;SG	N;NOM;FEM;SG
giorno	tag	giorno	tagen	N;MASC;SG	N;NOM;MASC;SG
giorno	tages	giorno	tagen	N;MASC;SG	N;NOM;MASC;SG
principale	wichtigste	principale	wichtig	ADJ;SG	ADJ;NOM;FEM;SG
termine	begriff	termine	begreifen	N;MASC;SG	N;MASC;SG
spesso	oft	spesso	oft	ADV	ADV
spesso	oft	spesso	oft	ADV	ADV
spesso	oftmals	spesso	oftmals	ADV	ADV
specie	arten	specie	arten	N;FEM	N;PL
persone	personen	persona	Person	N;FEM;PL	N;NOM;FEM;PL
persone	leute	persona	leute	N;FEM;PL	N;NOM;PL
persone	menschen	persona	menschen	N;FEM;PL	N;NOM;PL
persone	personen	persona	Person	N;FEM;PL	N;NOM;FEM;PL
pagine	seite	pagina	seit	N;FEM;PL	N
inizio	anfang	inizio	anfang	N;MASC;SG	N;ACC;MASC;SG
inizio	anfang	inizio	anfang	N;MASC;SG	N;ACC;MASC;SG
episodio	folge	episodio	folge	N;MASC;SG	N;NOM;FEM;SG
cosa	welche	cosa	welch	PRO;SG	PRO;NOM;SG
cosa	was	cosa	was	PRO;SG	PRO;NOM;NEUT;SG
cosa	welchen	cosa	welch	PRO;SG	PRO;NOM;SG
militare	militär	militare	militär	ADJ;SG	ADJ
militare	militärisch	militare	militärisch	ADJ;SG	ADJ
militare	militärischen	militare	militärisch	ADJ;SG	ADJ;ACC;SG
uomo	mensch	uomo	mensch	N;MASC;SG	N;SG
comunque	jedenfalls	comunque	jedenfalls	ADV	ADV
comunque	egal	comunque	egal	ADV	ADV
comunque	trotzdem	comunque	trotzdem	ADV	ADV
comunque	ohnehin	comunque	ohnehin	ADV	ADV
comunque	sowieso	comunque	sowieso	ADV	ADV
meno	weniger	meno	weniger	ADV	ADV
meno	weniger	meno	weniger	ADV	ADV
giorni	tage	giorno	tagen	N;MASC;PL	N;NOM;MASC;PL
scritto	geschrieben	scrivere	schreiben	V;MASC;SG;PST;V.PTCP	V;V.PTCP
scritto	geschrieben	scrivere	schreiben	V;MASC;SG;PST;V.PTCP	V;V.PTCP
scritto	schrieb	scrivere	schreiben	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
ora	nun	ora	nun	ADV	ADV
ora	jetzt	ora	jetzt	ADV	ADV
quasi	beinahe	quasi	beinahe	ADV	ADV
quasi	nahezu	quasi	nahezu	ADV	ADV
quasi	fast	quasi	fast	ADV	ADV
quasi	quasi	quasi	quasi	ADV	ADV
quasi	beinahe	quasi	beinahe	ADV	ADV
quasi	nahezu	quasi	nahezu	ADV	ADV
quasi	fast	quasi	fast	ADV	ADV
data	angaben	dare	angeben	V;FEM;SG;PST;V.PTCP	V;NFIN
presente	anwesend	presente	anwesend	ADJ;SG	ADJ
presente	vorhanden	presente	vorhanden	ADJ;SG	ADJ
presente	geschenk	presente	geschenk	ADJ;SG	ADJ
soprattutto	besonders	soprattutto	besonders	ADV	ADV
soprattutto	vorallem	soprattutto	vorallem	ADV	ADV
soprattutto	insbesondere	soprattutto	insbesondere	ADV	ADV
soprattutto	meistens	soprattutto	meistens	ADV	ADV
soprattutto	meist	soprattutto	meist	ADV	ADV
soprattutto	größtenteils	soprattutto	größtenteils	ADV	ADV
allora	dann	allora	dann	ADV	ADV
allora	damals	allora	damals	ADV	ADV
allora	danach	allora	danach	ADV	ADV
opere	bauleistungen	opera	bauleistung	N;FEM;PL	N;NOM;FEM;PL
opere	werke	opera	werk	N;FEM;PL	N;NOM;NEUT;PL
ordine	ordnung	ordine	ordnung	N;MASC;SG	N
ordine	auftrag	ordine	auftragen	N;MASC;SG	N;MASC;SG
ordine	bestellung	ordine	bestellung	N;MASC;SG	N;NOM;FEM;SG
categoria	kategorie	categoria	kategorie	N;FEM;SG	N;NOM;FEM;SG
epoca	epoche	epoca	epoch	N;FEM;SG	N;SG
produzione	fertigung	produzione	Fertigung	N;FEM;SG	N;NOM;FEM;SG
produzione	herstellung	produzione	herstellung	N;FEM;SG	N;NOM;FEM;SG
produzione	erzeugung	produzione	erzeugung	N;FEM;SG	N;SG
file	akten	fila	akt	N;MASC	N
file	akten	fila	akt	N;MASC	N
ultima	letzte	ultimo	letzt	ADJ;FEM;SG	ADJ;NOM;FEM;SG
ultima	letzter	ultimo	letzt	ADJ;FEM;SG	ADJ;NOM;MASC;SG
ultima	letztes	ultimo	letzt	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
cura	betreuung	cura	betreuung	N;FEM;SG	N;SG
lingua	sprache	lingua	sprechen	N;FEM;SG	N;NOM;FEM;SG
zona	fläche	zona	fläche	N;FEM;SG	N;NOM;FEM;SG
battaglia	kampf	battaglia	kampfen	N;FEM;SG	N;SG
battaglia	schlacht	battaglia	schlacht	N;FEM;SG	N;NOM;FEM;SG
premio	auszeichnung	premio	auszeichnung	N;MASC;SG	N;NOM;FEM;SG
studio	studium	studio	studium	N;MASC;SG	N;NOM;NEUT;SG
studio	studie	studio	studie	N;MASC;SG	N;NOM;FEM;SG
singolo	einzelzimmer	singolo	einzelzimmer	ADJ;MASC;SG	ADJ
diverse	verschieden	diverso	verschieden	ADJ;FEM;PL	ADJ
diverse	verschiedenen	diverso	verschieden	ADJ;FEM;PL	ADJ;NOM;PL
diverse	unterschiedliche	diverso	unterschiedlich	ADJ;FEM;PL	ADJ;NOM;FEM;PL
diverse	unterschiedlich	diverso	unterschiedlich	ADJ;FEM;PL	ADJ
diverse	verschiedene	diverso	verschieden	ADJ;FEM;PL	ADJ;NOM;FEM;PL
arte	kunst	arte	kunst	N;FEM;SG	N;NOM;FEM;SG
storico	historisches	storico	historisch	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
storico	altstadt	storico	altstadt	ADJ;MASC;SG	ADJ
