par	대략	par	대략		
gada	매년	gads	매년	N;GEN;MASC;SG	N
bet	그런데	bet	그런데	CONJ	CONJ
bet	그러나	bet	그러나	CONJ	CONJ
bet	하지만	bet	하지만	CONJ	CONJ
valsts	나라	valsts	나라	N;NOM;FEM;SG	N
valsts	국가	valsts	국가	N;NOM;FEM;SG	N
valsts	상태	valsts	상태	N;NOM;FEM;SG	N
valsts	국가	valsts	국가	N;NOM;FEM;SG	N
tās	그들이	tā	그+들+이	PRO;NOM;FEM;PL	PRO
tās	그들은	tā	그+들+은	PRO;NOM;FEM;PL	PRO
viņa	그의	viņa	그+의	PRO;NOM;FEM;SG;3	PRO
viņa	그녀는	viņa	그녀+는	PRO;NOM;FEM;SG;3	PRO
pilsētas	도시	pilsēta	도시	N;NOM;FEM;PL	N
pilsētas	도시	pilsēta	도시	N;NOM;FEM;PL	N
kur	어디서	kur	어디+서	ADV	ADV
kur	어디에	kur	어디+에	ADV	ADV
kur	어디로	kur	어디+로	ADV	ADV
vieta	장소	vieta	장소	N;NOM;FEM;SG	N
vieta	공연장	vieta	공연장	N;NOM;FEM;SG	N
vieta	장소	vieta	장소	N;NOM;FEM;SG	N
kara	전쟁	karš	전쟁	N;NOM;MASC;SG	N
iela	거리가	iela	거리+가	N;NOM;FEM;SG	N
iela	거리	iela	거리	N;NOM;FEM;SG	N
jau	이미	jau	이미	ADV	ADV
jau	벌써	jau	벌써	ADV	ADV
novada	퇴원	novads	퇴원	N;NOM;MASC;SG	N
kopā	함께	kopā	함께	ADV	ADV
kopā	같이	kopā	같이	ADV	ADV
attēls	사진	attēls	사진	N;NOM;MASC;SG	N
attēls	그림	attēls	그림	N;NOM;MASC;SG	N
attēls	그림	attēls	그림	N;NOM;MASC;SG	N
attēls	그림	attēls	그림	N;NOM;MASC;SG	N
pilsēta	시내	pilsēta	시내	N;NOM;FEM;SG	N
pilsēta	도시	pilsēta	도시	N;NOM;FEM;SG	N
pilsēta	마을	pilsēta	마을	N;NOM;FEM;SG	N
pilsēta	도시	pilsēta	도시	N;NOM;FEM;SG	N
vēlāk	나중에	vēlu	나중+에	ADV;CMPR	ADV
taču	그런데	taču	그런데	CONJ	CONJ
taču	그러나	taču	그러나	CONJ	CONJ
taču	하지만	taču	하지만	CONJ	CONJ
tomēr	그러나	tomēr	그러나	CONJ	CONJ
ļoti	아주	ļoti	아주	ADV	ADV
ļoti	매우	ļoti	매우	ADV	ADV
vācu	독일인	vāci	독일인	N;NOM;MASC;SG	N
vēl	아직도	vēl	아직도	ADV	ADV
vēl	여전히	vēl	여전+히	ADV	ADV
vēl	아직	vēl	아직	ADV	ADV
daļa	부분	daļa	부분	N;NOM;FEM;SG	N
daļa	부품	daļa	부품	N;NOM;FEM;SG	N
daļa	공유	daļa	공유	N;NOM;FEM;SG	N
tie	그들이	tas	그+들+이	PRO;NOM;MASC;PL	PRO
tie	그들은	tas	그+들+은	PRO;NOM;MASC;PL	PRO
zemes	지구	zeme	지구	N;NOM;FEM;PL	N
šaha	체스	šahs	체스	N;NOM;MASC;SG	N
centrs	중앙	centrs	중앙	N;NOM;MASC;SG	N
centrs	중심	centrs	중심	N;NOM;MASC;SG	N
centrs	중앙	centrs	중앙	N;NOM;MASC;SG	N
viņu	그들의	viņš	그+들+의	PRO;ACC;MASC;SG;3	PRO
viņu	그를	viņš	그+를	PRO;ACC;MASC;SG;3	PRO
parasti	일반적으로	parasti	일반+적+으로	ADV	ADV
parasti	일반적으로	parasti	일반+적+으로	ADV	ADV
parasti	일반적으로	parasti	일반+적+으로	ADV	ADV
jūras	해병대	jūra	해병대	N;NOM;FEM;SG	N
spēles	게임	spēle	게임	N;NOM;FEM;PL	N
nosaukums	이름	nosaukums	이름	N;NOM;MASC;SG	N
sezonas	계절	sezona	계절	N;NOM;FEM;PL	N
sezonas	계절	sezona	계절	N;NOM;FEM;PL	N
sezonas	계절	sezona	계절	N;NOM;FEM;PL	N
grupas	집단	grupa	집단	N;NOM;FEM;PL	N
laika	날씨	laiks	날씨	N;GEN;MASC;SG	N
laika	시간	laiks	시간	N;GEN;MASC;SG	N
centra	중앙	centrs	중앙	N;GEN;MASC;SG	N
padomju	보드	padome	보드	N;GEN;FEM;PL	N
krievu	러시아인	krievs	러시아인	N;ACC;MASC;SG	N
profils	프로필	profils	프로필	N;NOM;MASC;SG	N
tautas	인기	tauta	인기	N;NOM;FEM;PL	N
tautas	인기가	tauta	인기+가	N;NOM;FEM;PL	N
tautas	민속	tauta	민속	N;NOM;FEM;PL	N
tautas	민족	tauta	민족	N;NOM;FEM;PL	N
garums	경도	garums	경도	N;NOM;MASC;SG	N
daudz	많이	daudz	많이	ADV	ADV
daudz	많이	daudz	많이	ADV	ADV
daudz	훨씬	daudz	훨씬	ADV	ADV
komandas	명령	komanda	명령	N;NOM;FEM;PL	N
komandas	명령어	komanda	명령+어	N;NOM;FEM;PL	N
pils	궁전	pils	궁전	N;NOM;FEM;SG	N
vietas	음식점	vieta	음식점	N;NOM;FEM;PL	N
vietas	장소	vieta	장소	N;NOM;FEM;PL	N
valodas	언어	valoda	언어	N;NOM;FEM;PL	N
sezonā	계절	sezona	계절	N;ESS;FEM;SG	N
grupa	집단	grupa	집단	N;NOM;FEM;SG	N
ūdens	물이	ūdens	물+이	N;NOM;MASC;SG	N
tiesības	오른쪽	tiesības	오른쪽	N;NOM;FEM	N
tiesības	권리	tiesības	권리	N;NOM;FEM	N
valoda	언어	valoda	언어	N;NOM;FEM;SG	N
tāpat	마찬가지로	tāpat	마찬가지+로	ADV	ADV
sugas	종족	suga	종족	N;NOM;FEM;PL	N
pasaulē	세상	pasaule	세상	N;ESS;FEM;SG	N
pasaulē	세계	pasaule	세계	N;ESS;FEM;SG	N
ciems	마을	ciems	마을	N;NOM;MASC;SG	N
skaits	숫자	skaits	숫자	N;NOM;MASC;SG	N
skaits	번호	skaits	번호	N;NOM;MASC;SG	N
ziemeļu	북부	ziemelis	북부	N;GEN;MASC;PL	N
ziemeļu	북쪽	ziemelis	북+쪽	N;GEN;MASC;PL	N
ziemeļu	북부	ziemelis	북부	N;GEN;MASC;PL	N
suga	종족	suga	종족	N;NOM;FEM;SG	N
aptuveni	대충	aptuveni	대충	ADV	ADV
mūzikas	뮤지컬	mūzika	껍지+ㄴ	N;NOM;FEM;PL	N
komanda	명령	komanda	명령	N;NOM;FEM;SG	N
komanda	명령어	komanda	명령+어	N;NOM;FEM;SG	N
komanda	사령부	komanda	사령부	N;NOM;FEM;SG	N
izlases	무작위	izlase	무작위	N;NOM;FEM;PL	N
izlases	랜덤	izlase	랜덤	N;NOM;FEM;PL	N
martā	행진	marts	행진	N;ESS;MASC;SG	N
amerikāņu	미국인	amerikānis	미국인	N;GEN;MASC;PL	N
dienas	일상	diena	일상	N;NOM;FEM;PL	N
armijas	육군	armija	육군	N;NOM;FEM;PL	N
armijas	군대	armija	군대	N;NOM;FEM;PL	N
cilvēku	인간	cilvēks	인간	N;ACC;MASC;SG	N
cilvēku	인체	cilvēks	인체	N;ACC;MASC;SG	N
sākās	시작되었습니다	sākties	시작+되+었+습니다	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V
sākās	시작했습니다	sākties	시작+하+었+습니다	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V
sākās	시작됨	sākties	시작+되+ㄴ	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V
līgas	동맹	līga	동맹	N;NOM;FEM;PL	N
līgas	리그	līga	리그	N;NOM;FEM;PL	N
ezers	호수	ezers	호수	N;NOM;MASC;SG	N
dzelzceļa	레일	dzelzceļš	레일	N;GEN;MASC;SG	N
daļas	부품	daļa	부품	N;NOM;FEM;PL	N
daļas	부분	daļa	부분	N;NOM;FEM;PL	N
izmanto	사용함	izmantot	사용+하+ㅁ	V;IMP;SG;2;POS;FIN;ACT	V
izmanto	사용됨	izmantot	사용+되+ㄴ	V;IMP;SG;2;POS;FIN;ACT	V
austrumu	동부	austrumi	동부	N;GEN;MASC	N
austrumu	동부	austrumi	동부	N;GEN;MASC	N
kultūras	농작물이	kultūra	농작물+이	N;NOM;FEM;PL	N
kultūras	농작물	kultūra	농작물	N;NOM;FEM;PL	N
kultūras	곡물	kultūra	곡물	N;NOM;FEM;PL	N
kultūras	문화	kultūra	문화	N;NOM;FEM;PL	N
rietumu	서양	rietumi	서양	N;ACC;MASC;SG	N
dzimums	성별	dzimums	성별	N;NOM;MASC;SG	N
dzimums	성교	dzimums	성교	N;NOM;MASC;SG	N
dzimums	섹스	dzimums	섹스	N;NOM;MASC;SG	N
dzimums	성관계	dzimums	성관계	N;NOM;MASC;SG	N
dzimums	성별	dzimums	성별	N;NOM;MASC;SG	N
baznīcas	교회	baznīca	교회	N;NOM;FEM;PL	N
baznīcas	교회	baznīca	교회	N;NOM;FEM;PL	N
auto	자동차	auto	자동차	N	N
auto	차량	auto	차량	N	N
auto	트럭	auto	트럭	N	N
auto	자동	auto	자동	N	N
baznīca	교회	baznīca	교회	N;NOM;FEM;SG	N
sporta	스포츠	sports	스포츠	N;GEN;MASC;SG	N
sporta	스포츠	sports	스포츠	N;GEN;MASC;SG	N
franču	프랑스인	francis	프랑스인	N;GEN;MASC;PL	N
