von	de	von	de	ADP	ADP
das	esta	der	este	PRO;NOM;NEUT;SG	PRO;FEM;SG
das	isso	der	isso	PRO;NOM;NEUT;SG	PRO;MASC;SG
das	isto	der	isto	PRO;NOM;NEUT;SG	PRO;MASC;SG
das	essa	der	esse	PRO;NOM;NEUT;SG	PRO;FEM;SG
das	essa	der	esse	PRO;NOM;NEUT;SG	PRO;FEM;SG
das	isso	der	isso	PRO;NOM;NEUT;SG	PRO;MASC;SG
mit	com	mit	com	ADP	ADP
für	por	für	por	ADP	ADP
für	para	für	para	ADP	ADP
auch	igualmente	auch	igualmente	ADV	ADV
auch	também	auch	também	ADV	ADV
auch	também	auch	também	ADV	ADV
auch	demais	auch	demais	ADV	ADV
nach	após	nach	após	ADP	ADP
aus	de	aus	de	ADP	ADP
sie	você	sie	você	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
sie	vc	sie	vc	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;SG;3
sie	ela	sie	ela	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
sind	são	sein	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sind	estão	sein	estar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
über	sobre	über	sobre	ADP	ADP
aber	mas	aber	mas	CONJ	CONJ
nur	só	nur	só	ADV	ADV
nur	apenas	nur	apenas	ADV	ADV
nur	somente	nur	somente	ADV	ADV
nur	unicamente	nur	unicamente	ADV	ADV
nur	só	nur	só	ADV	ADV
nur	apenas	nur	apenas	ADV	ADV
noch	ainda	noch	ainda	ADV	ADV
unter	sob	unter	sob	ADP	ADP
hat	tem	haben	ter	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
wurden	foram	werden	ser	V;IND;PL;3;PST;FIN;PASS	V;IND;PL;3;PST;FIN
sein	seu	sein	seu	DET;NOM;MASC;SG	DET;MASC;SG
sein	sua	sein	seu	DET;NOM;MASC;SG	DET;FEM;SG
diese	esta	dies	este	PRO;NOM;FEM;SG	PRO;FEM;SG
diese	isso	dies	isso	PRO;NOM;FEM;SG	PRO;MASC;SG
diese	isto	dies	isto	PRO;NOM;FEM;SG	PRO;MASC;SG
diese	essa	dies	esse	PRO;NOM;FEM;SG	PRO;FEM;SG
hier	aqui	hier	aqui	ADV	ADV
diskussion	discussões	diskussion	discussão	N	N;FEM;PL
diskussion	discussão	diskussion	discussão	N	N;FEM;SG
diskussion	discussões	diskussion	discussão	N	N;FEM;PL
diskussion	debate	diskussion	debate	N	N;MASC;SG
seine	seu	sein	seu	DET;NOM;FEM;SG	DET;MASC;SG
seine	sua	sein	seu	DET;NOM;FEM;SG	DET;FEM;SG
seine	seu	sein	seu	DET;NOM;FEM;SG	DET;MASC;SG
seine	sua	sein	seu	DET;NOM;FEM;SG	DET;FEM;SG
seit	desde	seit	desde	ADP	ADP
dieser	esta	dies	este	PRO;NOM;MASC;SG	PRO;FEM;SG
dieser	isso	dies	isso	PRO;NOM;MASC;SG	PRO;MASC;SG
dieser	isto	dies	isto	PRO;NOM;MASC;SG	PRO;MASC;SG
dieser	essa	dies	esse	PRO;NOM;MASC;SG	PRO;FEM;SG
jahr	ano	Jahr	ano	N;NOM;NEUT;SG	N;MASC;SG
dann	então	dann	então	ADV	ADV
dann	depois	dann	depois	ADV	ADV
zwei	duas	zwei	dois	NUM	NUM
zwei	dois	zwei	dois	NUM	NUM
seiner	seu	sein	seu	DET;NOM;MASC;SG	DET;MASC;SG
seiner	sua	sein	seu	DET;NOM;MASC;SG	DET;FEM;SG
seiner	seu	sein	seu	DET;NOM;MASC;SG	DET;MASC;SG
seiner	sua	sein	seu	DET;NOM;MASC;SG	DET;FEM;SG
hatte	teve	haben	ter	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
zwischen	entre	zwischen	entre	ADP	ADP
team	team	team	team	N;NOM;NEUT;SG	N;MASC;SG
team	equipa	team	equipa	N;NOM;NEUT;SG	N;FEM;SG
team	time	team	time	N;NOM;NEUT;SG	N;MASC;SG
team	equipe	team	equipe	N;NOM;NEUT;SG	N;FEM;SG
mehr	mais	mehr	mais	ADV	ADV
gegen	contra	gegen	contra	ADP	ADP
gegen	contra	gegen	contra	ADP	ADP
waren	foram	sein	ser	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN
wieder	novamente	wieder	novamente	ADV	ADV
schon	já	schon	já	ADV	ADV
haben	ter	haben	ter	V;IND;PL;3;FIN	V;NFIN
gibt	admite	geben	admitir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gibt	devolve	geben	devolver	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gibt	retorna	geben	retornar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
