bedeuten	antyde	bedeuten	antyde	V;NFIN	V;NFIN;ACT
marken	mærke	marken	mærke	V;NFIN	V;NFIN;ACT
marken	marcherer	marken	marchere	V;NFIN	V;IND;PRS;FIN;ACT
studieren	studere	studieren	studere	V;NFIN	V;NFIN;ACT
studieren	studerer	studieren	studere	V;NFIN	V;IND;PRS;FIN;ACT
überführt	dømt	überführen	dømme	V;V.PTCP	V;INDF;SG;PST;V.PTCP
überführt	dømte	überführen	dømme	V;V.PTCP	V;PL;PST;V.PTCP
annähernd	omtrentlige	annähernd	omtrentlig	ADJ	ADJ;PL
annähernd	omtrentlig	annähernd	omtrentlig	ADJ	ADJ;INDF;MASC+FEM;SG
vierter	fjerde	viert	fjerde	ADJ	ADJ
kleidung	beklædning	kleidung	beklædning	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	kjole	kleidung	kjole	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	dress	kleidung	dress	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	påklædning	kleidung	påklædning	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	påklædning	kleidung	påklædning	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	beklædning	kleidung	beklædning	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	tøj	kleidung	tøj	N;NOM;FEM;SG	N;INDF;NEUT;SG
kleidung	påklædning	kleidung	påklædning	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kleidung	tøjet	kleidung	tøj	N;NOM;FEM;SG	N;DEF;NEUT;SG
kleidung	tøj	kleidung	tøj	N;NOM;FEM;SG	N;INDF;NEUT;SG
unterhält	bibeholder	unterhalten	bibeholde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
unterhält	fastholder	unterhalten	fastholde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
unterhält	opretholder	unterhalten	opretholde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
atmosphäre	omgivende	atmosphäre	omgive	ADJ;NOM;SG	ADJ
bestattet	begravet	bestatten	begrave	V;V.PTCP	V;INDF;SG;PST;V.PTCP
bestattet	begravede	bestatten	begrave	V;V.PTCP	V;PST;V.PTCP
geprüft	efterprøvet	prüfen	efterprøv	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	kontrolleret	prüfen	kontrollere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	verificerede	prüfen	verificere	V;V.PTCP	V;PL;PST;V.PTCP
geprüft	bekræftet	prüfen	bekræfte	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	verificeret	prüfen	verificere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	reviderede	prüfen	revidere	V;V.PTCP	V;PL;PST;V.PTCP
geprüft	revideret	prüfen	revidere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	testet	prüfen	test	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	testede	prüfen	teste	V;V.PTCP	V;IND;PST;FIN;ACT
geprüft	afprøvet	prüfen	afprøve	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	prøvet	prüfen	prøve	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	markeret	prüfen	markere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	tjekket	prüfen	tjekke	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	tjekkede	prüfen	tjekke	V;V.PTCP	V;IND;PST;FIN;ACT
geprüft	checket	prüfen	checket	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	kontrolleret	prüfen	kontrollere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	revideret	prüfen	revidere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	gennemgået	prüfen	gennemgå	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geprüft	gennemset	prüfen	gennemset	V;V.PTCP	V;INDF;SG;PST;V.PTCP
rückseite	omvendt	rückseite	omvendt	ADJ	ADJ;INDF;SG
rückseite	bagerste	rückseite	bag	ADJ	ADJ;DEF;RL
rückseite	bageste	rückseite	bagest	ADJ	ADJ;DEF;RL
zugeteilt	tildelte	zuteilen	tildele	V;V.PTCP	V;IND;PST;FIN;ACT
zugeteilt	tildelt	zuteilen	tildele	V;V.PTCP	V;INDF;SG;PST;V.PTCP
zugeteilt	anvist	zuteilen	anvise	V;V.PTCP	V;INDF;SG;PST;V.PTCP
zugeteilt	tildelte	zuteilen	tildele	V;V.PTCP	V;IND;PST;FIN;ACT
zugeteilt	allokeret	zuteilen	allokere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
zugeteilt	tildelt	zuteilen	tildele	V;V.PTCP	V;INDF;SG;PST;V.PTCP
zugeteilt	afsat	zuteilen	afsætte	V;V.PTCP	V;INDF;SG;PST;V.PTCP
zugeteilt	tildelt	zuteilen	tildele	V;V.PTCP	V;INDF;SG;PST;V.PTCP
geheimen	hemmelige	geheimen	hemmelig	ADJ	ADJ;PL
geheimen	hemmelig	geheimen	hemmelig	ADJ	ADJ;INDF;MASC+FEM;SG
geheimen	hemmeligt	geheimen	hemmelig	ADJ	ADJ;INDF;NEUT;SG
fremde	fremmede	fremd	fremmed	ADJ;NOM;FEM;PL	ADJ;PL
fremde	udenforstående	fremd	udenforstående	ADJ;NOM;FEM;PL	ADJ
fremde	udefrakommende	fremd	udefrakommende	ADJ;NOM;FEM;PL	ADJ
fremde	fremmede	fremd	fremmed	ADJ;NOM;FEM;PL	ADJ;PL
registriert	indregistreret	registrieren	indregistrere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
registriert	registrerede	registrieren	registrere	V;V.PTCP	V;PL;PST;V.PTCP
registriert	registreret	registrieren	registrere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
registriert	tilmeldt	registrieren	tilmelde	V;V.PTCP	V;INDF;SG;PST;V.PTCP
verschwinden	forsvindende	verschwinden	forsvindende	V;NFIN	V;PRS;V.PTCP
verschwinden	forsvinder	verschwinden	forsvinde	V;NFIN	V;IND;PRS;FIN;ACT
verschwinden	forsvindende	verschwinden	forsvindende	V;NFIN	V;PRS;V.PTCP
verschwinden	forsvinder	verschwinden	forsvinde	V;NFIN	V;IND;PRS;FIN;ACT
verschwinden	forsvinde	verschwinden	forsvinde	V;NFIN	V;NFIN;ACT
verschwinden	forsvinder	verschwinden	forsvinde	V;NFIN	V;IND;PRS;FIN;ACT
spenden	donerer	spenden	donere	V;NFIN	V;IND;PRS;FIN;ACT
spenden	donere	spenden	don	V;NFIN	V;NFIN;ACT
republikanischen	republikanske	republikanisch	republikansk	ADJ;NOM;MASC;PL	ADJ;PL
bestätigen	verificere	bestätigen	verificere	V;NFIN	V;NFIN;ACT
bestätigen	bekræft	bestätigen	bekræft	V;NFIN	V;IMP
bestätigen	validere	bestätigen	validere	V;NFIN	V;NFIN;ACT
bestätigen	anerkender	bestätigen	anerkende	V;NFIN	V;IND;PRS;FIN;ACT
bestätigen	anerkende	bestätigen	anerkende	V;NFIN	V;NFIN;ACT
bestätigen	bekræfter	bestätigen	bekræfte	V;NFIN	V;IND;PRS;FIN;ACT
bestätigen	bekræft	bestätigen	bekræft	V;NFIN	V;IMP
scharf	skarp	scharf	skarp	ADJ	ADJ;INDF;MASC+FEM;SG
scharf	skarpe	scharf	skarp	ADJ	ADJ;PL
vermittelt	formidlet	vermitteln	formidle	V;V.PTCP	V;INDF;SG;PST;V.PTCP
vermittelt	transporteret	vermitteln	transportere	V;V.PTCP	V;INDF;SG;PST;V.PTCP
vermittelt	formidlet	vermitteln	formidle	V;V.PTCP	V;INDF;SG;PST;V.PTCP
frisch	friske	frisch	frisk	ADJ	ADJ;PL
frisch	friskt	frisch	frisk	ADJ	ADJ;INDF;NEUT;SG
frisch	frisk	frisch	frisk	ADJ	ADJ;INDF;SG
dokument	dokument	dokument	dokument	N;NOM;NEUT;SG	N;INDF;NEUT;SG
kurfürsten	vælgere	kurfürst	vælger	N;PL	N;INDF;MASC+FEM;PL
kette	halskæden	kett	halskæde	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
kette	halskæde	kett	halskæde	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kette	lænke	kett	lænke	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kette	kæde	kett	kæde	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kette	kæden	kett	kæde	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
moderner	moderne	modern	moderne	ADJ	ADJ
offizieller	officiel	offiziell	officiel	ADJ	ADJ;INDF;MASC+FEM;SG
etablierte	fastslået	etablieren	fastslå	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
etablierte	etableret	etablieren	etablere	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
gefangenen	fange	gefangen	fange	V;IND;PL;3;FIN	V;NFIN;ACT
