ψωμί	pão	ψωμί	pão	N;NOM;NEUT;SG	N;MASC;SG
υποταγή	fidelidade	υποταγή	fidelidade	N;ACC;FEM;SG	N;FEM;SG
υποταγή	apresentação	υποταγή	apresentação	N;ACC;FEM;SG	N;FEM;SG
υποταγή	envio	υποταγή	envio	N;ACC;FEM;SG	N;MASC;SG
υποταγή	finalização	υποταγή	finalização	N;ACC;FEM;SG	N;FEM;SG
υποταγή	submissão	υποταγή	submissão	N;ACC;FEM;SG	N;FEM;SG
πρόθεμα	prefixo	πρόθεμα	prefixo	N;NOM;NEUT;SG	N;MASC;SG
προφανές	óbvia	προφανός	óbvio	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
προφανές	óbvio	προφανός	óbvio	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
στε	sto	στε	sto	N	N;MASC;SG
παράμετρος	parâmetro	παράμετρος	parâmetro	N;NOM;FEM;SG	N;MASC;SG
προτίμηση	preferência	προτίμηση	preferência	N;ACC;FEM;SG	N;FEM;SG
ανθρωπότητας	humanidade	ανθρωπότητα	humanidade	N;GEN;FEM;SG	N;FEM;SG
επιβλήθηκε	forçada	επιβάλλω	forçar	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
επιβλήθηκε	imposta	επιβάλλω	imposta	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
εγγύς	proximal	εγγύς	proximal	N;NOM;NEUT;SG	N;MASC;SG
βαλκανίων	bálcãs	βαλκάνια	bálcã	N;GEN;NEUT;PL	N;MASC;PL
βαλκανίων	balcãs	βαλκάνια	balcã	N;GEN;NEUT;PL	N;MASC;PL
καρπός	fruto	καρπός	fruto	N;NOM;MASC;SG	N;MASC;SG
καρπός	fruta	καρπός	fruta	N;NOM;MASC;SG	N;FEM;SG
καρπός	pulso	καρπός	pulso	N;NOM;MASC;SG	N;MASC;SG
ραφαήλ	raphael	ραφαήλ	raphael	N	N;MASC;SG
ραφαήλ	rafael	ραφαήλ	rafael	N	N;MASC;SG
αθλητή	atleta	αθλητός	atleta	N;ACC;MASC;SG	N;MASC;SG
αποτρέψει	evitar	αποτρέπω	evitar	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
αποτρέψει	prevenir	αποτρέπω	prevenir	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
αποτρέψει	impedir	αποτρέπω	impedir	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
αποτρέψει	dissuadir	αποτρέπω	dissuadir	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
μεσαιωνικό	medieval	μεσαιωνικός	medieval	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
μάριος	mário	μάριος	mário	N;NOM;MASC;SG	N;MASC;SG
μάριος	marius	μάριος	marius	N;NOM;MASC;SG	N;MASC;SG
ταξιαρχία	brigada	ταξιαρχία	brigado	N;ACC;FEM;SG	N;FEM;SG
καταστρέψει	destrói	καταστρέφω	destruir	V;PFV;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
καταστρέψει	destruir	καταστρέφω	destruir	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
δακτύλιος	ring	δακτύλιος	ring	N;NOM;MASC;SG	N;MASC;SG
δακτύλιος	ringue	δακτύλιος	ringue	N;NOM;MASC;SG	N;MASC;SG
δακτύλιος	anel	δακτύλιος	anel	N;NOM;MASC;SG	N;MASC;SG
