رده	classe	رده	classe	N;SG	N;FEM;SG
از	da	از	da	ADP	ADP
این	questo	این	questo	DET	DET;MASC;SG
این	questa	این	questo	DET	DET;FEM;SG
با	con	با	con	ADP	ADP
سال	anno	سال	anno	N;SG	N;MASC;SG
برای	per	برای	per	ADP	ADP
اهل	ahl	اهل	ahl	N;SG	N
شهرستان	contea	شهرستان	contea	N;SG	N;FEM;SG
فهرست	catalogo	فهرست	catalogo	N;SG	N;MASC;SG
فهرست	lista	فهرست	lista	N;SG	N;FEM;SG
فهرست	elenco	فهرست	elenco	N;SG	N;MASC;SG
فهرست	catalogo	فهرست	catalogo	N;SG	N;MASC;SG
دارد	ha	داشت#دار	avere	V;SG;3;PRS	V;IND;SG;3;PRS;FIN
او	lei	او	lei	PRO;SG;3	PRO;SG;3
او	lui	او	lui	PRO;SG;3	PRO;MASC;SG;3
فوتبال	soccer	فوتبال	soccere	N;SG	N;MASC
فوتبال	calcio	فوتبال	calcio	N;SG	N;MASC;SG
فوتبال	calcio	فوتبال	calcio	N;SG	N;MASC;SG
ساعت	orologio	ساعت	orologio	N;SG	N;MASC;SG
پایه	base	پایه	base	N;SG	N;FEM;SG
پایه	fondazione	پایه	fondazione	N;SG	N;FEM;SG
پایه	base	پایه	base	N;SG	N;FEM;SG
پایه	basic	پایه	basic	N;SG	N
نام	denominazione	نام	denominazione	N;SG	N;FEM;SG
نام	nome	نام	nome	N;SG	N;MASC;SG
استان	provincia	استان	provincia	N;SG	N;FEM;SG
استان	regione	استان	regione	N;SG	N;FEM;SG
شهر	città	شهر	città	N;SG	N;FEM
شهر	città	شهر	città	N;SG	N;FEM
ملی	nazionale	ملی	nazionale	ADJ	ADJ;SG
کشور	nazione	کشور	nazione	N;SG	N;FEM;SG
کشور	paese	کشور	paese	N;SG	N;MASC;SG
تاریخ	storia	تاریخ	storia	N;SG	N;FEM;SG
فیلم	film	فیلم	film	N;SG	N;MASC
فیلم	pellicola	فیلم	pellicolo	N;SG	N;FEM;SG
فیلم	film	فیلم	film	N;SG	N;MASC
فیلم	film	فیلم	film	N;SG	N;MASC
فیلم	cinema	فیلم	cinema	N;SG	N;MASC
بخش	reparto	بخش	reparto	N;SG	N;MASC;SG
بخش	dipartimento	بخش	dipartimento	N;SG	N;MASC;SG
بخش	settore	بخش	settore	N;SG	N;MASC;SG
بخش	sezione	بخش	sezione	N;SG	N;FEM;SG
بخش	distretto	بخش	distretto	N;SG	N;MASC;SG
جمعیت	folla	جمعیت	folla	N;SG	N;FEM;SG
جمعیت	folla	جمعیت	folla	N;SG	N;FEM;SG
جمعیت	popolazione	جمعیت	popolazione	N;SG	N;FEM;SG
دو	due	دو	due	NUM	NUM
اثر	effetto	اثر	effetto	N;SG	N;MASC;SG
پس	allora	پس	allora	ADV	ADV
پس	poi	پس	poi	ADV	ADV
بازیکنان	giocatori	بازیکن	giocatore	N;PL	N;MASC;PL
آثار	artefatti	اثر	artefatto	N;PL	N;MASC;PL
آثار	manufatti	اثر	manufatto	N;PL	N;MASC;PL
آثار	effetti	اثر	effetto	N;PL	N;MASC;PL
روستاهای	borghi	روستا	borgo	N;PL	N;MASC;PL
روستاهای	villaggi	روستا	villaggio	N;PL	N;MASC;PL
دیگر	più	دیگر	più	ADV	ADV
عنوان	didascalia	عنوان	didascalia	N;SG	N;FEM;SG
پیوند	link	پیوند	link	N;SG	N;MASC
پیوند	collegamento	پیوند	collegamento	N;SG	N;MASC;SG
پیوند	bond	پیوند	bond	N;SG	N
پیوند	obbligazione	پیوند	obbligazione	N;SG	N;FEM;SG
پیوند	legame	پیوند	legame	N;SG	N;MASC;SG
بحث	discussione	بحث	discussione	N;SG	N;FEM;SG
بیرون	fuori	بیرون	fuori	ADV;ESS	ADV
افراد	persone	فرد	persona	N;PL	N;FEM;PL
دوره	corso	دوره	corso	N;SG	N;MASC;SG
دوره	rotta	دوره	rotta	N;SG	N;FEM;SG
دوره	epoca	دوره	epoca	N;SG	N;FEM;SG
دوره	periodo	دوره	periodo	N;SG	N;MASC;SG
دهه	decennio	دهه	decennio	N;SG	N;MASC;SG
دهه	decade	دهه	decadere	N;SG	N;FEM;SG
متر	metro	متر	metro	N;SG	N;MASC;SG
متر	contatore	متر	contatore	N;SG	N;MASC;SG
کاربر	utente	کاربر	utente	N;SG	N;SG
کاربر	utilizzatore	کاربر	utilizzatore	N;SG	N;MASC;SG
مناطق	distretti	منطقه	distretto	N;PL	N;MASC;PL
مناطق	quartieri	منطقه	quartiere	N;PL	N;MASC;PL
مناطق	aree	منطقه	area	N;PL	N;FEM;PL
هر	ogni	هر	ogni	DET	DET;SG
هر	qualsiasi	هر	qualsiasi	DET	DET;SG
هر	qualunque	هر	qualunque	DET	DET;SG
باشگاه	club	باشگاه	club	N;SG	N;MASC
باشگاه	palestra	باشگاه	palestra	N;SG	N;FEM;SG
باشگاه	fenerbahçe	باشگاه	fenerbahçe	N;SG	N;MASC;SG
شهرهای	municipi	شهر	municipio	N;PL	N;MASC;PL
شهرهای	municipalità	شهر	municipalità	N;PL	N;FEM
شهرهای	comuni	شهر	comune	N;PL	N;MASC;PL
دانشگاه	università	دانشگاه	università	N;SG	N;FEM
دانشگاه	college	دانشگاه	college	N;SG	N;MASC
مورد	caso	مورد	caso	N;SG	N;MASC;SG
سده	secolo	سده	secolo	N;SG	N;MASC;SG
ثبت	registro	ثبت	registro	N;SG	N;MASC;SG
ثبت	log	ثبت	log	N;SG	N;MASC
وجود	esistenza	وجود	esistenza	N;SG	N;FEM;SG
زبان	linguaggio	زبان	linguaggio	N;SG	N;MASC;SG
زبان	lingua	زبان	lingua	N;SG	N;FEM;SG
شماره	numero	شماره	numero	N;SG	N;MASC;SG
کار	giobbe	کار	giobbe	N;SG	N;MASC;SG
کار	lavoro	کار	lavoro	N;SG	N;MASC;SG
کار	job	کار	job	N;SG	N
کار	lavoro	کار	lavoro	N;SG	N;MASC;SG
اما	ma	اما	ma	CONJ	CONJ
بازیگران	riprese	بازیگر	riprendere	N;PL	N;FEM;PL
بازیگران	attori	بازیگر	attore	N;PL	N;MASC;PL
فرودگاه	aeroporto	فرودگاه	aeroporto	N;SG	N;MASC;SG
صورت	faccia	صورت	faccia	N;SG	N;FEM;SG
صورت	faccina	صورت	faccina	N;SG	N;FEM;SG
صورت	volto	صورت	volto	N;SG	N;MASC;SG
