per	pre	per	pre	ADP	ADP;ACC
con	so	con	s	ADP	ADP;INS
come	ako	come	ako	ADV	ADV
come	ako	come	ako	ADV	ADV
anche	takisto	anche	takisto	ADV	ADV
anche	taktiež	anche	taktiež	ADV	ADV
team	mužstvo	team	mužstvo	N;MASC	N;NOM;NEUT;SG
team	tím	team	tím	N;MASC	N;INAN;NOM;MASC;SG
due	dve	due	dva	NUM	NUM;NOM;FEM;PL
due	dvaja	due	dva	NUM	NUM;ANIM;NOM;MASC;PL
due	dva	due	dva	NUM	NUM;INAN;NOM;MASC;PL
tra	medzi	tra	medzi	ADP	ADP;INS
suo	jeho	suo	jeho	DET;MASC;SG	DET;NOM;NEUT;SG;3
dopo	neskôr	dopo	neskôr	ADV	ADV
dopo	neskoršie	dopo	neskorý	ADV	ADV;RL
prima	predtým	prima	predtým	ADV	ADV
prima	najprv	prima	najprv	ADV	ADV
parte	časť	parte	časť	N;FEM;SG	N;NOM;FEM;SG
parte	čast	parte	čast	N;FEM;SG	N;NOM;FEM;SG
parte	súčasť	parte	súčasť	N;FEM;SG	N;NOM;FEM;SG
bar	bare	bar	bara	N;MASC	N;NOM;MASC;SG
bar	bar	bar	bar	N;MASC	N;INAN;NOM;MASC;SG
bar	tyč	bar	tyč	N;MASC	N;NOM;FEM;SG
cest	selč	cest	selč	N;SG	N;INAN;NOM;MASC;SG
anni	roky	anno	rok	N;MASC;PL	N;INAN;NOM;MASC;PL
anni	rokov	anno	rok	N;MASC;PL	N;INAN;GEN;MASC;PL
italiano	talianske	italiano	taliansky	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
italiano	taliansky	italiano	taliansky	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
essere	byť	essere	byť	V;NFIN	V;IPFV;POS;NFIN
questo	to	questo	to	DET;MASC;SG	DET;NOM;NEUT;SG
questo	táto	questo	táto	DET;MASC;SG	DET;NOM;FEM;SG
questo	tento	questo	tento	DET;MASC;SG	DET;INAN;NOM;MASC;SG
questo	toto	questo	toto	DET;MASC;SG	DET;NOM;NEUT;SG
questo	túto	questo	táto	DET;MASC;SG	DET;ACC;FEM;SG
collegamenti	spojenia	collegamento	spojenie	N;MASC;PL	N;NOM;NEUT;PL
collegamenti	pripojenia	collegamento	pripojenie	N;MASC;PL	N;NOM;NEUT;PL
collegamenti	spojenia	collegamento	spojenie	N;MASC;PL	N;NOM;NEUT;PL
collegamenti	väzby	collegamento	väzba	N;MASC;PL	N;NOM;FEM;PL
collegamenti	prepojenia	collegamento	prepojenie	N;MASC;PL	N;NOM;NEUT;PL
collegamenti	odkazy	collegamento	odkaz	N;MASC;PL	N;INAN;NOM;MASC;PL
collegamenti	linky	collegamento	linka	N;MASC;PL	N;NOM;FEM;PL
serie	séria	serie	séria	N;FEM	N;NOM;FEM;SG
serie	rad	serie	rad	N;FEM	N;INAN;NOM;MASC;SG
serie	série	serie	séria	N;FEM	N;NOM;FEM;PL
serie	sériu	serie	séria	N;FEM	N;ACC;FEM;SG
serie	serie	serie	seria	N;FEM	N;NOM;MASC;SG
viene	prichádza	venire	prichádzať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
viene	príde	venire	prísť	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
questa	to	questo	to	DET;FEM;SG	DET;NOM;NEUT;SG
questa	táto	questo	táto	DET;FEM;SG	DET;NOM;FEM;SG
questa	tento	questo	tento	DET;FEM;SG	DET;INAN;NOM;MASC;SG
questa	toto	questo	toto	DET;FEM;SG	DET;NOM;NEUT;SG
questa	túto	questo	táto	DET;FEM;SG	DET;ACC;FEM;SG
film	filmy	film	film	N;MASC	N;INAN;NOM;MASC;PL
film	filmov	film	film	N;MASC	N;INAN;GEN;MASC;PL
film	filmy	film	film	N;MASC	N;INAN;NOM;MASC;PL
film	filmom	film	film	N;MASC	N;INAN;INS;MASC;SG
film	film	film	film	N;MASC	N;INAN;NOM;MASC;SG
film	filmom	film	film	N;MASC	N;INAN;INS;MASC;SG
film	film	film	film	N;MASC	N;INAN;NOM;MASC;SG
regia	regia	regia	regia	N;FEM;SG	N;INAN;NOM;MASC;SG
città	mesto	città	mesto	N;FEM	N;NOM;NEUT;SG
città	mesta	città	mesto	N;FEM	N;NOM;NEUT;SG
città	mestečko	città	mestečko	N;FEM	N;NOM;NEUT;SG
città	city	città	cit	N;FEM	N;INAN;NOM;MASC;PL
città	mesto	città	mesto	N;FEM	N;NOM;NEUT;SG
città	mesta	città	mesto	N;FEM	N;NOM;NEUT;SG
città	mestá	città	mesto	N;FEM	N;NOM;NEUT;PL
solo	jedine	solo	jedine	ADV	ADV
solo	práve	solo	práve	ADV	ADV
loro	ich	loro	on	PRO;PL;3	PRO;NOM;MASC;PL;3
loro	nich	loro	on	PRO;PL;3	PRO;ANIM;ACC;MASC;PL;3
loro	ich	loro	on	PRO;PL;3	PRO;NOM;MASC;PL;3
loro	ne	loro	ono	PRO;PL;3	PRO;NOM;MASC;PL;3
loro	oni	loro	on	PRO;PL;3	PRO;ANIM;NOM;MASC;PL;3
