ve	in	ve	in	CONJ	CONJ
bu	tole	bu	tale		
için	za	için	za		
daha	bolj	daha	bolj	ADV	ADV;CMPR
sonra	potem	sonra	potem	ADV	ADV
sonra	pozneje	sonra	pozno	ADV	ADV;CMPR
sonra	kasneje	sonra	kasno	ADV	ADV;CMPR
yer	prizorišče	yer	prizorišče	N;NOM;SG;3	N;NOM;NEUT;SG
yer	plac	yer	plac	N;NOM;SG;3	N;NOM;MASC;SG
yer	kraj	yer	kraj	N;NOM;SG;3	N;NOM;MASC;SG
yer	lokacija	yer	lokacija	N;NOM;SG;3	N;NOM;FEM;SG
bağlantılar	povezave	bağlantı	povezava	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	priključki	bağlantı	priključek	N;NOM;PL;3	N;NOM;MASC;PL
bağlantılar	povezave	bağlantı	povezava	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	stiki	bağlantı	stik	N;NOM;PL;3	N;NOM;MASC;PL
center	središče	center	središče	N;NOM;SG;3	N;NOM;NEUT;SG
center	center	center	center	N;NOM;SG;3	N;NOM;MASC;SG
ayrıca	nadalje	ayrıca	nadalje		
türk	turška	türk	turški	ADJ	ADJ;NOM;FEM;SG
türk	turški	türk	turški	ADJ	ADJ;NOM;MASC;SG
türk	turško	türk	turški	ADJ	ADJ;NOM;NEUT;SG
diğer	drugi	diğer	drug	ADJ	ADJ;NOM;MASC;SG
diğer	drugo	diğer	drug	ADJ	ADJ;NOM;NEUT;SG
diğer	druga	diğer	drug	ADJ	ADJ;NOM;FEM;SG
diğer	druge	diğer	drug	ADJ	ADJ;NOM;FEM;PL
yeni	novo	yeni	nov	ADJ	ADJ;NOM;NEUT;SG
yeni	nov	yeni	nov	ADJ	ADJ;NOM;INDF;MASC;SG
yeni	novi	yeni	nov	ADJ	ADJ;NOM;DEF;MASC;SG
yeni	nove	yeni	nov	ADJ	ADJ;NOM;FEM;PL
yeni	nova	yeni	nov	ADJ	ADJ;NOM;FEM;SG
her	vsak	her	vsak	DET	DET;NOM;MASC;SG
her	vsaka	her	vsak	DET	DET;NOM;FEM;SG
her	vsako	her	vsak	DET	DET;ACC;NEUT;SG
ilgili	ustrezni	ilgili	ustrezen	ADJ	ADJ;NOM;MASC;SG
ilgili	ustrezna	ilgili	ustrezen	ADJ	ADJ;NOM;FEM;SG
ilgili	zainteresirani	ilgili	zainteresiran	ADJ	ADJ;NOM;MASC;PL;V.PTCP
ilgili	zainteresirana	ilgili	zainteresiran	ADJ	ADJ;NOM;FEM;SG;V.PTCP
ilgili	zainteresirane	ilgili	zainteresiran	ADJ	ADJ;NOM;FEM;PL;V.PTCP
ilgili	povezano	ilgili	povezan	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
ilgili	povezani	ilgili	povezan	ADJ	ADJ;NOM;MASC;PL;V.PTCP
madde	snov	madde	snov	N;NOM;SG;3	N;NOM;FEM;SG
madde	določba	madde	določba	N;NOM;SG;3	N;NOM;FEM;SG
madde	klavzula	madde	klavzul	N;NOM;SG;3	N;NOM;FEM;SG
madde	material	madde	material	N;NOM;SG;3	N;NOM;MASC;SG
madde	gradivo	madde	gradivo	N;NOM;SG;3	N;NOM;NEUT;SG
madde	članek	madde	članek	N;NOM;SG;3	N;NOM;MASC;SG
madde	člen	madde	člen	N;NOM;SG;3	N;NOM;MASC;SG
madde	izdelek	madde	izdelek	N;NOM;SG;3	N;NOM;MASC;SG
sağlık	wellness	sağlık	wellness	N;NOM;SG;3	N;NOM;MASC;SG
sağlık	zdravje	sağlık	zdravje	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	zdravstvo	sağlık	zdravstvo	N;NOM;SG;3	N;NOM;NEUT;SG
genel	splošno	genel	splošen	ADJ	ADJ;NOM;NEUT;SG
genel	splošno	genel	splošen	ADJ	ADJ;NOM;NEUT;SG
genel	splošni	genel	splošen	ADJ	ADJ;NOM;MASC;SG
genel	splošna	genel	splošen	ADJ	ADJ;NOM;FEM;SG
adı	ime	ad	ime	N;NOM;SG;3	N;NOM;NEUT;SG
mayıs	maj	mayıs	maj		
kasım	qasim	kasım	iasim		
ama	toda	ama	toda	CONJ	CONJ
ama	ampak	ama	ampak	CONJ	CONJ
ama	vendar	ama	vendar	CONJ	CONJ
içinde	notri	içinde	notri	ADV	ADV
üniversitesi	univerza	üniversitesi	univerza	N;NOM;SG;3	N;NOM;FEM;SG
ye	jej	ye	jesti		
ye	jest	ye	jest		
zaman	čas	zaman	čas	N;NOM;SG;3	N;NOM;MASC;SG
bazı	nekatere	bazı	nekateri	DET	DET;NOM;FEM;PL
bazı	nekaterim	bazı	nekateri	DET	DET;DAT;MASC;PL
bazı	nekateri	bazı	nekateri	DET	DET;NOM;MASC;PL
bazı	neki	bazı	nek	DET	DET;NOM;MASC;SG
aralık	december	aralık	december	N;NOM;SG;3	N;NOM;MASC;SG
aralık	interval	aralık	interval	N;NOM;SG;3	N;NOM;MASC;SG
yüksek	visoka	yüksek	visok	ADJ	ADJ;NOM;FEM;SG
yüksek	višja	yüksek	visok	ADJ	ADJ;NOM;CMPR;FEM;SG
yüksek	višji	yüksek	visok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
yüksek	višje	yüksek	visok	ADJ	ADJ;NOM;CMPR;NEUT;SG
birçok	mnogi	birçok	mnog	DET	DET;NOM;MASC;PL
birçok	veliko	birçok	veliko	DET	DET
şubat	feb	şubat	feb		
bilgi	info	bilgi	info	N;NOM;SG;3	N;NOM;MASC;SG
bilgi	obveščanje	bilgi	obveščanje	N;NOM;SG;3	N;NOM;NEUT;SG
bilgi	informacija	bilgi	informacija	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	podatek	bilgi	podatek	N;NOM;SG;3	N;NOM;MASC;SG
bilgi	poznavanje	bilgi	poznavanje	N;NOM;SG;3	N;NOM;NEUT;SG
bilgi	znanje	bilgi	znanje	N;NOM;SG;3	N;NOM;NEUT;SG
kez	times	kez	times	N;NOM;SG;3	N;NOM;MASC;SG
latns	latns	latns	latns		
latd	latd	lat	latd		
longd	longd	longd	longd		
latm	latm	latm	latm		
devlet	stanje	devlet	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
devlet	država	devlet	država	N;NOM;SG;3	N;NOM;FEM;SG
devlet	vlada	devlet	vlada	N;NOM;SG;3	N;NOM;FEM;SG
lats	lats	lats	lats		
üç	tri	üç	trije	NUM	NUM;NOM;FEM;PL
üç	trije	üç	trije	NUM	NUM;NOM;MASC;PL
üç	tremi	üç	trije	NUM	NUM;NOM;FEM;PL
başladı	začel	başla	začeti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
başladı	začela	başla	začeti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
başladı	začet	başla	začet	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
küçük	majhno	küçük	majhen	ADJ	ADJ;NOM;NEUT;SG
küçük	majhni	küçük	majhen	ADJ	ADJ;NOM;MASC;PL
küçük	majhen	küçük	majhen	ADJ	ADJ;NOM;INDF;MASC;SG
küçük	majhne	küçük	majhen	ADJ	ADJ;NOM;FEM;PL
küçük	majhna	küçük	majhen	ADJ	ADJ;NOM;FEM;SG
küçük	male	küçük	mali	ADJ	ADJ;NOM;FEM;PL
küçük	mali	küçük	mali	ADJ	ADJ;NOM;DEF;MASC;SG
kabul	sprejemanje	kabul	sprejemanje	N;NOM;SG;3	N;NOM;NEUT;SG
kabul	sprejetje	kabul	sprejetje	N;NOM;SG;3	N;NOM;NEUT;SG
kabul	sprejem	kabul	sprejem	N;NOM;SG;3	N;NOM;MASC;SG
kupası	pokal	kupa	pokal	N;NOM;SG;3	N;NOM;MASC;SG
kupası	skodelica	kupa	skodelica	N;NOM;SG;3	N;NOM;FEM;SG
kupası	lonček	kupa	lonček	N;NOM;SG;3	N;NOM;MASC;SG
okulu	šola	okul	šola	N;NOM;SG;3	N;NOM;FEM;SG
aldı	vzet	al	vzet	V;PFV;IND;SG;3;POS;PST	V;PFV;NFIN
aldı	vzela	al	vzeti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
aldı	vzel	al	vzeti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
aldı	prejeti	al	prejeti	V;PFV;IND;SG;3;POS;PST	V;PFV;NFIN
farklı	drugačna	farklı	drugačen	ADJ	ADJ;NOM;FEM;SG
farklı	drugačen	farklı	drugačen	ADJ	ADJ;NOM;INDF;MASC;SG
farklı	drugačni	farklı	drugačen	ADJ	ADJ;NOM;MASC;PL
farklı	drugačno	farklı	drugačen	ADJ	ADJ;NOM;NEUT;SG
özel	izključna	özel	izključen	ADJ	ADJ;NOM;FEM;SG
özel	zasebno	özel	zaseben	ADJ	ADJ;NOM;NEUT;SG
özel	zasebna	özel	zaseben	ADJ	ADJ;NOM;FEM;SG
özel	zasebnega	özel	zaseben	ADJ	ADJ;GEN;NEUT;SG
özel	zasebni	özel	zaseben	ADJ	ADJ;NOM;MASC;SG
özel	specialno	özel	specialno	ADJ	ADJ;NOM;NEUT;SG
özel	posebna	özel	poseben	ADJ	ADJ;NOM;FEM;SG
özel	posebne	özel	poseben	ADJ	ADJ;NOM;FEM;PL
özel	poseben	özel	poseben	ADJ	ADJ;NOM;INDF;MASC;SG
