uma	unu	um	unu	NUM	NUM;MASC;SG
com	cu	com	cu	ADP	ADP;ACC
para	pentru	para	pentru	ADP	ADP;ACC
por	pentru	por	pentru	ADP	ADP;ACC
como	cum	como	cum	ADV	ADV
como	ca	como	ca	ADV	ADV
mais	mai	mais	mai	ADV	ADV
sua	ta	seu	tău	DET;FEM;SG	DET;FEM;SG;1
utc	utc	utc	utc	N;MASC;SG	N
são	sunt	ser	fi	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
seu	ta	seu	tău	DET;MASC;SG	DET;FEM;SG;1
das	das	das	das	N;MASC;SG	N;INDF;MASC;SG
também	prea	também	prea	ADV	ADV
ser	fiind	ser	fi	V;NFIN	V;V.MSDR
mas	dar	mas	dar	CONJ	CONJ;POS
discussão	discutie	discussão	discutie	N;FEM;SG	N;INDF;FEM;SG
discussão	discutie	discussão	discutie	N;FEM;SG	N;INDF;FEM;SG
discussão	discutie	discussão	discutie	N;FEM;SG	N;INDF;FEM;SG
anos	ani	ano	an	N;MASC;PL	N;INDF;MASC;PL
anos	anii	ano	an	N;MASC;PL	N;DEF;MASC;PL
sobre	despre	sobre	despre	ADP	ADP;ACC
tem	are	ter	avea	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	orasul	cidade	oras	N;FEM;SG	N;DEF;MASC;SG
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	city	cidade	city	N;FEM;SG	N;INDF;MASC;SG
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	oras	cidade	oras	N;FEM;SG	N;INDF;MASC;SG
cidade	orasul	cidade	oras	N;FEM;SG	N;DEF;MASC;SG
cidade	orasul	cidade	oras	N;FEM;SG	N;DEF;MASC;SG
janeiro	ianuarie	janeiro	ianuarie	N;MASC;SG	N;INDF;MASC;SG
onde	unde	onde	unde	ADV	ADV
grande	mare	grande	mare	ADJ;MASC;SG	ADJ;INDF;MASC;SG
grande	mare	grande	mare	ADJ;MASC;SG	ADJ;INDF;MASC;SG
rio	rio	rio	ruo	N;MASC;SG	N;INDF;MASC;SG
rio	raul	rio	raul	N;MASC;SG	N;DEF;MASC;SG
depois	atunci	depois	atunci	ADV	ADV
depois	apoi	depois	apoi	ADV	ADV
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	starea	estado	stare	N;MASC;SG	N;DEF;FEM;SG
estado	status	estado	status	N;MASC;SG	N;INDF;MASC;SG
estado	statutul	estado	statut	N;MASC;SG	N;DEF;MASC;SG
estado	statut	estado	statut	N;MASC;SG	N;INDF;MASC;SG
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC;SG
estado	statul	estado	stat	N;MASC;SG	N;DEF;MASC;SG
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	conditia	estado	conditie	N;MASC;SG	N;DEF;FEM;SG
estado	conditie	estado	conditie	N;MASC;SG	N;INDF;FEM;SG
