comparte	distribuie	compartir	distribui	V;IND;SG;3;PRS;FIN	V;IND;3;PRS;FIN
árbitro	arbitru	árbitro	arbitru	N;MASC;SG	N;INDF;MASC;SG
árbitro	arbitrul	árbitro	arbitru	N;MASC;SG	N;DEF;MASC;SG
árbitro	arbitru	árbitro	arbitru	N;MASC;SG	N;INDF;MASC;SG
antropología	antropologie	antropología	antropologie	N;FEM;SG	N;INDF;FEM;SG
favorable	favorabila	favorable	favorabil	ADJ;SG	ADJ;DEF;FEM;SG
favorable	favorabil	favorable	favorabil	ADJ;SG	ADJ;INDF;MASC;SG
favorable	favorabila	favorable	favorabil	ADJ;SG	ADJ;DEF;FEM;SG
favorable	favorabil	favorable	favorabil	ADJ;SG	ADJ;INDF;MASC;SG
bizantino	bizantin	bizantino	bizantin	ADJ;MASC;SG	ADJ;INDF;MASC;SG
significativa	semnificativa	significativo	semnificativ	ADJ;FEM;SG	ADJ;DEF;FEM;SG
protegida	protejat	protegido	protejat	ADJ;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
protegida	protejata	protegido	protejat	ADJ;FEM;SG;V.PTCP	ADJ;DEF;FEM;SG
fiel	credincioasa	fiel	credinciosa	ADJ;SG	ADJ;DEF;FEM;SG
derivado	derivat	derivado	derivat	ADJ;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
derivado	derivat	derivado	derivat	ADJ;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
rodaje	filmarea	rodaje	filmare	N;MASC;SG	N;DEF;FEM;SG
rodaje	filmare	rodaje	filmar	N;MASC;SG	N;INDF;FEM;SG
rodaje	fotografiere	rodaje	fotografier	N;MASC;SG	N;INDF;FEM;SG
escalera	scara	escalera	scară	N;FEM;SG	N;DEF;FEM;SG
escalera	scara	escalera	scară	N;FEM;SG	N;DEF;FEM;SG
reglamento	regulament	reglamento	regulament	N;MASC;SG	N;INDF;MASC;SG
reglamento	regulamentul	reglamento	regulament	N;MASC;SG	N;DEF;MASC;SG
reglamento	reglementare	reglamento	reglementare	N;MASC;SG	N;INDF;FEM;SG
reglamento	reglementarea	reglamento	reglementare	N;MASC;SG	N;DEF;FEM;SG
experimentos	experimentele	experimento	experiment	N;MASC;PL	N;DEF;FEM;PL
experimentos	experimente	experimento	experiment	N;MASC;PL	N;INDF;FEM;PL
paisajes	peisajele	paisaje	peisaj	N;MASC;PL	N;DEF;FEM;PL
paisajes	peisaje	paisaje	peisaj	N;MASC;PL	N;INDF;FEM;PL
mito	mitul	mito	mit	N;MASC;SG	N;DEF;MASC;SG
mito	mit	mito	mit	N;MASC;SG	N;INDF;MASC;SG
dispuesto	dispus	dispuesto	dispus	ADJ;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
dei	dei	dei	del	N;MASC	N;INDF;MASC;SG
grabados	inregistrate	grabado	inregistra	ADJ;MASC;PL;V.PTCP	ADJ;INDF;FEM;PL
robot	robotul	robot	robot	N;MASC;SG	N;DEF;MASC;SG
robot	robot	robot	robot	N;MASC;SG	N;INDF;MASC;SG
cuota	taxa	cuota	taxă	N;FEM;SG	N;DEF;FEM;SG
cuota	taxa	cuota	taxă	N;FEM;SG	N;DEF;FEM;SG
cuota	onorariu	cuota	onorariu	N;FEM;SG	N;INDF;MASC;SG
cuota	comision	cuota	comision	N;FEM;SG	N;INDF;MASC;SG
cuota	contingent	cuota	contingent	N;FEM;SG	N;INDF;MASC;SG
cuota	cota	cuota	cotă	N;FEM;SG	N;DEF;FEM;SG
cuota	cota	cuota	cotă	N;FEM;SG	N;DEF;FEM;SG
obreros	lucratori	obrero	lucrator	N;MASC;PL	N;INDF;MASC;PL
obreros	muncitori	obrero	muncitor	N;MASC;PL	N;INDF;MASC;PL
obreros	muncitorii	obrero	muncitor	N;MASC;PL	N;DEF;MASC;PL
obreros	lucratorii	obrero	lucrator	N;MASC;PL	N;DEF;MASC;PL
obreros	lucratorilor	obrero	lucrator	N;MASC;PL	N;DEF;MASC;PL
sagrada	sacru	sagrado	sacru	ADJ;FEM;SG	ADJ;INDF;MASC;SG
sagrada	sacra	sagrado	sacră	ADJ;FEM;SG	ADJ;DEF;FEM;SG
sagrada	sacra	sagrado	sacră	ADJ;FEM;SG	ADJ;DEF;FEM;SG
interpretaciones	interpretari	interpretación	interpretar	N;FEM;PL	N;INDF;FEM;PL
hembra	femeie	hembra	femeie	N;FEM;SG	N;INDF;FEM;SG
hembra	femela	hembra	femelă	N;FEM;SG	N;DEF;FEM;SG
hembra	femela	hembra	femelă	N;FEM;SG	N;DEF;FEM;SG
diseñada	proiectat	diseñado	proiecta	ADJ;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
diseñada	conceput	diseñado	conceput	ADJ;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
empresarial	corporativ	empresarial	corporativ	ADJ;SG	ADJ;INDF;MASC;SG
gold	aur	gold	aur	N	N;INDF;MASC;SG
gold	aurul	gold	aur	N	N;DEF;MASC;SG
procedimientos	procedurile	procedimiento	procedură	N;MASC;PL	N;DEF;FEM;PL
procedimientos	proceduri	procedimiento	procedură	N;MASC;PL	N;INDF;FEM;PL
dominante	dominant	dominante	dominant	ADJ;SG	ADJ;INDF;MASC;SG
dominante	dominanta	dominante	dominant	ADJ;SG	ADJ;DEF;FEM;SG
luchador	luptator	luchador	luptator	N;MASC;SG	N;INDF;MASC;SG
luchador	luptatorul	luchador	luptator	N;MASC;SG	N;DEF;MASC;SG
luchador	luptator	luchador	luptator	N;MASC;SG	N;INDF;MASC;SG
luchador	luptatorul	luchador	luptator	N;MASC;SG	N;DEF;MASC;SG
