bagdad	bagdad	bagdar	bagdad	N	N;INDF;MASC;SG
cervo	cerbi	cervo	cerb	N	N;INDF;MASC;PL
cervo	căprioare	cervo	căprioară	N	N;INDF;FEM;PL
cervo	cerb	cervo	cerb	N	N;INDF;MASC;SG
cervo	căprioară	cervo	căprioară	N	N;INDF;FEM;SG
cervo	cerb	cervo	cerb	N	N;INDF;MASC;SG
matarme	ucide	matarme	ucide	V	V;IND;SG;3;PRS;FIN
matarme	omoară	matarme	omorî	V	V;IND;3;PRS;FIN
quixeches	vrut	quixeche	vrea	V	V;MASC;SG;V.PTCP
xenerosa	generoasă	xeneroso	generos	ADJ	ADJ;INDF;FEM;SG
xenerosa	generos	xeneroso	generos	ADJ	ADJ;INDF;MASC;SG
xenerosa	generoase	xeneroso	generos	ADJ	ADJ;INDF;FEM;PL
culto	cult	culto	cult	N	N;INDF;MASC;SG
culto	cultul	culto	cult	N	N;DEF;MASC;SG
culto	sectă	culto	sectă	N	N;INDF;FEM;SG
irlandesa	irlandezi	irlandesa	irlandez	ADJ	ADJ;INDF;MASC;PL
irlandesa	irlandez	irlandesa	irlandez	ADJ	ADJ;INDF;MASC;SG
irlandesa	irlandeză	irlandesa	irlandez	ADJ	ADJ;INDF;FEM;SG
lagoa	laguna	lagoa	lagună	N	N;DEF;FEM;SG
lagoa	lagună	lagoa	lagună	N	N;INDF;FEM;SG
meniña	fată	meniña	fată	N	N;INDF;FEM;SG
meniña	fata	meniña	fată	N	N;DEF;FEM;SG
católicos	catolică	católico	catolic	ADJ	ADJ;INDF;FEM;SG
católicos	catolic	católico	catolic	ADJ	ADJ;INDF;MASC;SG
clans	clan	clan	clan	N	N;INDF;MASC;SG
clans	clanul	clan	clan	N	N;DEF;MASC;SG
clans	clanurile	clan	clan	N	N;DEF;FEM;PL
clans	clanuri	clan	clan	N	N;INDF;FEM;PL
marquesa	marchiză	marquesa	marcaiză	N	N;INDF;FEM;SG
nomura	nomura	nomura	nomură	N	N;DEF;FEM;SG
cuarteto	cvartet	cuarteto	cvartet	N	N;INDF;MASC;SG
corría	rulează	corría	rula	V	V;IND;3;PRS;FIN
corría	alergând	corría	alerga	V	V;V.MSDR
ensino	predare	ensino	predare	N	N;INDF;FEM;SG
informática	calculator	informática	calculator	N	N;INDF;MASC;SG
informática	computer	informática	computer	N	N;INDF;MASC;SG
informática	calculatorul	informática	calculator	N	N;DEF;MASC;SG
técnicas	tehnici	técnica	tehnic	N	N;INDF;MASC;PL
confesión	spovedanie	confesión	spovedanie	N	N;INDF;FEM;SG
confesión	mărturisire	confesión	mărturisire	N	N;INDF;FEM;SG
confesión	confesiune	confesión	confesiune	N	N;INDF;FEM;SG
confesión	confesiunea	confesión	confesiune	N	N;DEF;FEM;SG
medicinas	medicament	medicina	medicament	N	N;INDF;MASC;SG
medicinas	medicina	medicina	medicină	N	N;DEF;FEM;SG
medicinas	medicină	medicina	medicină	N	N;INDF;FEM;SG
perden	pierzi	perder	pierde	V	V;IND;SG;2;PRS;FIN
perden	pierd	perder	pierde	V	V;IND;PL;3;PRS;FIN
perden	pierde	perder	pierde	V	V;IND;SG;3;PRS;FIN
culturas	culturile	cultura	cultură	N	N;DEF;FEM;PL
culturas	culturi	cultura	cultură	N	N;INDF;FEM;PL
interpretación	interpretarea	interpretación	interpretare	N	N;DEF;FEM;SG
interpretación	interpretare	interpretación	interpretare	N	N;INDF;FEM;SG
escoitan	ascultând	escoitar	asculta	V	V;V.MSDR
escoitan	ascult	escoitar	asculta	V	V;IND;SG;1;PRS;FIN
dinámica	dinamica	dinámica	dinamică	N	N;DEF;FEM;SG
dinámica	dinamica	dinámica	dinamică	N	N;DEF;FEM;SG
dinámica	dynamics	dinámica	dynamics	N	N;INDF;MASC;SG
populares	popular	popular	popular	ADJ	ADJ;INDF;MASC;SG
populares	populare	popular	popular	ADJ	ADJ;INDF;FEM;PL
populares	populară	popular	popular	ADJ	ADJ;INDF;FEM;SG
aumenta	crește	aumentar	crește	V	V;IND;SG;3;PRS;FIN
similar	asemanator	similar	asemanator	ADJ	ADJ;INDF;MASC;SG
similar	similar	similar	similar	ADJ	ADJ;INDF;MASC;SG
similar	asemănător	similar	asemănător	ADJ	ADJ;INDF;MASC;SG
similar	asemănătoare	similar	asemănător	ADJ	ADJ;INDF;FEM
similar	similară	similar	similar	ADJ	ADJ;INDF;FEM;SG
similar	similare	similar	similar	ADJ	ADJ;INDF;FEM;PL
espectadores	telespectatori	espectador	telespectator	N	N;INDF;MASC;PL
espectadores	telespectatorii	espectador	telespectator	N	N;DEF;MASC;PL
espectadores	spectatori	espectador	spectator	N	N;INDF;MASC;PL
saibas	știu	saber	ști	V	V;IND;SG;1;PRS;FIN
garantía	garanția	garantía	garanție	N	N;DEF;FEM;SG
