sau	لیکن	sau	لیکن	CONJ;POS	CONJ
prin	بشمول	prin	بشمول	ADP;ACC	ADP
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	ممتاز	mare	ممتاز	ADJ;INDF;MASC;SG	ADJ
mare	شاندار	mare	شاندار	ADJ;INDF;MASC;SG	ADJ
mare	وسیع	mare	وسیع	ADJ;INDF;MASC;SG	ADJ
mare	پُرشکوہ	mare	پُرشکوہ	ADJ;INDF;MASC;SG	ADJ
mare	ماہر	mare	ماہر	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	ممتاز	mare	ممتاز	ADJ;INDF;MASC;SG	ADJ
mare	شاندار	mare	شاندار	ADJ;INDF;MASC;SG	ADJ
mare	وسیع	mare	وسیع	ADJ;INDF;MASC;SG	ADJ
mare	پُرشکوہ	mare	پُرشکوہ	ADJ;INDF;MASC;SG	ADJ
mare	ماہر	mare	ماہر	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
comună	مشترکہ	comun	مشترکہ	ADJ;INDF;FEM;SG	ADJ
comună	مبتذل	comun	مبتذل	ADJ;INDF;FEM;SG	ADJ
comună	گھٹیا	comun	گھٹیا	ADJ;INDF;FEM;SG	ADJ
externe	خارجی	extern	خارجی	ADJ;INDF;FEM;PL	ADJ
externe	خارجی	extern	خارجی	ADJ;INDF;FEM;PL	ADJ
externe	بیرونی	extern	بیرونی	ADJ;INDF;FEM;PL	ADJ
vezi	پانا	vedea	پانا	V;IND;SG;2;PRS;FIN	V;SG;NFIN;ACT
vezi	سوچنا	vedea	سوچ	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
