istanboel	stambule	istanboel	stambuł	N;NEUT;SG	N;NOM;MASC;SG
stemde	zagłosowała	stemmen	zagłosować	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
stemde	głosował	stemmen	głosować	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
stemde	zagłosował	stemmen	zagłosować	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
pakte	chwycił	pakken	chwycić	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
clara	klara	clara	klara	N;MASC+FEM;SG	N;NOM;FEM;SG
vet	tłuszcz	vet	tłuszcz	N;NEUT;SG	N;NOM;MASC;SG
vet	tłuszczu	vet	tłuszcz	N;NEUT;SG	N;GEN;MASC;SG
vet	tłuszcz	vet	tłuszcz	N;NEUT;SG	N;NOM;MASC;SG
buitengewoon	nadzwyczajne	buitengewoon	nadzwyczajny	ADJ	ADJ;NOM;NEUT;SG
buitengewoon	niezwykła	buitengewoon	niezwykły	ADJ	ADJ;NOM;FEM;SG
buitengewoon	nadzwyczajny	buitengewoon	nadzwyczajny	ADJ	ADJ;NOM;MASC;SG
buitengewoon	niezwykłe	buitengewoon	niezwykłe	ADJ	ADJ;NOM;NEUT;SG
buitengewoon	wyjątkowych	buitengewoon	wyjątkowy	ADJ	ADJ;GEN;MASC;PL
buitengewoon	wyjątkowe	buitengewoon	wyjątkowy	ADJ	ADJ;NOM;NEUT;SG
buitengewoon	wyjątkowa	buitengewoon	wyjątkowy	ADJ	ADJ;NOM;FEM;SG
buitengewoon	wyjątkowy	buitengewoon	wyjątkowy	ADJ	ADJ;NOM;MASC;SG
voorkant	front	voorkant	front	N;MASC+FEM;SG	N;NOM;MASC;SG
voorkant	przodu	voorkant	przód	N;MASC+FEM;SG	N;GEN;MASC;SG
kampioenen	mistrzowie	kampioen	mistrz	N;PL	N;NOM;MASC;PL
kampioenen	mistrzów	kampioen	mistrz	N;PL	N;ACC;MASC;PL
codex	kodeks	codex	kodeks	N;MASC+FEM;SG	N;NOM;MASC;SG
moeilijker	trudniejsze	moeilijk	trudny	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
aanpak	podejście	aanpak	podejść	N;MASC+FEM;SG	N;NOM;NEUT;SG
aanpak	podejścia	aanpak	podejść	N;MASC+FEM;SG	N;GEN;NEUT;SG
ongewenste	niechcianych	ongewenste	niechciany	ADJ	ADJ;GEN;MASC;PL
ongewenste	niepożądane	ongewenste	niepożądany	ADJ	ADJ;NOM;NEUT;SG
ongewenste	niepożądanych	ongewenste	niepożądany	ADJ	ADJ;GEN;MASC;PL
ongewenste	niepożądane	ongewenste	niepożądany	ADJ	ADJ;NOM;NEUT;SG
tibetaans	tybetański	tibetaan	tybetański	ADJ	ADJ;NOM;MASC;SG
vertegenwoordigen	reprezentować	vertegenwoordigen	reprezentować	V;NFIN	V;IPFV;NFIN;ACT
vertegenwoordigen	reprezentują	vertegenwoordigen	reprezentować	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
vertegenwoordigen	reprezentuje	vertegenwoordigen	reprezentować	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
vertegenwoordigen	reprezentuje	vertegenwoordigen	reprezentować	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
pauselijke	papieski	pauselijk	papieski	ADJ	ADJ;NOM;MASC;SG
pauselijke	papieska	pauselijk	papieski	ADJ	ADJ;NOM;FEM;SG
nakomelingen	potomkowie	nakomeling	potomek	N;PL	N;NOM;MASC;PL
nakomelingen	potomków	nakomeling	potomek	N;PL	N;ACC;MASC;PL
installatie	instalacji	installatie	instalacja	N;MASC+FEM;SG	N;GEN;FEM;SG
installatie	instalacja	installatie	instalacja	N;MASC+FEM;SG	N;NOM;FEM;SG
verlopen	wygasają	verlopen	wygasać	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;ACT
verlopen	upłynął	verlopen	upłynąć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
verlopen	wygasł	verlopen	wygasnąć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
verlopen	wygasła	verlopen	wygasnąć	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
dinosauriërs	dinozaury	dinosauriër	dinozaura	N;PL	N;ACC;MASC;PL
dinosauriërs	dinozaurów	dinosauriër	dinozaur	N;PL	N;GEN;MASC;PL
help	pomocy	help	pomoc	N;MASC+FEM;SG	N;GEN;FEM;SG
medicijnen	lekarstwa	medicijn	lekarstwo	N;PL	N;NOM;NEUT;PL
medicijnen	lekarstwa	medicijn	lekarstwo	N;PL	N;NOM;NEUT;PL
medicijnen	leków	medicijn	lek	N;PL	N;GEN;MASC;PL
medicijnen	lekarstwa	medicijn	lekarstwo	N;PL	N;NOM;NEUT;PL
medicijnen	leki	medicijn	lek	N;PL	N;NOM;MASC;PL
antwoorden	odpowiedzi	antwoord	odpowiedź	N;PL	N;ACC;FEM;PL
antwoorden	odpowiedzi	antwoord	odpowiedź	N;PL	N;ACC;FEM;PL
erkennen	uznając	erkennen	uznawać	V;NFIN	V;IPFV;PRS;V.CVB;ACT
erkennen	uznać	erkennen	uznać	V;NFIN	V;PFV;NFIN;ACT
erkennen	uznać	erkennen	uznać	V;NFIN	V;PFV;NFIN;ACT
erkennen	rozpoznają	erkennen	rozpoznawać	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
erkennen	uznają	erkennen	uznać	V;NFIN	V;PFV;IND;PL;3;FUT;FIN;ACT
erkennen	uznawać	erkennen	uznawać	V;NFIN	V;IPFV;NFIN;ACT
erkennen	uznając	erkennen	uznawać	V;NFIN	V;IPFV;PRS;V.CVB;ACT
streng	rygorystyczne	streng	rygorystyczny	ADJ	ADJ;NOM;NEUT;SG
streng	surowa	streng	surowy	ADJ	ADJ;NOM;FEM;SG
streng	ścisłe	streng	ścisły	ADJ	ADJ;NOM;NEUT;SG
streng	surowy	streng	surowy	ADJ	ADJ;NOM;MASC;SG
streng	poważna	streng	poważny	ADJ	ADJ;NOM;FEM;SG
streng	poważne	streng	poważny	ADJ	ADJ;NOM;NEUT;SG
hallo	cześć	hallo	cześć	N;MASC+FEM;SG	N;NOM;FEM;SG
mexicaans	meksykańskie	mexicaans	meksykański	ADJ	ADJ;NOM;NEUT;SG
mexicaans	meksykański	mexicaans	meksykański	ADJ	ADJ;NOM;MASC;SG
mexicaans	meksykańska	mexicaans	meksykański	ADJ	ADJ;NOM;FEM;SG
historici	historycy	historicus	historyk	N;PL	N;NOM;MASC;PL
bladen	arkusze	blad	arkusz	N;PL	N;NOM;MASC;PL
bladen	arkuszy	blad	arkusza	N;PL	N;GEN;MASC;PL
vacht	kurtka	vacht	kurtka	N;MASC+FEM;SG	N;NOM;FEM;SG
vacht	płaszcz	vacht	płaszcz	N;MASC+FEM;SG	N;NOM;MASC;SG
mulder	mulder	muld	mulder	N;MASC+FEM;SG	N;NOM;MASC;SG
geschrapt	usunięto	schrappen	usunąć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
opvolging	dziedziczenia	opvolging	dziedziczenie	N;MASC+FEM;SG	N;GEN;NEUT;SG
bende	banda	bende	banda	N;MASC+FEM;SG	N;NOM;FEM;SG
bende	gangu	bende	gang	N;MASC+FEM;SG	N;GEN;MASC;SG
toetsen	klucze	toetsen	klucz	N;PL	N;NOM;MASC;PL
toetsen	klawisze	toetsen	klawisz	N;PL	N;NOM;MASC;PL
luxe	luksus	luxe	luksus	N;MASC+FEM;SG	N;NOM;MASC;SG
luxe	luksusu	luxe	luksus	N;MASC+FEM;SG	N;GEN;MASC;SG
